tick,liquidity_net,liquidity
125800,-488223066506750,597221036902639577
126000,-2926928026872711,594294108875766866
126200,0,594294108875766866
126400,603557011667817,594897665887434683
126600,0,594897665887434683
126800,15548181207106931,610445847094541614
127000,-68987912192,610445778106629422
127200,57145176812749426,667590954919378848
127400,0,667590954919378848
127600,-73014444032,667590881904934816
127800,4294967296,667590886199902112
128000,4294967296,667590890494869408
128200,68719476736,667590959214346144
128400,253489073414281,667844448287760425
128600,214748364800,667844663036125225
128800,-210453397504,667844452582727721
129000,4563402752,667844457146130473
129200,19713099808887400,687557556955017873
129400,-72477573120,687557484477444753
129600,-16207853877629135,671349630599815618
129800,-68987912192,671349561611903426
130000,21197491941024,671370759103844450
130200,-8589934592,671370750513909858
130400,-2454676006813583,668916074507096275
130600,-4026531840,668916070480564435
130800,68451041280,668916138931605715
131000,73014444032,668916211946049747
131200,4683961483768801,673600173429818548
131400,-37538839424630633,636061334005187915
131600,0,636061334005187915
131800,8188879994288911,644250213999476826
132000,6669028662261491,650919242661738317
132200,7576330748122996,658495573409861313
132400,9126805504,658495582536666817
132600,-4822980811,658495577713686006
132800,82799969328340027,741295547042026033
133000,391708729319767785,1133004276361793818
133200,2785341573028544,1135789617934822362
133400,64692944896,1135789682627767258
133600,-55566139392,1135789627061627866
133800,-7383154479815283,1128406472581812583
134000,-73014444032,1128406399567368551
134200,-4294967296,1128406395272401255
134400,-8188892879190799,1120217502393210456
134600,17179869184,1120217519573079640
134800,-5762545513884467,1114454974059195173
135000,-6669024367294195,1107785949691900978
135200,-4294967296,1107785945396933682
135400,-125749630853935471,982036314542998211
135600,-73014444032,982036241528554179
135800,-8781983019089414,973254258509464765
136000,-1612019199774124,971642239309690641
136200,-421470655219093224,550171584090597417
136400,146770553911659,550318354644509076
136600,0,550318354644509076
136800,0,550318354644509076
137000,-84649217288821136,465669137355687940
137200,0,465669137355687940
137400,0,465669137355687940
137600,0,465669137355687940
137800,-253566382825609,465415570972862331
138000,68719476736,465415639692339067
138200,-2160465304423429,463255174387915638
138400,0,463255174387915638
138600,0,463255174387915638
138800,-13097746819239769,450157427568675869
139000,-27002896846820789,423154530721855080
139200,0,423154530721855080
139400,0,423154530721855080
139600,0,423154530721855080
139800,0,423154530721855080
140000,0,423154530721855080
140200,-603557011667817,422550973710187263
140400,0,422550973710187263
140600,0,422550973710187263
140800,0,422550973710187263
141000,-20856833769908690,401694139940278573
141200,0,401694139940278573
141400,0,401694139940278573
141600,0,401694139940278573
141800,0,401694139940278573
142000,0,401694139940278573
142200,0,401694139940278573
142400,0,401694139940278573
142600,0,401694139940278573
142800,0,401694139940278573
143000,-19713031357846120,381981108582432453
143200,-13201190805600952,368779917776831501
143400,-24949393487139820,343830524289691681
143600,0,343830524289691681
143800,0,343830524289691681
144000,-4475300454897273,339355223834794408
144200,0,339355223834794408
144400,0,339355223834794408
144600,0,339355223834794408
144800,0,339355223834794408
145000,-173123423465033692,166231800369760716
145200,0,166231800369760716
145400,-11138037605587,166220662332155129
145600,0,166220662332155129
145800,0,166220662332155129
146000,-146770553911659,166073891778243470
146200,0,166073891778243470
146400,-22525938736707155,143547953041536315
146600,0,143547953041536315
146800,0,143547953041536315
147000,0,143547953041536315
147200,0,143547953041536315
147400,0,143547953041536315
147600,0,143547953041536315
147800,0,143547953041536315
148000,0,143547953041536315
148200,0,143547953041536315
148400,0,143547953041536315
148600,0,143547953041536315
148800,0,143547953041536315
149000,0,143547953041536315
149200,0,143547953041536315
149400,0,143547953041536315
149600,0,143547953041536315
149800,-2785337278061248,140762615763475067
150000,0,140762615763475067
150200,0,140762615763475067
150400,0,140762615763475067
150600,0,140762615763475067
150800,0,140762615763475067
151000,0,140762615763475067
151200,-21193196973728,140741422566501339
151400,0,140741422566501339
151600,0,140741422566501339
151800,0,140741422566501339
152000,0,140741422566501339
152200,0,140741422566501339
152400,0,140741422566501339
152600,0,140741422566501339
152800,0,140741422566501339
153000,0,140741422566501339
153200,0,140741422566501339
153400,0,140741422566501339
153600,0,140741422566501339
153800,0,140741422566501339
154000,0,140741422566501339
154200,0,140741422566501339
154400,0,140741422566501339
154600,0,140741422566501339
154800,0,140741422566501339
155000,0,140741422566501339
155200,-193112380669185,140548310185832154
155400,0,140548310185832154
155600,0,140548310185832154
155800,0,140548310185832154
156000,0,140548310185832154
156200,0,140548310185832154
156400,0,140548310185832154
156600,0,140548310185832154
156800,0,140548310185832154
157000,0,140548310185832154
157200,0,140548310185832154
157400,0,140548310185832154
157600,0,140548310185832154
157800,0,140548310185832154
158000,0,140548310185832154
158200,0,140548310185832154
158400,0,140548310185832154
158600,0,140548310185832154
158800,0,140548310185832154
159000,0,140548310185832154
159200,0,140548310185832154
159400,0,140548310185832154
159600,0,140548310185832154
159800,0,140548310185832154
160000,0,140548310185832154
160200,0,140548310185832154
160400,0,140548310185832154
160600,0,140548310185832154
160800,0,140548310185832154
161000,0,140548310185832154
161200,-335653005128862,140212657180703292
161400,0,140212657180703292
161600,0,140212657180703292
161800,0,140212657180703292
162000,0,140212657180703292
162200,0,140212657180703292
162400,0,140212657180703292
162600,0,140212657180703292
162800,0,140212657180703292
163000,0,140212657180703292
163200,0,140212657180703292
163400,0,140212657180703292
163600,0,140212657180703292
163800,0,140212657180703292
164000,0,140212657180703292
164200,0,140212657180703292
164400,0,140212657180703292
164600,0,140212657180703292
164800,0,140212657180703292
165000,0,140212657180703292
165200,0,140212657180703292
165400,0,140212657180703292
165600,0,140212657180703292
165800,0,140212657180703292
166000,0,140212657180703292
166200,0,140212657180703292
166400,0,140212657180703292
166600,0,140212657180703292
166800,0,140212657180703292
167000,0,140212657180703292
167200,0,140212657180703292
167400,0,140212657180703292
167600,0,140212657180703292
167800,0,140212657180703292
168000,0,140212657180703292
168200,0,140212657180703292
168400,0,140212657180703292
168600,0,140212657180703292
168800,0,140212657180703292
169000,0,140212657180703292
169200,0,140212657180703292
169400,0,140212657180703292
169600,0,140212657180703292
169800,0,140212657180703292
170000,0,140212657180703292
170200,0,140212657180703292
170400,0,140212657180703292
170600,0,140212657180703292
170800,0,140212657180703292
171000,0,140212657180703292
171200,0,140212657180703292
171400,0,140212657180703292
171600,0,140212657180703292
171800,0,140212657180703292
172000,0,140212657180703292
172200,0,140212657180703292
172400,0,140212657180703292
172600,0,140212657180703292
172800,0,140212657180703292
173000,0,140212657180703292
173200,0,140212657180703292
173400,0,140212657180703292
173600,0,140212657180703292
173800,0,140212657180703292
174000,0,140212657180703292
174200,0,140212657180703292
174400,0,140212657180703292
174600,0,140212657180703292
174800,0,140212657180703292
175000,0,140212657180703292
175200,0,140212657180703292
175400,0,140212657180703292
175600,0,140212657180703292
175800,0,140212657180703292
176000,0,140212657180703292
176200,0,140212657180703292
176400,0,140212657180703292
176600,0,140212657180703292
176800,0,140212657180703292
177000,0,140212657180703292
177200,0,140212657180703292
177400,0,140212657180703292
177600,0,140212657180703292
177800,0,140212657180703292
178000,0,140212657180703292
178200,0,140212657180703292
178400,0,140212657180703292
178600,0,140212657180703292
178800,0,140212657180703292
179000,0,140212657180703292
179200,0,140212657180703292
179400,0,140212657180703292
179600,0,140212657180703292
179800,0,140212657180703292
180000,0,140212657180703292
180200,0,140212657180703292
180400,0,140212657180703292
180600,0,140212657180703292
180800,0,140212657180703292
181000,0,140212657180703292
181200,0,140212657180703292
181400,0,140212657180703292
181600,0,140212657180703292
181800,0,140212657180703292
182000,0,140212657180703292
182200,0,140212657180703292
182400,0,140212657180703292
182600,0,140212657180703292
182800,0,140212657180703292
183000,0,140212657180703292
183200,0,140212657180703292
183400,0,140212657180703292
183600,0,140212657180703292
183800,0,140212657180703292
184000,0,140212657180703292
184200,-461492928431340,139751164252271952
184400,0,139751164252271952
184600,0,139751164252271952
184800,0,139751164252271952
185000,0,139751164252271952
185200,0,139751164252271952
185400,0,139751164252271952
185600,0,139751164252271952
185800,0,139751164252271952
186000,0,139751164252271952
186200,0,139751164252271952
186400,0,139751164252271952
186600,0,139751164252271952
186800,0,139751164252271952
187000,0,139751164252271952
187200,0,139751164252271952
187400,0,139751164252271952
187600,0,139751164252271952
187800,0,139751164252271952
188000,0,139751164252271952
188200,0,139751164252271952
188400,0,139751164252271952
188600,0,139751164252271952
188800,0,139751164252271952
189000,0,139751164252271952
189200,0,139751164252271952
189400,0,139751164252271952
189600,0,139751164252271952
189800,0,139751164252271952
190000,0,139751164252271952
190200,0,139751164252271952
190400,0,139751164252271952
190600,0,139751164252271952
190800,0,139751164252271952
191000,0,139751164252271952
191200,0,139751164252271952
191400,0,139751164252271952
191600,0,139751164252271952
191800,0,139751164252271952
192000,0,139751164252271952
192200,0,139751164252271952
192400,0,139751164252271952
192600,0,139751164252271952
192800,0,139751164252271952
193000,0,139751164252271952
193200,0,139751164252271952
193400,0,139751164252271952
193600,0,139751164252271952
193800,0,139751164252271952
194000,0,139751164252271952
194200,0,139751164252271952
194400,0,139751164252271952
194600,0,139751164252271952
194800,0,139751164252271952
195000,0,139751164252271952
195200,0,139751164252271952
195400,0,139751164252271952
195600,0,139751164252271952
195800,0,139751164252271952
196000,0,139751164252271952
196200,0,139751164252271952
196400,0,139751164252271952
196600,0,139751164252271952
196800,0,139751164252271952
197000,0,139751164252271952
197200,0,139751164252271952
197400,0,139751164252271952
197600,0,139751164252271952
197800,0,139751164252271952
198000,0,139751164252271952
198200,0,139751164252271952
198400,0,139751164252271952
198600,0,139751164252271952
198800,0,139751164252271952
199000,0,139751164252271952
199200,0,139751164252271952
199400,0,139751164252271952
199600,0,139751164252271952
199800,0,139751164252271952
200000,0,139751164252271952
200200,0,139751164252271952
200400,0,139751164252271952
200600,0,139751164252271952
200800,0,139751164252271952
201000,0,139751164252271952
201200,0,139751164252271952
201400,0,139751164252271952
201600,0,139751164252271952
201800,0,139751164252271952
202000,0,139751164252271952
202200,0,139751164252271952
202400,0,139751164252271952
202600,0,139751164252271952
202800,0,139751164252271952
203000,0,139751164252271952
203200,0,139751164252271952
203400,0,139751164252271952
203600,0,139751164252271952
203800,0,139751164252271952
204000,0,139751164252271952
204200,0,139751164252271952
204400,0,139751164252271952
204600,0,139751164252271952
204800,0,139751164252271952
205000,0,139751164252271952
205200,0,139751164252271952
205400,0,139751164252271952
205600,0,139751164252271952
205800,0,139751164252271952
206000,0,139751164252271952
206200,0,139751164252271952
206400,0,139751164252271952
206600,0,139751164252271952
206800,0,139751164252271952
207000,0,139751164252271952
207200,0,139751164252271952
207400,0,139751164252271952
207600,0,139751164252271952
207800,0,139751164252271952
208000,0,139751164252271952
208200,0,139751164252271952
208400,0,139751164252271952
208600,0,139751164252271952
208800,0,139751164252271952
209000,0,139751164252271952
209200,0,139751164252271952
209400,0,139751164252271952
209600,0,139751164252271952
209800,0,139751164252271952
210000,0,139751164252271952
210200,0,139751164252271952
210400,0,139751164252271952
210600,0,139751164252271952
210800,0,139751164252271952
211000,0,139751164252271952
211200,0,139751164252271952
211400,0,139751164252271952
211600,0,139751164252271952
211800,0,139751164252271952
212000,0,139751164252271952
212200,0,139751164252271952
212400,0,139751164252271952
212600,0,139751164252271952
212800,0,139751164252271952
213000,0,139751164252271952
213200,0,139751164252271952
213400,0,139751164252271952
