tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
125800,-488223066506750,597221036902639577,42702696362248266682871524098048,43131844031143525990682972913664,-11024733859120,3234910512481386325,-110247.3385912,3.2349105124813864,-110247.3385912,3.2349105124813864,0,0.032349105124813864
126000,-2926928026872711,594294108875766866,43131844031143525990682972913664,43565304489099124432401143431168,-10861547719093,3251406929287613103,-108615.47719093,3.2514069292876133,-218862.81578213,6.486317441769,0,0.06486317441768999
126200,0,594294108875766866,43565304489099124432401143431168,44003121078187801173647727525888,-10753478889926,3284082470253398567,-107534.78889926,3.2840824702533986,-326397.60468139,9.770399912022398,0,0.09770399912022397
126400,603557011667817,594897665887434683,44003121078187801173647727525888,44445337576055472366958155923456,-10657297735720,3320455177173006326,-106572.9773572,3.3204551771730064,-432970.58203859,13.090855089195404,0,0.13090855089195405
126600,0,594897665887434683,44445337576055472366958155923456,44891998200298612895995408678912,-10551261126742,3353824629698167437,-105512.61126742,3.3538246296981673,-538483.19330601,16.44467971889357,0,0.1644467971889357
126800,15548181207106931,610445847094541614,44891998200298612895995408678912,45343147612885584244927706955776,-10719302382273,3476065537721827229,-107193.02382273,3.4760655377218272,-645676.2171287399,19.920745256615398,0,0.199207452566154
127000,-68987912192,610445778106629422,45343147612885584244927706955776,45798830924622457932124625305600,-10612647648086,3510998425002467659,-106126.47648086,3.5109984250024677,-751802.6936096,23.431743681617867,0,0.23431743681617867
127200,57145176812749426,667590954919378848,45798830924622457932124625305600,46259093699663649760145540382720,-11490643932486,3878258131359183275,-114906.43932486,3.8782581313591833,-866709.13293446,27.31000181297705,0,0.27310001812977047
127400,0,667590954919378848,46259093699663649760145540382720,46723981960067932335573464776704,-11376315802805,3917233315088269591,-113763.15802805,3.9172333150882697,-980472.2909625099,31.227235128065317,0,0.31227235128065317
127600,-73014444032,667590881904934816,46723981960067932335573464776704,47193542190400222175461474566144,-11263123968583,3956599753510368525,-112631.23968583,3.9565997535103685,-1093103.53064834,35.183834881575685,0,0.3518383488157569
127800,4294967296,667590886199902112,47193542190400222175461474566144,47667821342379609774752977125376,-11151059659489,3996362269780672557,-111510.59659489,3.9963622697806724,-1204614.1272432301,39.18019715135636,0,0.3918019715135636
128000,4294967296,667590890494869408,47667821342379609774752977125376,48146866839574082994638556233728,-11040110352717,4036524386161770380,-110401.10352717,4.03652438616177,-1315015.2307704,43.21672153751813,0,0.4321672153751813
128200,68719476736,667590959214346144,48146866839574082994638556233728,48630726582142475196605424205824,-10930266009170,4077090511953783451,-109302.6600917,4.0770905119537835,-1424317.8908621,47.29381204947192,0,0.47293812049471917
128400,253489073414281,667844448287760425,48630726582142475196605424205824,49119448951624016424548180164608,-10825622461850,4119627552305320045,-108256.2246185,4.11962755230532,-1532574.1154806002,51.413439601777235,0,0.5141343960177723
128600,214748364800,667844663036125225,49119448951624016424548180164608,49613082815776091117290942103552,-10717914523576,4161029755151880559,-107179.14523576,4.161029755151881,-1639753.26071636,55.574469356929114,0,0.5557446935692911
128800,-210453397504,667844452582727721,49613082815776091117290942103552,50111677533460481574697749708800,-10611271453626,4202845373734631448,-106112.71453626,4.202845373734632,-1745865.97525262,59.77731473066375,0,0.5977731473066374
129000,4563402752,667844457146130473,50111677533460481574697749708800,50615282959578898818104909889536,-10505692862811,4245082578576106567,-105056.92862811,4.245082578576106,-1850922.90388073,64.02239730923985,0,0.6402239730923985
129200,19713099808887400,687557556955017873,50615282959578898818104909889536,51123949450057944960263360872448,-10708181066976,4414307720890139903,-107081.81066976,4.41430772089014,-1958004.71455049,68.43670503012999,0,0.6843670503012999
129400,-72477573120,687557484477444753,51123949450057944960263360872448,51637727866884272696727707844608,-10601637068028,4458669551856816129,-106016.37068028,4.458669551856816,-2064021.08523077,72.8953745819868,0,0.728953745819868
129600,-16207853877629135,671349630599815618,51637727866884272696727707844608,52156669583190320221060629266432,-10248727484185,4397316793535057780,-102487.27484185,4.397316793535058,-2166508.36007262,77.29269137552185,0,0.7729269137552185
129800,-68987912192,671349561611903426,52156669583190320221060629266432,52680826488391134974210174091264,-10146754972216,4441507885015809113,-101467.54972216,4.441507885015809,-2267975.9097947804,81.73419926053766,0,0.8173419926053767
130000,21197491941024,671370759103844450,52680826488391134974210174091264,53210250993372871696011508056064,-10046115286431,4486285185949778579,-100461.15286431,4.486285185949779,-2368437.0626590904,86.22048444648745,0,0.8622048444648744
130200,-8589934592,671370750513909858,53210250993372871696011508056064,53744996035733352088381062905856,-9946159614645,4531370778143582941,-99461.59614645,4.531370778143583,-2467898.6588055403,90.75185522463103,0,0.9075185522463103
130400,-2454676006813583,668916074507096275,53744996035733352088381062905856,54285115085075406666143467831296,-9811195118069,4560175356677543903,-98111.95118069,4.560175356677544,-2566010.6099862303,95.31203058130858,0,0.9531203058130857
130600,-4026531840,668916070480564435,54285115085075406666143467831296,54830662148353278018668160090112,-9713576893518,4606003550370664594,-97135.76893518,4.606003550370665,-2663146.37892141,99.91803413167924,0,0.9991803413167923
130800,68451041280,668916138931605715,54830662148353278018668160090112,55381691775272842087053073055744,-9616930980793,4652292805725440214,-96169.30980793,4.65229280572544,-2759315.68872934,104.57032693740467,0,1.0457032693740467
