tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
125800,-488223066506750,598197483035653077,42702696362248266682871524098048,42277818571579997430437979881472,11153735107160,-3207960615390371097,111537.3510716,-3.2079606153903715,111537.3510716,-3.2079606153903715,1115.373510716,0
125600,77285280683838314,520912202351814763,42277818571579997430437979881472,41857168175254026754563195797504,9810316150256,-2765707513800716108,98103.16150256,-2.765707513800716,209640.51257416,-5.973668129191088,2096.4051257416,0
125400,2106728846937241,518805473504877522,41857168175254026754563195797504,41440703112086390499613027074048,9868831852988,-2727115553841397720,98688.31852988,-2.7271155538413976,308328.83110404003,-8.700783683032485,3083.2883110404005,0
125200,8321499136,518805465183378386,41440703112086390499613027074048,41028381739388039220328824569856,9968010118478,-2699981607288996749,99680.10118478,-2.699981607288997,408008.93228882004,-11.400765290321482,4080.0893228882,0
125000,27002897115256245,491802568068122141,41028381739388039220328824569856,40620162828801008124744278474752,9544154206092,-2533986680866508611,95441.54206092,-2.5339866808665086,503450.47434974,-13.93475197118799,5034.5047434974,0
124800,2073507833238168,489729060234883973,40620162828801008124744278474752,40216005562175943572480405274624,9599425859894,-2498197005840658929,95994.25859894,-2.498197005840659,599444.7329486801,-16.43294897702865,5994.4473294868,0
124600,259578059,489729059975305914,40216005562175943572480405274624,39815869527490643854846997823488,9695896840933,-2473340765581906122,96958.96840933,-2.4733407655819057,696403.7013580101,-18.906289742610557,6964.037013580101,0
124400,86415241894660,489642644733411254,39815869527490643854846997823488,39419714714809258472379976253440,9791609242522,-2448299746573818270,97916.09242522,-2.4482997465738183,794319.79378323,-21.354589489184377,7943.1979378323,0
124200,0,489642644733411254,39419714714809258472379976253440,39027501512281646010256001597440,9890011606754,-2423939968952395276,98900.11606754,-2.423939968952395,893219.90985077,-23.778529458136774,8932.1990985077,0
124000,-4294967296,489642649028378550,39027501512281646010256001597440,38639190702182534827213789855744,9989402969120,-2399822584160683652,99894.0296912,-2.3998225841606837,993113.93954197,-26.17835204229746,9931.139395419701,0
123800,4294967296,489642644733411254,38639190702182534827213789855744,38254743456990144284410446348288,10089793004966,-2375945117527937708,100897.93004966,-2.3759451175279374,1094011.86959163,-28.554297159825396,10940.1186959163,0
123600,53436826469459,489589207906941795,38254743456990144284410446348288,37874121335503766614654182227968,10190079806247,-2352048527401162440,101900.79806247,-2.352048527401162,1195912.6676541,-30.90634568722656,11959.126676541,0
123400,0,489589207906941795,37874121335503766614654182227968,37497286279000003187238751961088,10292486664998,-2328646417768790143,102924.86664998,-2.3286464177687902,1298837.53430408,-33.23499210499535,12988.3753430408,0
123200,28288471365689734,461300736541252061,37497286279000003187238751961088,37124200607427236333614266318848,9795246118527,-2172266648977490435,97952.46118527,-2.1722666489774904,1396789.99548935,-35.40725875397284,13967.8999548935,0
123000,0,461300736541252061,37124200607427236333614266318848,36754827015637985453123445981184,9893685032134,-2150653309933719100,98936.85032134,-2.150653309933719,1495726.84581069,-37.55791206390656,14957.268458106899,0
122800,-120134530236416,461420871071488477,36754827015637985453123445981184,36389128569658715053239088185344,9995715686265,-2129809529065681647,99957.15686265,-2.1298095290656818,1595684.00267334,-39.68772159297224,15956.8400267334,0
