tick,liquidity_net,liquidity
-199080,1453383616684516494893673,69621069118174216072048764
-199020,0,69621069118174216072048764
-198960,-1653259127695897829718756,67967809990478318242330008
-198900,0,67967809990478318242330008
-198840,-4606483765208407318576955,63361326225269910923753053
-198780,1438534255419987503948574,64799860480689898427701627
-198720,0,64799860480689898427701627
-198660,-117668446359627948699098,64682192034330270479002529
-198600,0,64682192034330270479002529
-198540,-3018624174505902126216995,61663567859824368352785534
-198480,-7927477143738605487330111,53736090716085762865455423
-198420,0,53736090716085762865455423
-198360,-888653610633183482243509,52847437105452579383211914
-198300,0,52847437105452579383211914
-198240,0,52847437105452579383211914
-198180,-820062837781172535535640,52027374267671406847676274
-198120,0,52027374267671406847676274
-198060,0,52027374267671406847676274
-198000,0,52027374267671406847676274
-197940,0,52027374267671406847676274
-197880,-600302902127182457383363,51427071365544224390292911
-197820,-135816733315495188073472,51291254632228729202219439
-197760,0,51291254632228729202219439
-197700,-4897903293332189845324392,46393351338896539356895047
-197640,0,46393351338896539356895047
-197580,-2466053902164263958955347,43927297436732275397939700
-197520,0,43927297436732275397939700
-197460,-78021996798447155068606,43849275439933828242871094
-197400,0,43849275439933828242871094
-197340,0,43849275439933828242871094
-197280,0,43849275439933828242871094
-197220,0,43849275439933828242871094
-197160,0,43849275439933828242871094
-197100,0,43849275439933828242871094
-197040,0,43849275439933828242871094
-196980,0,43849275439933828242871094
-196920,0,43849275439933828242871094
-196860,0,43849275439933828242871094
-196800,0,43849275439933828242871094
-196740,0,43849275439933828242871094
-196680,0,43849275439933828242871094
-196620,-674178358849415782534233,43175097081084412460336861
-196560,0,43175097081084412460336861
-196500,-194540430762849337778565,42980556650321563122558296
-196440,0,42980556650321563122558296
-196380,0,42980556650321563122558296
-196320,0,42980556650321563122558296
-196260,0,42980556650321563122558296
-196200,-4577342473634510575149944,38403214176687052547408352
-196140,0,38403214176687052547408352
-196080,0,38403214176687052547408352
-196020,-23764474297979636272126,38379449702389072911136226
-195960,0,38379449702389072911136226
-195900,-1438534255419987503948574,36940915446969085407187652
-195840,0,36940915446969085407187652
-195780,0,36940915446969085407187652
-195720,0,36940915446969085407187652
-195660,-618709799323063945336368,36322205647646021461851284
-195600,0,36322205647646021461851284
-195540,0,36322205647646021461851284
-195480,-18689945239237891924611,36303515702406783569926673
-195420,-538990391149245899749783,35764525311257537670176890
-195360,0,35764525311257537670176890
-195300,0,35764525311257537670176890
-195240,-10129300931475936506370,35754396010326061733670520
-195180,0,35754396010326061733670520
-195120,0,35754396010326061733670520
-195060,0,35754396010326061733670520
-195000,0,35754396010326061733670520
-194940,-1773493643761105664126886,33980902366564956069543634
-194880,-37334937010958312438325,33943567429553997757105309
-194820,0,33943567429553997757105309
-194760,0,33943567429553997757105309
-194700,-438328211631659910847379,33505239217922337846257930
-194640,0,33505239217922337846257930
-194580,0,33505239217922337846257930
-194520,0,33505239217922337846257930
-194460,-57599600073278031103739,33447639617849059815154191
-194400,-8689970580383202606196,33438949647268676612547995
-194340,0,33438949647268676612547995
-194280,0,33438949647268676612547995
-194220,0,33438949647268676612547995
-194160,-24186293512281213617701,33414763353756395398930294
-194100,0,33414763353756395398930294
-194040,0,33414763353756395398930294
-193980,0,33414763353756395398930294
-193920,0,33414763353756395398930294
-193860,0,33414763353756395398930294
-193800,0,33414763353756395398930294
-193740,-282562977724426812688969,33132200376031968586241325
-193680,0,33132200376031968586241325
-193620,-81439828459028103470425,33050760547572940482770900
-193560,0,33050760547572940482770900
-193500,0,33050760547572940482770900
-193440,0,33050760547572940482770900
-193380,0,33050760547572940482770900
-193320,-84214178858584002177367,32966546368714356480593533
-193260,-172889169074331482207103,32793657199640024998386430
-193200,0,32793657199640024998386430
-193140,0,32793657199640024998386430
-193080,-9963197716894500054316893,22830459482745524944069537
-193020,0,22830459482745524944069537
-192960,-5972881156909066613754,22824486601588615877455783
-192900,-31907954678730654130195,22792578646909885223325588
-192840,-673083058883697350906960,22119495588026187872418628
-192780,0,22119495588026187872418628
-192720,0,22119495588026187872418628
-192660,0,22119495588026187872418628
-192600,0,22119495588026187872418628
-192540,0,22119495588026187872418628
-192480,-727797911343998867785,22118767790114843873550843
-192420,0,22118767790114843873550843
-192360,0,22118767790114843873550843
-192300,0,22118767790114843873550843
-192240,-524380708368863345497134,21594387081745980528053709
-192180,0,21594387081745980528053709
-192120,0,21594387081745980528053709
-192060,0,21594387081745980528053709
-192000,0,21594387081745980528053709
-191940,0,21594387081745980528053709
-191880,0,21594387081745980528053709
-191820,-2884530336688527044035,21591502551409292001009674
-191760,0,21591502551409292001009674
-191700,0,21591502551409292001009674
-191640,-47846397373104394731152,21543656154036187606278522
-191580,0,21543656154036187606278522
-191520,0,21543656154036187606278522
-191460,0,21543656154036187606278522
-191400,0,21543656154036187606278522
-191340,0,21543656154036187606278522
-191280,0,21543656154036187606278522
-191220,-11046228170400039990522,21532609925865787566288000
-191160,0,21532609925865787566288000
-191100,-224612139056650035248701,21307997786809137531039299
-191040,0,21307997786809137531039299
-190980,0,21307997786809137531039299
-190920,0,21307997786809137531039299
-190860,0,21307997786809137531039299
-190800,0,21307997786809137531039299
-190740,0,21307997786809137531039299
-190680,0,21307997786809137531039299
-190620,0,21307997786809137531039299
-190560,0,21307997786809137531039299
-190500,0,21307997786809137531039299
-190440,0,21307997786809137531039299
-190380,0,21307997786809137531039299
-190320,0,21307997786809137531039299
-190260,0,21307997786809137531039299
-190200,0,21307997786809137531039299
-190140,0,21307997786809137531039299
-190080,0,21307997786809137531039299
-190020,0,21307997786809137531039299
-189960,0,21307997786809137531039299
-189900,0,21307997786809137531039299
-189840,0,21307997786809137531039299
-189780,-1794539247615747347396060,19513458539193390183643239
-189720,0,19513458539193390183643239
-189660,0,19513458539193390183643239
-189600,0,19513458539193390183643239
-189540,-274883091249709613568359,19238575447943680570074880
-189480,0,19238575447943680570074880
-189420,-15331152944742881755104321,3907422503200798814970559
-189360,0,3907422503200798814970559
-189300,0,3907422503200798814970559
-189240,0,3907422503200798814970559
-189180,0,3907422503200798814970559
-189120,0,3907422503200798814970559
-189060,0,3907422503200798814970559
-189000,0,3907422503200798814970559
-188940,0,3907422503200798814970559
-188880,0,3907422503200798814970559
-188820,0,3907422503200798814970559
-188760,0,3907422503200798814970559
-188700,0,3907422503200798814970559
-188640,0,3907422503200798814970559
-188580,-17056271280084247615847,3890366231920714567354712
-188520,0,3890366231920714567354712
-188460,0,3890366231920714567354712
-188400,0,3890366231920714567354712
-188340,0,3890366231920714567354712
-188280,0,3890366231920714567354712
-188220,0,3890366231920714567354712
-188160,0,3890366231920714567354712
-188100,0,3890366231920714567354712
-188040,0,3890366231920714567354712
-187980,0,3890366231920714567354712
-187920,0,3890366231920714567354712
-187860,0,3890366231920714567354712
-187800,0,3890366231920714567354712
-187740,0,3890366231920714567354712
-187680,0,3890366231920714567354712
-187620,0,3890366231920714567354712
-187560,0,3890366231920714567354712
-187500,0,3890366231920714567354712
-187440,0,3890366231920714567354712
-187380,0,3890366231920714567354712
-187320,-14431526175111548096934,3875934705745603019257778
-187260,0,3875934705745603019257778
-187200,0,3875934705745603019257778
-187140,0,3875934705745603019257778
-187080,0,3875934705745603019257778
-187020,0,3875934705745603019257778
-186960,0,3875934705745603019257778
-186900,-1903362604352978637722,3874031343141250040620056
