tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-199080,1453383616684516494893673,69621069118174216072048764,3768152275519691452055552,3779473139117678020001792,-4384702395074258075184970540,9948111908955885002,-4384702395.074258,9.948111908955886,-4384702395.074258,9.948111908955886,0,0.029844335726867656
-199020,0,69621069118174216072048764,3779473139117678020001792,3790828014598208698187776,-4371568655024886263881205793,9977999559385950127,-4371568655.024886,9.97799955938595,-8756271050.099144,19.926111468341837,0,0.05977833440502551
-198960,-1653259127695897829718756,67967809990478318242330008,3790828014598208698187776,3802217004145021531717632,-4254975595422899126550763867,9770322230582480897,-4254975595.4228992,9.770322230582481,-13011246645.522043,29.696433698924317,0,0.08908930109677295
-198900,0,67967809990478318242330008,3802217004145021531717632,3813640210248849701208064,-4242230433185814454558415160,9799675737870094871,-4242230433.1858144,9.799675737870094,-17253477078.70786,39.49610943679441,0,0.11848832831038324
-198840,-4606483765208407318576955,63361326225269910923753053,3813640210248849701208064,3825097735708345477627904,-3942869646015423022024198104,9162953996853630877,-3942869646.015423,9.16295399685363,-21196346724.72328,48.65906343364804,0,0.14597719030094414
-198780,1438534255419987503948574,64799860480689898427701627,3825097735708345477627904,3836589683631004714008576,-4020308802210565310990365107,9399140386546262678,-4020308802.210565,9.399140386546263,-25216655526.933846,58.05820382019431,0,0.17417461146058294
-198720,0,64799860480689898427701627,3836589683631004714008576,3848116157434094021509120,-4008266550315508941138240243,9427378732152710247,-4008266550.315509,9.427378732152711,-29224922077.249355,67.48558255234701,0,0.20245674765704103
-198660,-117668446359627948699098,64682192034330270479002529,3848116157434094021509120,3859677260845582777319424,-3989003659959367148508840754,9438531543073867401,-3989003659.9593673,9.438531543073868,-33213925737.20872,76.92411409542088,0,0.23077234228626264
-198600,0,64682192034330270479002529,3859677260845582777319424,3871273097905075669434368,-3977055178077381385426442135,9466888233661660440,-3977055178.0773816,9.46688823366166,-37190980915.2861,86.39100232908254,0,0.2591730069872476
-198540,-3018624174505902126216995,61663567859824368352785534,3871273097905075669434368,3882903772964748999524352,-3780095032001691032697069662,9052196820399685950,-3780095032.001691,9.052196820399686,-40971075947.287796,95.44319914948223,0,0.28632959744844666
-198480,-7927477143738605487330111,53736090716085762865455423,3882903772964748999524352,3894569390690290207031296,-3284258396515507929615477936,7912144778644827076,-3284258396.5155077,7.912144778644827,-44255334343.80331,103.35534392812706,0,0.3100660317843812
-198420,0,53736090716085762865455423,3894569390690290207031296,3906270056061839540748288,-3274420876851016569348972983,7935915662955552510,-3274420876.8510165,7.935915662955552,-47529755220.65432,111.2912595910826,0,0.33387377877324786
-198360,-888653610633183482243509,52847437105452579383211914,3906270056061839540748288,3918005874374934951624704,-3210624714108292322403093153,7828124501444360809,-3210624714.108292,7.828124501444361,-50740379934.76261,119.11938409252697,0,0.35735815227758094
-198300,0,52847437105452579383211914,3918005874374934951624704,3929776951241458596184064,-3201007753459234651374467166,7851642959093714267,-3201007753.4592347,7.851642959093715,-53941387688.22185,126.97102705162068,0,0.38091308115486205
-198240,0,52847437105452579383211914,3929776951241458596184064,3941583392590589245521920,-3191419599021062478082308886,7875232074517211229,-3191419599.0210624,7.8752320745172115,-57132807287.24291,134.84625912613788,0,0.40453877737841365
-198180,-820062837781172535535640,52027374267671406847676274,3941583392590589245521920,3953425304669753620561920,-3132485484886647109719297033,7776320594039016763,-3132485484.886647,7.776320594039016,-60265292772.12956,142.6225797201769,0,0.42786773916053067
