tick,liquidity_net,liquidity
-49440,0,21449673452035710878863
-49380,0,21449673452035710878863
-49320,0,21449673452035710878863
-49260,0,21449673452035710878863
-49200,0,21449673452035710878863
-49140,0,21449673452035710878863
-49080,0,21449673452035710878863
-49020,0,21449673452035710878863
-48960,14334235847013750377456,35783909299049461256319
-48900,0,35783909299049461256319
-48840,0,35783909299049461256319
-48780,0,35783909299049461256319
-48720,0,35783909299049461256319
-48660,0,35783909299049461256319
-48600,0,35783909299049461256319
-48540,0,35783909299049461256319
-48480,0,35783909299049461256319
-48420,0,35783909299049461256319
-48360,0,35783909299049461256319
-48300,9354029181278929433929,45137938480328390690248
-48240,0,45137938480328390690248
-48180,0,45137938480328390690248
-48120,0,45137938480328390690248
-48060,0,45137938480328390690248
-48000,0,45137938480328390690248
-47940,0,45137938480328390690248
-47880,0,45137938480328390690248
-47820,-3335392511073256018408,41802545969255134671840
-47760,0,41802545969255134671840
-47700,-51732243578398736197,41750813725676735935643
-47640,0,41750813725676735935643
-47580,0,41750813725676735935643
-47520,0,41750813725676735935643
-47460,0,41750813725676735935643
-47400,0,41750813725676735935643
-47340,0,41750813725676735935643
-47280,0,41750813725676735935643
-47220,-14334235847013750377456,27416577878662985558187
-47160,0,27416577878662985558187
-47100,0,27416577878662985558187
-47040,-5850939952663701881,27410726938710321856306
-46980,0,27410726938710321856306
-46920,0,27410726938710321856306
-46860,0,27410726938710321856306
-46800,0,27410726938710321856306
-46740,0,27410726938710321856306
-46680,0,27410726938710321856306
-46620,0,27410726938710321856306
-46560,0,27410726938710321856306
-46500,0,27410726938710321856306
-46440,0,27410726938710321856306
-46380,0,27410726938710321856306
-46320,0,27410726938710321856306
-46260,0,27410726938710321856306
-46200,0,27410726938710321856306
-46140,0,27410726938710321856306
-46080,0,27410726938710321856306
-46020,0,27410726938710321856306
-45960,0,27410726938710321856306
-45900,0,27410726938710321856306
-45840,-522004103005234533399,26888722835705087322907
-45780,0,26888722835705087322907
-45720,0,26888722835705087322907
-45660,0,26888722835705087322907
-45600,0,26888722835705087322907
-45540,0,26888722835705087322907
-45480,0,26888722835705087322907
-45420,0,26888722835705087322907
-45360,0,26888722835705087322907
-45300,0,26888722835705087322907
-45240,0,26888722835705087322907
-45180,0,26888722835705087322907
-45120,0,26888722835705087322907
-45060,0,26888722835705087322907
-45000,0,26888722835705087322907
-44940,0,26888722835705087322907
-44880,0,26888722835705087322907
-44820,0,26888722835705087322907
-44760,0,26888722835705087322907
-44700,0,26888722835705087322907
-44640,0,26888722835705087322907
-44580,0,26888722835705087322907
-44520,0,26888722835705087322907
-44460,0,26888722835705087322907
-44400,0,26888722835705087322907
-44340,0,26888722835705087322907
-44280,0,26888722835705087322907
-44220,-11625051699764460800813,15263671135940626522094
-44160,0,15263671135940626522094
-44100,0,15263671135940626522094
-44040,0,15263671135940626522094
-43980,0,15263671135940626522094
-43920,-29104705992109446863,15234566429948517075231
-43860,0,15234566429948517075231
-43800,0,15234566429948517075231
-43740,0,15234566429948517075231
-43680,0,15234566429948517075231
-43620,0,15234566429948517075231
-43560,0,15234566429948517075231
-43500,0,15234566429948517075231
-43440,0,15234566429948517075231
-43380,0,15234566429948517075231
-43320,0,15234566429948517075231
-43260,-3811613652266288142497,11422952777682228932734
-43200,0,11422952777682228932734
-43140,0,11422952777682228932734
-43080,0,11422952777682228932734
-43020,0,11422952777682228932734
-42960,0,11422952777682228932734
-42900,0,11422952777682228932734
-42840,0,11422952777682228932734
-42780,0,11422952777682228932734
-42720,0,11422952777682228932734
-42660,0,11422952777682228932734
-42600,-6080415628869372863,11416872362053359559871
-42540,0,11416872362053359559871
-42480,0,11416872362053359559871
-42420,0,11416872362053359559871
-42360,0,11416872362053359559871
-42300,0,11416872362053359559871
-42240,0,11416872362053359559871
-42180,0,11416872362053359559871
-42120,0,11416872362053359559871
-42060,0,11416872362053359559871
-42000,0,11416872362053359559871
-41940,0,11416872362053359559871
-41880,0,11416872362053359559871
-41820,0,11416872362053359559871
-41760,0,11416872362053359559871
-41700,0,11416872362053359559871
-41640,0,11416872362053359559871
-41580,0,11416872362053359559871
-41520,0,11416872362053359559871
-41460,0,11416872362053359559871
-41400,0,11416872362053359559871
-41340,0,11416872362053359559871
-41280,0,11416872362053359559871
-41220,0,11416872362053359559871
-41160,0,11416872362053359559871
-41100,0,11416872362053359559871
-41040,0,11416872362053359559871
-40980,0,11416872362053359559871
-40920,0,11416872362053359559871
-40860,0,11416872362053359559871
-40800,0,11416872362053359559871
-40740,0,11416872362053359559871
-40680,0,11416872362053359559871
-40620,0,11416872362053359559871
-40560,0,11416872362053359559871
-40500,0,11416872362053359559871
-40440,0,11416872362053359559871
-40380,0,11416872362053359559871
-40320,0,11416872362053359559871
-40260,0,11416872362053359559871
-40200,0,11416872362053359559871
-40140,0,11416872362053359559871
-40080,0,11416872362053359559871
-40020,0,11416872362053359559871
-39960,0,11416872362053359559871
-39900,0,11416872362053359559871
-39840,0,11416872362053359559871
-39780,0,11416872362053359559871
-39720,0,11416872362053359559871
-39660,0,11416872362053359559871
-39600,0,11416872362053359559871
-39540,0,11416872362053359559871
-39480,0,11416872362053359559871
-39420,0,11416872362053359559871
-39360,0,11416872362053359559871
-39300,0,11416872362053359559871
-39240,0,11416872362053359559871
-39180,0,11416872362053359559871
-39120,-11153998643760830171453,262873718292529388418
-39060,0,262873718292529388418
-39000,0,262873718292529388418
-38940,0,262873718292529388418
-38880,0,262873718292529388418
-38820,0,262873718292529388418
-38760,0,262873718292529388418
-38700,0,262873718292529388418
-38640,0,262873718292529388418
-38580,0,262873718292529388418
-38520,0,262873718292529388418
-38460,0,262873718292529388418
-38400,0,262873718292529388418
-38340,0,262873718292529388418
-38280,0,262873718292529388418
-38220,0,262873718292529388418
-38160,0,262873718292529388418
-38100,0,262873718292529388418
-38040,0,262873718292529388418
-37980,0,262873718292529388418
-37920,0,262873718292529388418
-37860,0,262873718292529388418
-37800,0,262873718292529388418
-37740,0,262873718292529388418
-37680,0,262873718292529388418
-37620,0,262873718292529388418
-37560,0,262873718292529388418
-37500,0,262873718292529388418
-37440,0,262873718292529388418
-37380,0,262873718292529388418
-37320,0,262873718292529388418
-37260,0,262873718292529388418
-37200,0,262873718292529388418
-37140,0,262873718292529388418
-37080,0,262873718292529388418
-37020,0,262873718292529388418
-36960,0,262873718292529388418
-36900,0,262873718292529388418
-36840,0,262873718292529388418
-36780,0,262873718292529388418
-36720,0,262873718292529388418
-36660,0,262873718292529388418
-36600,0,262873718292529388418
-36540,0,262873718292529388418
-36480,0,262873718292529388418
-36420,0,262873718292529388418
-36360,0,262873718292529388418
-36300,0,262873718292529388418
-36240,0,262873718292529388418
-36180,0,262873718292529388418
-36120,0,262873718292529388418
-36060,0,262873718292529388418
-36000,0,262873718292529388418
-35940,0,262873718292529388418
-35880,0,262873718292529388418
-35820,0,262873718292529388418
-35760,0,262873718292529388418
-35700,0,262873718292529388418
-35640,0,262873718292529388418
-35580,0,262873718292529388418
-35520,0,262873718292529388418
-35460,0,262873718292529388418
-35400,0,262873718292529388418
-35340,0,262873718292529388418
-35280,0,262873718292529388418
-35220,0,262873718292529388418
-35160,0,262873718292529388418
-35100,0,262873718292529388418
-35040,0,262873718292529388418
-34980,0,262873718292529388418
-34920,0,262873718292529388418
-34860,0,262873718292529388418
-34800,0,262873718292529388418
-34740,0,262873718292529388418
-34680,0,262873718292529388418
-34620,0,262873718292529388418
-34560,0,262873718292529388418
-34500,0,262873718292529388418
-34440,0,262873718292529388418
-34380,0,262873718292529388418
-34320,0,262873718292529388418
-34260,0,262873718292529388418
-34200,0,262873718292529388418
-34140,0,262873718292529388418
-34080,0,262873718292529388418
-34020,0,262873718292529388418
-33960,0,262873718292529388418
-33900,0,262873718292529388418
-33840,0,262873718292529388418
-33780,0,262873718292529388418
-33720,0,262873718292529388418
-33660,0,262873718292529388418
-33600,0,262873718292529388418
-33540,0,262873718292529388418
-33480,0,262873718292529388418
-33420,0,262873718292529388418
-33360,0,262873718292529388418
-33300,0,262873718292529388418
-33240,0,262873718292529388418
-33180,0,262873718292529388418
-33120,0,262873718292529388418
-33060,0,262873718292529388418
-33000,0,262873718292529388418
-32940,0,262873718292529388418
-32880,0,262873718292529388418
-32820,0,262873718292529388418
-32760,0,262873718292529388418
-32700,0,262873718292529388418
-32640,0,262873718292529388418
-32580,0,262873718292529388418
-32520,0,262873718292529388418
-32460,0,262873718292529388418
-32400,0,262873718292529388418
-32340,0,262873718292529388418
-32280,0,262873718292529388418
-32220,0,262873718292529388418
-32160,0,262873718292529388418
-32100,0,262873718292529388418
-32040,0,262873718292529388418
-31980,0,262873718292529388418
-31920,0,262873718292529388418
-31860,0,262873718292529388418
