tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-120100,0,722306049947921338500085,195466172132485012138229760,195563924767123205020188672,-146341989503624941182858,891189662322450342,-146341.98950362494,0.8911896623224503,-146341.98950362494,0.8911896623224503,0,0.00044559483116122514
-120090,0,722306049947921338500085,195563924767123205020188672,195661726287855003866497024,-146268840455119148158036,891635346281907953,-146268.84045511915,0.891635346281908,-292610.8299587441,1.7828250086043584,0,0.0008914125043021792
-120080,0,722306049947921338500085,195661726287855003866497024,195759576719128255879184384,-146195727970035216615877,892081253127109495,-146195.72797003522,0.8920812531271095,-438806.55792877934,2.674906261731468,0,0.001337453130865734
-120070,0,722306049947921338500085,195759576719128255879184384,195857476085403177766092800,-146122652030310853145874,892527382970825081,-146122.65203031086,0.8925273829708251,-584929.2099590902,3.567433644702293,0,0.0017837168223511467
-120060,0,722306049947921338500085,195857476085403177766092800,195955424411152149582446592,-146049612617575472265529,892973735923945323,-146049.61261757548,0.8929737359239454,-730978.8225766657,4.460407380626238,0,0.0022302036903131188
-120050,0,722306049947921338500085,195955424411152149582446592,196053421720859783450329088,-145976609713561340565273,893420312097987332,-145976.60971356134,0.8934203120979873,-876955.432290227,5.353827692724225,0,0.0026769138463621127
-120040,0,722306049947921338500085,196053421720859783450329088,196151468039023026637897728,-145903643300154112614117,893867111605407972,-145903.6433001541,0.893867111605408,-1022859.0755903812,6.247694804329633,0,0.0031238474021648165
-120030,0,722306049947921338500085,196151468039023026637897728,196249563390150921041215488,-145830713358881412772730,894314134556471355,-145830.71335888142,0.8943141345564712,-1168689.7889492626,7.1420089388861046,0,0.003571004469443052
-120020,0,722306049947921338500085,196249563390150921041215488,196347707798764946781634560,-145757819871782083343760,894761381064574094,-145757.8198717821,0.894761381064574,-1314447.6088210447,8.036770319950678,0,0.004018385159975339
-120010,0,722306049947921338500085,196347707798764946781634560,196445901289398678608412672,-145684962820384119782332,895208851239980300,-145684.96282038413,0.8952088512399803,-1460132.5716414289,8.931979171190658,0,0.004465989585595329
