tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
10800,0,2296797825742670509217,135952400033113269345024212992,134599718345940362851011002368,13451382820800510192,-39213787868187655158,13.45138282080051,-39.21378786818766,13.45138282080051,-39.21378786818766,0.13451382820800512,0
10600,0,2296797825742670509217,134599718345940362851011002368,133260495396872607077685526528,13586564672831508965,-38823623570087408681,13.586564672831509,-38.823623570087406,27.037947493632018,-78.03741143827506,0.27037947493632014,0
10400,0,2296797825742670509217,133260495396872607077685526528,131934597275890310225695080448,13723105056796378503,-38437341278489810914,13.723105056796378,-38.43734127848981,40.761052550428396,-116.47475271676487,0.40761052550428395,0
10200,4321471007466181788,2292476354735204327429,131934597275890310225695080448,130621891405334421671298203648,13834937843826708559,-37983301309425922258,13.834937843826708,-37.983301309425926,54.595990394255104,-154.45805402619078,0.545959903942551,0
10000,3480879017433936732,2288995475717770390697,130621891405334421671298203648,129322246526650045725711269888,13952756315774808643,-37548280219331172295,13.952756315774808,-37.548280219331176,68.54874671002992,-192.00633424552194,0.6854874671002992,0
9800,52999183948023934,2288942476533822366763,129322246526650045725711269888,128035532687261756052299841536,14092650494565485444,-37173826435637892115,14.092650494565486,-37.17382643563789,82.6413972045954,-229.18016068115983,0.8264139720459541,0
9600,0,2288942476533822366763,128035532687261756052299841536,126761621227579514472963768320,14234276870028864380,-36803959083172003985,14.234276870028864,-36.803959083172,96.87567407462427,-265.9841197643318,0.9687567407462427,0
9400,43702627283962305,2288898773906538404458,126761621227579514472963768320,125500384768133909934134788096,14377052037364578308,-36437076085306370984,14.377052037364578,-36.43707608530637,111.25272611198885,-302.4211958496382,1.1125272611198884,0
9200,0,2288898773906538404458,125500384768133909934134788096,124251697196839398218433298432,14521536552231667856,-36074539156625798575,14.521536552231668,-36.0745391566258,125.77426266422052,-338.495735006264,1.2577426266422052,0
9000,23411517377249902679,2265487256529288501779,124251697196839398218433298432,123015433656384205395844923392,14517449938970629861,-35350299789027307626,14.51744993897063,-35.35029978902731,140.29171260319114,-373.8460347952913,1.4029171260319115,0
8800,0,2265487256529288501779,123015433656384205395844923392,121791470531745751522323988480,14663345405307728292,-34998575927227328593,14.663345405307728,-34.99857592722733,154.95505800849887,-408.8446107225186,1.5495505800849887,0
