tick,liquidity_net,liquidity
-186180,-97938983106860208560583,13654403951297625957971694
-186120,-177698651015408768987582,13476705300282217188984112
-186060,-687612672196423275823,13476017687610020765708289
-186000,89099198758676350478628,13565116886368697116186917
-185940,0,13565116886368697116186917
-185880,0,13565116886368697116186917
-185820,0,13565116886368697116186917
-185760,-2596820892185821397011,13562520065476511294789906
-185700,-573137065408049318302075,12989383000068461976487831
-185640,-20408618407655857268766,12968974381660806119219065
-185580,0,12968974381660806119219065
-185520,-33773219913044436000225,12935201161747761683218840
-185460,-9806110032625575427610,12925395051715136107791230
-185400,0,12925395051715136107791230
-185340,472465843889434811663239,13397860895604570919454469
-185280,-473318856540232061830478,12924542039064338857623991
-185220,-472465843889434811663239,12452076195174904045960752
-185160,-24773025009306921524711,12427303170165597124436041
-185100,0,12427303170165597124436041
-185040,-3273905402721058866908,12424029264762876065569133
-184980,176455470468931530632722,12600484735231807596201855
-184920,0,12600484735231807596201855
-184860,0,12600484735231807596201855
-184800,0,12600484735231807596201855
-184740,0,12600484735231807596201855
-184680,0,12600484735231807596201855
-184620,-744704574969062202509151,11855780160262745393692704
-184560,0,11855780160262745393692704
-184500,0,11855780160262745393692704
-184440,0,11855780160262745393692704
-184380,0,11855780160262745393692704
-184320,-55380728542180254059,11855724779534203213438645
-184260,0,11855724779534203213438645
-184200,-129014917884166476876436,11726709861650036736562209
-184140,0,11726709861650036736562209
-184080,0,11726709861650036736562209
-184020,0,11726709861650036736562209
-183960,0,11726709861650036736562209
-183900,-62647908631478361690,11726647213741405258200519
-183840,0,11726647213741405258200519
-183780,0,11726647213741405258200519
-183720,0,11726647213741405258200519
-183660,-5699691141568235669794,11720947522599837022530725
-183600,0,11720947522599837022530725
-183540,0,11720947522599837022530725
-183480,0,11720947522599837022530725
-183420,0,11720947522599837022530725
-183360,0,11720947522599837022530725
-183300,-89385349215913592414747,11631562173383923430115978
-183240,0,11631562173383923430115978
-183180,0,11631562173383923430115978
-183120,-4113854455031387306534,11627448318928892042809444
-183060,0,11627448318928892042809444
-183000,0,11627448318928892042809444
-182940,-5638137682229401043889,11621810181246662641765555
-182880,-13879626154983401356184,11607930555091679240409371
-182820,0,11607930555091679240409371
-182760,0,11607930555091679240409371
-182700,0,11607930555091679240409371
-182640,0,11607930555091679240409371
-182580,-843022296238681613433798,10764908258852997626975573
-182520,0,10764908258852997626975573
-182460,0,10764908258852997626975573
-182400,0,10764908258852997626975573
-182340,0,10764908258852997626975573
-182280,0,10764908258852997626975573
-182220,0,10764908258852997626975573
-182160,0,10764908258852997626975573
-182100,-4346157175055632760260,10760562101677941994215313
-182040,0,10760562101677941994215313
-181980,0,10760562101677941994215313
-181920,0,10760562101677941994215313
-181860,-127339195611596461007470,10633222906066345533207843
-181800,0,10633222906066345533207843
-181740,0,10633222906066345533207843
-181680,0,10633222906066345533207843
-181620,0,10633222906066345533207843
-181560,0,10633222906066345533207843
-181500,0,10633222906066345533207843
-181440,0,10633222906066345533207843
-181380,-99539382612541860668172,10533683523453803672539671
-181320,-1265700133234938476539,10532417823320568734063132
-181260,-4844651097487420276141,10527573172223081313786991
-181200,-3713488692902753781692,10523859683530178560005299
-181140,0,10523859683530178560005299
-181080,-308457031442262502563144,10215402652087916057442155
-181020,-50086196596783434924,10215352565891319274007231
-180960,0,10215352565891319274007231
-180900,0,10215352565891319274007231
-180840,0,10215352565891319274007231
-180780,-129690037845258239879764,10085662528046061034127467
-180720,-837988078510498392591,10084824539967550535734876
-180660,-103780014243205597153656,9981044525724344938581220
-180600,-112004152295990949804565,9869040373428353988776655
-180540,-3375390430851234746338075,6493649942577119242438580
-180480,0,6493649942577119242438580
-180420,-294289921242536797779,6493355652655876705640801
-180360,0,6493355652655876705640801
-180300,-9150880172061333860753,6484204772483815371780048
-180240,-9378315062984456194189,6474826457420830915585859
-180180,0,6474826457420830915585859
-180120,-235460066167035620311,6474590997354663879965548
-180060,-435033240269451012542937,6039557757085212867422611
-180000,-5491258551654946884691,6034066498533557920537920
-179940,-128991763711831274132480,5905074734821726646405440
-179880,0,5905074734821726646405440
-179820,-53108361241304555148,5905021626460485341850292
-179760,-540350502977024512225,5904481275957508317338067
-179700,0,5904481275957508317338067
-179640,0,5904481275957508317338067
-179580,-2601140154273005969259,5901880135803235311368808
-179520,-383952242864396859431,5901496183560370914509377
-179460,0,5901496183560370914509377
-179400,-249765819639137206959753,5651730363921233707549624
-179340,-132012725589817495472388,5519717638331416212077236
-179280,0,5519717638331416212077236
-179220,-176455470468931530632722,5343262167862484681444514
-179160,0,5343262167862484681444514
-179100,0,5343262167862484681444514
-179040,0,5343262167862484681444514
-178980,0,5343262167862484681444514
-178920,-1599041063839960435406,5341663126798644721009108
-178860,0,5341663126798644721009108
-178800,0,5341663126798644721009108
-178740,0,5341663126798644721009108
-178680,0,5341663126798644721009108
-178620,0,5341663126798644721009108
-178560,0,5341663126798644721009108
-178500,0,5341663126798644721009108
-178440,0,5341663126798644721009108
-178380,0,5341663126798644721009108
-178320,-146157853572650206329899,5195505273225994514679209
-178260,0,5195505273225994514679209
-178200,0,5195505273225994514679209
-178140,0,5195505273225994514679209
-178080,0,5195505273225994514679209
-178020,0,5195505273225994514679209
-177960,0,5195505273225994514679209
-177900,-1052347928804691505353,5194452925297189823173856
-177840,0,5194452925297189823173856
-177780,0,5194452925297189823173856
-177720,0,5194452925297189823173856
-177660,0,5194452925297189823173856
-177600,0,5194452925297189823173856
-177540,0,5194452925297189823173856
-177480,0,5194452925297189823173856
-177420,0,5194452925297189823173856
-177360,0,5194452925297189823173856
-177300,-29547471644839925735952,5164905453652349897437904
-177240,0,5164905453652349897437904
-177180,0,5164905453652349897437904
-177120,0,5164905453652349897437904
-177060,0,5164905453652349897437904
-177000,0,5164905453652349897437904
-176940,0,5164905453652349897437904
-176880,-72652912285533867673044,5092252541366816029764860
-176820,0,5092252541366816029764860
-176760,238860880007195584,5092252780227696036960444
-176700,0,5092252780227696036960444
-176640,0,5092252780227696036960444
-176580,0,5092252780227696036960444
-176520,0,5092252780227696036960444
-176460,0,5092252780227696036960444
-176400,0,5092252780227696036960444
-176340,0,5092252780227696036960444
-176280,0,5092252780227696036960444
-176220,-298944024266444977071139,4793308755961251059889305
-176160,0,4793308755961251059889305
-176100,0,4793308755961251059889305
-176040,0,4793308755961251059889305
-175980,0,4793308755961251059889305
-175920,0,4793308755961251059889305
-175860,0,4793308755961251059889305
-175800,0,4793308755961251059889305
-175740,0,4793308755961251059889305
-175680,0,4793308755961251059889305
-175620,0,4793308755961251059889305
-175560,0,4793308755961251059889305
-175500,-158715783719810398556413,4634592972241440661332892
-175440,0,4634592972241440661332892
-175380,0,4634592972241440661332892
-175320,0,4634592972241440661332892
-175260,0,4634592972241440661332892
-175200,0,4634592972241440661332892
-175140,-3995349869973485997391241,639243102267954663941651
-175080,-222359176839252296680121,416883925428702367261530
-175020,0,416883925428702367261530
-174960,0,416883925428702367261530
-174900,0,416883925428702367261530
-174840,0,416883925428702367261530
-174780,0,416883925428702367261530
