tick,liquidity_net,liquidity
-97000,0,43688724486536983213308
-96800,0,43688724486536983213308
-96600,0,43688724486536983213308
-96400,0,43688724486536983213308
-96200,0,43688724486536983213308
-96000,0,43688724486536983213308
-95800,0,43688724486536983213308
-95600,0,43688724486536983213308
-95400,0,43688724486536983213308
-95200,0,43688724486536983213308
-95000,0,43688724486536983213308
-94800,0,43688724486536983213308
-94600,0,43688724486536983213308
-94400,0,43688724486536983213308
-94200,0,43688724486536983213308
-94000,0,43688724486536983213308
-93800,0,43688724486536983213308
-93600,0,43688724486536983213308
-93400,0,43688724486536983213308
-93200,0,43688724486536983213308
-93000,0,43688724486536983213308
-92800,0,43688724486536983213308
-92600,0,43688724486536983213308
-92400,0,43688724486536983213308
-92200,0,43688724486536983213308
-92000,0,43688724486536983213308
-91800,0,43688724486536983213308
-91600,0,43688724486536983213308
-91400,0,43688724486536983213308
-91200,0,43688724486536983213308
-91000,0,43688724486536983213308
-90800,0,43688724486536983213308
-90600,0,43688724486536983213308
-90400,0,43688724486536983213308
-90200,0,43688724486536983213308
-90000,0,43688724486536983213308
-89800,0,43688724486536983213308
-89600,0,43688724486536983213308
-89400,-27502372626722362,43688696984164356490946
-89200,0,43688696984164356490946
-89000,0,43688696984164356490946
-88800,0,43688696984164356490946
-88600,0,43688696984164356490946
-88400,0,43688696984164356490946
-88200,0,43688696984164356490946
-88000,0,43688696984164356490946
-87800,0,43688696984164356490946
-87600,0,43688696984164356490946
-87400,0,43688696984164356490946
-87200,0,43688696984164356490946
-87000,0,43688696984164356490946
-86800,0,43688696984164356490946
-86600,0,43688696984164356490946
-86400,0,43688696984164356490946
-86200,0,43688696984164356490946
-86000,0,43688696984164356490946
-85800,0,43688696984164356490946
-85600,0,43688696984164356490946
-85400,0,43688696984164356490946
-85200,0,43688696984164356490946
-85000,0,43688696984164356490946
-84800,0,43688696984164356490946
-84600,0,43688696984164356490946
-84400,0,43688696984164356490946
-84200,0,43688696984164356490946
-84000,0,43688696984164356490946
-83800,0,43688696984164356490946
-83600,0,43688696984164356490946
-83400,0,43688696984164356490946
-83200,0,43688696984164356490946
-83000,0,43688696984164356490946
-82800,0,43688696984164356490946
-82600,0,43688696984164356490946
-82400,0,43688696984164356490946
-82200,0,43688696984164356490946
-82000,0,43688696984164356490946
-81800,0,43688696984164356490946
-81600,0,43688696984164356490946
-81400,0,43688696984164356490946
-81200,0,43688696984164356490946
-81000,0,43688696984164356490946
-80800,0,43688696984164356490946
-80600,0,43688696984164356490946
-80400,0,43688696984164356490946
-80200,0,43688696984164356490946
-80000,0,43688696984164356490946
-79800,0,43688696984164356490946
-79600,0,43688696984164356490946
-79400,0,43688696984164356490946
-79200,0,43688696984164356490946
-79000,0,43688696984164356490946
-78800,0,43688696984164356490946
-78600,0,43688696984164356490946
-78400,0,43688696984164356490946
-78200,13543587123066806151892,57232284107231162642838
-78000,0,57232284107231162642838
-77800,0,57232284107231162642838
-77600,0,57232284107231162642838
-77400,0,57232284107231162642838
