tick,liquidity_net,liquidity
-97000,0,43688724486536983213308
-97200,0,43688724486536983213308
-97400,0,43688724486536983213308
-97600,0,43688724486536983213308
-97800,0,43688724486536983213308
-98000,0,43688724486536983213308
-98200,0,43688724486536983213308
-98400,0,43688724486536983213308
-98600,-208915400661247073088748,252604125147784056302056
-98800,139045205282562924804702,113558919865221131497354
-99000,69870195378684148284046,43688724486536983213308
-99200,0,43688724486536983213308
-99400,0,43688724486536983213308
-99600,0,43688724486536983213308
-99800,0,43688724486536983213308
-100000,0,43688724486536983213308
-100200,0,43688724486536983213308
-100400,0,43688724486536983213308
-100600,0,43688724486536983213308
-100800,0,43688724486536983213308
-101000,0,43688724486536983213308
-101200,0,43688724486536983213308
-101400,0,43688724486536983213308
-101600,0,43688724486536983213308
-101800,0,43688724486536983213308
-102000,0,43688724486536983213308
-102200,0,43688724486536983213308
-102400,0,43688724486536983213308
-102600,0,43688724486536983213308
-102800,0,43688724486536983213308
-103000,0,43688724486536983213308
-103200,0,43688724486536983213308
-103400,27502372626722362,43688696984164356490946
-103600,0,43688696984164356490946
-103800,0,43688696984164356490946
-104000,0,43688696984164356490946
-104200,0,43688696984164356490946
-104400,0,43688696984164356490946
-104600,0,43688696984164356490946
-104800,0,43688696984164356490946
-105000,0,43688696984164356490946
-105200,0,43688696984164356490946
-105400,0,43688696984164356490946
-105600,0,43688696984164356490946
-105800,0,43688696984164356490946
-106000,0,43688696984164356490946
-106200,0,43688696984164356490946
-106400,0,43688696984164356490946
-106600,0,43688696984164356490946
-106800,0,43688696984164356490946
-107000,0,43688696984164356490946
-107200,0,43688696984164356490946
-107400,0,43688696984164356490946
-107600,0,43688696984164356490946
-107800,0,43688696984164356490946
-108000,0,43688696984164356490946
-108200,0,43688696984164356490946
-108400,0,43688696984164356490946
-108600,0,43688696984164356490946
-108800,0,43688696984164356490946
-109000,0,43688696984164356490946
-109200,0,43688696984164356490946
-109400,0,43688696984164356490946
-109600,0,43688696984164356490946
-109800,0,43688696984164356490946
-110000,0,43688696984164356490946
-110200,0,43688696984164356490946
