tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-286020,1276557826155426381,5132358328228819659,48791561762996620361728,48645413716663214276608,25038190946370631307602,-9467392894,25038.190946370632,-9467.392894,25038.190946370632,-9467.392894,75.1145728391119,0
-286080,0,5132358328228819659,48645413716663214276608,48499703435604692828160,25113414537063503267660,-9439034692,25113.4145370635,-9439.034692,50151.605483434134,-18906.427585999998,150.4548164503024,0
-286140,0,5132358328228819659,48499703435604692828160,48354429608558665400320,25188864126057544089758,-9410761432,25188.864126057542,-9410.761432,75340.46960949167,-28317.189017999997,226.02140882847502,0
-286200,0,5132358328228819659,48354429608558665400320,48209590928190447026176,25264540392330047937458,-9382572862,25264.540392330047,-9382.572862,100605.01000182172,-37699.76188,301.81503000546513,0
-286260,0,5132358328228819659,48209590928190447026176,48065186091081280782336,25340444016900399115636,-9354468725,25340.444016900397,-9354.468725,125945.45401872211,-47054.230605,377.83636205616637,0
-286320,0,5132358328228819659,48065186091081280782336,47921213797716602126336,25416575682835093926319,-9326448771,25416.575682835093,-9326.448771,151362.0297015572,-56380.679376,454.08608910467166,0
-286380,0,5132358328228819659,47921213797716602126336,47777672752474361954304,25492936075249725240744,-9298512747,25492.936075249727,-9298.512747,176854.96577680693,-65679.192123,530.5648973304208,0
-286440,0,5132358328228819659,47777672752474361954304,47634561663613374824448,25569525881316803667990,-9270660400,25569.525881316804,-9270.6604,202424.49165812373,-74949.85252300001,607.2734749743712,0
-286500,0,5132358328228819659,47634561663613374824448,47491879243261650403328,25646345790281212096104,-9242891482,25646.34579028121,-9242.891482,228070.83744840496,-84192.74400500002,684.2125123452148,0
-286560,0,5132358328228819659,47491879243261650403328,47349624207404842352640,25723396493451708461538,-9215205741,25723.39649345171,-9215.205741,253794.23394185666,-93407.94974600001,761.3827018255699,0
-286620,0,5132358328228819659,47349624207404842352640,47207795275874697216000,25800678684213231180537,-9187602929,25800.67868421323,-9187.602929,279594.9126260699,-102595.55267500001,838.7847378782097,0
-286680,0,5132358328228819659,47207795275874697216000,47066391172337494917120,25878193058041005523418,-9160082797,25878.193058041004,-9160.082797,305473.1056841109,-111755.63547200001,916.4193170523326,0
-286740,0,5132358328228819659,47066391172337494917120,46925410624282615087104,25955940312490196448746,-9132645097,25955.9403124902,-9132.645097,331429.0459966011,-120888.28056900001,994.2871379898033,0
-286800,0,5132358328228819659,46925410624282615087104,46784852363011036282880,26033921147220699062653,-9105289584,26033.9211472207,-9105.289584,357462.9671438218,-129993.57015300001,1072.3889014314655,0
-286860,0,5132358328228819659,46784852363011036282880,46644715123623952646144,26112136263988224905850,-9078016009,26112.136263988225,-9078.016009,383575.10340781003,-139071.58616200002,1150.7253102234301,0
-286920,0,5132358328228819659,46644715123623952646144,46504997645011373785088,26190586366659975464765,-9050824129,26190.586366659976,-9050.824129,409765.68977447,-148122.41029100004,1229.2970693234101,0
-286980,0,5132358328228819659,46504997645011373785088,46365698669840783376384,26269272161216434000349,-9023713698,26269.272161216435,-9023.713698,436034.9619356864,-157146.12398900004,1308.1048858070592,0
-287040,0,5132358328228819659,46365698669840783376384,46226816944545831321600,26348194355757751933868,-8996684473,26348.19435575775,-8996.684473,462383.15629144415,-166142.80846200004,1387.1494688743323,0
-287100,0,5132358328228819659,46226816944545831321600,46088351219315017515008,26427353660518166517988,-8969736209,26427.353660518165,-8969.736209,488810.50995196233,-175112.54467100004,1466.431529855887,0
-287160,0,5132358328228819659,46088351219315017515008,45950300248080501440512,26506750787854909863336,-8942868666,26506.75078785491,-8942.868666,515317.2607398172,-184055.41333700003,1545.9517822194516,0
-287220,0,5132358328228819659,45950300248080501440512,45812662788506844659712,26586386452273756357945,-8916081600,26586.386452273757,-8916.0816,541903.647192091,-192971.49493700004,1625.710941576273,0
-287280,0,5132358328228819659,45812662788506844659712,45675437601979837186048,26666261370425953817586,-8889374770,26666.261370425953,-8889.37477,568569.9085625169,-201860.86970700003,1705.7097256875509,0
-287340,0,5132358328228819659,45675437601979837186048,45538623453595357413376,26746376261114616812483,-8862747938,26746.376261114616,-8862.747938,595316.2848236315,-210723.61764500005,1785.9488544708945,0
-287400,0,5132358328228819659,45538623453595357413376,45402219112148299153408,26826731845294499122296,-8836200862,26826.7318452945,-8836.200862,622143.016668926,-219559.81850700005,1866.429050006778,0
-287460,0,5132358328228819659,45402219112148299153408,45266223350121389621248,26907328846106443492669,-8809733304,26907.328846106444,-8809.733304,649050.3455150324,-228369.55181100004,1947.1510365450974,0
-287520,0,5132358328228819659,45266223350121389621248,45130634943674259079168,26988167988841001665371,-8783345025,26988.167988841,-8783.345025,676038.5135038734,-237152.89683600003,2028.11554051162,0
-287580,0,5132358328228819659,45130634943674259079168,44995452672632334319616,27069250000986157047587,-8757035789,27069.250000986158,-8757.035789,703107.7635048595,-245909.93262500002,2109.3232905145787,0
-287640,0,5132358328228819659,44995452672632334319616,44860675320475933474816,27150575612200527357226,-8730805359,27150.575612200526,-8730.805359,730258.3391170601,-254640.737984,2190.77501735118,0
-287700,0,5132358328228819659,44860675320475933474816,44726301674329251774464,27232145554348238455025,-8704653498,27232.145554348237,-8704.653498,757490.4846714083,-263345.391482,2272.471454014225,0
-287760,0,5132358328228819659,44726301674329251774464,44592330524949506686976,27313960561480108744745,-8678579971,27313.960561480108,-8678.579971,784804.4452328885,-272023.971453,2354.413335698665,0
-287820,0,5132358328228819659,44592330524949506686976,44458760666715999174656,27396021369863798979102,-8652584543,27396.0213698638,-8652.584543,812200.4666027522,-280676.55599599995,2436.6013998082567,0
