tick,liquidity_net,liquidity
50580,0,8316472009225052452910
50640,0,8316472009225052452910
50700,0,8316472009225052452910
50760,0,8316472009225052452910
50820,-23342061333152821844,8293129947891899631066
50880,0,8293129947891899631066
50940,-1548922980153400552,8291581024911746230514
51000,0,8291581024911746230514
51060,0,8291581024911746230514
51120,-1089559718063074520519,7202021306848671709995
51180,0,7202021306848671709995
51240,0,7202021306848671709995
51300,0,7202021306848671709995
51360,0,7202021306848671709995
51420,-11910441381182610780,7190110865467489099215
51480,0,7190110865467489099215
51540,0,7190110865467489099215
51600,-564677071084160517,7189546188396404938698
51660,0,7189546188396404938698
51720,0,7189546188396404938698
51780,0,7189546188396404938698
51840,0,7189546188396404938698
51900,0,7189546188396404938698
51960,-52086936120633325777,7137459252275771612921
52020,0,7137459252275771612921
52080,0,7137459252275771612921
52140,0,7137459252275771612921
52200,0,7137459252275771612921
52260,0,7137459252275771612921
52320,0,7137459252275771612921
52380,0,7137459252275771612921
52440,0,7137459252275771612921
52500,0,7137459252275771612921
52560,0,7137459252275771612921
52620,-31222920437941200174,7106236331837830412747
52680,-127696826262244032155,6978539505575586380592
52740,0,6978539505575586380592
52800,0,6978539505575586380592
52860,0,6978539505575586380592
52920,0,6978539505575586380592
52980,-6451891843469424821,6972087613732116955771
53040,0,6972087613732116955771
53100,0,6972087613732116955771
53160,0,6972087613732116955771
53220,0,6972087613732116955771
53280,0,6972087613732116955771
53340,0,6972087613732116955771
53400,0,6972087613732116955771
53460,0,6972087613732116955771
53520,0,6972087613732116955771
53580,0,6972087613732116955771
53640,0,6972087613732116955771
53700,0,6972087613732116955771
53760,0,6972087613732116955771
53820,0,6972087613732116955771
53880,0,6972087613732116955771
53940,0,6972087613732116955771
54000,0,6972087613732116955771
54060,0,6972087613732116955771
54120,0,6972087613732116955771
54180,0,6972087613732116955771
54240,0,6972087613732116955771
54300,0,6972087613732116955771
54360,0,6972087613732116955771
54420,0,6972087613732116955771
54480,0,6972087613732116955771
54540,0,6972087613732116955771
54600,0,6972087613732116955771
54660,0,6972087613732116955771
54720,0,6972087613732116955771
54780,0,6972087613732116955771
54840,0,6972087613732116955771
54900,0,6972087613732116955771
54960,0,6972087613732116955771
55020,0,6972087613732116955771
55080,0,6972087613732116955771
55140,0,6972087613732116955771
55200,-60890242192783183461,6911197371539333772310
55260,0,6911197371539333772310
55320,0,6911197371539333772310
55380,0,6911197371539333772310
55440,0,6911197371539333772310
55500,0,6911197371539333772310
55560,0,6911197371539333772310
55620,0,6911197371539333772310
55680,-643105504689295917,6910554266034644476393
55740,0,6910554266034644476393
55800,0,6910554266034644476393
55860,0,6910554266034644476393
55920,0,6910554266034644476393
55980,0,6910554266034644476393
56040,0,6910554266034644476393
56100,0,6910554266034644476393
56160,0,6910554266034644476393
56220,0,6910554266034644476393
56280,0,6910554266034644476393
56340,0,6910554266034644476393
56400,0,6910554266034644476393
56460,0,6910554266034644476393
56520,0,6910554266034644476393
56580,0,6910554266034644476393
56640,0,6910554266034644476393
56700,0,6910554266034644476393
56760,0,6910554266034644476393
56820,0,6910554266034644476393
56880,0,6910554266034644476393
56940,0,6910554266034644476393
57000,0,6910554266034644476393
57060,0,6910554266034644476393
57120,0,6910554266034644476393
57180,0,6910554266034644476393
57240,0,6910554266034644476393
57300,0,6910554266034644476393
57360,0,6910554266034644476393
57420,0,6910554266034644476393
57480,0,6910554266034644476393
57540,0,6910554266034644476393
57600,0,6910554266034644476393
57660,0,6910554266034644476393
57720,0,6910554266034644476393
57780,0,6910554266034644476393
57840,0,6910554266034644476393
57900,0,6910554266034644476393
57960,0,6910554266034644476393
58020,0,6910554266034644476393
58080,0,6910554266034644476393
58140,0,6910554266034644476393
58200,0,6910554266034644476393
58260,0,6910554266034644476393
58320,0,6910554266034644476393
58380,0,6910554266034644476393
58440,0,6910554266034644476393
58500,0,6910554266034644476393
58560,0,6910554266034644476393
58620,0,6910554266034644476393
58680,0,6910554266034644476393
58740,0,6910554266034644476393
58800,0,6910554266034644476393
58860,0,6910554266034644476393
58920,0,6910554266034644476393
58980,0,6910554266034644476393
59040,0,6910554266034644476393
59100,0,6910554266034644476393
59160,-6909243794172107969157,1310471862536507236
59220,0,1310471862536507236
59280,0,1310471862536507236
59340,0,1310471862536507236
59400,0,1310471862536507236
59460,0,1310471862536507236
59520,0,1310471862536507236
59580,0,1310471862536507236
59640,0,1310471862536507236
59700,0,1310471862536507236
59760,0,1310471862536507236
59820,0,1310471862536507236
59880,0,1310471862536507236
59940,-1309158133420348792,1313729116158444
60000,0,1313729116158444
60060,0,1313729116158444
60120,0,1313729116158444
60180,0,1313729116158444
60240,0,1313729116158444
60300,0,1313729116158444
60360,0,1313729116158444
60420,0,1313729116158444
60480,0,1313729116158444
60540,0,1313729116158444
60600,0,1313729116158444
60660,0,1313729116158444
60720,0,1313729116158444
60780,0,1313729116158444
60840,0,1313729116158444
60900,0,1313729116158444
60960,0,1313729116158444
61020,0,1313729116158444
61080,0,1313729116158444
61140,0,1313729116158444
61200,0,1313729116158444
61260,0,1313729116158444
61320,0,1313729116158444
61380,0,1313729116158444
61440,0,1313729116158444
61500,0,1313729116158444
61560,0,1313729116158444
61620,0,1313729116158444
61680,0,1313729116158444
61740,0,1313729116158444
61800,0,1313729116158444
61860,0,1313729116158444
61920,0,1313729116158444
61980,0,1313729116158444
62040,0,1313729116158444
62100,0,1313729116158444
62160,0,1313729116158444
62220,0,1313729116158444
62280,0,1313729116158444
62340,0,1313729116158444
62400,0,1313729116158444
62460,0,1313729116158444
62520,0,1313729116158444
62580,0,1313729116158444
62640,0,1313729116158444
62700,0,1313729116158444
62760,0,1313729116158444
62820,0,1313729116158444
62880,0,1313729116158444
62940,0,1313729116158444
63000,0,1313729116158444
63060,0,1313729116158444
63120,0,1313729116158444
63180,0,1313729116158444
63240,0,1313729116158444
63300,0,1313729116158444
63360,0,1313729116158444
63420,0,1313729116158444
63480,0,1313729116158444
63540,0,1313729116158444
63600,0,1313729116158444
63660,0,1313729116158444
63720,0,1313729116158444
63780,0,1313729116158444
63840,0,1313729116158444
63900,0,1313729116158444
63960,0,1313729116158444
64020,0,1313729116158444
64080,0,1313729116158444
64140,0,1313729116158444
64200,0,1313729116158444
64260,0,1313729116158444
64320,0,1313729116158444
64380,0,1313729116158444
64440,0,1313729116158444
64500,0,1313729116158444
64560,0,1313729116158444
64620,0,1313729116158444
64680,0,1313729116158444
64740,0,1313729116158444
64800,0,1313729116158444
64860,0,1313729116158444
64920,0,1313729116158444
64980,0,1313729116158444
65040,0,1313729116158444
65100,0,1313729116158444
65160,0,1313729116158444
65220,0,1313729116158444
65280,0,1313729116158444
65340,0,1313729116158444
65400,0,1313729116158444
65460,0,1313729116158444
65520,0,1313729116158444
65580,0,1313729116158444
65640,0,1313729116158444
65700,0,1313729116158444
65760,0,1313729116158444
65820,0,1313729116158444
65880,0,1313729116158444
65940,0,1313729116158444
66000,0,1313729116158444
66060,0,1313729116158444
66120,0,1313729116158444
66180,0,1313729116158444
66240,0,1313729116158444
66300,0,1313729116158444
66360,0,1313729116158444
66420,0,1313729116158444
66480,0,1313729116158444
66540,0,1313729116158444
66600,0,1313729116158444
66660,0,1313729116158444
66720,0,1313729116158444
66780,0,1313729116158444
66840,0,1313729116158444
66900,0,1313729116158444
66960,0,1313729116158444
67020,0,1313729116158444
67080,0,1313729116158444
67140,0,1313729116158444
67200,0,1313729116158444
67260,0,1313729116158444
67320,0,1313729116158444
67380,0,1313729116158444
67440,0,1313729116158444
67500,0,1313729116158444
67560,0,1313729116158444
67620,0,1313729116158444
67680,0,1313729116158444
67740,0,1313729116158444
67800,0,1313729116158444
67860,0,1313729116158444
67920,0,1313729116158444
67980,0,1313729116158444
68040,0,1313729116158444
68100,0,1313729116158444
68160,0,1313729116158444
68220,0,1313729116158444
68280,0,1313729116158444
68340,0,1313729116158444
68400,0,1313729116158444
68460,0,1313729116158444
68520,0,1313729116158444
68580,0,1313729116158444
68640,0,1313729116158444
68700,0,1313729116158444
68760,0,1313729116158444
68820,0,1313729116158444
68880,0,1313729116158444
68940,0,1313729116158444
69000,0,1313729116158444
69060,0,1313729116158444
69120,0,1313729116158444
69180,0,1313729116158444
69240,0,1313729116158444
69300,0,1313729116158444
69360,0,1313729116158444
69420,0,1313729116158444
69480,0,1313729116158444
69540,0,1313729116158444
69600,0,1313729116158444
69660,0,1313729116158444
69720,0,1313729116158444
69780,0,1313729116158444
69840,0,1313729116158444
69900,0,1313729116158444
69960,0,1313729116158444
70020,0,1313729116158444
70080,0,1313729116158444
70140,0,1313729116158444
70200,0,1313729116158444
70260,0,1313729116158444
70320,0,1313729116158444
70380,0,1313729116158444
70440,0,1313729116158444
70500,0,1313729116158444
70560,0,1313729116158444
70620,0,1313729116158444
70680,0,1313729116158444
70740,0,1313729116158444
70800,0,1313729116158444
70860,0,1313729116158444
70920,0,1313729116158444
70980,0,1313729116158444
71040,0,1313729116158444
71100,0,1313729116158444
71160,0,1313729116158444
71220,0,1313729116158444
71280,0,1313729116158444
71340,0,1313729116158444
71400,0,1313729116158444
71460,0,1313729116158444
71520,0,1313729116158444
71580,0,1313729116158444
71640,0,1313729116158444
71700,0,1313729116158444
71760,0,1313729116158444
71820,0,1313729116158444
71880,0,1313729116158444
71940,0,1313729116158444
72000,0,1313729116158444
72060,0,1313729116158444
72120,0,1313729116158444
72180,0,1313729116158444
72240,0,1313729116158444
72300,0,1313729116158444
72360,0,1313729116158444
