tick,liquidity_net,liquidity
50640,0,8316472009225052452910
50580,0,8316472009225052452910
50520,0,8316472009225052452910
50460,0,8316472009225052452910
50400,0,8316472009225052452910
50340,0,8316472009225052452910
50280,0,8316472009225052452910
50220,0,8316472009225052452910
50160,1089559718063074520519,7226912291161977932391
50100,0,7226912291161977932391
50040,-8959173561368195124,7235871464723346127515
49980,0,7235871464723346127515
49920,0,7235871464723346127515
49860,0,7235871464723346127515
49800,0,7235871464723346127515
49740,-9842426510588041480,7245713891233934168995
49680,-2997172808386876035,7248711064042321045030
49620,0,7248711064042321045030
49560,0,7248711064042321045030
49500,0,7248711064042321045030
49440,30820636412809033371,7217890427629512011659
49380,0,7217890427629512011659
49320,0,7217890427629512011659
49260,0,7217890427629512011659
49200,0,7217890427629512011659
49140,0,7217890427629512011659
49080,0,7217890427629512011659
49020,14907614189569486815,7202982813439942524844
48960,0,7202982813439942524844
48900,1548922980153400552,7201433890459789124292
48840,0,7201433890459789124292
48780,0,7201433890459789124292
48720,0,7201433890459789124292
48660,0,7201433890459789124292
48600,564677071084160517,7200869213388704963775
48540,0,7200869213388704963775
48480,0,7200869213388704963775
48420,0,7200869213388704963775
48360,0,7200869213388704963775
48300,0,7200869213388704963775
48240,0,7200869213388704963775
48180,0,7200869213388704963775
48120,0,7200869213388704963775
48060,31222920437941200174,7169646292950763763601
48000,0,7169646292950763763601
47940,0,7169646292950763763601
47880,136655999823612227279,7032990293127151536322
47820,0,7032990293127151536322
47760,0,7032990293127151536322
47700,0,7032990293127151536322
47640,0,7032990293127151536322
47580,0,7032990293127151536322
47520,0,7032990293127151536322
47460,0,7032990293127151536322
47400,0,7032990293127151536322
47340,0,7032990293127151536322
47280,0,7032990293127151536322
47220,0,7032990293127151536322
47160,0,7032990293127151536322
47100,0,7032990293127151536322
47040,0,7032990293127151536322
46980,0,7032990293127151536322
46920,0,7032990293127151536322
46860,0,7032990293127151536322
46800,23342061333152821844,7009648231793998714478
46740,0,7009648231793998714478
46680,0,7009648231793998714478
46620,0,7009648231793998714478
46560,0,7009648231793998714478
46500,0,7009648231793998714478
46440,0,7009648231793998714478
46380,0,7009648231793998714478
46320,0,7009648231793998714478
46260,0,7009648231793998714478
46200,0,7009648231793998714478
46140,0,7009648231793998714478
46080,1309158133420348792,7008339073660578365686
46020,0,7008339073660578365686
45960,0,7008339073660578365686
45900,0,7008339073660578365686
45840,0,7008339073660578365686
45780,0,7008339073660578365686
45720,0,7008339073660578365686
45660,0,7008339073660578365686
45600,0,7008339073660578365686
45540,0,7008339073660578365686
45480,0,7008339073660578365686
45420,0,7008339073660578365686
45360,0,7008339073660578365686
45300,0,7008339073660578365686
45240,0,7008339073660578365686
45180,0,7008339073660578365686
45120,0,7008339073660578365686
45060,0,7008339073660578365686
45000,21266299707824292406,6987072773952754073280
44940,0,6987072773952754073280
44880,0,6987072773952754073280
44820,0,6987072773952754073280
44760,0,6987072773952754073280
44700,0,6987072773952754073280
44640,0,6987072773952754073280
44580,0,6987072773952754073280
44520,0,6987072773952754073280
44460,0,6987072773952754073280
44400,0,6987072773952754073280
44340,0,6987072773952754073280
44280,0,6987072773952754073280
44220,0,6987072773952754073280
44160,0,6987072773952754073280
44100,0,6987072773952754073280
44040,0,6987072773952754073280
43980,0,6987072773952754073280
43920,0,6987072773952754073280
43860,0,6987072773952754073280
43800,0,6987072773952754073280
43740,0,6987072773952754073280
43680,0,6987072773952754073280
