tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
50640,0,8316472009225052452910,996456246341380328015701999616,993471506185553671857182343168,1986605314224883206,-313304097596272434997,1.9866053142248832,-313.3040975962724,1.9866053142248832,-313.3040975962724,0.0059598159426746495,0
50580,0,8316472009225052452910,993471506185553671857182343168,990495706385945005083322220544,1992573779971652395,-312365640614816839562,1.9925737799716523,-312.3656406148168,3.9791790941965353,-625.6697382110892,0.011937537282589606,0
50520,0,8316472009225052452910,990495706385945005083322220544,987528820163013784443241365504,1998560177102896049,-311429994645156548053,1.998560177102896,-311.42999464515657,5.9777392712994315,-937.0997328562457,0.017933217813898297,0
50460,0,8316472009225052452910,987528820163013784443241365504,984570820817434064811573903360,2004564559490594287,-310497151267274752406,2.004564559490594,-310.4971512672748,7.982303830790025,-1247.5968841235206,0.023946911492370077,0
50400,0,8316472009225052452910,984570820817434064811573903360,981621681729853838083380740096,2010586981168838359,-309567102086416512065,2.0105869811688386,-309.5671020864165,9.992890811958864,-1557.163986209937,0.02997867243587659,0
50340,0,8316472009225052452910,981621681729853838083380740096,978681376360655075756503728128,2016627496334337429,-308639838733014888867,2.0166274963343374,-308.63983873301487,12.0095183082932,-1865.803824942952,0.0360285549248796,0
50280,0,8316472009225052452910,978681376360655075756503728128,975749878249716023313733517312,2022686159345854617,-307715352862454578698,2.022686159345855,-307.71535286245455,14.032204467639055,-2173.5191778054063,0.04209661340291716,0
50220,0,8316472009225052452910,975749878249716023313733517312,972827161016171665017628786688,2028763024726440046,-306793636155263960771,2.02876302472644,-306.793636155264,16.060967492365496,-2480.31281396067,0.04818290247709649,0
50160,1089559718063074520519,7226912291161977932391,972827161016171665017628786688,969913198358177566405056004096,1768266800896395476,-265801349933530240927,1.7682668008963955,-265.8013499335302,17.82923429326189,-2746.1141638942004,0.053487702879785666,0
50100,0,7226912291161977932391,969913198358177566405056004096,967007964052672450144333987840,1773579300443666386,-265005180542717170232,1.7735793004436664,-265.0051805427172,19.60281359370556,-3011.1193444369173,0.058808440781116675,0
