tick,liquidity_net,liquidity
75000,-2226830943343516868342,93241831364100176366440
75060,693218637257861213039,93935050001358037579479
75120,-9551341886382965532493,84383708114975072046986
75180,-1184125906359789587172,83199582208615282459814
75240,-16478052211632744639677,66721529996982537820137
75300,-3335451623075553518601,63386078373906984301536
75360,-261405983597053027780,63124672390309931273756
75420,-346219555968059603416,62778452834341871670340
75480,-1538760612040989000251,61239692222300882670089
75540,-6481011788709364787553,54758680433591517882536
75600,-2447420339712945589499,52311260093878572293037
75660,-5541611565998198683491,46769648527880373609546
75720,-947550296431837465543,45822098231448536144003
75780,-2515212018767879136985,43306886212680657007018
75840,-1316519317519673470381,41990366895160983536637
75900,-6798241160359199941498,35192125734801783595139
75960,-1255135249706743070295,33936990485095040524844
76020,-5862317067369899768688,28074673417725140756156
76080,-345223159321109118940,27729450258404031637216
76140,-104052221672558061354,27625398036731473575862
76200,-331927073540781162545,27293470963190692413317
76260,-46590801303700017692,27246880161886992395625
76320,-116175177250775590587,27130704984636216805038
76380,-490421594205484218925,26640283390430732586113
76440,-1487455251019147753953,25152828139411584832160
76500,-1079009040339169934706,24073819099072414897454
76560,-1324629054337923878698,22749190044734491018756
76620,-296945403681863588768,22452244641052627429988
76680,-398834075073682879237,22053410565978944550751
76740,-262805749712960867498,21790604816265983683253
76800,-21800872388625474608,21768803943877358208645
76860,-5562226281827086258755,16206577662050271949890
76920,-196947724758905055926,16009629937291366893964
76980,-222912712016225777104,15786717225275141116860
77040,-1089551663958843518646,14697165561316297598214
77100,-63128738386596747964,14634036822929700850250
77160,-41569038064088837242,14592467784865612013008
77220,-82786967827559939330,14509680817038052073678
77280,-1069347904626928300463,13440332912411123773215
77340,-3043441859478405017257,10396891052932718755958
77400,-506573841971509224727,9890317210961209531231
77460,-286100621184386692911,9604216589776822838320
77520,-321403312031081339323,9282813277745741498997
77580,0,9282813277745741498997
77640,-928312533282783657495,8354500744462957841502
77700,-91954543329618143082,8262546201133339698420
77760,-316847247652695485355,7945698953480644213065
77820,-97491195766341290975,7848207757714302922090
77880,0,7848207757714302922090
77940,-65836558172825168385,7782371199541477753705
78000,-23964436475268555448,7758406763066209198257
78060,-189266425030622899610,7569140338035586298647
78120,-765003212572076914402,6804137125463509384245
78180,-23270416179990590338,6780866709283518793907
78240,-224679930266721874983,6556186779016796918924
78300,-132900046265709967725,6423286732751086951199
78360,-123730672138788866353,6299556060612298084846
78420,-62593778330428189948,6236962282281869894898
78480,-207546838242609965238,6029415444039259929660
78540,-488347356676590527701,5541068087362669401959
78600,-105560585076512598106,5435507502286156803853
78660,-248212394868794713605,5187295107417362090248
78720,-10543998862898397067,5176751108554463693181
78780,-236621922887926512913,4940129185666537180268
78840,0,4940129185666537180268
78900,0,4940129185666537180268
78960,-356992542469219212970,4583136643197317967298
79020,-542038944260195163154,4041097698937122804144
79080,-121364348592472402697,3919733350344650401447
79140,-27022582225319351426,3892710768119331050021
79200,-100071299506123263627,3792639468613207786394
79260,-31998927587396095002,3760640541025811691392
79320,-18231195545556802115,3742409345480254889277
79380,-221737584951240949636,3520671760529013939641
79440,-79547092076832789834,3441124668452181149807
79500,-3510502681538711111,3437614165770642438696
79560,-79347147241242291557,3358267018529400147139
79620,-39635302956088943443,3318631715573311203696
79680,0,3318631715573311203696
79740,0,3318631715573311203696
79800,-62954522557477461105,3255677193015833742591
79860,-82049968129051275537,3173627224886782467054
79920,-963306634732796138,3172663918252049670916
79980,-12333574272239651327,3160330343979810019589
80040,-56221334052389615071,3104109009927420404518
80100,0,3104109009927420404518
80160,-60865336178305567884,3043243673749114836634
80220,0,3043243673749114836634
80280,-66485473535799658270,2976758200213315178364
80340,-135122420951692490936,2841635779261622687428
80400,0,2841635779261622687428
80460,-10790075379540891223,2830845703882081796205
80520,0,2830845703882081796205
80580,0,2830845703882081796205
80640,0,2830845703882081796205
80700,0,2830845703882081796205
80760,-129697278444608182,2830716006603637188023
80820,0,2830716006603637188023
80880,0,2830716006603637188023
80940,0,2830716006603637188023
81000,0,2830716006603637188023
81060,-11842497505472855896,2818873509098164332127
81120,0,2818873509098164332127
81180,-254511099352757287747,2564362409745407044380
81240,0,2564362409745407044380
81300,0,2564362409745407044380
81360,0,2564362409745407044380
81420,0,2564362409745407044380
81480,0,2564362409745407044380
81540,0,2564362409745407044380
81600,-1304227854408240073497,1260134555337166970883
81660,0,1260134555337166970883
81720,0,1260134555337166970883
81780,0,1260134555337166970883
81840,0,1260134555337166970883
81900,-2404372287745934892701,-1144237732408767921818
81960,0,-1144237732408767921818
82020,0,-1144237732408767921818
82080,0,-1144237732408767921818
82140,-52823949767318810219,-1197061682176086732037
82200,0,-1197061682176086732037
82260,-550350676087672239,-1197612032852174404276
82320,0,-1197612032852174404276
82380,0,-1197612032852174404276
82440,0,-1197612032852174404276
82500,0,-1197612032852174404276
82560,0,-1197612032852174404276
82620,0,-1197612032852174404276
82680,-2428708435573678781,-1200040741287748083057
82740,0,-1200040741287748083057
82800,-45266767897319932050,-1245307509185068015107
82860,0,-1245307509185068015107
82920,-8268622698421310550,-1253576131883489325657
82980,0,-1253576131883489325657
83040,0,-1253576131883489325657
83100,0,-1253576131883489325657
83160,0,-1253576131883489325657
83220,0,-1253576131883489325657
83280,0,-1253576131883489325657
83340,0,-1253576131883489325657
83400,0,-1253576131883489325657
83460,0,-1253576131883489325657
83520,0,-1253576131883489325657
83580,0,-1253576131883489325657
83640,0,-1253576131883489325657
83700,0,-1253576131883489325657
83760,0,-1253576131883489325657
83820,0,-1253576131883489325657
83880,0,-1253576131883489325657
83940,0,-1253576131883489325657
84000,-717210161259279376208,-1970786293142768701865
84060,0,-1970786293142768701865
84120,0,-1970786293142768701865
84180,16156782060189094063,-1954629511082579607802
84240,-84323427804909157,-1954713834510384516959
84300,0,-1954713834510384516959
84360,0,-1954713834510384516959
84420,0,-1954713834510384516959
84480,-80900541281548883171,-2035614375791933400130
84540,37755828480001252261,-1997858547311932147869
84600,0,-1997858547311932147869
84660,-16156782060189094063,-2014015329372121241932
84720,0,-2014015329372121241932
84780,0,-2014015329372121241932
84840,0,-2014015329372121241932
84900,-37755828480001252261,-2051771157852122494193
84960,0,-2051771157852122494193
85020,0,-2051771157852122494193
85080,0,-2051771157852122494193
85140,0,-2051771157852122494193
85200,-366243284760639714,-2052137401136883133907
85260,0,-2052137401136883133907
85320,0,-2052137401136883133907
85380,0,-2052137401136883133907
85440,0,-2052137401136883133907
85500,0,-2052137401136883133907
85560,0,-2052137401136883133907
85620,0,-2052137401136883133907
85680,0,-2052137401136883133907
85740,-14872137221664392898,-2067009538358547526805
85800,0,-2067009538358547526805
85860,0,-2067009538358547526805
85920,0,-2067009538358547526805
85980,0,-2067009538358547526805
86040,0,-2067009538358547526805
86100,0,-2067009538358547526805
86160,0,-2067009538358547526805
86220,0,-2067009538358547526805
86280,0,-2067009538358547526805
86340,0,-2067009538358547526805
86400,0,-2067009538358547526805
86460,0,-2067009538358547526805
86520,0,-2067009538358547526805
86580,0,-2067009538358547526805
