tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
75000,-2226830943343516868342,93241831364100176366440,3368235633697339075275899535360,3378355006107709104813923893248,-6569558846458757612,11909260367213142304234,-6.569558846458757,11909.260367213143,-6.569558846458757,11909.260367213143,0,35.72778110163943
75060,693218637257861213039,93935050001358037579479,3378355006107709104813923893248,3388504780695691845147092320256,-6598576633720217456,12033846970173226369036,-6.598576633720217,12033.846970173227,-13.168135480178975,23943.10733738637,0,71.82932201215911
75120,-9551341886382965532493,84383708114975072046986,3388504780695691845147092320256,3398685048800194773210313523200,-5909876174550863804,10842719873856741394094,-5.909876174550864,10842.719873856742,-19.07801165472984,34785.827211243115,0,104.35748163372934
75180,-1184125906359789587172,83199582208615282459814,3398685048800194773210313523200,3408895902034536446633621585920,-5809491261488644288,10722686177882306560961,-5.8094912614886445,10722.686177882306,-24.887502916218484,45508.51338912542,0,136.52554016737628
75240,-16478052211632744639677,66721529996982537820137,3408895902034536446633621585920,3419137432287276854923472404480,-4644940290307995682,8624844326664721178591,-4.6449402903079955,8624.844326664721,-29.53244320652648,54133.357715790145,0,162.40007314737042
75300,-3335451623075553518601,63386078373906984301536,3419137432287276854923472404480,3429409731723041015244599066624,-4399519064746040303,8218299610297777125680,-4.39951906474604,8218.299610297778,-33.93196227127252,62351.65732608792,0,187.05497197826378
75360,-261405983597053027780,63124672390309931273756,3429409731723041015244599066624,3439712892783348760651354865664,-4368251549150411515,8208995966546981869499,-4.368251549150411,8208.995966546981,-38.300213820422925,70560.6532926349,0,211.68195987790472
75420,-346219555968059603416,62778452834341871670340,3439712892783348760651354865664,3450047008187447343068823420928,-4331280323403140215,8188499592730616784160,-4.33128032340314,8188.499592730617,-42.63149414382607,78749.15288536552,0,236.24745865609654
75480,-1538760612040989000251,61239692222300882670089,3450047008187447343068823420928,3460412170933144599223882219520,-4212460729007902631,8011789699985484915915,-4.212460729007903,8011.789699985485,-46.84395487283397,86760.942585351,0,260.282827756053
75540,-6481011788709364787553,54758680433591517882536,3460412170933144599223882219520,3470808474297648309025753792512,-3755372498574816922,7185422904703055078059,-3.755372498574817,7185.422904703055,-50.59932737140878,93946.36549005406,0,281.83909647016213
75600,-2447420339712945589499,52311260093878572293037,3470808474297648309025753792512,3481236011838402176246836363264,-3576781501668257948,6884895611896211852207,-3.5767815016682576,6884.895611896211,-54.17610887307704,100831.26110195027,0,302.4937833058508
75660,-5541611565998198683491,46769648527880373609546,3481236011838402176246836363264,3491694877393931379352742658048,-3188295139497596864,6174035223199662332574,-3.188295139497597,6174.035223199662,-57.36440401257464,107005.29632514993,0,321.0158889754498
75720,-947550296431837465543,45822098231448536144003,3491694877393931379352742658048,3502185165084683618732711346176,-3114343877988730275,6067122823342786072676,-3.1143438779887305,6067.122823342786,-60.47874789056337,113072.41914849271,0,339.21725744547814
75780,-2515212018767879136985,43306886212680657007018,3502185165084683618732711346176,3512706969313879171129273221120,-2934578511726775732,5751320793585678757865,-2.9345785117267758,5751.320793585679,-63.413326402290146,118823.73994207839,0,356.4712198262352
75840,-1316519317519673470381,41990366895160983536637,3512706969313879171129273221120,3523260384768358129318150275072,-2836845117023557553,5593235698869701153334,-2.836845117023558,5593.235698869701,-66.25017151931371,124416.97564094809,0,373.2509269228443
75900,-6798241160359199941498,35192125734801783595139,3523260384768358129318150275072,3533845506419433271287688986624,-2370438205576609518,4701774220697613106875,-2.370438205576609,4701.774220697613,-68.62060972489031,129118.7498616457,0,387.3562495849371
75960,-1255135249706743070295,33936990485095040524844,3533845506419433271287688986624,3544462429523745744168060715008,-2279048912508195452,4547706357662505094574,-2.279048912508195,4547.706357662505,-70.89965863739852,133666.4562193082,0,400.9993686579246
