tick,liquidity_net,liquidity
75060,-1828039823517213428836,97140899954537100616765
75000,2642796092328233492386,94498103862208867124379
74940,-1848502654443280052,94499952364863310404431
74880,5122947884043172784311,89377004480820137620120
74820,740930150266086300668,88636074330554051319452
74760,-397696135756886226926,89033770466310937546378
74700,-4190426612911737787843,93224197079222675334221
74640,1502337487470508110432,91721859591752167223789
74580,0,91721859591752167223789
74520,-1885925729955467229154,93607785321707634452943
74460,3781771409946439406338,89826013911761195046605
74400,-1534393106177991134056,91360407017939186180661
74340,69260400421843806818,91291146617517342373843
74280,56050918607947804273,91235095698909394569570
74220,922027437130010259528,90313068261779384310042
74160,-2774389348708988205946,93087457610488372515988
74100,640727705492546198631,92446729904995826317357
74040,229532208264845164731,92217197696730981152626
73980,230393114632798228466,91986804582098182924160
73920,524764483415236186922,91462040098682946737238
73860,628765903079996566584,90833274195602950170654
73800,-1524875201398661571738,92358149397001611742392
73740,3004141573704876033571,89354007823296735708821
73680,3898897295056336376048,85455110528240399332773
73620,2126832711355961538889,83328277816884437793884
73560,4431581689240096588009,78896696127644341205875
73500,490067478580731018890,78406628649063610186985
73440,3757921008250755458917,74648707640812854728068
73380,783953316306944453043,73864754324505910275025
73320,8519248378256542445374,65345505946249367829651
73260,1919428010261861646380,63426077935987506183271
73200,1038457302780172625344,62387620633207333557927
73140,1426923763856658293148,60960696869350675264779
73080,1791126626735495808181,59169570242615179456598
73020,72547303466680018322,59097022939148499438276
72960,3343841277312796516494,55753181661835702921782
72900,2883778281715841746007,52869403380119861175775
72840,22135017889401799330244,30734385490718061845531
72780,1092636913537313888197,29641748577180747957334
72720,898946792226350079326,28742801784954397878008
72660,1258158719693682570589,27484643065260715307419
72600,2162647943245978673399,25321995122014736634020
72540,22303775141663131889,25299691346873073502131
72480,2287898948819452407860,23011792398053621094271
72420,644713455438499938054,22367078942615121156217
72360,2135988191661069665656,20231090750954051490561
72300,126989461659770268449,20104101289294281222112
72240,808538532700846597350,19295562756593434624762
72180,495981647909488853618,18799581108683945771144
72120,151178789070640274659,18648402319613305496485
72060,1143280417510132559199,17505121902103172937286
72000,0,17505121902103172937286
71940,1001311370645672830375,16503810531457500106911
71880,201360754175648824187,16302449777281851282724
71820,260063434259999596897,16042386343021851685827
71760,0,16042386343021851685827
71700,37274536992283705514,16005111806029567980313
71640,0,16005111806029567980313
71580,467563839594022558782,15537547966435545421531
71520,353690252074342702607,15183857714361202718924
71460,0,15183857714361202718924
71400,6298048212158575723,15177559666149044143201
71340,4060506963956131064692,11117052702192913078509
71280,162853522197225112375,10954199179995687966134
71220,15316387216739569765,10938882792778948396369
71160,100717565053728289951,10838165227725220106418
71100,7833221074704664339,10830332006650515442079
71040,358665913063844720766,10471666093586670721313
70980,113665611044069101784,10358000482542601619529
70920,4295727966228735930438,6062272516313865689091
70860,0,6062272516313865689091
70800,0,6062272516313865689091
70740,18350733391330223360,6043921782922535465731
70680,0,6043921782922535465731
70620,0,6043921782922535465731
70560,0,6043921782922535465731
70500,30251391858720236818,6013670391063815228913
70440,0,6013670391063815228913
70380,84323427804909157,6013586067636010319756
70320,6045139536414190,6013580022496473905566
70260,0,6013580022496473905566
70200,0,6013580022496473905566
70140,39561667599203426527,5974018354897270479039
70080,0,5974018354897270479039
70020,230932261696156761467,5743086093201113717572
69960,23389113286800393157,5719696979914313324415
69900,11712592378599871241,5707984387535713453174
69840,0,5707984387535713453174
69780,0,5707984387535713453174
69720,0,5707984387535713453174
69660,0,5707984387535713453174
69600,0,5707984387535713453174
69540,0,5707984387535713453174
69480,0,5707984387535713453174
69420,0,5707984387535713453174
69360,0,5707984387535713453174
69300,4004150556119342674,5703980236979594110500
69240,0,5703980236979594110500
69180,0,5703980236979594110500
69120,0,5703980236979594110500
69060,595720013352576881132,5108260223627017229368
69000,0,5108260223627017229368
68940,0,5108260223627017229368
68880,31998927587396095002,5076261296039621134366
68820,0,5076261296039621134366
68760,0,5076261296039621134366
68700,0,5076261296039621134366
68640,0,5076261296039621134366
68580,0,5076261296039621134366
68520,0,5076261296039621134366
68460,0,5076261296039621134366
68400,0,5076261296039621134366
68340,0,5076261296039621134366
68280,0,5076261296039621134366
68220,0,5076261296039621134366
68160,11759325312338955553,5064501970727282178813
68100,123730672138788866353,4940771298588493312460
68040,0,4940771298588493312460
67980,0,4940771298588493312460
67920,0,4940771298588493312460
67860,0,4940771298588493312460
67800,15893561386662121410,4924877737201831191050
67740,0,4924877737201831191050
67680,0,4924877737201831191050
67620,0,4924877737201831191050
67560,0,4924877737201831191050
67500,0,4924877737201831191050
67440,0,4924877737201831191050
67380,0,4924877737201831191050
67320,0,4924877737201831191050
67260,0,4924877737201831191050
67200,0,4924877737201831191050
67140,91873745097212264399,4833003992104618926651
67080,0,4833003992104618926651
67020,0,4833003992104618926651
66960,0,4833003992104618926651
66900,0,4833003992104618926651
66840,2997843483722424849400,1835160508382194077251
66780,0,1835160508382194077251
66720,0,1835160508382194077251
66660,0,1835160508382194077251
66600,0,1835160508382194077251
66540,0,1835160508382194077251
66480,0,1835160508382194077251
66420,0,1835160508382194077251
66360,0,1835160508382194077251
66300,0,1835160508382194077251
66240,0,1835160508382194077251
66180,4352732384787624534,1830807775997406452717
66120,0,1830807775997406452717
66060,0,1830807775997406452717
66000,0,1830807775997406452717
65940,0,1830807775997406452717
65880,0,1830807775997406452717
65820,0,1830807775997406452717
65760,0,1830807775997406452717
65700,0,1830807775997406452717
65640,0,1830807775997406452717
65580,0,1830807775997406452717
65520,0,1830807775997406452717
65460,0,1830807775997406452717
65400,20777530397118716009,1810030245600287736708
65340,0,1810030245600287736708
65280,0,1810030245600287736708
65220,0,1810030245600287736708
65160,0,1810030245600287736708
65100,0,1810030245600287736708
65040,0,1810030245600287736708
64980,0,1810030245600287736708
64920,0,1810030245600287736708
64860,0,1810030245600287736708
64800,0,1810030245600287736708
64740,0,1810030245600287736708
64680,0,1810030245600287736708
64620,0,1810030245600287736708
64560,0,1810030245600287736708
64500,0,1810030245600287736708
64440,0,1810030245600287736708
64380,0,1810030245600287736708
64320,0,1810030245600287736708
64260,0,1810030245600287736708
64200,0,1810030245600287736708
64140,0,1810030245600287736708
64080,0,1810030245600287736708
64020,0,1810030245600287736708
63960,0,1810030245600287736708
63900,0,1810030245600287736708
63840,0,1810030245600287736708
63780,0,1810030245600287736708
63720,0,1810030245600287736708
63660,0,1810030245600287736708
63600,0,1810030245600287736708
63540,0,1810030245600287736708
63480,0,1810030245600287736708
63420,0,1810030245600287736708
63360,0,1810030245600287736708
63300,0,1810030245600287736708
63240,0,1810030245600287736708
63180,0,1810030245600287736708
63120,0,1810030245600287736708
63060,0,1810030245600287736708
63000,0,1810030245600287736708
62940,0,1810030245600287736708
62880,0,1810030245600287736708
62820,0,1810030245600287736708
62760,0,1810030245600287736708
62700,0,1810030245600287736708
62640,7556195488976676691,1802474050111311060017
62580,0,1802474050111311060017
62520,0,1802474050111311060017
62460,0,1802474050111311060017
62400,0,1802474050111311060017
62340,0,1802474050111311060017
62280,0,1802474050111311060017
62220,0,1802474050111311060017
62160,0,1802474050111311060017
62100,0,1802474050111311060017
62040,0,1802474050111311060017
61980,0,1802474050111311060017
61920,0,1802474050111311060017
61860,0,1802474050111311060017
61800,0,1802474050111311060017
61740,0,1802474050111311060017
61680,0,1802474050111311060017
61620,0,1802474050111311060017
61560,0,1802474050111311060017
61500,0,1802474050111311060017
61440,0,1802474050111311060017
61380,0,1802474050111311060017
61320,0,1802474050111311060017
61260,0,1802474050111311060017
61200,0,1802474050111311060017
61140,0,1802474050111311060017
61080,0,1802474050111311060017
61020,0,1802474050111311060017
60960,0,1802474050111311060017
60900,0,1802474050111311060017
60840,0,1802474050111311060017
60780,0,1802474050111311060017
60720,0,1802474050111311060017
60660,0,1802474050111311060017
60600,0,1802474050111311060017
60540,0,1802474050111311060017
60480,0,1802474050111311060017
60420,0,1802474050111311060017
60360,0,1802474050111311060017
60300,24692662082009286542,1777781388029301773475
60240,1126912667568990498,1776654475361732782977
60180,0,1776654475361732782977
60120,0,1776654475361732782977
60060,0,1776654475361732782977
60000,0,1776654475361732782977
59940,0,1776654475361732782977
59880,0,1776654475361732782977
59820,0,1776654475361732782977
59760,0,1776654475361732782977
59700,0,1776654475361732782977
59640,0,1776654475361732782977
59580,0,1776654475361732782977
59520,0,1776654475361732782977
59460,0,1776654475361732782977
59400,0,1776654475361732782977
59340,0,1776654475361732782977
59280,0,1776654475361732782977
59220,0,1776654475361732782977
59160,0,1776654475361732782977
59100,0,1776654475361732782977
59040,0,1776654475361732782977
58980,0,1776654475361732782977
58920,0,1776654475361732782977
58860,0,1776654475361732782977
58800,0,1776654475361732782977
58740,0,1776654475361732782977
58680,0,1776654475361732782977
58620,96089985036332639,1776558385376696450338
58560,0,1776558385376696450338
58500,0,1776558385376696450338
58440,0,1776558385376696450338
58380,0,1776558385376696450338
58320,0,1776558385376696450338
58260,0,1776558385376696450338
58200,0,1776558385376696450338
58140,1718761992156506314,1774839623384539944024
58080,0,1774839623384539944024
58020,0,1774839623384539944024
57960,0,1774839623384539944024
57900,0,1774839623384539944024
57840,0,1774839623384539944024
57780,92354611492134644,1774747268773047809380
57720,0,1774747268773047809380
57660,0,1774747268773047809380
57600,0,1774747268773047809380
57540,0,1774747268773047809380
57480,0,1774747268773047809380
57420,0,1774747268773047809380
57360,0,1774747268773047809380
57300,0,1774747268773047809380
57240,0,1774747268773047809380
57180,0,1774747268773047809380
57120,0,1774747268773047809380
57060,0,1774747268773047809380
57000,0,1774747268773047809380
56940,0,1774747268773047809380
56880,0,1774747268773047809380
56820,0,1774747268773047809380
56760,0,1774747268773047809380
56700,0,1774747268773047809380
56640,0,1774747268773047809380
56580,0,1774747268773047809380
56520,0,1774747268773047809380
56460,0,1774747268773047809380
56400,0,1774747268773047809380
56340,0,1774747268773047809380
56280,0,1774747268773047809380
56220,0,1774747268773047809380
56160,0,1774747268773047809380
56100,0,1774747268773047809380
56040,0,1774747268773047809380
55980,0,1774747268773047809380
55920,0,1774747268773047809380
55860,0,1774747268773047809380
55800,0,1774747268773047809380
55740,0,1774747268773047809380
55680,0,1774747268773047809380
55620,0,1774747268773047809380
55560,0,1774747268773047809380
55500,0,1774747268773047809380
55440,0,1774747268773047809380
55380,0,1774747268773047809380
55320,0,1774747268773047809380
55260,0,1774747268773047809380
55200,0,1774747268773047809380
55140,0,1774747268773047809380
55080,0,1774747268773047809380
55020,0,1774747268773047809380
54960,0,1774747268773047809380
54900,0,1774747268773047809380
54840,0,1774747268773047809380
54780,0,1774747268773047809380
54720,0,1774747268773047809380
54660,0,1774747268773047809380
54600,0,1774747268773047809380
54540,0,1774747268773047809380
54480,0,1774747268773047809380
54420,0,1774747268773047809380
54360,0,1774747268773047809380
54300,0,1774747268773047809380
54240,0,1774747268773047809380
54180,0,1774747268773047809380
54120,0,1774747268773047809380
54060,0,1774747268773047809380
54000,0,1774747268773047809380
53940,0,1774747268773047809380
53880,0,1774747268773047809380
53820,0,1774747268773047809380
53760,0,1774747268773047809380
53700,0,1774747268773047809380
53640,0,1774747268773047809380
53580,0,1774747268773047809380
53520,0,1774747268773047809380
53460,0,1774747268773047809380
53400,0,1774747268773047809380
53340,0,1774747268773047809380
53280,0,1774747268773047809380
53220,0,1774747268773047809380
53160,0,1774747268773047809380
53100,0,1774747268773047809380
53040,0,1774747268773047809380
52980,2644080616521049679,1772103188156526759701
52920,0,1772103188156526759701
52860,0,1772103188156526759701
52800,0,1772103188156526759701
52740,0,1772103188156526759701
52680,0,1772103188156526759701
52620,0,1772103188156526759701
52560,0,1772103188156526759701
52500,0,1772103188156526759701
52440,0,1772103188156526759701
52380,0,1772103188156526759701
52320,0,1772103188156526759701
52260,0,1772103188156526759701
52200,0,1772103188156526759701
52140,0,1772103188156526759701
52080,0,1772103188156526759701
52020,0,1772103188156526759701
51960,0,1772103188156526759701
51900,0,1772103188156526759701
51840,0,1772103188156526759701
51780,0,1772103188156526759701
51720,0,1772103188156526759701
51660,0,1772103188156526759701
51600,0,1772103188156526759701
51540,0,1772103188156526759701
51480,0,1772103188156526759701
51420,0,1772103188156526759701
51360,0,1772103188156526759701
51300,0,1772103188156526759701
51240,0,1772103188156526759701
51180,0,1772103188156526759701
51120,0,1772103188156526759701
51060,0,1772103188156526759701
51000,0,1772103188156526759701
50940,0,1772103188156526759701
50880,0,1772103188156526759701
50820,0,1772103188156526759701
50760,0,1772103188156526759701
50700,0,1772103188156526759701
50640,0,1772103188156526759701
50580,0,1772103188156526759701
50520,0,1772103188156526759701
50460,0,1772103188156526759701
50400,0,1772103188156526759701
50340,0,1772103188156526759701
50280,0,1772103188156526759701
50220,1685208712658118153619,86894475498408606082
50160,0,86894475498408606082
50100,0,86894475498408606082
50040,0,86894475498408606082
49980,0,86894475498408606082
49920,0,86894475498408606082
49860,0,86894475498408606082
49800,0,86894475498408606082
49740,0,86894475498408606082
49680,0,86894475498408606082
49620,0,86894475498408606082
49560,0,86894475498408606082
49500,0,86894475498408606082
49440,0,86894475498408606082
49380,0,86894475498408606082
49320,0,86894475498408606082
49260,0,86894475498408606082
49200,0,86894475498408606082
49140,0,86894475498408606082
49080,0,86894475498408606082
49020,0,86894475498408606082
48960,0,86894475498408606082
48900,0,86894475498408606082
48840,0,86894475498408606082
48780,0,86894475498408606082
48720,0,86894475498408606082
48660,0,86894475498408606082
48600,0,86894475498408606082
48540,0,86894475498408606082
48480,0,86894475498408606082
48420,0,86894475498408606082
48360,0,86894475498408606082
48300,0,86894475498408606082
48240,0,86894475498408606082
48180,0,86894475498408606082
48120,0,86894475498408606082
48060,0,86894475498408606082
48000,0,86894475498408606082
47940,0,86894475498408606082
47880,0,86894475498408606082
47820,0,86894475498408606082
47760,0,86894475498408606082
47700,0,86894475498408606082
47640,0,86894475498408606082
47580,0,86894475498408606082
47520,0,86894475498408606082
47460,0,86894475498408606082
47400,0,86894475498408606082
47340,0,86894475498408606082
47280,0,86894475498408606082
47220,0,86894475498408606082
47160,0,86894475498408606082
47100,0,86894475498408606082
47040,0,86894475498408606082
46980,0,86894475498408606082
46920,0,86894475498408606082
46860,0,86894475498408606082
46800,0,86894475498408606082
46740,0,86894475498408606082
46680,0,86894475498408606082
46620,0,86894475498408606082
46560,0,86894475498408606082
46500,0,86894475498408606082
46440,0,86894475498408606082
46380,0,86894475498408606082
46320,0,86894475498408606082
46260,0,86894475498408606082
46200,0,86894475498408606082
46140,0,86894475498408606082
46080,0,86894475498408606082
46020,0,86894475498408606082
45960,0,86894475498408606082
45900,0,86894475498408606082
45840,0,86894475498408606082
45780,0,86894475498408606082
45720,0,86894475498408606082
45660,0,86894475498408606082
45600,0,86894475498408606082
45540,0,86894475498408606082
45480,0,86894475498408606082
45420,0,86894475498408606082
45360,0,86894475498408606082
45300,0,86894475498408606082
45240,0,86894475498408606082
45180,0,86894475498408606082
45120,0,86894475498408606082
45060,0,86894475498408606082
45000,0,86894475498408606082
44940,0,86894475498408606082
44880,0,86894475498408606082
44820,0,86894475498408606082
44760,0,86894475498408606082
