tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
75060,-1828039823517213428836,97140899954537100616765,3378355006107709104813923893248,3368235633697339075275899535360,6844276322258108793,-12407266705718140967016,6.844276322258109,-12407.26670571814,6.844276322258109,-12407.26670571814,0.020532828966774327,0
75000,2642796092328233492386,94498103862208867124379,3368235633697339075275899535360,3358146572399269645810728435712,6678075502207247838,-12033563977272676743987,6.678075502207248,-12033.563977272677,13.522351824465357,-24440.830682990818,0.04056705547339607,0
74940,-1848502654443280052,94499952364863310404431,3358146572399269645810728435712,3348087731420959913176928878592,6698269829556127275,-11997753868453844069158,6.698269829556128,-11997.753868453845,20.220621654021485,-36438.58455144466,0.06066186496206446,0
74880,5122947884043172784311,89377004480820137620120,3348087731420959913176928878592,3338059020241825030081274183680,6354182177591650797,-11313352923375093633783,6.3541821775916505,-11313.352923375094,26.574803831613135,-47751.93747481976,0.0797244114948394,0
74820,740930150266086300668,88636074330554051319452,3338059020241825030081274183680,3328060348612422179546145488896,6320438334517747772,-11185959305707648475507,6.320438334517748,-11185.959305707649,32.895242166130885,-58937.89678052741,0.09868572649839266,0
74760,-397696135756886226926,89033770466310937546378,3328060348612422179546145488896,3318091626553637112226837954560,6367871182529793633,-11202492692728095957733,6.367871182529794,-11202.492692728096,39.26311334866068,-70140.3894732555,0.11778934004598204,0
74700,-4190426612911737787843,93224197079222675334221,3318091626553637112226837954560,3308152764355874624378540916736,6687610540983068772,-11694609831455204035611,6.687610540983068,-11694.609831455204,45.95072388964375,-81834.99930471071,0.13785217166893124,0
74640,1502337487470508110432,91721859591752167223789,3308152764355874624378540916736,3298243672578252413523038568448,6599605738937840778,-11471682490998252826658,6.599605738937841,-11471.682490998253,52.550329628581586,-93306.68179570897,0.15765098888574477,0
74580,0,91721859591752167223789,3298243672578252413523038568448,3288364262047794934115410640896,6619433291252071527,-11437320729996141459867,6.619433291252071,-11437.320729996141,59.16976291983366,-104744.0025257051,0.17750928875950098,0
74520,-1885925729955467229154,93607785321707634452943,3288364262047794934115410640896,3278514443858631193860407033856,6775833837501612799,-11637524300062984063836,6.7758338375016125,-11637.524300062983,65.94559675733527,-116381.52682576809,0.1978367902720058,0
74460,3781771409946439406338,89826013911761195046605,3278514443858631193860407033856,3268694129371195364778589552640,6521623505676254295,-11133915993665293652309,6.521623505676255,-11133.915993665294,72.46722026301153,-127515.44281943337,0.21740166078903458,0
74400,-1534393106177991134056,91360407017939186180661,3268694129371195364778589552640,3258903230211427394272473645056,6652952754275064136,-11290183994194659984946,6.652952754275064,-11290.18399419466,79.12017301728659,-138805.62681362804,0.23736051905185976,0
74340,69260400421843806818,91291146617517342373843,3258903230211427394272473645056,3249141658269981497492018036736,6667881818116347230,-11247832425288645282520,6.6678818181163475,-11247.832425288645,85.78805483540293,-150053.4592389167,0.2573641645062088,0
74280,56050918607947804273,91235095698909394569570,3249141658269981497492018036736,3239409325701427331350719889408,6683808251639959512,-11207255918699211809481,6.6838082516399595,-11207.255918699211,92.47186308704289,-161260.7151576159,0.2774155892611287,0
74220,922027437130010259528,90313068261779384310042,3239409325701427331350719889408,3229706144923464679340592070656,6636138869579371966,-11060764255371341055321,6.636138869579372,-11060.764255371341,99.10800195662226,-172321.47941298725,0.29732400586986674,0
74160,-2774389348708988205946,93087457610488372515988,3229706144923464679340592070656,3220032028616134195697466474496,6860548769030854144,-11366398804407795664103,6.860548769030854,-11366.398804407796,105.96855072565312,-183687.87821739505,0.3179056521769593,0
74100,640727705492546198631,92446729904995826317357,3220032028616134195697466474496,3210386889721028149566297341952,6833796762502404553,-11254351003931242948561,6.833796762502405,-11254.351003931242,112.80234748815552,-194942.2292213263,0.3384070424644665,0
74040,229532208264845164731,92217197696730981152626,3210386889721028149566297341952,3200770641440512428165533007872,6837309576878790831,-11192780958734339387165,6.837309576878791,-11192.78095873434,119.63965706503431,-206135.01018006064,0.35891897119510296,0
73980,230393114632798228466,91986804582098182924160,3200770641440512428165533007872,3191183197236941221602093170688,6840717793486084043,-11131374607317099430411,6.840717793486084,-11131.374607317099,126.48037485852039,-217266.38478737773,0.37944112457556123,0
73920,524764483415236186922,91462040098682946737238,3191183197236941221602093170688,3181624470831879026035740639232,6822127697413321283,-11034720357104521333056,6.822127697413321,-11034.720357104521,133.3025025559337,-228301.10514448225,0.3999075076678011,0
73860,628765903079996566584,90833274195602950170654,3181624470831879026035740639232,3172094376205327150443080450048,6795583411021135475,-10926035273981977804598,6.795583411021135,-10926.035273981977,140.09808596695484,-239227.14041846423,0.4202942579008645,0
73800,-1524875201398661571738,92358149397001611742392,3172094376205327150443080450048,3162592827594944593882024771584,6930424216709372672,-11076180719230877495250,6.930424216709373,-11076.180719230877,147.02851018366422,-250303.3211376951,0.4410855305509927,0
73740,3004141573704876033571,89354007823296735708821,3162592827594944593882024771584,3153119739495281307655233077248,6725141891375127189,-10683806885155200418697,6.725141891375127,-10683.8068851552,153.75365207503935,-260987.12802285032,0.4612609562251181,0
73680,3898897295056336376048,85455110528240399332773,3153119739495281307655233077248,3143675026657005265024064684032,6451018294405310749,-10187021305171115179100,6.451018294405311,-10187.021305171114,160.20467036944467,-271174.14932802145,0.480614011108334,0
73620,2126832711355961538889,83328277816884437793884,3143675026657005265024064684032,3134258604086136286321972346880,6309362173605255599,-9903729319549488572071,6.309362173605256,-9903.72931954949,166.51403254304992,-281077.87864757096,0.4995420976291498,0
73560,4431581689240096588009,78896696127644341205875,3134258604086136286321972346880,3124870387043281552917756116992,5991763830249158274,-9348939615722189975896,5.991763830249158,-9348.93961572219,172.5057963732991,-290426.8182632931,0.5175173891198973,0
73500,490067478580731018890,78406628649063610186985,3124870387043281552917756116992,3115510291042873372978630885376,5972435504095351738,-9263039150901153321272,5.972435504095352,-9263.039150901153,178.47823187739445,-299689.85741419427,0.5354346956321834,0
73440,3757921008250755458917,74648707640812854728068,3115510291042873372978630885376,3106178231852408636083154190336,5703268263421978285,-8792658268079123793828,5.703268263421978,-8792.658268079123,184.18150014081644,-308482.51568227337,0.5525445004224493,0
73380,783953316306944453043,73864754324505910275025,3106178231852408636083154190336,3096874125491688267834154024960,5660327797276317350,-8674258101340545686037,5.6603277972763175,-8674.258101340545,189.84182793809276,-317156.7737836139,0.5695254838142783,0
73320,8519248378256542445374,65345505946249367829651,3096874125491688267834154024960,3087597888232065691670911385600,5022533799051174959,-7650820084314755008911,5.022533799051175,-7650.820084314755,194.86436173714395,-324807.59386792866,0.5845930852114318,0
73260,1919428010261861646380,63426077935987506183271,3087597888232065691670911385600,3078349436595691350031668871168,4889650503688132173,-7403844739808010011121,4.889650503688133,-7403.84473980801,199.75401224083208,-332211.43860773667,0.5992620367224962,0
73200,1038457302780172625344,62387620633207333557927,3078349436595691350031668871168,3069128687354760040265906388992,4824043355898792341,-7260809633109772048746,4.824043355898793,-7260.809633109772,204.57805559673088,-339472.24824084644,0.6137341667901925,0
73140,1426923763856658293148,60960696869350675264779,3069128687354760040265906388992,3059935557530765005946057916416,4727869940764463540,-7073489813426504322949,4.727869940764464,-7073.489813426504,209.30592553749534,-346545.73805427295,0.627917776612486,0
73080,1791126626735495808181,59169570242615179456598,3059935557530765005946057916416,3050769964393748650479507734528,4602744113782151531,-6845093836907805735583,4.602744113782151,-6845.093836907806,213.90866965127748,-353390.8318911808,0.6417260089538325,0
73020,72547303466680018322,59097022939148499438276,3050769964393748650479507734528,3041631825461559443170074296320,4610912046883511755,-6816222779361854511198,4.610912046883512,-6816.222779361855,218.51958169816098,-360207.05467054265,0.6555587450944829,0
72960,3343841277312796516494,55753181661835702921782,3041631825461559443170074296320,3032521058499107699379587252224,4363085355503322201,-6411283935112977201875,4.363085355503322,-6411.283935112977,222.8826670536643,-366618.33860565565,0.6686480011609929,0
72900,2883778281715841746007,52869403380119861175775,3032521058499107699379587252224,3023437581517629804938765795328,4149839314500148738,-6061455843322451073108,4.149839314500149,-6061.455843322451,227.03250636816446,-372679.7944489781,0.6810975191044935,0
