tick,liquidity_net,liquidity
155200,97073349974339462548373,3862161374736905819490651
155400,135346776592495110875451,3997508151329400930366102
155600,-115604603397071857911664,3881903547932329072454438
155800,160772892851030526576827,4042676440783359599031265
156000,-275286870903066402077709,3767389569880293196953556
156200,-6101190851550470628668,3761288379028742726324888
156400,-139199159517384040677044,3622089219511358685647844
156600,133511340171569530204524,3755600559682928215852368
156800,-253989583825929454028344,3501610975856998761824024
157000,87423826486436887411885,3589034802343435649235909
157200,-535223414831955083630106,3053811387511480565605803
157400,-31098623988003119983002,3022712763523477445622801
157600,-3306782328077441627468,3019405981195400003995333
157800,-122479990567050556222552,2896925990628349447772781
158000,604497667019751270002138,3501423657648100717774919
158200,0,3501423657648100717774919
158400,-10407353033112244865153,3491016304614988472909766
158600,117822626342819333621740,3608838930957807806531506
158800,-3338170402431369296366,3605500760555376437235140
159000,-53374197550824563732732,3552126563004551873502408
159200,-275431928097981342994941,3276694634906570530507467
159400,-146257379902914062657591,3130437255003656467849876
159600,-1724009061707554813635,3128713245941948913036241
159800,-2331871597739952643686,3126381374344208960392555
160000,-1351411097891983543038,3125029963246316976849517
160200,-10800847683149153687076,3114229115563167823162441
160400,0,3114229115563167823162441
160600,-4187615949020982086932,3110041499614146841075509
160800,-336709842926233020701,3109704789771220608054808
161000,3788429812277894550367735,6898134602049115158422543
161200,-28592160061371734594441,6869542441987743423828102
161400,0,6869542441987743423828102
161600,-1519966005664961540128,6868022475982078462287974
161800,-488906495087907057016,6867533569486990555230958
162000,0,6867533569486990555230958
162200,8477805904835820458099,6876011375391826375689057
162400,91215446515785045558,6876102590838342160734615
162600,0,6876102590838342160734615
162800,0,6876102590838342160734615
163000,-1353170709282158814188,6874749420129060001920427
163200,0,6874749420129060001920427
163400,-1327497370532276559832,6873421922758527725360595
163600,-266018841899840409,6873421656739685825520186
163800,2574169543419832308,6873424230909229245352494
164000,-24409664326217533139368,6849014566583011712213126
164200,-3575117529559297777,6849010991465482152915349
164400,-23914668416553575383595,6825096323048928577531754
164600,0,6825096323048928577531754
164800,-97729052383923042876,6824998593996544654488878
165000,-5117285927258039099414887,1707712666738505555073991
165200,-16771031867107319570008,1690941634871398235503983
165400,-529189558556547445879,1690412445312841688058104
165600,0,1690412445312841688058104
165800,0,1690412445312841688058104
166000,-164023712487706184506,1690248421600353981873598
166200,0,1690248421600353981873598
166400,0,1690248421600353981873598
166600,0,1690248421600353981873598
166800,0,1690248421600353981873598
167000,-190735258268214136975,1690057686342085767736623
167200,-952940025712565553125559,737117660629520214611064
167400,0,737117660629520214611064
167600,-91215446515785045558,737026445183004429565506
167800,0,737026445183004429565506
168000,-1642857488996383099476,735383587694008046466030
168200,-38236453404185396080762,697147134289822650385268
168400,120587874103904245714,697267722163926554630982
168600,0,697267722163926554630982
168800,0,697267722163926554630982
169000,0,697267722163926554630982
169200,0,697267722163926554630982
169400,0,697267722163926554630982
169600,-1083495741839830037662,696184226422086724593320
169800,0,696184226422086724593320
170000,-2574169543419832308,696181652252543304761012
170200,0,696181652252543304761012
170400,0,696181652252543304761012
170600,0,696181652252543304761012
170800,0,696181652252543304761012
171000,0,696181652252543304761012
171200,0,696181652252543304761012
171400,0,696181652252543304761012
171600,0,696181652252543304761012
171800,0,696181652252543304761012
172000,0,696181652252543304761012
172200,-26150609783082332336012,670031042469460972425000
172400,0,670031042469460972425000
172600,-26794493059067673659,670004247976401904751341
172800,-15813657664138826343,669988434318737765924998
173000,0,669988434318737765924998
173200,0,669988434318737765924998
173400,0,669988434318737765924998
173600,0,669988434318737765924998
173800,0,669988434318737765924998
174000,-136695549710801360600,669851738769026964564398
174200,-318550222875739756,669851420218804088824642
174400,0,669851420218804088824642
174600,0,669851420218804088824642
174800,-419751092584585324590551,250100327634218764234091
175000,0,250100327634218764234091
175200,-572966689063824836464,249527360945154939397627
175400,0,249527360945154939397627
175600,0,249527360945154939397627
175800,0,249527360945154939397627
176000,0,249527360945154939397627
176200,0,249527360945154939397627
176400,0,249527360945154939397627
176600,0,249527360945154939397627
176800,0,249527360945154939397627
177000,0,249527360945154939397627
177200,-1537413886272852713886,247989947058882086683741
177400,0,247989947058882086683741
177600,0,247989947058882086683741
177800,0,247989947058882086683741
178000,0,247989947058882086683741
178200,0,247989947058882086683741
178400,-39959036397060450167804,208030910661821636515937
178600,0,208030910661821636515937
178800,0,208030910661821636515937
179000,0,208030910661821636515937
179200,0,208030910661821636515937
179400,0,208030910661821636515937
179600,0,208030910661821636515937
179800,0,208030910661821636515937
180000,0,208030910661821636515937
180200,0,208030910661821636515937
180400,0,208030910661821636515937
180600,0,208030910661821636515937
180800,0,208030910661821636515937
181000,0,208030910661821636515937
181200,-409723849563980321325,207621186812257656194612
181400,0,207621186812257656194612
181600,0,207621186812257656194612
181800,0,207621186812257656194612
182000,0,207621186812257656194612
182200,0,207621186812257656194612
182400,0,207621186812257656194612
182600,0,207621186812257656194612
182800,0,207621186812257656194612
183000,0,207621186812257656194612
183200,0,207621186812257656194612
183400,0,207621186812257656194612
183600,0,207621186812257656194612
183800,0,207621186812257656194612
184000,0,207621186812257656194612
184200,0,207621186812257656194612
184400,-4223466202327159803283,203397720609930496391329
184600,0,203397720609930496391329
184800,0,203397720609930496391329
185000,0,203397720609930496391329
185200,0,203397720609930496391329
185400,0,203397720609930496391329
185600,0,203397720609930496391329
185800,0,203397720609930496391329
186000,0,203397720609930496391329
186200,0,203397720609930496391329
186400,0,203397720609930496391329
186600,0,203397720609930496391329
186800,0,203397720609930496391329
187000,0,203397720609930496391329
187200,0,203397720609930496391329
187400,0,203397720609930496391329
187600,0,203397720609930496391329
187800,0,203397720609930496391329
188000,0,203397720609930496391329
188200,0,203397720609930496391329
188400,0,203397720609930496391329
188600,0,203397720609930496391329
188800,0,203397720609930496391329
189000,0,203397720609930496391329
189200,0,203397720609930496391329
189400,0,203397720609930496391329
189600,0,203397720609930496391329
189800,0,203397720609930496391329
190000,0,203397720609930496391329
190200,0,203397720609930496391329
190400,0,203397720609930496391329
190600,0,203397720609930496391329
190800,0,203397720609930496391329
191000,0,203397720609930496391329
191200,0,203397720609930496391329
191400,0,203397720609930496391329
191600,0,203397720609930496391329
191800,0,203397720609930496391329
192000,0,203397720609930496391329
192200,0,203397720609930496391329
192400,0,203397720609930496391329
192600,0,203397720609930496391329
192800,0,203397720609930496391329
193000,0,203397720609930496391329
193200,0,203397720609930496391329
193400,0,203397720609930496391329
193600,0,203397720609930496391329
193800,0,203397720609930496391329
194000,0,203397720609930496391329
194200,0,203397720609930496391329
194400,0,203397720609930496391329
194600,0,203397720609930496391329
194800,0,203397720609930496391329
195000,0,203397720609930496391329
195200,0,203397720609930496391329
195400,0,203397720609930496391329
195600,0,203397720609930496391329
195800,0,203397720609930496391329
196000,0,203397720609930496391329
196200,0,203397720609930496391329
196400,0,203397720609930496391329
196600,0,203397720609930496391329
196800,0,203397720609930496391329
197000,0,203397720609930496391329
197200,0,203397720609930496391329
197400,0,203397720609930496391329
197600,0,203397720609930496391329
197800,0,203397720609930496391329
198000,0,203397720609930496391329
198200,0,203397720609930496391329
198400,0,203397720609930496391329
198600,0,203397720609930496391329
198800,0,203397720609930496391329
199000,0,203397720609930496391329
199200,0,203397720609930496391329
199400,0,203397720609930496391329
199600,0,203397720609930496391329
199800,0,203397720609930496391329
200000,0,203397720609930496391329
200200,0,203397720609930496391329
200400,0,203397720609930496391329
200600,0,203397720609930496391329
200800,0,203397720609930496391329
201000,0,203397720609930496391329
201200,0,203397720609930496391329
201400,0,203397720609930496391329
201600,0,203397720609930496391329
201800,-59859796391779265185637,143537924218151231205692
202000,0,143537924218151231205692
202200,0,143537924218151231205692
202400,0,143537924218151231205692
202600,0,143537924218151231205692
202800,0,143537924218151231205692
203000,0,143537924218151231205692
203200,0,143537924218151231205692
203400,0,143537924218151231205692
203600,0,143537924218151231205692
203800,0,143537924218151231205692
204000,0,143537924218151231205692
204200,0,143537924218151231205692
204400,0,143537924218151231205692
204600,0,143537924218151231205692
204800,0,143537924218151231205692
205000,0,143537924218151231205692
205200,0,143537924218151231205692
205400,0,143537924218151231205692
205600,0,143537924218151231205692
205800,0,143537924218151231205692
206000,0,143537924218151231205692
206200,0,143537924218151231205692
206400,0,143537924218151231205692
206600,0,143537924218151231205692
206800,0,143537924218151231205692
207000,0,143537924218151231205692
207200,0,143537924218151231205692
207400,0,143537924218151231205692
207600,0,143537924218151231205692
207800,0,143537924218151231205692
208000,0,143537924218151231205692
208200,0,143537924218151231205692
208400,0,143537924218151231205692
208600,0,143537924218151231205692
208800,0,143537924218151231205692
209000,0,143537924218151231205692
209200,0,143537924218151231205692
209400,0,143537924218151231205692
209600,0,143537924218151231205692
