tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
155200,97073349974339462548373,3862161374736905819490651,185710418329385319391985586405376,187576745280722164933573700747264,-16393906859459541495,90978455581194405475309269,-16.39390685945954,90978455.5811944,-16.39390685945954,90978455.5811944,0,909784.555811944
155400,135346776592495110875451,3997508151329400930366102,187576745280722164933573700747264,189461828187274828978962667929600,-16799589796274350053,95113076534108295925702046,-16.79958979627435,95113076.5341083,-33.193496655733895,186091532.11530268,0,1860915.3211530268
155600,-115604603397071857911664,3881903547932329072454438,189461828187274828978962667929600,191365855540055368006284940935168,-16151443117926068357,93290697418209652611462735,-16.151443117926068,93290697.41820966,-49.34493977365996,279382229.53351235,0,2793822.2953351233
155800,160772892851030526576827,4042676440783359599031265,191365855540055368006284940935168,193289017724346911380181629272064,-16653014020468045672,98130793489513495656196782,-16.653014020468046,98130793.4895135,-65.99795379412801,377513023.0230259,0,3775130.230230259
156000,-275286870903066402077709,3767389569880293196953556,193289017724346911380181629272064,195231507038740413005494604529664,-15364614474743841787,92367584333821162488357086,-15.364614474743842,92367584.33382116,-81.36256826887185,469880607.35684705,0,4698806.073568471
156200,-6101190851550470628668,3761288379028742726324888,195231507038740413005494604529664,197193517714362607806738247712768,-15187106586033674426,93144757111077076611322271,-15.187106586033675,93144757.11107707,-96.54967485490553,563025364.4679241,0,5630253.644679241
156400,-139199159517384040677044,3622089219511358685647844,197193517714362607806738247712768,199175245934297406818766014119936,-14479541991670546732,90599052074884796902913141,-14.479541991670546,90599052.0748848,-111.02921684657608,653624416.5428089,0,6536244.165428089
156600,133511340171569530204524,3755600559682928215852368,199175245934297406818766014119936,201176889853202460270888726036480,-14863885407162031553,94882612237439066068386369,-14.863885407162032,94882612.23743907,-125.8931022537381,748507028.7802479,0,7485070.287802479
156800,-253989583825929454028344,3501610975856998761824024,201176889853202460270888726036480,203198649617122762161889579368448,-13720758507523641936,89354794497661065746801722,-13.720758507523643,89354794.49766107,-139.61386076126175,837861823.277909,0,8378618.232779091
157000,87423826486436887411885,3589034802343435649235909,203198649617122762161889579368448,205240727383503422024959983091712,-13923395756649704210,92506098084912646045864144,-13.923395756649704,92506098.08491264,-153.53725651791146,930367921.3628217,0,9303679.213628218
157200,-535223414831955083630106,3053811387511480565605803,205240727383503422024959983091712,207303327341403621495189293498368,-11729161888028538995,79501922541524136475774673,-11.729161888028539,79501922.54152414,-165.26641840594,1009869843.9043459,0,10098698.439043459
157400,-31098623988003119983002,3022712763523477445622801,207303327341403621495189293498368,209386655731913485061865353510912,-11494204574650444053,79483142316612653103473538,-11.494204574650444,79483142.31661265,-176.76062298059043,1089352986.2209585,0,10893529.862209585
157600,-3306782328077441627468,3019405981195400003995333,209386655731913485061865353510912,211490920868776459078971202469888,-11367391718026970172,80194094355288185636703536,-11.36739171802697,80194094.3552882,-188.1280146986174,1169547080.5762467,0,11695470.805762466
157800,-122479990567050556222552,2896925990628349447772781,211490920868776459078971202469888,213616333159218712243352752881664,-10797767886052056167,77714311547671577632255306,-10.797767886052057,77714311.54767157,-198.92578258466943,1247261392.1239183,0,12472613.921239184
158000,604497667019751270002138,3501423657648100717774919,213616333159218712243352752881664,215763105124987971469957704712192,-12921071250955949895,94874826197905023498412042,-12.92107125095595,94874826.19790502,-211.84685383562538,1342136218.3218234,0,13421362.183218235
