tick,liquidity_net,liquidity
155200,97073349974339462548373,3720246586125389973723538
155000,47043370994351927734083,3673203215131038045989455
154800,-29289484442327451239631,3702492699573365497229086
154600,577195142602858125119541,3125297556970507372109545
154400,-103156069702815476316210,3228453626673322848425755
154200,167741518874731318877428,3060712107798591529548327
154000,13117614792815232283077,3047594493005776297265250
153800,104227020361581279714756,2943367472644195017550494
153600,245929728546864273731284,2697437744097330743819210
153400,11426925141188749661993,2686010818956141994157217
153200,290450539306092458713858,2395560279650049535443359
153000,2071133158168908112531,2393489146491880627330828
152800,11999955949637558921594,2381489190542243068409234
152600,14398670476074054226092,2367090520066169014183142
152400,3212214885985371737399,2363878305180183642445743
152200,4558557751408958802582,2359319747428774683643161
152000,7997804611552194625188,2351321942817222489017973
151800,-248666713987846684976090,2599988656805069173994063
151600,14790770596507088325133,2585197886208562085668930
151400,0,2585197886208562085668930
151200,50523722777180439672721,2534674163431381645996209
151000,1045100693259656344398,2533629062738121989651811
150800,0,2533629062738121989651811
150600,6924561675561997134732,2526704501062559992517079
150400,0,2526704501062559992517079
150200,15744540527858292232505,2510959960534701700284574
150000,0,2510959960534701700284574
149800,24105403674821789520570,2486854556859879910764004
149600,0,2486854556859879910764004
149400,1261583331966991939098,2485592973527912918824906
149200,13310800720390197996638,2472282172807522720828268
149000,389103728757358927710,2471893069078765361900558
148800,-563261540491513677330426,3035154609570279039230984
148600,2436757702706713948960,3032717851867572325282024
148400,1609350862113955886298,3031108501005458369395726
148200,0,3031108501005458369395726
148000,0,3031108501005458369395726
147800,0,3031108501005458369395726
147600,0,3031108501005458369395726
147400,7984798590824014398519,3023123702414634354997207
147200,82050940012387461205,3023041651474621967536002
147000,5106785562140028139688,3017934865912481939396314
146800,0,3017934865912481939396314
146600,0,3017934865912481939396314
146400,1537413886272852713886,3016397452026209086682428
146200,38177930991517362216283,2978219521034691724466145
146000,0,2978219521034691724466145
145800,0,2978219521034691724466145
145600,0,2978219521034691724466145
145400,0,2978219521034691724466145
145200,33712507503381868787,2978185808527188342597358
145000,349199010386390291796,2977836609516801952305562
144800,-813032759952982692920229,3790869369469784645225791
144600,0,3790869369469784645225791
144400,0,3790869369469784645225791
