tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
155200,97073349974339462548373,3720246586125389973723538,185710418329385319391985586405376,183862660717675672264434964758528,15950213538575249413,-86763516012533984297679575,15.95021353857525,-86763516.01253398,15.95021353857525,-86763516.01253398,0.1595021353857525,0
155000,47043370994351927734083,3673203215131038045989455,183862660717675672264434964758528,182033287686768473671826996723712,15906786730345660283,-84814019226970181233827295,15.90678673034566,-84814019.22697018,31.85700026892091,-171577535.23950416,0.31857000268920915,0
154800,-29289484442327451239631,3702492699573365497229086,182033287686768473671826996723712,180222116316128465784712267300864,16194757195106475756,-84639710989934746012295489,16.194757195106476,-84639710.98993474,48.05175746402739,-256217246.2294389,0.4805175746402739,0
154600,577195142602858125119541,3125297556970507372109545,180222116316128465784712267300864,178428965505219683872624632397824,13807477060947974548,-70734063125645830474591823,13.807477060947974,-70734063.12564583,61.85923452497536,-326951309.3550847,0.6185923452497537,0
154400,-103156069702815476316210,3228453626673322848425755,178428965505219683872624632397824,176653655955396878519191663017984,14406558205404443148,-72341757939436154742935784,14.406558205404442,-72341757.93943615,76.2657927303798,-399293067.29452085,0.762657927303798,0
154200,167741518874731318877428,3060712107798591529548327,176653655955396878519191663017984,174896010151977370052716060999680,13795291916507682539,-67900701228290055177401955,13.795291916507683,-67900701.22829005,90.06108464688748,-467193768.52281094,0.9006108464688748,0
154000,13117614792815232283077,3047594493005776297265250,174896010151977370052716060999680,173155852346491317579594984325120,13874211834244574382,-66936997863676296154665299,13.874211834244575,-66936997.863676295,103.93529648113206,-534130766.38648725,1.0393529648113204,0
153800,104227020361581279714756,2943367472644195017550494,173155852346491317579594984325120,171433008539108240892756144160768,13534379655980803308,-64004544118827018551958050,13.534379655980803,-64004544.118827015,117.46967613711286,-598135310.5053142,1.1746967613711286,0
153600,245929728546864273731284,2697437744097330743819210,171433008539108240892756144160768,169727306461238858506388180566016,12528181209426863973,-58073102026085005701430189,12.528181209426863,-58073102.026085004,129.99785734653972,-656208412.5313993,1.299978573465397,0
153400,11426925141188749661993,2686010818956141994157217,169727306461238858506388180566016,168038575558309719801173989392384,12600479776818479382,-57251731349399690532601891,12.60047977681848,-57251731.34939969,142.5983371233582,-713460143.8807989,1.425983371233582,0
153200,290450539306092458713858,2395560279650049535443359,168038575558309719801173989392384,166366646972709298214537298706432,11350870142419264370,-50552803232748903741811625,11.350870142419264,-50552803.2327489,153.94920726577746,-764012947.1135478,1.5394920726577748,0
153000,2071133158168908112531,2393489146491880627330828,166366646972709298214537298706432,164711353526903780064848565501952,11455030289164916166,-50006547811598475691684448,11.455030289164917,-50006547.81159847,165.40423755494237,-814019494.9251462,1.6540423755494238,0
152800,11999955949637558921594,2381489190542243068409234,164711353526903780064848565501952,163072529706720819627333282430976,11512141570769346503,-49260781635143848522461019,11.512141570769346,-49260781.635143846,176.91637912571173,-863280276.5602901,1.7691637912571172,0
152600,14398670476074054226092,2367090520066169014183142,163072529706720819627333282430976,161450011644799783281004917030912,11557531902688707090,-48475781857466953459826436,11.557531902688707,-48475781.85746695,188.47391102840044,-911756058.417757,1.8847391102840043,0
152400,3212214885985371737399,2363878305180183642445743,161450011644799783281004917030912,159843637104206302984402836127744,11657839647300698505,-47928335152529207786772390,11.6578396473007,-47928335.15252921,200.13175067570114,-959684393.5702863,2.0013175067570113,0
152200,4558557751408958802582,2359319747428774683643161,159843637104206302984402836127744,158253245462210202331412722352128,11752289819172261963,-47359957470066480703700071,11.752289819172262,-47359957.47006648,211.8840404948734,-1007044351.0403527,2.118840404948734,0
152000,7997804611552194625188,2351321942817222489017973,158253245462210202331412722352128,156678677694224705516942382858240,11830157172720918050,-46729794378993283170197740,11.830157172720918,-46729794.37899328,223.71419766759433,-1053774145.419346,2.2371419766759435,0
151800,-248666713987846684976090,2599988656805069173994063,156678677694224705516942382858240,155119776357905361959782625312768,13212731168972894923,-51157639693825129543668341,13.212731168972894,-51157639.69382513,236.92692883656724,-1104931785.113171,2.3692692883656723,0
151600,14790770596507088325133,2585197886208562085668930,155119776357905361959782625312768,153576385577407263445170952077312,13269594919125841213,-50360508898828845195812158,13.269594919125842,-50360508.89882884,250.19652375569308,-1155292294.0119998,2.501965237556931,0
151400,0,2585197886208562085668930,153576385577407263445170952077312,152048351027798968519989238169600,13402949864172384059,-49859438390860123505364024,13.402949864172385,-49859438.390860125,263.5994736198655,-1205151732.40286,2.6359947361986547,0
151200,50523722777180439672721,2534674163431381645996209,152048351027798968519989238169600,150535519919631350715142954287104,13273072499015221845,-48398622431983733149509592,13.273072499015221,-48398622.43198373,276.8725461188807,-1253550354.8348436,2.7687254611888066,0
151000,1045100693259656344398,2533629062738121989651811,150535519919631350715142954287104,149037740983660073558429252190208,13400934619668608645,-47897314809624482979969650,13.40093461966861,-47897314.809624486,290.27348073854927,-1301447669.644468,2.9027348073854924,0
