tick,liquidity_net,liquidity
111800,-417443423536944232288,112065861599540815283380
112000,0,112065861599540815283380
112200,0,112065861599540815283380
112400,-284973687276446474717,111780887912264368808663
112600,-149674016178376960209,111631213896085991848454
112800,-3429680816037351065955,108201533080048640782499
113000,-15368085633839940361,108186164994414800842138
113200,0,108186164994414800842138
113400,-55358722337497534087,108130806272077303308051
113600,-54897025019858907488859,53233781252218395819192
113800,0,53233781252218395819192
114000,0,53233781252218395819192
114200,-212827160602370203276,53020954091616025615916
114400,0,53020954091616025615916
114600,-132420443558005688208,52888533648058019927708
114800,568116181224834590390,53456649829282854518098
115000,-2900989113927297805807,50555660715355556712291
115200,-31263928211989580234839,19291732503365976477452
115400,0,19291732503365976477452
115600,0,19291732503365976477452
115800,0,19291732503365976477452
116000,0,19291732503365976477452
116200,-73461735445672990785,19218270767920303486667
116400,0,19218270767920303486667
116600,-632322549641514681495,18585948218278788805172
116800,0,18585948218278788805172
117000,0,18585948218278788805172
117200,0,18585948218278788805172
117400,0,18585948218278788805172
117600,0,18585948218278788805172
117800,0,18585948218278788805172
118000,0,18585948218278788805172
118200,0,18585948218278788805172
118400,-432832976641709840371,18153115241637078964801
118600,-7830580006446644362453,10322535235190434602348
118800,0,10322535235190434602348
119000,-6223597893933708184,10316311637296500894164
119200,-248790067601973275490,10067521569694527618674
119400,0,10067521569694527618674
119600,0,10067521569694527618674
119800,0,10067521569694527618674
120000,0,10067521569694527618674
120200,0,10067521569694527618674
120400,0,10067521569694527618674
120600,0,10067521569694527618674
120800,0,10067521569694527618674
121000,0,10067521569694527618674
121200,0,10067521569694527618674
121400,0,10067521569694527618674
121600,0,10067521569694527618674
121800,0,10067521569694527618674
122000,0,10067521569694527618674
122200,0,10067521569694527618674
122400,0,10067521569694527618674
122600,0,10067521569694527618674
122800,0,10067521569694527618674
123000,-12431308165443888081,10055090261529083730593
123200,0,10055090261529083730593
123400,0,10055090261529083730593
123600,-163002547709861632849,9892087713819222097744
123800,-1335104997071008560391,8556982716748213537353
124000,0,8556982716748213537353
124200,0,8556982716748213537353
124400,0,8556982716748213537353
124600,0,8556982716748213537353
124800,0,8556982716748213537353
125000,0,8556982716748213537353
125200,0,8556982716748213537353
125400,0,8556982716748213537353
125600,0,8556982716748213537353
125800,0,8556982716748213537353
126000,0,8556982716748213537353
126200,0,8556982716748213537353
126400,0,8556982716748213537353
126600,0,8556982716748213537353
126800,0,8556982716748213537353
127000,0,8556982716748213537353
127200,0,8556982716748213537353
127400,0,8556982716748213537353
127600,0,8556982716748213537353
127800,0,8556982716748213537353
128000,0,8556982716748213537353
128200,0,8556982716748213537353
128400,0,8556982716748213537353
128600,0,8556982716748213537353
128800,0,8556982716748213537353
129000,0,8556982716748213537353
129200,0,8556982716748213537353
129400,0,8556982716748213537353
129600,0,8556982716748213537353
129800,0,8556982716748213537353
130000,0,8556982716748213537353
130200,0,8556982716748213537353
130400,0,8556982716748213537353
130600,0,8556982716748213537353
130800,0,8556982716748213537353
131000,0,8556982716748213537353
131200,-4449886476337674219339,4107096240410539318014
131400,0,4107096240410539318014
131600,0,4107096240410539318014
131800,0,4107096240410539318014
132000,0,4107096240410539318014
132200,0,4107096240410539318014
132400,0,4107096240410539318014
132600,0,4107096240410539318014
132800,0,4107096240410539318014
133000,0,4107096240410539318014
133200,0,4107096240410539318014
133400,0,4107096240410539318014
133600,0,4107096240410539318014
133800,0,4107096240410539318014
134000,0,4107096240410539318014
134200,0,4107096240410539318014
134400,0,4107096240410539318014
134600,0,4107096240410539318014
134800,0,4107096240410539318014
135000,0,4107096240410539318014
135200,0,4107096240410539318014
135400,0,4107096240410539318014
135600,0,4107096240410539318014
135800,0,4107096240410539318014
136000,0,4107096240410539318014
136200,0,4107096240410539318014
136400,0,4107096240410539318014
136600,0,4107096240410539318014
136800,0,4107096240410539318014
137000,0,4107096240410539318014
137200,0,4107096240410539318014
137400,0,4107096240410539318014
137600,0,4107096240410539318014
137800,0,4107096240410539318014
138000,0,4107096240410539318014
138200,0,4107096240410539318014
138400,0,4107096240410539318014
138600,0,4107096240410539318014
138800,0,4107096240410539318014
139000,0,4107096240410539318014
139200,0,4107096240410539318014
139400,0,4107096240410539318014
139600,0,4107096240410539318014
139800,0,4107096240410539318014
140000,0,4107096240410539318014
140200,0,4107096240410539318014
140400,0,4107096240410539318014
140600,0,4107096240410539318014
140800,0,4107096240410539318014
141000,0,4107096240410539318014
141200,0,4107096240410539318014
