tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
111800,-417443423536944232288,112065861599540815283380,21206273602872556135307827740672,21419389486830493411229004988416,-4165789198627597042,301446031289619666132381,-4.165789198627597,301446.0312896197,-4.165789198627597,301446.0312896197,0,3014.4603128961967
112000,0,112065861599540815283380,21419389486830493411229004988416,21634647113408826997354027548672,-4124340965567732498,304475462043311043967752,-4.1243409655677326,304475.46204331104,-8.290130164195329,605921.4933329307,0,6059.214933329307
112200,0,112065861599540815283380,21634647113408826997354027548672,21852068006397187421343559188480,-4083305128801180168,307535337552418755866032,-4.083305128801181,307535.33755241876,-12.37343529299651,913456.8308853495,0,9134.568308853495
112400,-284973687276446474717,111780887912264368808663,21852068006397187421343559188480,22071673905892014449552617635840,-4032397409503431131,309836069110950896098775,-4.032397409503431,309836.0691109509,-16.40583270249994,1223292.8999963005,0,12232.928999963005
112600,-149674016178376960209,111631213896085991848454,22071673905892014449552617635840,22293486770470368065968647700480,-3986930743989777013,312530778764327696824110,-3.986930743989777,312530.7787643277,-20.392763446489717,1535823.6787606282,0,15358.236787606282
112800,-3429680816037351065955,108201533080048640782499,22293486770470368065968647700480,22517528779385581909342341300224,-3825989121740395431,305973129625410145693696,-3.8259891217403954,305973.12962541013,-24.218752568230112,1841796.8083860383,0,18417.96808386038
113000,-15368085633839940361,108186164994414800842138,22517528779385581909342341300224,22743822334785006866490709770240,-3787383781439985178,309004161458461125704782,-3.7873837814399853,309004.16145846114,-28.006136349670097,2150800.9698444996,0,21508.009698444996
113200,0,108186164994414800842138,22743822334785006866490709770240,22972390063949988936960484311040,-3749700557883745435,312109548866407576197905,-3.7497005578837452,312109.5488664076,-31.755836907553842,2462910.518710907,0,24629.10518710907
113400,-55358722337497534087,108130806272077303308051,22972390063949988936960484311040,23203254821558414635424269991936,-3710492643634737896,315084833319367812069305,-3.710492643634738,315084.83331936784,-35.46632955118858,2777995.352030275,0,27779.953520302748
113600,-54897025019858907488859,53233781252218395819192,23203254821558414635424269991936,23436439691969959039798274424832,-1808534182309553088,156678029489578788762095,-1.808534182309553,156678.0294895788,-37.27486373349813,2934673.3815198536,0,29346.733815198535
113800,0,53233781252218395819192,23436439691969959039798274424832,23671967991534315708258508079104,-1790539861735329439,158252590743330186427458,-1.7905398617353296,158252.5907433302,-39.06540359523346,3092925.972263184,0,30929.25972263184
114000,0,53233781252218395819192,23671967991534315708258508079104,23909863270922597616339805798400,-1772724578735259043,159842975805618672936973,-1.7727245787352592,159842.97580561868,-40.83812817396872,3252768.9480688027,0,32527.689480688026
114200,-212827160602370203276,53020954091616025615916,23909863270922597616339805798400,24150149317482224366091585454080,-1748069765259879757,160803873763955083658464,-1.7480697652598798,160803.87376395508,-42.5861979392286,3413572.821832758,0,34135.72821832758
114400,0,53020954091616025615916,24150149317482224366091585454080,24392850157615403753681400627200,-1730677045758082520,162419898358505188198686,-1.7306770457580825,162419.8983585052,-44.31687498498668,3575992.720191263,0,35759.92720191263
114600,-132420443558005688208,52888533648058019927708,24392850157615403753681400627200,24637990059181585997814986440704,-1709177998559698463,163642441286334382549722,-1.7091779985596984,163642.4412863344,-46.02605298354638,3739635.1614775974,0,37396.35161477598
114800,568116181224834590390,53456649829282854518098,24637990059181585997814986440704,24885593533923980700965345951744,-1710349155296591336,167062466499015927163383,-1.7103491552965913,167062.46649901592,-47.73640213884297,3906697.627976613,0,39066.97627976613
115000,-2900989113927297805807,50555660715355556712291,24885593533923980700965345951744,25135685339920568888975104671744,-1601437901074719674,159584118707507257373247,-1.6014379010747197,159584.11870750727,-49.33784003991769,4066281.7466841205,0,40662.8174668412
115200,-31263928211989580234839,19291732503365976477452,25135685339920568888975104671744,25388290484059610129032133214208,-605018724733835723,61508316172638914807684,-0.6050187247338358,61508.316172638915,-49.942858764651525,4127790.0628567594,0,41277.90062856759
115400,0,19291732503365976477452,25388290484059610129032133214208,25643434224540176150774467788800,-598998987317334586,62126453966076977438510,-0.5989989873173345,62126.45396607698,-50.54185775196886,4189916.5168228364,0,41899.16516822836
115600,0,19291732503365976477452,25643434224540176150774467788800,25901142073397683948926764318720,-593039144309178758,62750803835464579476419,-0.5930391443091787,62750.803835464576,-51.13489689627804,4252667.320658301,0,42526.67320658301
115800,0,19291732503365976477452,25901142073397683948926764318720,26161439799054887734630277971968,-587138599779700133,63381428210066389767988,-0.5871385997797001,63381.42821006639,-51.72203549605774,4316048.748868368,0,43160.48748868368
116000,0,19291732503365976477452,26161439799054887734630277971968,26424353428898496368652580814848,-581296763728559324,64018390146542850424661,-0.5812967637285593,64018.39014654285,-52.3033322597863,4380067.139014911,0,43800.67139014911
116200,-73461735445672990785,19218270767920303486667,26424353428898496368652580814848,26689909251881636952858758742016,-573321533582910243,64415525340109516907957,-0.5733215335829103,64415.52534010952,-52.876653793369215,4444482.66435502,0,44444.8266435502
116400,0,19218270767920303486667,26689909251881636952858758742016,26958133821152560896711296286720,-567617172798190855,65062879603314456018862,-0.5676171727981908,65062.87960331445,-53.44427096616741,4509545.543958334,0,45095.45543958334
116600,-632322549641514681495,18585948218278788805172,26958133821152560896711296286720,27229053956709660012793059868672,-543479557918627082,63554517118161754248814,-0.5434795579186271,63554.517118161755,-53.98775052408604,4573100.061076496,0,45731.00061076496
116800,0,18585948218278788805172,27229053956709660012793059868672,27502696748083265519314253381632,-538072114981467576,64193218539675507967857,-0.5380721149814676,64193.21853967551,-54.525822639067506,4637293.2796161715,0,46372.93279616171
117000,0,18585948218278788805172,27502696748083265519314253381632,27779089557044324525195520901120,-532718474323875752,64838338694652779945200,-0.5327184743238758,64838.33869465278,-55.058541113391385,4702131.618310824,0,47021.31618310824
117200,0,18585948218278788805172,27779089557044324525195520901120,28058260020340345810894777745408,-527418100630874957,65489942089198145651703,-0.5274181006308749,65489.94208919814,-55.58595921402226,4767621.560400022,0,47676.21560400022
117400,0,18585948218278788805172,28058260020340345810894777745408,28340236052458804056162119450624,-522170463913663447,66148093877676675984688,-0.5221704639136634,66148.09387767667,-56.10812967793592,4833769.654277699,0,48337.69654277699
117600,0,18585948218278788805172,28340236052458804056162119450624,28625045848418340284694861447168,-516975039456668726,66812859869234586385320,-0.5169750394566688,66812.85986923458,-56.62510471739259,4900582.514146933,0,49005.82514146933
117800,0,18585948218278788805172,28625045848418340284694861447168,28912717886588015230871469555712,-511831307765083284,67484306534380105819827,-0.5118313077650832,67484.3065343801,-57.136936025157674,4968066.820681313,0,49680.668206813134
118000,0,18585948218278788805172,28912717886588015230871469555712,29203280931534858822944259309568,-506738754512855066,68162501011621396158061,-0.506738754512855,68162.5010116214,-57.643674779670526,5036229.321692934,0,50362.29321692934
118200,0,18585948218278788805172,29203280931534858822944259309568,29496764036900098588659190595584,-501696870491369610,68847511114194273103417,-0.5016968704913696,68847.51111419428,-58.1453716501619,5105076.832807128,0,51050.76832807128
118400,-432832976641709840371,18153115241637078964801,29496764036900098588659190595584,29793196548304224609289715580928,-485137790736280981,67919958889847585067329,-0.48513779073628094,67919.95888984759,-58.63050944089818,5172996.791696976,0,51729.967916969756
118600,-7830580006446644362453,10322535235190434602348,29793196548304224609289715580928,30092608106281305353250398011392,-273122568346944837,39009946197922090909059,-0.2731225683469448,39009.946197922094,-58.90363200924512,5212006.737894898,0,52120.06737894898
