tick,liquidity_net,liquidity
112000,0,112986375988135781855222
111800,-417443423536944232288,113403819411672726087510
111600,-114869414066771731487,113518688825739497818997
111400,-46996172218824789103,113565684997958322608100
111200,-47164748580533939712,113612849746538856547812
111000,-213078789633857763818,113825928536172714311630
110800,-6873472680490086273489,120699401216662800585119
110600,104100561127262713250,120595300655535537871869
110400,46996172218824789103,120548304483316713082766
110200,417443423536944232288,120130861059779768850478
110000,57958916591456371415,120072902143188312479063
109800,337775329451642602212,119735126813736669876851
109600,0,119735126813736669876851
109400,468684799235007313630,119266442014501662563221
109200,284293810747722948008,118982148203753939615213
109000,1390709176893019083508,117591439026860920531705
108800,6223597893933708184,117585215428966986823521
108600,29372401423636585976361,88212814005330400847160
108400,0,88212814005330400847160
108200,529778317271599006656,87683035688058801840504
108000,61687367919710244992,87621348320139091595512
107800,0,87621348320139091595512
107600,0,87621348320139091595512
107400,0,87621348320139091595512
107200,5338139835651217797,87616010180303440377715
107000,0,87616010180303440377715
106800,0,87616010180303440377715
106600,213078789633857763818,87402931390669582613897
106400,68123595610021772988,87334807795059560840909
106200,0,87334807795059560840909
106000,55106601486534895693869,32228206308524665147040
105800,3429680816037351065955,28798525492487314081085
105600,0,28798525492487314081085
105400,0,28798525492487314081085
105200,0,28798525492487314081085
105000,0,28798525492487314081085
104800,0,28798525492487314081085
104600,4449886476337674219339,24348639016149639861746
104400,0,24348639016149639861746
104200,0,24348639016149639861746
104000,0,24348639016149639861746
103800,0,24348639016149639861746
103600,0,24348639016149639861746
103400,0,24348639016149639861746
103200,212827160602370203276,24135811855547269658470
103000,0,24135811855547269658470
102800,0,24135811855547269658470
102600,0,24135811855547269658470
102400,0,24135811855547269658470
102200,12431308165443888081,24123380547381825770389
102000,0,24123380547381825770389
101800,0,24123380547381825770389
101600,0,24123380547381825770389
101400,0,24123380547381825770389
101200,0,24123380547381825770389
101000,0,24123380547381825770389
100800,0,24123380547381825770389
100600,123841066471762933401,23999539480910062836988
100400,0,23999539480910062836988
100200,0,23999539480910062836988
100000,0,23999539480910062836988
99800,0,23999539480910062836988
99600,0,23999539480910062836988
99400,0,23999539480910062836988
99200,0,23999539480910062836988
99000,2854402431985679175756,21145137048924383661232
98800,0,21145137048924383661232
98600,0,21145137048924383661232
98400,0,21145137048924383661232
98200,0,21145137048924383661232
98000,0,21145137048924383661232
97800,0,21145137048924383661232
97600,0,21145137048924383661232
97400,0,21145137048924383661232
97200,0,21145137048924383661232
97000,0,21145137048924383661232
96800,0,21145137048924383661232
96600,0,21145137048924383661232
96400,0,21145137048924383661232
96200,0,21145137048924383661232
96000,163002547709861632849,20982134501214522028383
95800,0,20982134501214522028383
95600,0,20982134501214522028383
95400,0,20982134501214522028383
95200,0,20982134501214522028383
95000,0,20982134501214522028383
94800,0,20982134501214522028383
94600,0,20982134501214522028383
94400,0,20982134501214522028383
94200,0,20982134501214522028383
94000,0,20982134501214522028383
93800,0,20982134501214522028383
93600,0,20982134501214522028383
93400,0,20982134501214522028383
93200,0,20982134501214522028383
93000,0,20982134501214522028383
92800,0,20982134501214522028383
92600,0,20982134501214522028383
92400,0,20982134501214522028383
92200,9562413905734578214271,11419720595479943814112
92000,0,11419720595479943814112
91800,0,11419720595479943814112
91600,0,11419720595479943814112
91400,0,11419720595479943814112
91200,0,11419720595479943814112
91000,0,11419720595479943814112
90800,0,11419720595479943814112
90600,0,11419720595479943814112
90400,0,11419720595479943814112
90200,0,11419720595479943814112
90000,0,11419720595479943814112
89800,0,11419720595479943814112
89600,0,11419720595479943814112
89400,0,11419720595479943814112
89200,0,11419720595479943814112
89000,0,11419720595479943814112
88800,0,11419720595479943814112
88600,0,11419720595479943814112
88400,0,11419720595479943814112
88200,0,11419720595479943814112
88000,0,11419720595479943814112
87800,0,11419720595479943814112
87600,0,11419720595479943814112
87400,0,11419720595479943814112
87200,0,11419720595479943814112
87000,6895180931532460263810,4524539663947483550302
86800,0,4524539663947483550302
86600,0,4524539663947483550302
86400,0,4524539663947483550302
86200,0,4524539663947483550302
86000,0,4524539663947483550302
85800,0,4524539663947483550302
85600,0,4524539663947483550302
85400,0,4524539663947483550302
85200,0,4524539663947483550302
85000,0,4524539663947483550302
84800,0,4524539663947483550302
84600,0,4524539663947483550302
84400,0,4524539663947483550302
84200,0,4524539663947483550302
84000,0,4524539663947483550302
83800,0,4524539663947483550302
83600,0,4524539663947483550302
83400,0,4524539663947483550302
83200,0,4524539663947483550302
83000,0,4524539663947483550302
82800,0,4524539663947483550302
82600,0,4524539663947483550302
82400,0,4524539663947483550302
82200,0,4524539663947483550302
82000,0,4524539663947483550302
81800,0,4524539663947483550302
81600,0,4524539663947483550302
81400,0,4524539663947483550302
81200,0,4524539663947483550302
81000,0,4524539663947483550302
80800,0,4524539663947483550302
80600,0,4524539663947483550302
80400,0,4524539663947483550302
80200,0,4524539663947483550302
80000,0,4524539663947483550302
79800,0,4524539663947483550302
79600,0,4524539663947483550302
79400,0,4524539663947483550302
79200,0,4524539663947483550302
79000,0,4524539663947483550302
78800,0,4524539663947483550302
78600,0,4524539663947483550302
78400,0,4524539663947483550302
78200,0,4524539663947483550302
78000,0,4524539663947483550302
77800,0,4524539663947483550302
77600,0,4524539663947483550302
77400,0,4524539663947483550302
77200,0,4524539663947483550302
77000,0,4524539663947483550302
76800,0,4524539663947483550302
76600,0,4524539663947483550302
76400,0,4524539663947483550302
76200,0,4524539663947483550302
76000,0,4524539663947483550302
75800,0,4524539663947483550302
75600,0,4524539663947483550302
75400,0,4524539663947483550302
75200,0,4524539663947483550302
75000,0,4524539663947483550302
74800,0,4524539663947483550302
74600,0,4524539663947483550302
74400,0,4524539663947483550302
74200,0,4524539663947483550302
74000,0,4524539663947483550302
73800,0,4524539663947483550302
73600,0,4524539663947483550302
73400,0,4524539663947483550302
73200,0,4524539663947483550302
73000,0,4524539663947483550302
72800,0,4524539663947483550302
72600,0,4524539663947483550302
72400,0,4524539663947483550302
72200,0,4524539663947483550302
72000,0,4524539663947483550302
71800,0,4524539663947483550302
71600,0,4524539663947483550302
71400,0,4524539663947483550302
71200,0,4524539663947483550302
71000,0,4524539663947483550302
70800,0,4524539663947483550302
70600,0,4524539663947483550302
70400,0,4524539663947483550302
70200,0,4524539663947483550302
70000,0,4524539663947483550302
69800,0,4524539663947483550302
69600,0,4524539663947483550302
69400,0,4524539663947483550302
69200,0,4524539663947483550302
69000,0,4524539663947483550302
68800,0,4524539663947483550302
68600,0,4524539663947483550302
68400,0,4524539663947483550302
68200,0,4524539663947483550302
68000,0,4524539663947483550302
67800,0,4524539663947483550302
67600,0,4524539663947483550302
67400,0,4524539663947483550302
67200,0,4524539663947483550302
67000,0,4524539663947483550302
66800,0,4524539663947483550302
66600,0,4524539663947483550302
66400,0,4524539663947483550302
66200,0,4524539663947483550302
66000,0,4524539663947483550302
65800,0,4524539663947483550302
65600,0,4524539663947483550302
65400,0,4524539663947483550302
65200,0,4524539663947483550302
65000,0,4524539663947483550302
64800,0,4524539663947483550302
64600,0,4524539663947483550302
64400,0,4524539663947483550302
64200,0,4524539663947483550302
64000,0,4524539663947483550302
63800,0,4524539663947483550302
63600,0,4524539663947483550302
63400,0,4524539663947483550302
63200,0,4524539663947483550302
63000,0,4524539663947483550302
62800,0,4524539663947483550302
62600,0,4524539663947483550302
62400,0,4524539663947483550302
62200,0,4524539663947483550302
62000,0,4524539663947483550302
61800,0,4524539663947483550302
61600,0,4524539663947483550302
61400,0,4524539663947483550302
61200,0,4524539663947483550302
61000,0,4524539663947483550302
60800,0,4524539663947483550302
60600,0,4524539663947483550302
60400,0,4524539663947483550302
60200,0,4524539663947483550302
60000,0,4524539663947483550302
59800,0,4524539663947483550302
59600,0,4524539663947483550302
59400,0,4524539663947483550302
59200,0,4524539663947483550302
59000,0,4524539663947483550302
58800,0,4524539663947483550302
58600,0,4524539663947483550302
58400,0,4524539663947483550302
58200,0,4524539663947483550302
58000,0,4524539663947483550302
57800,0,4524539663947483550302
57600,0,4524539663947483550302
57400,0,4524539663947483550302
57200,0,4524539663947483550302
57000,0,4524539663947483550302
56800,0,4524539663947483550302
56600,0,4524539663947483550302
56400,0,4524539663947483550302
56200,0,4524539663947483550302
56000,0,4524539663947483550302
55800,0,4524539663947483550302
55600,0,4524539663947483550302
55400,0,4524539663947483550302
55200,0,4524539663947483550302
55000,0,4524539663947483550302
54800,0,4524539663947483550302
54600,0,4524539663947483550302
54400,0,4524539663947483550302
54200,0,4524539663947483550302
54000,0,4524539663947483550302
53800,0,4524539663947483550302
53600,0,4524539663947483550302
53400,0,4524539663947483550302
53200,0,4524539663947483550302
53000,0,4524539663947483550302
52800,0,4524539663947483550302
52600,0,4524539663947483550302
52400,0,4524539663947483550302
52200,0,4524539663947483550302
52000,0,4524539663947483550302
51800,0,4524539663947483550302
51600,0,4524539663947483550302
51400,0,4524539663947483550302
51200,0,4524539663947483550302
51000,0,4524539663947483550302
50800,0,4524539663947483550302
50600,0,4524539663947483550302
50400,0,4524539663947483550302
50200,0,4524539663947483550302
50000,0,4524539663947483550302
49800,0,4524539663947483550302
49600,0,4524539663947483550302
49400,0,4524539663947483550302
49200,0,4524539663947483550302
49000,0,4524539663947483550302
48800,0,4524539663947483550302
48600,0,4524539663947483550302
48400,0,4524539663947483550302
48200,0,4524539663947483550302
48000,0,4524539663947483550302
47800,0,4524539663947483550302
47600,0,4524539663947483550302
47400,0,4524539663947483550302
47200,0,4524539663947483550302
47000,0,4524539663947483550302
46800,0,4524539663947483550302
46600,0,4524539663947483550302
46400,0,4524539663947483550302
46200,0,4524539663947483550302
46000,0,4524539663947483550302
45800,0,4524539663947483550302
45600,0,4524539663947483550302
45400,0,4524539663947483550302
45200,0,4524539663947483550302
45000,0,4524539663947483550302
44800,0,4524539663947483550302
44600,0,4524539663947483550302
44400,0,4524539663947483550302
44200,0,4524539663947483550302
44000,0,4524539663947483550302
43800,0,4524539663947483550302
43600,0,4524539663947483550302
43400,0,4524539663947483550302
43200,0,4524539663947483550302
43000,0,4524539663947483550302
42800,0,4524539663947483550302
42600,0,4524539663947483550302
42400,0,4524539663947483550302
42200,0,4524539663947483550302
42000,0,4524539663947483550302
41800,0,4524539663947483550302
41600,0,4524539663947483550302
41400,0,4524539663947483550302
41200,0,4524539663947483550302
41000,0,4524539663947483550302
40800,0,4524539663947483550302
40600,0,4524539663947483550302
40400,0,4524539663947483550302
40200,0,4524539663947483550302
40000,0,4524539663947483550302
39800,0,4524539663947483550302
39600,0,4524539663947483550302
39400,0,4524539663947483550302
39200,0,4524539663947483550302
39000,0,4524539663947483550302
38800,0,4524539663947483550302
38600,0,4524539663947483550302
38400,0,4524539663947483550302
38200,0,4524539663947483550302
38000,0,4524539663947483550302
37800,0,4524539663947483550302
37600,0,4524539663947483550302
37400,0,4524539663947483550302
37200,0,4524539663947483550302
37000,0,4524539663947483550302
36800,0,4524539663947483550302
36600,0,4524539663947483550302
36400,0,4524539663947483550302
36200,0,4524539663947483550302
36000,0,4524539663947483550302
35800,0,4524539663947483550302
35600,0,4524539663947483550302
35400,0,4524539663947483550302
35200,0,4524539663947483550302
35000,0,4524539663947483550302
34800,0,4524539663947483550302
