tick,liquidity_net,liquidity
-102800,-828039981725451178,1623301533251113412
-102600,-89580250452678829,1533721282798434583
-102400,-87159944446166518,1446561338352268065
-102200,-88120675498139556,1358440662854128509
-102000,-94829379079057422,1263611283775071087
-101800,-137691009018009350,1125920274757061737
-101600,-240876387180373154,885043887576688583
-101400,-175213437205992377,709830450370696206
-101200,-47136757940771379,662693692429924827
-101000,-25297913903903865,637395778526020962
-100800,-12546129189589817,624849649336431145
-100600,-30538012748979476,594311636587451669
-100400,8657542976652279,602969179564103948
-100200,2888616999945925,605857796564049873
-100000,-7511339690164965,598346456873884908
-99800,-100079831607398826,498266625266486082
-99600,-58951586722358077,439315038544128005
-99400,-16029189407011889,423285849137116116
-99200,-1447683754578473,421838165382537643
-99000,-64621314237634249,357216851144903394
-98800,-3766016056228694,353450835088674700
-98600,-18130100485612380,335320734603062320
-98400,-25574669762749255,309746064840313065
-98200,-11305672321751825,298440392518561240
-98000,-11121251589578337,287319140928982903
-97800,-7661258400375284,279657882528607619
-97600,-2026582591127184,277631299937480435
-97400,-9388064573159002,268243235364321433
-97200,-3138429925082465,265104805439238968
-97000,-20524693837306137,244580111601932831
-96800,0,244580111601932831
-96600,-1258285564964472,243321826036968359
-96400,-73450899779993,243248375137188366
-96200,0,243248375137188366
-96000,0,243248375137188366
-95800,0,243248375137188366
-95600,-158199785564137831,85048589573050535
-95400,0,85048589573050535
-95200,0,85048589573050535
-95000,-42841868999637050,42206720573413485
-94800,0,42206720573413485
-94600,0,42206720573413485
-94400,-1347504110773850,40859216462639635
-94200,0,40859216462639635
-94000,-19725640153195020,21133576309444615
-93800,0,21133576309444615
-93600,0,21133576309444615
-93400,0,21133576309444615
-93200,-933216868731550,20200359440713065
-93000,-2025264252991198,18175095187721867
-92800,0,18175095187721867
-92600,0,18175095187721867
-92400,0,18175095187721867
-92200,-2350059738321352,15825035449400515
-92000,0,15825035449400515
-91800,0,15825035449400515
-91600,0,15825035449400515
-91400,0,15825035449400515
-91200,0,15825035449400515
-91000,0,15825035449400515
-90800,0,15825035449400515
-90600,0,15825035449400515
-90400,-2337643775440114,13487391673960401
-90200,0,13487391673960401
-90000,0,13487391673960401
-89800,0,13487391673960401
-89600,0,13487391673960401
-89400,0,13487391673960401
-89200,0,13487391673960401
-89000,0,13487391673960401
-88800,0,13487391673960401
-88600,0,13487391673960401
-88400,0,13487391673960401
-88200,0,13487391673960401
-88000,0,13487391673960401
-87800,0,13487391673960401
-87600,0,13487391673960401
-87400,0,13487391673960401
-87200,0,13487391673960401
