tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-102800,-828039981725451178,1623301533251113412,464213272097502114617491456,468878458621110041169625088,-2756575940609546503,95584754162533,-2.756575940609547,95584.754162533,-2.756575940609547,95584.754162533,0,955.8475416253301
-102600,-89580250452678829,1533721282798434583,468878458621110041169625088,473590528692880484593565696,-2578543598317197656,91217591393852,-2.578543598317198,91217.591393852,-5.335119538926745,186802.345556385,0,1868.02345556385
-102400,-87159944446166518,1446561338352268065,473590528692880484593565696,478349953476630193530470400,-2407809706039423447,86898391512341,-2.4078097060394237,86898.391512341,-7.742929244966168,273700.737068726,0,2737.0073706872595
-102200,-88120675498139556,1358440662854128509,478349953476630193530470400,483157208871213052192620544,-2238634809123124344,82424872639832,-2.2386348091231243,82424.872639832,-9.981564054089294,356125.60970855795,0,3561.2560970855793
-102000,-94829379079057422,1263611283775071087,483157208871213052192620544,488012775558105569224032256,-2061642446175334361,77441513976486,-2.0616424461753344,77441.513976486,-12.043206500264628,433567.12368504395,0,4335.671236850439
-101800,-137691009018009350,1125920274757061737,488012775558105569224032256,492917139049470791558103040,-1818715481574893116,69696457856286,-1.8187154815748932,69696.457856286,-13.86192198183952,503263.58154133,0,5032.6358154132995
-101600,-240876387180373154,885043887576688583,492917139049470791558103040,497870789736704903879852032,-1415400039454600474,55336361753149,-1.4154000394546005,55336.361753149,-15.277322021294122,558599.9432944789,0,5585.999432944789
-101400,-175213437205992377,709830450370696206,497870789736704903879852032,502874222939471805092462592,-1123896437154549907,44827358492383,-1.12389643715455,44827.358492383,-16.40121845844867,603427.301786862,0,6034.27301786862
-101200,-47136757940771379,662693692429924827,502874222939471805092462592,507927938955230815748882432,-1038823529567345998,42271152336426,-1.038823529567346,42271.152336426,-17.440041988016016,645698.4541232879,0,6456.98454123288
-101000,-25297913903903865,637395778526020962,507927938955230815748882432,513032443109261570897608704,-989225712126640973,41066071659328,-0.989225712126641,41066.071659328,-18.429267700142656,686764.5257826159,0,6867.645257826159
-100800,-12546129189589817,624849649336431145,513032443109261570897608704,518188245805192008217657344,-960105629231382664,40662327692125,-0.9601056292313827,40662.327692125,-19.38937332937404,727426.8534747409,0,7274.268534747409
-100600,-30538012748979476,594311636587451669,518188245805192008217657344,523395862576034055647657984,-904096924124015762,39063726174921,-0.9040969241240158,39063.726174921,-20.293470253498054,766490.5796496619,0,7664.90579649662
-100400,8657542976652279,602969179564103948,523395862576034055647657984,528655814135732309908783104,-908140709171661999,40031077029297,-0.9081407091716619,40031.077029297,-21.201610962669715,806521.6566789589,0,8065.216566789589
-100200,2888616999945925,605857796564049873,528655814135732309908783104,533968626431230378845929472,-903412309089463264,40627078159604,-0.9034123090894634,40627.078159604,-22.10502327175918,847148.7348385629,0,8471.487348385628
-100000,-7511339690164965,598346456873884908,533968626431230378845929472,539334830695061072340058112,-883334715031433635,40526615867767,-0.8833347150314336,40526.615867767,-22.988357986790614,887675.3507063299,0,8876.753507063298
-99800,-100079831607398826,498266625266486082,539334830695061072340058112,544754963498464633679773696,-728268700951262128,34087263855978,-0.7282687009512621,34087.263855978,-23.716626687741876,921762.614562308,0,9217.626145623079
-99600,-58951586722358077,439315038544128005,544754963498464633679773696,550229566805040921267142656,-635716069648599565,30356321367535,-0.6357160696485995,30356.321367535,-24.352342757390474,952118.935929843,0,9521.189359298429
-99400,-16029189407011889,423285849137116116,550229566805040921267142656,555759188024940832057458688,-606426458817223928,29542656792659,-0.6064264588172239,29542.656792659,-24.9587692162077,981661.592722502,0,9816.615927225019
-99200,-1447683754578473,421838165382537643,555759188024940832057458688,561344380069602326852141056,-598339306364015844,29737495994621,-0.5983393063640159,29737.495994621,-25.557108522571713,1011399.0887171229,0,10113.990887171229
-99000,-64621314237634249,357216851144903394,561344380069602326852141056,566985701407036486283427840,-501638515857370134,25435084955958,-0.5016385158573701,25435.084955958,-26.058747038429082,1036834.1736730809,0,10368.341736730808
-98800,-3766016056228694,353450835088674700,566985701407036486283427840,572683716117669163768479744,-491411392747339773,25419850642857,-0.4914113927473398,25419.850642857,-26.55015843117642,1062254.024315938,0,10622.540243159377
-98600,-18130100485612380,335320734603062320,572683716117669163768479744,578438993950743939149463552,-461566084762305238,24358308076170,-0.4615660847623052,24358.30807617,-27.011724515938727,1086612.332392108,0,10866.12332392108
-98400,-25574669762749255,309746064840313065,578438993950743939149463552,584252110381291733138800640,-422120604070986394,22726640145119,-0.4221206040709864,22726.640145119,-27.433845120009714,1109338.972537227,0,11093.38972537227
-98200,-11305672321751825,298440392518561240,584252110381291733138800640,590123646667673129883533312,-402666619031217156,22117180790090,-0.40266661903121714,22117.18079009,-27.83651173904093,1131456.153327317,0,11314.56153327317
-98000,-11121251589578337,287319140928982903,590123646667673129883533312,596054189909698630329040896,-383804318672363812,21506981046470,-0.38380431867236386,21506.98104647,-28.220316057713294,1152963.1343737869,0,11529.631343737869
-97800,-7661258400375284,279657882528607619,596054189909698630329040896,602044333107333708329779200,-369853416905115839,21143880023623,-0.36985341690511586,21143.880023623,-28.59016947461841,1174107.0143974097,0,11741.070143974099
-97600,-2026582591127184,277631299937480435,602044333107333708329779200,608094675219992998834077696,-363519966087180161,21201606758223,-0.3635199660871802,21201.606758223,-28.95368944070559,1195308.6211556327,0,11953.086211556327
-97400,-9388064573159002,268243235364321433,608094675219992998834077696,614205821226430764968574976,-347732988935305702,20690541400041,-0.34773298893530574,20690.541400041,-29.301422429640894,1215999.1625556736,0,12159.991625556737
-97200,-3138429925082465,265104805439238968,614205821226430764968574976,620378382185233485177815040,-340245184480902349,20653963440722,-0.34024518448090235,20653.963440722,-29.641667614121797,1236653.1259963957,0,12366.531259963956
-97000,-20524693837306137,244580111601932831,620378382185233485177815040,626612975295919851818713088,-310779811105700486,19246407217001,-0.31077981110570047,19246.407217001,-29.952447425227497,1255899.5332133968,0,12558.995332133969
-96800,0,244580111601932831,626612975295919851818713088,632910223960655121877041152,-307687654151326979,19439827106034,-0.307687654151327,19439.827106034,-30.260135079378824,1275339.3603194307,0,12753.393603194307
-96600,-1258285564964472,243321826036968359,632910223960655121877041152,639270757846585798400409600,-303059059549370941,19534174093915,-0.30305905954937096,19534.174093915,-30.563194138928196,1294873.5344133456,0,12948.735344133458
-96400,-73450899779993,243248375137188366,639270757846585798400409600,645695212948800415083790336,-299953148150305100,19724529954536,-0.2999531481503051,19724.529954536,-30.8631472870785,1314598.0643678815,0,13145.980643678817
-96200,0,243248375137188366,645695212948800415083790336,652184231653923089796825088,-296968712933168388,19922754815520,-0.2969687129331684,19922.75481552,-31.16011600001167,1334520.8191834015,0,13345.208191834015
-96000,0,243248375137188366,652184231653923089796825088,658738462804346581561638912,-294013971865336956,20122971769375,-0.29401397186533695,20122.971769375,-31.454129971877006,1354643.7909527766,0,13546.437909527765
-95800,0,243248375137188366,658738462804346581561638912,665358561763110485978251264,-291088629499788462,20325200835962,-0.2910886294997885,20325.200835962,-31.745218601376795,1374968.9917887386,0,13749.689917887386
-95600,-158199785564137831,85048589573050535,665358561763110485978251264,672045190479431441045258240,-100762673397090832,7177855995579,-0.10076267339709083,7177.855995579,-31.845981274773887,1382146.8477843176,0,13821.468477843177
-95400,0,85048589573050535,672045190479431441045258240,678799017554891803006599168,-99760117921630991,7249991022886,-0.09976011792163099,7249.991022886,-31.945741392695517,1389396.8388072036,0,13893.968388072035
-95200,0,85048589573050535,678799017554891803006599168,685620718310294351366848512,-98767537543574092,7322850982842,-0.09876753754357409,7322.850982842,-32.04450893023909,1396719.6897900456,0,13967.196897900456
-95000,-42841868999637050,42206720573413485,685620718310294351366848512,692510974853187421121544192,-48527284744608490,3670603019887,-0.04852728474460849,3670.603019887,-32.0930362149837,1400390.2928099327,0,14003.902928099327
-94800,0,42206720573413485,692510974853187421121544192,699470476146069670612434944,-48044454214317141,3707491339914,-0.04804445421431714,3707.491339914,-32.14108066919802,1404097.7841498468,0,14040.977841498468
-94600,0,42206720573413485,699470476146069670612434944,706499918075280257443692544,-47566427689076337,3744750375093,-0.04756642768907634,3744.750375093,-32.188647096887095,1407842.5345249397,0,14078.425345249398
-94400,-1347504110773850,40859216462639635,706499918075280257443692544,713600003520581019528855552,-45589647448876084,3661626357427,-0.04558964744887608,3661.626357427,-32.23423674433597,1411504.1608823668,0,14115.041608823667
-94200,0,40859216462639635,713600003520581019528855552,720771442425437670655131648,-45136045443956114,3698424465030,-0.045136045443956115,3698.42446503,-32.27937278977993,1415202.5853473968,0,14152.025853473968
-94000,-19725640153195020,21133576309444615,720771442425437670655131648,728014951868007844585406464,-23113394962863810,1932157135730,-0.02311339496286381,1932.15713573,-32.30248618474279,1417134.7424831267,0,14171.347424831267
-93800,0,21133576309444615,728014951868007844585406464,735331256132842172450865152,-22883424281308042,1951574662054,-0.02288342428130804,1951.574662054,-32.3253696090241,1419086.3171451807,0,14190.863171451807
-93600,0,21133576309444615,735331256132842172450865152,742721086783306914649341952,-22655741732434139,1971187327957,-0.02265574173243414,1971.187327957,-32.34802535075654,1421057.5044731377,0,14210.575044731377
-93400,0,21133576309444615,742721086783306914649341952,750185182734732407856955392,-22430324550072400,1990997094525,-0.0224303245500724,1990.997094525,-32.37045567530661,1423048.5015676627,0,14230.485015676626
