tick,liquidity_net,liquidity
-102800,-828039981725451178,3279381496702015768
-103000,5207566639198599,3274173930062817169
-103200,106116966269309358,3168056963793507811
-103400,-128000587933976864,3296057551727484675
-103600,4370616894276926,3291686934833207749
-103800,44255739610140537,3247431195223067212
-104000,132641404348402392,3114789790874664820
-104200,-1208881012789215779,4323670803663880599
-104400,37503362247682946,4286167441416197653
-104600,94920236990606951,4191247204425590702
-104800,824335658091810688,3366911546333780014
-105000,173614437472111657,3193297108861668357
-105200,24474547147006111,3168822561714662246
-105400,83675213839288505,3085147347875373741
-105600,-390989882066458639,3476137229941832380
-105800,0,3476137229941832380
-106000,-344856632526857957,3820993862468690337
-106200,1618416415882830,3819375446052807507
-106400,22814674068329178,3796560771984478329
-106600,2381149949125602,3794179622035352727
-106800,12409761470216753,3781769860565135974
-107000,0,3781769860565135974
-107200,12806859812895221,3768963000752240753
-107400,19817538730026791,3749145462022213962
-107600,1179005658462895,3747966456363751067
-107800,2789264123621815,3745177192240129252
-108000,714939487132681,3744462252752996571
-108200,95997260556143922,3648464992196852649
-108400,0,3648464992196852649
-108600,361467041004115379,3286997951192737270
-108800,1454033780765410,3285543917411971860
-109000,3203962168721277,3282339955243250583
-109200,8885214578440154,3273454740664810429
-109400,0,3273454740664810429
-109600,433227178243116262,2840227562421694167
-109800,933216868731550,2839294345552962617
-110000,25571209377642876,2813723136175319741
-110200,183058965786261035,2630664170389058706
-110400,0,2630664170389058706
-110600,1335251575670014,2629328918813388692
-110800,0,2629328918813388692
-111000,308038625501791782,2321290293311596910
-111200,0,2321290293311596910
-111400,0,2321290293311596910
-111600,2004516836334411,2319285776475262499
-111800,0,2319285776475262499
-112000,0,2319285776475262499
-112200,0,2319285776475262499
-112400,0,2319285776475262499
-112600,0,2319285776475262499
-112800,2025264252991198,2317260512222271301
-113000,0,2317260512222271301
-113200,0,2317260512222271301
-113400,0,2317260512222271301
-113600,20909698218245951,2296350814004025350
-113800,779361425118678,2295571452578906672
-114000,0,2295571452578906672
-114200,41423981327728800,2254147471251177872
-114400,0,2254147471251177872
-114600,0,2254147471251177872
-114800,0,2254147471251177872
-115000,76737548636880,2254070733702540992
-115200,103676011530032102,2150394722172508890
-115400,0,2150394722172508890
-115600,0,2150394722172508890
-115800,0,2150394722172508890
-116000,456371441431069282,1694023280741439608
-116200,0,1694023280741439608
-116400,0,1694023280741439608
-116600,0,1694023280741439608
-116800,0,1694023280741439608
-117000,0,1694023280741439608
-117200,0,1694023280741439608
-117400,0,1694023280741439608
-117600,0,1694023280741439608
-117800,0,1694023280741439608
-118000,0,1694023280741439608
-118200,0,1694023280741439608
-118400,0,1694023280741439608
-118600,0,1694023280741439608
-118800,0,1694023280741439608
-119000,0,1694023280741439608
-119200,165174916340612,1693858105825098996
-119400,0,1693858105825098996
-119600,0,1693858105825098996
-119800,0,1693858105825098996
-120000,0,1693858105825098996
-120200,0,1693858105825098996
-120400,0,1693858105825098996
-120600,0,1693858105825098996
-120800,0,1693858105825098996
-121000,0,1693858105825098996
-121200,0,1693858105825098996
-121400,0,1693858105825098996
-121600,0,1693858105825098996
-121800,0,1693858105825098996
-122000,12680297457178793,1681177808367920203
-122200,0,1681177808367920203
-122400,0,1681177808367920203
-122600,0,1681177808367920203
-122800,0,1681177808367920203
-123000,0,1681177808367920203
-123200,0,1681177808367920203
-123400,0,1681177808367920203
-123600,0,1681177808367920203
-123800,21540328232060108,1659637480135860095
-124000,0,1659637480135860095
-124200,0,1659637480135860095
-124400,0,1659637480135860095
-124600,0,1659637480135860095
