tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-102800,-828039981725451178,3279381496702015768,464213272097502114617491456,459594502646165011481755648,5624778592744390242,-191178320884577,5.6247785927443905,-191178.320884577,5.6247785927443905,-191178.320884577,0.0562477859274439,0
-103000,5207566639198599,3274173930062817169,459594502646165011481755648,455021688432488817377673216,5672283961429176608,-188975594161277,5.6722839614291765,-188975.594161277,11.297062554173568,-380153.915045854,0.11297062554173568,0
-103200,106116966269309358,3168056963793507811,455021688432488817377673216,450494372216966252221956096,5543600527361679183,-181031532332954,5.543600527361679,-181031.532332954,16.840663081535247,-561185.4473788079,0.16840663081535245,0
-103400,-128000587933976864,3296057551727484675,450494372216966252221956096,446012101309472709007114240,5825543632511789234,-186471860569436,5.825543632511789,-186471.860569436,22.666206714047036,-747657.3079482439,0.22666206714047035,0
-103600,4370616894276926,3291686934833207749,446012101309472709007114240,441574427524001627828649984,5876285996752161074,-184371722846116,5.876285996752161,-184371.722846116,28.542492710799195,-932029.03079436,0.28542492710799194,0
-103800,44255739610140537,3247431195223067212,441574427524001627828649984,437180907133849638887489536,5855541817180356395,-180083125987675,5.855541817180357,-180083.125987675,34.398034527979554,-1112112.156782035,0.34398034527979554,0
-104000,132641404348402392,3114789790874664820,437180907133849638887489536,432831100827248450810675200,5672814714009311719,-171009043326536,5.672814714009312,-171009.043326536,40.07084924198887,-1283121.200108571,0.40070849241988865,0
-104200,-1208881012789215779,4323670803663880599,432831100827248450810675200,428524573663437436976365568,7953626707285872788,-235017513627213,7.953626707285872,-235017.513627213,48.02447594927474,-1518138.713735784,0.48024475949274736,0
-104400,37503362247682946,4286167441416197653,428524573663437436976365568,424260895029173346430353408,7963875180425715034,-230660916054369,7.963875180425715,-230660.916054369,55.988351129700455,-1748799.629790153,0.5598835112970045,0
-104600,94920236990606951,4191247204425590702,424260895029173346430353408,420039638595673291103404032,7865771319633900238,-223308589579941,7.8657713196339,-223308.589579941,63.854122449334355,-1972108.219370094,0.6385412244933435,0
-104800,824335658091810688,3366911546333780014,420039638595673291103404032,415860382275985580490752000,6382230337146321310,-177603340924531,6.382230337146321,-177603.340924531,70.23635278648068,-2149711.560294625,0.7023635278648068,0
-105000,173614437472111657,3193297108861668357,415860382275985580490752000,411722708182785036539396096,6113963229644849293,-166769268653054,6.113963229644849,-166769.268653054,76.35031601612553,-2316480.8289476787,0.7635031601612553,0
