tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-11600,0,1013952731226392591612,44361005142457464920513445888,44806818254239474585098518528,-18017919692976553418,5705463915391463211,-18.01791969297655,5.705463915391463,-18.01791969297655,5.705463915391463,0,0.05705463915391463
-11400,0,1013952731226392591612,44806818254239474585098518528,45257111637151465326868692992,-17838647315264110991,5762801899824223229,-17.83864731526411,5.762801899824224,-35.85656700824066,11.468265815215688,0,0.11468265815215688
-11200,0,1013952731226392591612,45257111637151465326868692992,45711930316404381391603630080,-17661158638775824580,5820716111625663455,-17.661158638775824,5.820716111625663,-53.51772564701648,17.288981926841352,0,0.17288981926841354
-11000,229391470042443667342,1243344201268836258954,45711930316404381391603630080,46171319769697318080576749568,-21441251336102852359,7209295214602483148,-21.44125133610285,7.209295214602483,-74.95897698311933,24.498277141443836,0,0.24498277141443836
-10800,0,1243344201268836258954,46171319769697318080576749568,46635325931764873144618188800,-21227917933931255177,7281746195436921231,-21.227917933931256,7.281746195436921,-96.18689491705058,31.780023336880756,0,0.3178002333688076
-10600,-2732900454292811335,1240611300814543447619,46635325931764873144618188800,47103995198970220269707198464,-20970511901301493201,7338758981501584223,-20.970511901301492,7.338758981501584,-117.15740681835207,39.118782318382344,0,0.39118782318382345
-10400,0,1240611300814543447619,47103995198970220269707198464,47577374433944300478279974912,-20761862201755178425,7412511029446789305,-20.76186220175518,7.412511029446789,-137.91926902010727,46.531293347829134,0,0.46531293347829134
-10200,0,1240611300814543447619,47577374433944300478279974912,48055510970271650415741239296,-20555288498127270739,7487004260552384486,-20.555288498127272,7.487004260552385,-158.47455751823455,54.018297608381516,0,0.5401829760838153
-10000,-3447899659770102645,1237163401154773344974,48055510970271650415741239296,48538452617223351307295784960,-20294211393796470641,7541229173331937529,-20.29421139379647,7.541229173331938,-178.76876891203102,61.55952678171345,0,0.6155952678171345
-9800,0,1237163401154773344974,48538452617223351307295784960,49026247664537494409285992448,-20092290661971851021,7617015978288871450,-20.09229066197185,7.617015978288872,-198.86105957400287,69.17654276000232,0,0.6917654276000232
-9600,0,1237163401154773344974,49026247664537494409285992448,49518944887247717108895711232,-19892378975048955504,7693564415026618213,-19.892378975048956,7.693564415026618,-218.75343854905182,76.87010717502893,0,0.7687010717502893
-9400,0,1237163401154773344974,49518944887247717108895711232,50016593550560284661243707392,-19694456343692315843,7770882137687545904,-19.694456343692316,7.770882137687546,-238.44789489274413,84.64098931271648,0,0.8464098931271649
-9200,0,1237163401154773344974,50016593550560284661243707392,50519243414780104591959654400,-19498502977451606347,7848976877334710141,-19.498502977451608,7.84897687733471,-257.9463978701957,92.48996619005119,0,0.924899661900512
-9000,0,1237163401154773344974,50519243414780104591959654400,51026944740286368656591421440,-19304499282787635957,7927856442726798172,-19.304499282787635,7.927856442726799,-277.2508971529833,100.41782263277798,0,1.0041782263277799
-8800,0,1237163401154773344974,51026944740286368656591421440,51539748292558077443541303296,-19112425861108428697,8007528721097056202,-19.112425861108427,8.007528721097056,-296.36332301409175,108.42535135387504,0,1.0842535135387503
-8600,0,1237163401154773344974,51539748292558077443541303296,52057705347250142511879946240,-18922263506832391494,8088001678943067588,-18.92226350683239,8.088001678943067,-315.28558652092414,116.51335303281812,0,1.1651335303281811
-8400,0,1237163401154773344974,52057705347250142511879946240,52580867695320479480410013696,-18733993205467065256,8169283362822986611,-18.733993205467065,8.169283362822986,-334.0195797263912,124.6826363956411,0,1.246826363956411
-8200,0,1237163401154773344974,52580867695320479480410013696,53109287648208646221839990784,-18547596131708538933,8251381900160425468,-18.547596131708538,8.251381900160425,-352.56717585809974,132.93401829580154,0,1.3293401829580154
-8000,0,1237163401154773344974,53109287648208646221839990784,53643018043066465966719238144,-18363053647557028604,8334305500056208905,-18.363053647557027,8.334305500056209,-370.93022950565677,141.26832379585775,0,1.4126832379585774
-7800,0,1237163401154773344974,53643018043066465966719238144,54182112248041303820203982848,-18180347300456323941,8418062454110567651,-18.180347300456322,8.418062454110567,-389.1105768061131,149.6863862499683,0,1.496863862499683
-7600,0,1237163401154773344974,54182112248041303820203982848,54726624167612366127561179136,-17999458821446164412,8502661137251100675,-17.999458821446165,8.502661137251101,-407.1100356275593,158.1890473872194,0,1.5818904738721942
-7400,0,1237163401154773344974,54726624167612366127561179136,55276608247980664803200860160,-17820370123336793748,8588110008570764183,-17.820370123336794,8.588110008570764,-424.93040575089606,166.77715739579017,0,1.6677715739579018
-7200,0,1237163401154773344974,55276608247980664803200860160,55832119482513121612260179968,-17643063298899508282,8674417612173277670,-17.64306329889951,8.674417612173277,-442.57346904979556,175.45157500796344,0,1.7545157500796345
-7000,69305730930676597262,1306469132085449942236,55832119482513121612260179968,56393213417241428131250700288,-18446048825555221416,9252415841285239133,-18.44604882555522,9.25241584128524,-461.0195178753508,184.70399084924867,0,1.8470399084924867
-6800,0,1306469132085449942236,56393213417241428131250700288,56959946156416109988513054720,-18262516703717174088,9345399494032823857,-18.262516703717175,9.345399494032824,-479.28203457906795,194.0493903432815,0,1.9404939034328148
-6600,0,1306469132085449942236,56959946156416109988513054720,57532374368116472683641700352,-18080810666157214586,9439317601070874754,-18.080810666157216,9.439317601070874,-497.3628452452252,203.48870794435237,0,2.0348870794435236
-6400,0,1306469132085449942236,57532374368116472683641700352,58110555289916851198344822784,-17900912543936481167,9534179553348939096,-17.90091254393648,9.53417955334894,-515.2637577891617,213.0228874977013,0,2.1302288749770133
-6200,0,1306469132085449942236,58110555289916851198344822784,58694546734609875882274193408,-17722804348892127645,9629994836192982553,-17.72280434889213,9.629994836192983,-532.9865621380538,222.6528823338943,0,2.226528823338943
-6000,0,1306469132085449942236,58694546734609875882274193408,59284407095987194418476089344,-17546468271836769317,9726773030252837582,-17.54646827183677,9.726773030252838,-550.5330304098906,232.37965536414714,0,2.3237965536414715
-5800,0,1306469132085449942236,59284407095987194418476089344,59880195354678327167625986048,-17371886680778945972,9824523812460820441,-17.371886680778946,9.82452381246082,-567.9049170906695,242.20417917660797,0,2.4220417917660795
-5600,0,1306469132085449942236,59880195354678327167625986048,60481971084048218841000443904,-17199042119160549989,9923256956999631229,-17.19904211916055,9.923256956999632,-585.1039592098301,252.1274361336076,0,2.521274361336076
-5400,0,1306469132085449942236,60481971084048218841000443904,61089794456153961491209388032,-17027917304108547055,10022982336278086478,-17.02791730410855,10.022982336278087,-602.1318765139387,262.15041846988566,0,2.6215041846988565
-5200,0,1306469132085449942236,61089794456153961491209388032,61703726247761524449525891072,-16858495124710967837,10123709921920631226,-16.858495124710966,10.12370992192063,-618.9903716386497,272.2741283918063,0,2.7227412839180634
-5000,0,1306469132085449942236,61703726247761524449525891072,62323827846422825461348302848,-16690758640302414027,10225449785762362883,-16.690758640302413,10.225449785762363,-635.6811302789521,282.49957817756865,0,2.8249957817756863
-4800,0,1306469132085449942236,62323827846422825461348302848,62950161256613917075980681216,-16524691078771409901,10328212100856819258,-16.52469107877141,10.328212100856819,-652.2058213577235,292.8277902784255,0,2.928277902784255
-4600,0,1306469132085449942236,62950161256613917075980681216,63582789105934904017243078656,-16360275834884494121,10432007142493919886,-16.360275834884494,10.43200714249392,-668.566097192608,303.2597974209194,0,3.032597974209194
-4400,0,1306469132085449942236,63582789105934904017243078656,64221774651372110504399994880,-16197496468624305795,10536845289226465139,-16.197496468624305,10.536845289226465,-684.7635936612323,313.7966427101459,0,3.1379664271014587
-4200,0,1306469132085449942236,64221774651372110504399994880,64867181785623201210848772096,-16036336703546303313,10642737023908239116,-16.036336703546304,10.64273702390824,-700.7999303647787,324.4393797340541,0,3.2443937973405412
-4000,0,1306469132085449942236,64867181785623201210848772096,65519075043485836402707398656,-15876780425150512391,10749692934741685654,-15.876780425150512,10.749692934741686,-716.6767107899292,335.1890726687958,0,3.351890726687958
-3800,0,1306469132085449942236,65519075043485836402707398656,66177519608310617721301630976,-15718811679272352379,10857723716338058387,-15.718811679272353,10.857723716338059,-732.3955224692015,346.04679638513386,0,3.4604679638513387
-3600,0,1306469132085449942236,66177519608310617721301630976,66842581318518782006388588544,-15562414670484853721,10966840170785113273,-15.562414670484854,10.966840170785114,-747.9579371396864,357.013636555919,0,3.5701363655591902
-3400,0,1306469132085449942236,66842581318518782006388588544,67514326674185443604581842944,-15407573760520461920,11077053208728000410,-15.407573760520462,11.077053208728,-763.3655109002068,368.090689764647,0,3.68090689764647
-3200,0,1306469132085449942236,67514326674185443604581842944,68192822843689018481675599872,-15254273466707842938,11188373850460599251,-15.254273466707843,11.1883738504606,-778.6197843669147,379.2790636151076,0,3.792790636151076
-3000,0,1306469132085449942236,68192822843689018481675599872,68878137670427410681007439872,-15102498460422338082,11300813227026426936,-15.102498460422337,11.300813227026428,-793.722282827337,390.579876842134,0,3.90579876842134
-2800,0,1306469132085449942236,68878137670427410681007439872,69570339679601761572324638720,-14952233565554770426,11414382581332745925,-14.95223356555477,11.414382581332745,-808.6745163928919,401.99425942346676,0,4.019942594234668
-2600,0,1306469132085449942236,69570339679601761572324638720,70269498085068324841107488768,-14803463756992877888,11529093269273954644,-14.803463756992878,11.529093269273954,-823.4779801498847,413.52335269274073,0,4.135233526927407
-2400,0,1306469132085449942236,70269498085068324841107488768,70975682796259214886256508928,-14656174159119275768,11644956760867307150,-14.656174159119276,11.644956760867307,-838.134154309004,425.16830945360806,0,4.251683094536081
-2200,0,1306469132085449942236,70975682796259214886256508928,71688964425172741109678342144,-14510350044324736249,11761984641400381618,-14.510350044324737,11.761984641400382,-852.6445043533287,436.93029409500843,0,4.369302940950084
-2000,0,1306469132085449942236,71688964425172741109678342144,72409414293433891047723761664,-14365976831533484801,11880188612587831851,-14.365976831533485,11.880188612587832,-867.0104811848621,448.8104827075963,0,4.488104827075963
