tick,liquidity_net,liquidity
136560,0,159177368818660546516996
136620,0,159177368818660546516996
136680,0,159177368818660546516996
136740,0,159177368818660546516996
136800,0,159177368818660546516996
136860,0,159177368818660546516996
136920,0,159177368818660546516996
136980,0,159177368818660546516996
137040,0,159177368818660546516996
137100,25906194291485047844378,185083563110145594361374
137160,0,185083563110145594361374
137220,0,185083563110145594361374
137280,0,185083563110145594361374
137340,0,185083563110145594361374
137400,0,185083563110145594361374
137460,0,185083563110145594361374
137520,15920718318974733229,185099483828464569094603
137580,0,185099483828464569094603
137640,0,185099483828464569094603
137700,-2313516962630930733973,182785966865833638360630
137760,0,182785966865833638360630
137820,0,182785966865833638360630
137880,0,182785966865833638360630
137940,0,182785966865833638360630
138000,-5824272638210477402792,176961694227623160957838
138060,0,176961694227623160957838
138120,0,176961694227623160957838
138180,9700550577738027236833,186662244805361188194671
138240,0,186662244805361188194671
138300,0,186662244805361188194671
138360,187909711031454283633,186850154516392642478304
138420,0,186850154516392642478304
138480,106326675164047456038,186956481191556689934342
138540,2019694551816383348735,188976175743373073283077
138600,0,188976175743373073283077
138660,0,188976175743373073283077
138720,0,188976175743373073283077
138780,0,188976175743373073283077
138840,0,188976175743373073283077
138900,0,188976175743373073283077
138960,0,188976175743373073283077
139020,0,188976175743373073283077
139080,0,188976175743373073283077
139140,0,188976175743373073283077
139200,27276520711645380462,189003452264084718663539
139260,0,189003452264084718663539
139320,0,189003452264084718663539
139380,0,189003452264084718663539
139440,0,189003452264084718663539
139500,1274796367980019091038,190278248632064737754577
139560,0,190278248632064737754577
139620,0,190278248632064737754577
139680,0,190278248632064737754577
139740,0,190278248632064737754577
139800,0,190278248632064737754577
139860,0,190278248632064737754577
139920,0,190278248632064737754577
139980,0,190278248632064737754577
140040,0,190278248632064737754577
140100,0,190278248632064737754577
140160,0,190278248632064737754577
140220,0,190278248632064737754577
140280,0,190278248632064737754577
140340,-187909711031454283633,190090338921033283470944
140400,0,190090338921033283470944
140460,0,190090338921033283470944
140520,10749615992409952226,190101088537025693423170
140580,0,190101088537025693423170
140640,0,190101088537025693423170
140700,0,190101088537025693423170
140760,0,190101088537025693423170
140820,-3808444398986488040240,186292644138039205382930
140880,0,186292644138039205382930
140940,115073242217254491625,186407717380256459874555
141000,0,186407717380256459874555
141060,0,186407717380256459874555
141120,0,186407717380256459874555
141180,0,186407717380256459874555
141240,-73275559063144132901,186334441821193315741654
141300,0,186334441821193315741654
141360,0,186334441821193315741654
141420,0,186334441821193315741654
141480,0,186334441821193315741654
141540,5570543498810303267774,191904985320003619009428
141600,0,191904985320003619009428
141660,0,191904985320003619009428
141720,0,191904985320003619009428
141780,0,191904985320003619009428
141840,0,191904985320003619009428
141900,0,191904985320003619009428
141960,0,191904985320003619009428
142020,0,191904985320003619009428
142080,0,191904985320003619009428
142140,0,191904985320003619009428
142200,23858021446637842046,191928843341450256851474
142260,0,191928843341450256851474
142320,0,191928843341450256851474
142380,0,191928843341450256851474
142440,0,191928843341450256851474
142500,0,191928843341450256851474
142560,0,191928843341450256851474
142620,0,191928843341450256851474
142680,0,191928843341450256851474
142740,0,191928843341450256851474
142800,0,191928843341450256851474
142860,-37903021130310391655894,154025822211139865195580
142920,0,154025822211139865195580
142980,15229769958520859095,154041051981098386054675
143040,0,154041051981098386054675
143100,0,154041051981098386054675
143160,0,154041051981098386054675
143220,0,154041051981098386054675
143280,-115073242217254491625,153925978738881131563050
143340,0,153925978738881131563050
143400,0,153925978738881131563050
143460,0,153925978738881131563050
143520,0,153925978738881131563050
143580,0,153925978738881131563050
143640,0,153925978738881131563050
143700,0,153925978738881131563050
143760,0,153925978738881131563050
143820,0,153925978738881131563050
143880,0,153925978738881131563050
143940,0,153925978738881131563050
144000,0,153925978738881131563050
144060,-22348479432483698419916,131577499306397433143134
144120,0,131577499306397433143134
144180,0,131577499306397433143134
144240,0,131577499306397433143134
144300,-2019694551816383348735,129557804754581049794399
144360,0,129557804754581049794399
144420,17426731675971853967,129575231486257021648366
144480,-1845658726043487083435,127729572760213534564931
144540,0,127729572760213534564931
144600,-101254127232705593143,127628318632980828971788
144660,0,127628318632980828971788
144720,8706342903985738766,127637024975884814710554
144780,0,127637024975884814710554
144840,0,127637024975884814710554
144900,0,127637024975884814710554
144960,0,127637024975884814710554
145020,0,127637024975884814710554
145080,-36682968871445228529845,90954056104439586180709
145140,1701049907399171446,90955757154346985352155
145200,0,90955757154346985352155
145260,-1274796367980019091038,89680960786366966261117
145320,0,89680960786366966261117
145380,0,89680960786366966261117
145440,0,89680960786366966261117
145500,0,89680960786366966261117
145560,-1131372884140704746808,88549587902226261514309
145620,35682751201169536403,88585270653427431050712
145680,0,88585270653427431050712
145740,537408198009296060,88585808061625440346772
145800,-965949309653893202268,87619858751971547144504
145860,0,87619858751971547144504
145920,0,87619858751971547144504
145980,0,87619858751971547144504
146040,-6017296077046037892011,81602562674925509252493
146100,0,81602562674925509252493
146160,-70411819377275156601,81532150855548234095892
146220,0,81532150855548234095892
146280,0,81532150855548234095892
146340,0,81532150855548234095892
146400,0,81532150855548234095892
146460,0,81532150855548234095892
146520,-98360922666249347924,81433789932881984747968
146580,0,81433789932881984747968
146640,0,81433789932881984747968
146700,0,81433789932881984747968
146760,0,81433789932881984747968
146820,0,81433789932881984747968
146880,96847668507692525771,81530637601389677273739
146940,0,81530637601389677273739
147000,0,81530637601389677273739
147060,0,81530637601389677273739
147120,0,81530637601389677273739
147180,0,81530637601389677273739
147240,-64412966513464736488,81466224634876212537251
147300,-11042520614658420775525,70423704020217791761726
147360,0,70423704020217791761726
147420,0,70423704020217791761726
147480,0,70423704020217791761726
147540,0,70423704020217791761726
147600,0,70423704020217791761726
147660,-31788386875348381200,70391915633342443380526
147720,-38724221328304763104493,31667694305037680276033
147780,0,31667694305037680276033
147840,0,31667694305037680276033
147900,0,31667694305037680276033
147960,0,31667694305037680276033
148020,0,31667694305037680276033
148080,158264768591069463115,31825959073628749739148
148140,0,31825959073628749739148
148200,-96847668507692525771,31729111405121057213377
148260,0,31729111405121057213377
148320,30926306504548507456,31760037711625605720833
148380,0,31760037711625605720833
148440,0,31760037711625605720833
148500,0,31760037711625605720833
148560,0,31760037711625605720833
148620,0,31760037711625605720833
148680,36886193581352065823,31796923905206957786656
148740,-16333858607727543036,31780590046599230243620
148800,-718339797240521892674,31062250249358708350946
148860,-522649192703775086434,30539601056654933264512
148920,-113833772445968514717,30425767284208964749795
148980,0,30425767284208964749795
149040,0,30425767284208964749795
149100,0,30425767284208964749795
149160,-134323212496555689696,30291444071712409060099
149220,0,30291444071712409060099
149280,0,30291444071712409060099
149340,0,30291444071712409060099
149400,0,30291444071712409060099
149460,0,30291444071712409060099
149520,8503005125161028364,30299947076837570088463
149580,0,30299947076837570088463
149640,-556189054505531590223,29743758022332038498240
149700,0,29743758022332038498240
149760,0,29743758022332038498240
149820,0,29743758022332038498240
149880,0,29743758022332038498240
149940,0,29743758022332038498240
150000,0,29743758022332038498240
150060,0,29743758022332038498240
150120,0,29743758022332038498240
150180,0,29743758022332038498240
150240,0,29743758022332038498240
150300,0,29743758022332038498240
150360,0,29743758022332038498240
150420,0,29743758022332038498240
150480,0,29743758022332038498240
150540,0,29743758022332038498240
150600,0,29743758022332038498240
150660,0,29743758022332038498240
150720,-1311729304810783262382,28432028717521255235858
150780,0,28432028717521255235858
150840,0,28432028717521255235858
150900,0,28432028717521255235858
150960,0,28432028717521255235858
151020,0,28432028717521255235858
151080,0,28432028717521255235858
151140,0,28432028717521255235858
151200,0,28432028717521255235858
151260,0,28432028717521255235858
151320,0,28432028717521255235858
151380,0,28432028717521255235858
151440,0,28432028717521255235858
151500,0,28432028717521255235858
151560,0,28432028717521255235858
151620,0,28432028717521255235858
151680,0,28432028717521255235858
151740,0,28432028717521255235858
151800,0,28432028717521255235858
151860,0,28432028717521255235858
151920,0,28432028717521255235858
151980,0,28432028717521255235858
152040,-836656584514338866629,27595372133006916369229
152100,0,27595372133006916369229
152160,-221127323899913793319,27374244809107002575910
152220,0,27374244809107002575910
152280,0,27374244809107002575910
152340,0,27374244809107002575910
152400,0,27374244809107002575910
152460,0,27374244809107002575910
152520,0,27374244809107002575910
152580,0,27374244809107002575910
152640,0,27374244809107002575910
152700,0,27374244809107002575910
152760,0,27374244809107002575910
152820,0,27374244809107002575910
152880,0,27374244809107002575910
152940,-134863966047848367265,27239380843059154208645
153000,0,27239380843059154208645
153060,0,27239380843059154208645
153120,0,27239380843059154208645
153180,0,27239380843059154208645
153240,0,27239380843059154208645
153300,0,27239380843059154208645
153360,0,27239380843059154208645
153420,0,27239380843059154208645
153480,0,27239380843059154208645
153540,0,27239380843059154208645
153600,0,27239380843059154208645
153660,0,27239380843059154208645
153720,0,27239380843059154208645
153780,0,27239380843059154208645
153840,0,27239380843059154208645
153900,0,27239380843059154208645
153960,0,27239380843059154208645
154020,0,27239380843059154208645
154080,0,27239380843059154208645
154140,0,27239380843059154208645
154200,0,27239380843059154208645
154260,-4063847831083028291373,23175533011976125917272
154320,0,23175533011976125917272
154380,-30249700310517210612,23145283311665608706660
154440,0,23145283311665608706660
154500,0,23145283311665608706660
154560,0,23145283311665608706660
154620,0,23145283311665608706660
154680,0,23145283311665608706660
154740,0,23145283311665608706660
154800,0,23145283311665608706660
154860,0,23145283311665608706660
154920,0,23145283311665608706660
154980,0,23145283311665608706660
155040,0,23145283311665608706660
155100,0,23145283311665608706660
155160,0,23145283311665608706660
155220,0,23145283311665608706660
155280,0,23145283311665608706660
155340,0,23145283311665608706660
155400,0,23145283311665608706660
155460,0,23145283311665608706660
155520,644933956009326235190,23790217267674934941850
155580,0,23790217267674934941850
155640,0,23790217267674934941850
155700,0,23790217267674934941850
155760,0,23790217267674934941850
155820,0,23790217267674934941850
155880,0,23790217267674934941850
155940,0,23790217267674934941850
156000,0,23790217267674934941850
156060,-23858021446637842046,23766359246228297099804
156120,0,23766359246228297099804
156180,0,23766359246228297099804
156240,0,23766359246228297099804
156300,0,23766359246228297099804
156360,0,23766359246228297099804
156420,0,23766359246228297099804
156480,0,23766359246228297099804
156540,0,23766359246228297099804
156600,0,23766359246228297099804
156660,0,23766359246228297099804
156720,0,23766359246228297099804
156780,0,23766359246228297099804
156840,0,23766359246228297099804
156900,0,23766359246228297099804
156960,0,23766359246228297099804
157020,0,23766359246228297099804
157080,0,23766359246228297099804
157140,0,23766359246228297099804
157200,0,23766359246228297099804
157260,0,23766359246228297099804
157320,0,23766359246228297099804
157380,0,23766359246228297099804
157440,0,23766359246228297099804
157500,0,23766359246228297099804
157560,0,23766359246228297099804
157620,0,23766359246228297099804
157680,0,23766359246228297099804
157740,0,23766359246228297099804
157800,0,23766359246228297099804
157860,0,23766359246228297099804
157920,0,23766359246228297099804
157980,0,23766359246228297099804
158040,0,23766359246228297099804
158100,0,23766359246228297099804
158160,0,23766359246228297099804
158220,0,23766359246228297099804
158280,-17426731675971853967,23748932514552325245837
158340,0,23748932514552325245837
158400,0,23748932514552325245837
158460,0,23748932514552325245837
158520,0,23748932514552325245837
158580,-8706342903985738766,23740226171648339507071
158640,0,23740226171648339507071
158700,0,23740226171648339507071
158760,0,23740226171648339507071
158820,0,23740226171648339507071
158880,0,23740226171648339507071
158940,-1077094155366304176170,22663132016282035330901
159000,-1701049907399171446,22661430966374636159455
159060,0,22661430966374636159455
159120,0,22661430966374636159455
159180,0,22661430966374636159455
