tick,liquidity_net,liquidity
135360,0,153895479881624583105229
135300,2082668819223378404862,151812811062401204700367
135240,0,151812811062401204700367
135180,0,151812811062401204700367
135120,0,151812811062401204700367
135060,113833772445968514717,151698977289955236185650
135000,0,151698977289955236185650
134940,20805923652446752664,151678171366302789432986
134880,0,151678171366302789432986
134820,0,151678171366302789432986
134760,0,151678171366302789432986
134700,0,151678171366302789432986
134640,3388224631793271776891,148289946734509517656095
134580,41263373116815132194588,107026573617694385461507
134520,0,107026573617694385461507
134460,0,107026573617694385461507
134400,0,107026573617694385461507
134340,0,107026573617694385461507
134280,0,107026573617694385461507
134220,31788386875348381200,106994785230819037080307
134160,0,106994785230819037080307
134100,0,106994785230819037080307
134040,0,106994785230819037080307
133980,0,106994785230819037080307
133920,0,106994785230819037080307
133860,0,106994785230819037080307
133800,0,106994785230819037080307
133740,0,106994785230819037080307
133680,0,106994785230819037080307
133620,0,106994785230819037080307
133560,0,106994785230819037080307
133500,0,106994785230819037080307
133440,0,106994785230819037080307
133380,0,106994785230819037080307
133320,0,106994785230819037080307
133260,0,106994785230819037080307
133200,0,106994785230819037080307
133140,0,106994785230819037080307
133080,38724221328304763104493,68270563902514273975814
133020,0,68270563902514273975814
132960,0,68270563902514273975814
132900,0,68270563902514273975814
132840,0,68270563902514273975814
132780,0,68270563902514273975814
132720,0,68270563902514273975814
132660,0,68270563902514273975814
132600,0,68270563902514273975814
132540,0,68270563902514273975814
132480,0,68270563902514273975814
132420,0,68270563902514273975814
132360,0,68270563902514273975814
132300,43865899304891053085,68226698003209382922729
132240,0,68226698003209382922729
132180,0,68226698003209382922729
132120,0,68226698003209382922729
132060,0,68226698003209382922729
132000,0,68226698003209382922729
131940,0,68226698003209382922729
131880,0,68226698003209382922729
131820,0,68226698003209382922729
131760,0,68226698003209382922729
131700,0,68226698003209382922729
131640,0,68226698003209382922729
131580,0,68226698003209382922729
131520,0,68226698003209382922729
131460,0,68226698003209382922729
131400,0,68226698003209382922729
131340,0,68226698003209382922729
131280,0,68226698003209382922729
131220,652500340155611566502,67574197663053771356227
131160,0,67574197663053771356227
131100,0,67574197663053771356227
131040,0,67574197663053771356227
130980,0,67574197663053771356227
130920,0,67574197663053771356227
130860,0,67574197663053771356227
130800,0,67574197663053771356227
130740,0,67574197663053771356227
130680,0,67574197663053771356227
130620,1577038493970945887200,65997159169082825469027
130560,0,65997159169082825469027
130500,0,65997159169082825469027
130440,0,65997159169082825469027
130380,0,65997159169082825469027
130320,0,65997159169082825469027
130260,0,65997159169082825469027
130200,0,65997159169082825469027
130140,221127323899913793319,65776031845182911675708
130080,0,65776031845182911675708
130020,0,65776031845182911675708
129960,0,65776031845182911675708
129900,0,65776031845182911675708
129840,0,65776031845182911675708
129780,0,65776031845182911675708
129720,0,65776031845182911675708
129660,0,65776031845182911675708
129600,0,65776031845182911675708
129540,0,65776031845182911675708
129480,0,65776031845182911675708
129420,0,65776031845182911675708
129360,0,65776031845182911675708
129300,0,65776031845182911675708
129240,0,65776031845182911675708
129180,0,65776031845182911675708
129120,0,65776031845182911675708
129060,0,65776031845182911675708
129000,5782551758642320345783,59993480086540591329925
128940,0,59993480086540591329925
128880,0,59993480086540591329925
128820,0,59993480086540591329925
128760,0,59993480086540591329925
128700,0,59993480086540591329925
128640,0,59993480086540591329925
128580,0,59993480086540591329925
128520,0,59993480086540591329925
128460,0,59993480086540591329925
128400,0,59993480086540591329925
128340,0,59993480086540591329925
128280,0,59993480086540591329925
128220,0,59993480086540591329925
128160,0,59993480086540591329925
128100,0,59993480086540591329925
128040,0,59993480086540591329925
127980,0,59993480086540591329925
127920,0,59993480086540591329925
127860,0,59993480086540591329925
127800,0,59993480086540591329925
127740,0,59993480086540591329925
127680,738852683133435076037,59254627403407156253888
127620,0,59254627403407156253888
127560,0,59254627403407156253888
127500,0,59254627403407156253888
127440,0,59254627403407156253888
127380,0,59254627403407156253888
127320,0,59254627403407156253888
127260,0,59254627403407156253888
127200,0,59254627403407156253888
127140,0,59254627403407156253888
127080,0,59254627403407156253888
127020,0,59254627403407156253888
126960,0,59254627403407156253888
126900,0,59254627403407156253888
126840,0,59254627403407156253888
126780,0,59254627403407156253888
126720,0,59254627403407156253888
126660,0,59254627403407156253888
126600,0,59254627403407156253888
126540,0,59254627403407156253888
126480,0,59254627403407156253888
126420,0,59254627403407156253888
126360,0,59254627403407156253888
126300,0,59254627403407156253888
126240,0,59254627403407156253888
126180,0,59254627403407156253888
126120,2377059129995730413871,56877568273411425840017
126060,0,56877568273411425840017
126000,0,56877568273411425840017
125940,0,56877568273411425840017
125880,0,56877568273411425840017
125820,0,56877568273411425840017
125760,0,56877568273411425840017
125700,0,56877568273411425840017
125640,0,56877568273411425840017
125580,0,56877568273411425840017
125520,0,56877568273411425840017
125460,0,56877568273411425840017
125400,0,56877568273411425840017
125340,0,56877568273411425840017
125280,0,56877568273411425840017
125220,0,56877568273411425840017
125160,0,56877568273411425840017
125100,0,56877568273411425840017
125040,0,56877568273411425840017
124980,0,56877568273411425840017
124920,0,56877568273411425840017
124860,0,56877568273411425840017
124800,0,56877568273411425840017
124740,0,56877568273411425840017
124680,965949309653893202268,55911618963757532637749
124620,0,55911618963757532637749
124560,0,55911618963757532637749
124500,0,55911618963757532637749
124440,0,55911618963757532637749
124380,0,55911618963757532637749
124320,12696148403702486526308,43215470560055046111441
124260,0,43215470560055046111441
124200,0,43215470560055046111441
124140,0,43215470560055046111441
124080,19500084318107258386,43195970475736938853055
124020,0,43195970475736938853055
123960,0,43195970475736938853055
123900,0,43195970475736938853055
123840,0,43195970475736938853055
123780,0,43195970475736938853055
123720,0,43195970475736938853055
123660,0,43195970475736938853055
123600,0,43195970475736938853055
123540,0,43195970475736938853055
123480,0,43195970475736938853055
123420,0,43195970475736938853055
123360,0,43195970475736938853055
123300,0,43195970475736938853055
123240,0,43195970475736938853055
123180,0,43195970475736938853055
123120,0,43195970475736938853055
123060,0,43195970475736938853055
123000,0,43195970475736938853055
122940,0,43195970475736938853055
122880,0,43195970475736938853055
122820,0,43195970475736938853055
122760,0,43195970475736938853055
122700,0,43195970475736938853055
122640,0,43195970475736938853055
122580,0,43195970475736938853055
122520,0,43195970475736938853055
122460,0,43195970475736938853055
122400,0,43195970475736938853055
122340,0,43195970475736938853055
122280,0,43195970475736938853055
122220,0,43195970475736938853055
122160,0,43195970475736938853055
122100,0,43195970475736938853055
122040,0,43195970475736938853055
121980,0,43195970475736938853055
121920,0,43195970475736938853055
121860,0,43195970475736938853055
121800,0,43195970475736938853055
121740,0,43195970475736938853055
121680,0,43195970475736938853055
121620,0,43195970475736938853055
121560,0,43195970475736938853055
121500,0,43195970475736938853055
121440,0,43195970475736938853055
121380,0,43195970475736938853055
121320,0,43195970475736938853055
121260,0,43195970475736938853055
121200,0,43195970475736938853055
121140,0,43195970475736938853055
121080,0,43195970475736938853055
121020,0,43195970475736938853055
120960,0,43195970475736938853055
120900,0,43195970475736938853055
120840,0,43195970475736938853055
120780,0,43195970475736938853055
120720,0,43195970475736938853055
120660,0,43195970475736938853055
120600,0,43195970475736938853055
120540,0,43195970475736938853055
120480,10474414098315770407,43185496061638623082648
120420,0,43185496061638623082648
120360,0,43185496061638623082648
120300,0,43185496061638623082648
120240,0,43185496061638623082648
120180,0,43185496061638623082648
120120,0,43185496061638623082648
120060,0,43185496061638623082648
120000,0,43185496061638623082648
119940,0,43185496061638623082648
119880,0,43185496061638623082648
119820,0,43185496061638623082648
119760,0,43185496061638623082648
119700,0,43185496061638623082648
119640,0,43185496061638623082648
119580,0,43185496061638623082648
119520,0,43185496061638623082648
119460,0,43185496061638623082648
119400,0,43185496061638623082648
119340,0,43185496061638623082648
119280,0,43185496061638623082648
119220,0,43185496061638623082648
119160,0,43185496061638623082648
119100,0,43185496061638623082648
119040,0,43185496061638623082648
118980,0,43185496061638623082648
118920,0,43185496061638623082648
118860,0,43185496061638623082648
118800,0,43185496061638623082648
118740,0,43185496061638623082648
118680,0,43185496061638623082648
118620,0,43185496061638623082648
118560,0,43185496061638623082648
118500,0,43185496061638623082648
118440,0,43185496061638623082648
118380,0,43185496061638623082648
118320,0,43185496061638623082648
118260,0,43185496061638623082648
118200,0,43185496061638623082648
118140,0,43185496061638623082648
118080,0,43185496061638623082648
118020,0,43185496061638623082648
117960,0,43185496061638623082648
117900,0,43185496061638623082648
117840,0,43185496061638623082648
117780,0,43185496061638623082648
