tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
135360,0,153895479881624583105229,68871205024409740337121100562432,68664911319120356840341703229440,531886391682096577,-400711915619047945639283,0.5318863916820966,-400711.91561904794,0.5318863916820966,-400711.91561904794,0.0015956591750462899,0
135300,2082668819223378404862,151812811062401204700367,68664911319120356840341703229440,68459235536703480535842237186048,526264718317219142,-394105046807606257318872,0.5262647183172191,-394105.04680760624,1.0581511099993157,-794816.9624266542,0.003174453329997947,0
135240,0,151812811062401204700367,68459235536703480535842237186048,68254175826260774403637789065216,527845803861780688,-392924562302507479440152,0.5278458038617807,-392924.56230250746,1.5859969138610963,-1187741.5247291615,0.004757990741583289,0
135180,0,151812811062401204700367,68254175826260774403637789065216,68049730342438003701822366154752,529431639547105347,-391747613767509379292842,0.5294316395471054,-391747.6137675094,2.1154285534082016,-1579489.1384966709,0.006346285660224605,0
135120,0,151812811062401204700367,68049730342438003701822366154752,67845897245408408676744644526080,531022239644339235,-390574190611156981596225,0.5310222396443393,-390574.190611157,2.6464507930525407,-1970063.329107828,0.007939352379157622,0
135060,113833772445968514717,151698977289955236185650,67845897245408408676744644526080,67642674700856185359574774054912,532218245895638275,-389112295331653211718688,0.5322182458956383,-389112.2953316532,3.178669038948179,-2359175.624439481,0.009536007116844537,0
135000,0,151698977289955236185650,67642674700856185359574774054912,67440060879959930334074164477952,533817217944983642,-387946765889442976227443,0.5338172179449836,-387946.765889443,3.712486256893163,-2747122.390328924,0.011137458770679488,0
134940,20805923652446752664,151678171366302789432986,67440060879959930334074164477952,67238053959376238626752602046464,535347559439881700,-386731679053592059021151,0.5353475594398817,-386731.67905359203,4.247833816333045,-3133854.069382516,0.012743501448999134,0
134880,0,151678171366302789432986,67238053959376238626752602046464,67036652121223247553829837733888,536955933055058205,-385573280402127359623137,0.5369559330550582,-385573.28040212736,4.784789749388103,-3519427.3497846434,0.014354369248164309,0
134820,0,151678171366302789432986,67036652121223247553829837733888,66835853553064297661787487076352,538569138794044969,-384418351565807920794778,0.538569138794045,-384418.35156580794,5.323358888182147,-3903845.7013504514,0.015970076664546442,0
134760,0,151678171366302789432986,66835853553064297661787487076352,66635656447891620689518694236160,540187191174252719,-383266882151305631924475,0.5401871911742527,-383266.8821513056,5.8635460793564,-4287112.583501757,0.017590638238069202,0
