tick,liquidity_net,liquidity
139500,0,302496645253195363659165
139560,0,302496645253195363659165
139620,0,302496645253195363659165
139680,0,302496645253195363659165
139740,0,302496645253195363659165
139800,0,302496645253195363659165
139860,0,302496645253195363659165
139920,0,302496645253195363659165
139980,0,302496645253195363659165
140040,0,302496645253195363659165
140100,0,302496645253195363659165
140160,-201039459966085405826679,101457185287109957832486
140220,0,101457185287109957832486
140280,0,101457185287109957832486
140340,0,101457185287109957832486
140400,0,101457185287109957832486
140460,0,101457185287109957832486
140520,0,101457185287109957832486
140580,0,101457185287109957832486
140640,0,101457185287109957832486
140700,0,101457185287109957832486
140760,0,101457185287109957832486
140820,0,101457185287109957832486
140880,0,101457185287109957832486
140940,0,101457185287109957832486
141000,0,101457185287109957832486
141060,0,101457185287109957832486
141120,0,101457185287109957832486
141180,0,101457185287109957832486
141240,0,101457185287109957832486
141300,0,101457185287109957832486
141360,0,101457185287109957832486
141420,0,101457185287109957832486
141480,0,101457185287109957832486
141540,0,101457185287109957832486
141600,0,101457185287109957832486
141660,0,101457185287109957832486
141720,0,101457185287109957832486
141780,0,101457185287109957832486
141840,0,101457185287109957832486
141900,0,101457185287109957832486
141960,0,101457185287109957832486
142020,0,101457185287109957832486
142080,0,101457185287109957832486
142140,0,101457185287109957832486
142200,0,101457185287109957832486
142260,0,101457185287109957832486
142320,0,101457185287109957832486
142380,0,101457185287109957832486
142440,0,101457185287109957832486
142500,0,101457185287109957832486
142560,0,101457185287109957832486
142620,0,101457185287109957832486
142680,0,101457185287109957832486
142740,0,101457185287109957832486
142800,0,101457185287109957832486
142860,0,101457185287109957832486
142920,0,101457185287109957832486
142980,0,101457185287109957832486
143040,0,101457185287109957832486
143100,0,101457185287109957832486
143160,0,101457185287109957832486
143220,0,101457185287109957832486
143280,0,101457185287109957832486
143340,0,101457185287109957832486
143400,0,101457185287109957832486
143460,0,101457185287109957832486
143520,0,101457185287109957832486
143580,0,101457185287109957832486
143640,0,101457185287109957832486
143700,0,101457185287109957832486
143760,0,101457185287109957832486
143820,0,101457185287109957832486
143880,0,101457185287109957832486
143940,0,101457185287109957832486
144000,0,101457185287109957832486
144060,0,101457185287109957832486
144120,0,101457185287109957832486
144180,0,101457185287109957832486
144240,0,101457185287109957832486
144300,0,101457185287109957832486
144360,0,101457185287109957832486
144420,0,101457185287109957832486
144480,0,101457185287109957832486
144540,0,101457185287109957832486
144600,0,101457185287109957832486
144660,0,101457185287109957832486
144720,0,101457185287109957832486
144780,0,101457185287109957832486
144840,0,101457185287109957832486
144900,0,101457185287109957832486
144960,0,101457185287109957832486
145020,0,101457185287109957832486
145080,0,101457185287109957832486
145140,0,101457185287109957832486
145200,0,101457185287109957832486
145260,0,101457185287109957832486
145320,0,101457185287109957832486
145380,0,101457185287109957832486
145440,0,101457185287109957832486
145500,0,101457185287109957832486
145560,0,101457185287109957832486
145620,0,101457185287109957832486
145680,0,101457185287109957832486
145740,0,101457185287109957832486
145800,0,101457185287109957832486
145860,0,101457185287109957832486
145920,0,101457185287109957832486
145980,0,101457185287109957832486
146040,0,101457185287109957832486
146100,0,101457185287109957832486
146160,0,101457185287109957832486
146220,0,101457185287109957832486
146280,0,101457185287109957832486
146340,0,101457185287109957832486
146400,0,101457185287109957832486
146460,0,101457185287109957832486
146520,0,101457185287109957832486
146580,0,101457185287109957832486
146640,0,101457185287109957832486
146700,0,101457185287109957832486
146760,0,101457185287109957832486
146820,0,101457185287109957832486
146880,0,101457185287109957832486
146940,0,101457185287109957832486
147000,0,101457185287109957832486
147060,0,101457185287109957832486
147120,0,101457185287109957832486
147180,0,101457185287109957832486
147240,0,101457185287109957832486
147300,0,101457185287109957832486
147360,0,101457185287109957832486
147420,0,101457185287109957832486
147480,0,101457185287109957832486
147540,0,101457185287109957832486
147600,0,101457185287109957832486
147660,0,101457185287109957832486
147720,0,101457185287109957832486
147780,0,101457185287109957832486
147840,0,101457185287109957832486
147900,0,101457185287109957832486
147960,0,101457185287109957832486
148020,0,101457185287109957832486
148080,0,101457185287109957832486
148140,0,101457185287109957832486
148200,0,101457185287109957832486
148260,0,101457185287109957832486
148320,0,101457185287109957832486
148380,0,101457185287109957832486
148440,0,101457185287109957832486
148500,0,101457185287109957832486
148560,0,101457185287109957832486
148620,0,101457185287109957832486
148680,0,101457185287109957832486
148740,0,101457185287109957832486
148800,0,101457185287109957832486
148860,0,101457185287109957832486
148920,0,101457185287109957832486
148980,0,101457185287109957832486
149040,0,101457185287109957832486
149100,0,101457185287109957832486
149160,0,101457185287109957832486
149220,0,101457185287109957832486
149280,0,101457185287109957832486
149340,0,101457185287109957832486
149400,0,101457185287109957832486
149460,0,101457185287109957832486
149520,0,101457185287109957832486
149580,0,101457185287109957832486
149640,0,101457185287109957832486
149700,0,101457185287109957832486
149760,0,101457185287109957832486
149820,0,101457185287109957832486
149880,0,101457185287109957832486
149940,0,101457185287109957832486
150000,0,101457185287109957832486
150060,0,101457185287109957832486
150120,0,101457185287109957832486
150180,0,101457185287109957832486
150240,0,101457185287109957832486
150300,0,101457185287109957832486
150360,0,101457185287109957832486
150420,0,101457185287109957832486
150480,0,101457185287109957832486
150540,0,101457185287109957832486
150600,0,101457185287109957832486
150660,0,101457185287109957832486
150720,0,101457185287109957832486
150780,0,101457185287109957832486
150840,0,101457185287109957832486
150900,0,101457185287109957832486
150960,0,101457185287109957832486
151020,0,101457185287109957832486
151080,0,101457185287109957832486
151140,0,101457185287109957832486
151200,0,101457185287109957832486
151260,0,101457185287109957832486
151320,0,101457185287109957832486
151380,0,101457185287109957832486
151440,0,101457185287109957832486
151500,0,101457185287109957832486
151560,0,101457185287109957832486
151620,0,101457185287109957832486
151680,0,101457185287109957832486
151740,0,101457185287109957832486
151800,0,101457185287109957832486
151860,0,101457185287109957832486
151920,0,101457185287109957832486
151980,0,101457185287109957832486
152040,0,101457185287109957832486
152100,0,101457185287109957832486
152160,0,101457185287109957832486
152220,0,101457185287109957832486
152280,0,101457185287109957832486
152340,0,101457185287109957832486
152400,0,101457185287109957832486
152460,0,101457185287109957832486
152520,0,101457185287109957832486
152580,0,101457185287109957832486
152640,0,101457185287109957832486
152700,0,101457185287109957832486
152760,0,101457185287109957832486
152820,0,101457185287109957832486
152880,0,101457185287109957832486
152940,0,101457185287109957832486
153000,0,101457185287109957832486
153060,0,101457185287109957832486
153120,0,101457185287109957832486
153180,0,101457185287109957832486
153240,0,101457185287109957832486
153300,0,101457185287109957832486
153360,0,101457185287109957832486
153420,0,101457185287109957832486
153480,0,101457185287109957832486
153540,0,101457185287109957832486
153600,0,101457185287109957832486
153660,0,101457185287109957832486
153720,0,101457185287109957832486
153780,0,101457185287109957832486
