tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
139500,0,302496645253195363659165,84709505188090981975181378977792,84964002534155658183506177032192,-847454316342151534,971682176732871363944143,-0.8474543163421515,971682.1767328713,-0.8474543163421515,971682.1767328713,0,2915.046530198614
139560,0,302496645253195363659165,84964002534155658183506177032192,85219264480355939222545076584448,-844915889855783212,974601454028226509777884,-0.8449158898557831,974601.4540282266,-1.6923702061979347,1946283.630761098,0,5838.850892283293
139620,0,302496645253195363659165,85219264480355939222545076584448,85475293323821341804549631901696,-842385066857747932,977529501866157251052057,-0.8423850668577479,977529.5018661573,-2.5347552730556826,2923813.1326272553,0,8771.439397881766
139680,0,302496645253195363659165,85475293323821341804549631901696,85732091368582788782746492731392,-839861824572950991,980466346596538921539597,-0.839861824572951,980466.3465965389,-3.374617097628634,3904279.4792237943,0,11712.838437671382
139740,0,302496645253195363659165,85732091368582788782746492731392,85989660925593325709623308582912,-837346140294458541,983412014648343595159977,-0.8373461402944585,983412.0146483436,-4.211963237923093,4887691.493872138,0,14663.074481616413
139800,0,302496645253195363659165,85989660925593325709623308582912,86248004312748909452808670937088,-834837991383326796,986366532529915205075368,-0.8348379913833268,986366.5325299152,-5.0468012293064195,5874058.0264020525,0,17622.174079206157
139860,0,302496645253195363659165,86248004312748909452808670937088,86507123854909268868546093383680,-832337355268429883,989329926829244662786803,-0.8323373552684298,989329.9268292447,-5.879138584574849,6863387.953231297,0,20590.163859693894
139920,0,302496645253195363659165,86507123854909268868546093383680,86767021883918855547160539168768,-829844209446343749,992302224214313757004374,-0.8298442094463439,992302.2242143138,-6.708982794021193,7855690.177445611,0,23567.070532336835
139980,0,302496645253195363659165,86767021883918855547160539168768,87027700738627794558524948742144,-827358531480941413,995283451433095153647239,-0.8273585314809414,995283.4514330951,-7.536341325502134,8850973.628878705,0,26552.920886636115
140040,0,302496645253195363659165,87027700738627794558524948742144,87289162764912961298316333678592,-824880299003393274,998273635314033854261900,-0.8248802990033933,998273.6353140338,-8.361221624505527,9849247.26419274,0,29547.74179257822
140100,0,302496645253195363659165,87289162764912961298316333678592,87551410315699040319873361117184,-822409489711708446,1001272802765978416248164,-0.8224094897117085,1001272.8027659784,-9.183631114217235,10850520.066958718,0,32551.560200876156
140160,-201039459966085405826679,101457185287109957832486,87551410315699040319873361117184,87814445750979764310039033020416,-275009401950412725,336835211715875681993343,-0.27500940195041274,336835.21171587566,-9.458640516167648,11187355.278674593,0,33562.06583602378
140220,0,101457185287109957832486,87814445750979764310039033020416,88078271437839117036206346469376,-274185651175356625,337847183952666251238603,-0.27418565117535665,337847.18395266624,-9.732826167343005,11525202.46262726,0,34575.607387881784
