tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
139380,0,302496645253195363659165,84202795142233342744008545271808,83950577882502540466509062340608,855115445510433748,-962976705786724614174290,0.8551154455104337,-962976.7057867246,0.8551154455104337,-962976.7057867246,0.002565346336531301,0
139320,0,302496645253195363659165,83950577882502540466509062340608,83699116102990645725014695870464,857684515073243128,-960092248738594355865959,0.8576845150732432,-960092.2487385944,1.712799960583677,-1923068.954525319,0.005138399881751031,0
139260,0,302496645253195363659165,83699116102990645725014695870464,83448407540766243592110262452224,860261303030620849,-957216431663167369153339,0.8602613030306209,-957216.4316631673,2.573061263614298,-2880285.386188486,0.007719183790842894,0
139200,0,302496645253195363659165,83448407540766243592110262452224,83198449939676160838746345832448,862845832571499213,-954349228680815635378163,0.8628458325714992,-954349.2286808157,3.4359070961857974,-3834634.6148693017,0.010307721288557392,0
139140,-62663042974748872016227,365159688227944235675392,83198449939676160838746345832448,82949241050325289807908677091328,1044716103726028481,-1148594608925991142299611,1.0447161037260284,-1148594.6089259912,4.480623199911825,-4983229.223795293,0.013441869599735475,0
139080,0,365159688227944235675392,82949241050325289807908677091328,82700778630056178101106891554816,1047854800796731583,-1145154160371880615494425,1.0478548007967317,-1145154.1603718805,5.5284780007085566,-6128383.384167174,0.016585434002125667,0
139020,0,365159688227944235675392,82700778630056178101106891554816,82453060442928996567231984828416,1051002927624585423,-1141724017182238970100776,1.0510029276245854,-1141724.0171822389,6.579480928333142,-7270107.401349412,0.01973844278499943,0
138960,0,365159688227944235675392,82453060442928996567231984828416,82206084259701273104233145565184,1054160512540243649,-1138304148489193793389103,1.0541605125402436,-1138304.1484891938,7.633641440873386,-8408411.549838606,0.02290092432262016,0
138900,0,365159688227944235675392,82206084259701273104233145565184,81959847857807986748764777873408,1057327583958815284,-1134894523516618281611729,1.0573275839588152,-1134894.5235166182,8.690969024832201,-9543306.073355224,0.026072907074496606,0
138840,0,365159688227944235675392,81959847857807986748764777873408,81714349021341445593051409940480,1060504170381293448,-1131495111581127572408091,1.0605041703812934,-1131495.1115811276,9.751473195213494,-10674801.184936352,0.029254419585640484,0
138780,0,365159688227944235675392,81714349021341445593051409940480,81469585541031380874534716440576,1063690300394149466,-1128105882091082412399509,1.0636903003941494,-1128105.8820910824,10.815163495607644,-11802907.067027435,0.03244549048682293,0
138720,0,365159688227944235675392,81469585541031380874534716440576,81225555214225077094317559906304,1066886002669688605,-1124726804546423101788312,1.0668860026696887,-1124726.804546423,11.882049498277333,-12927633.871573858,0.035646148494832,0
138660,0,365159688227944235675392,81225555214225077094317559906304,80982255844867565186002815287296,1070091305966290835,-1121357848538378897406313,1.0700913059662909,-1121357.848538379,12.952140804243623,-14048991.720112236,0.03885642241273087,0
138600,0,365159688227944235675392,80982255844867565186002815287296,80739685243481833698930703990784,1073306239128850792,-1117998983749384985014372,1.0733062391288508,-1117998.983749385,14.025447043372473,-15166990.70386162,0.04207634113011742,0
138540,0,365159688227944235675392,80739685243481833698930703990784,80497841227149112039010165850112,1076530831088984076,-1114650179952750368500652,1.076530831088984,-1114650.1799527504,15.101977874461458,-16281640.88381437,0.04530593362338437,0
138480,0,365159688227944235675392,80497841227149112039010165850112,80256721619489279810339797467136,1079765110864988496,-1111311407012076675977569,1.0797651108649884,-1111311.4070120766,16.181742985326444,-17392952.290826447,0.04854522895597933,0
138420,0,365159688227944235675392,80256721619489279810339797467136,80016324250641222113633262108672,1083009107562606632,-1107982634881507242883094,1.0830091075626067,-1107982.6348815071,17.26475209288905,-18500934.925707955,0.051794256278667156,0
138360,0,365159688227944235675392,80016324250641222113633262108672,79776646957243328959832775458816,1086262850374908906,-1104663833605062890377271,1.086262850374909,-1104663.833605063,18.35101494326396,-19605598.759313017,0.055053044829791876,0
138300,0,365159688227944235675392,79776646957243328959832775458816,79537687582414021705320355594240,1089526368582695957,-1101354973316517383791558,1.089526368582696,-1101354.9733165174,19.440541311846655,-20706953.732629534,0.05832162393553997,0
138240,0,365159688227944235675392,79537687582414021705320355594240,79299443975732387573520129851392,1092799691554534027,-1098056024238899266426213,1.092799691554534,-1098056.0242388994,20.53334100340119,-21805009.756868433,0.06160002301020357,0
138180,0,365159688227944235675392,79299443975732387573520129851392,79061913993218733111707349024768,1096082848747656152,-1094766956684865484202257,1.0960828487476562,-1094766.9566848655,21.629423852148847,-22899776.7135533,0.06488827155644654,0
138120,0,365159688227944235675392,79061913993218733111707349024768,78825095497315380842197279571968,1099375869707380506,-1091487741055580511705582,1.0993758697073805,-1091487.7410555806,22.728799721856227,-23991264.45460888,0.06818639916556868,0
