tick,liquidity_net,liquidity
100000,-1336576936308590219654,287582999181258920715151
100200,-3734239177356502553747,283848760003902418161404
100400,2493453806059570280623,286342213809961988442027
100600,231668777213287269561239,518010991023249258003266
100800,-3896676803337911662684,514114314219911346340582
101000,-234170639951037955988857,279943674268873390351725
101200,-6783771936615044174298,273159902332258346177427
101400,-5723341189844298454191,267436561142414047723236
101600,-327978091280253862239,267108583051133793860997
101800,-166215656632241739316,266942367394501552121681
102000,-599168919895543168559,266343198474606008953122
102200,-552809787561807551220,265790388687044201401902
102400,-2030187595799010611561,263760201091245190790341
102600,-1425022409531375887045,262335178681713814903296
102800,-990505975165231747137,261344672706548583156159
103000,-4171289806533948120274,257173382900014635035885
103200,-5704490584610512776195,251468892315404122259690
103400,-266490641021303406894,251202401674382818852796
103600,-84446900382583899852,251117954774000234952944
103800,-98031011676554548390,251019923762323680404554
104000,-4726239432139080194434,246293684330184600210120
104200,-153323248624403218151,246140361081560196991969
104400,-121375503381600861278,246018985578178596130691
104600,-10636955839567006915622,235382029738611589215069
104800,-287692551152080260018,235094337187459508955051
105000,-1851150658856096642226,233243186528603412312825
105200,0,233243186528603412312825
105400,-358297297191089131666,232884889231412323181159
105600,-518100361018518413765,232366788870393804767394
105800,0,232366788870393804767394
106000,-6655451532708186153183,225711337337685618614211
106200,-3736999618152481934,225707600338067466132277
106400,0,225707600338067466132277
106600,0,225707600338067466132277
106800,0,225707600338067466132277
107000,0,225707600338067466132277
107200,0,225707600338067466132277
107400,0,225707600338067466132277
107600,0,225707600338067466132277
107800,0,225707600338067466132277
108000,0,225707600338067466132277
108200,-1106576482044258908752,224601023856023207223525
108400,-3073004564046040804644,221528019291977166418881
108600,-2818123710445089958861,218709895581532076460020
108800,0,218709895581532076460020
109000,0,218709895581532076460020
109200,0,218709895581532076460020
109400,0,218709895581532076460020
109600,0,218709895581532076460020
109800,0,218709895581532076460020
110000,-781943139864829874293,217927952441667246585727
110200,0,217927952441667246585727
110400,0,217927952441667246585727
110600,-94641989341652640378,217833310452325593945349
110800,0,217833310452325593945349
111000,0,217833310452325593945349
111200,0,217833310452325593945349
111400,0,217833310452325593945349
111600,0,217833310452325593945349
111800,0,217833310452325593945349
112000,0,217833310452325593945349
112200,0,217833310452325593945349
112400,0,217833310452325593945349
112600,0,217833310452325593945349
112800,0,217833310452325593945349
113000,-1479550101832715968115,216353760350492877977234
113200,0,216353760350492877977234
113400,0,216353760350492877977234
113600,0,216353760350492877977234
113800,0,216353760350492877977234
114000,-765836032424881980900,215587924318067995996334
114200,0,215587924318067995996334
114400,0,215587924318067995996334
114600,0,215587924318067995996334
114800,0,215587924318067995996334
115000,-294505923016935721054,215293418395051060275280
