tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
100000,-1336576936308590219654,287582999181258920715151,11755562826489595042535449821184,11873702260607383037607076167680,-19284487302748213955,428823434836739208087151,-19.284487302748214,428823.4348367392,-19.284487302748214,428823.4348367392,0,4288.234348367392
100200,-3734239177356502553747,283848760003902418161404,11873702260607383037607076167680,11993028956117898892171502682112,-18844697144555488240,427508773157840502455526,-18.84469714455549,427508.7731578405,-38.1291844473037,856332.2079945797,0,8563.322079945798
100400,2493453806059570280623,286342213809961988442027,11993028956117898892171502682112,12113554844596953216419555704832,-18821091737023625283,435598259927983146256494,-18.821091737023625,435598.25992798316,-56.95027618432732,1291930.4679225627,0,12919.304679225628
100600,231668777213287269561239,518010991023249258003266,12113554844596953216419555704832,12235291977528667425883939667968,-33709761520197103265,795943902686531426903796,-33.709761520197105,795943.9026865314,-90.66003770452443,2087874.3706090942,0,20878.743706090943
100800,-3896676803337911662684,514114314219911346340582,12235291977528667425883939667968,12358252527510499641934947024896,-33123305770340244483,797895304193522780843576,-33.123305770340245,797895.3041935228,-123.78334347486467,2885769.674802617,0,28857.696748026174
101000,-234170639951037955988857,279943674268873390351725,12358252527510499641934947024896,12482448789470405541472117981184,-17856729037585972132,438833323911253167752240,-17.85672903758597,438833.3239112532,-141.64007251245064,3324602.9987138705,0,33246.0299871387
101200,-6783771936615044174298,273159902332258346177427,12482448789470405541472117981184,12607893181896206213405887954944,-17250650294303275857,432502495271070291185848,-17.250650294303277,432502.4952710703,-158.89072280675393,3757105.493984941,0,37571.05493984941
101400,-5723341189844298454191,267436561142414047723236,12607893181896206213405887954944,12734598248077329655115435474944,-16721166601031613871,427695987177549873893327,-16.721166601031612,427695.98717754986,-175.61188940778555,4184801.481162491,0,41848.01481162491
101600,-327978091280253862239,267108583051133793860997,12734598248077329655115435474944,12862576657359031743473973723136,-16534494065925567847,431464399521053645464701,-16.534494065925568,431464.39952105365,-192.14638347371113,4616265.880683544,0,46162.65880683544
101800,-166215656632241739316,266942367394501552121681,12862576657359031743473973723136,12991841206409198011433101557760,-16359794614795138714,435529282121385988664224,-16.35979461479514,435529.282121386,-208.50617808850626,5051795.1628049305,0,50517.951628049304
102000,-599168919895543168559,266343198474606008953122,12991841206409198011433101557760,13122404820497906374151308836864,-16160664807125602955,438918807116469863503193,-16.160664807125602,438918.8071164699,-224.66684289563187,5490713.969921401,0,54907.13969921401
102200,-552809787561807551220,265790388687044201401902,13122404820497906374151308836864,13254280554789829617660115025920,-15966662901866742808,442409637728616541903384,-15.966662901866743,442409.63772861654,-240.63350579749863,5933123.607650017,0,59331.23607650017
102400,-2030187595799010611561,263760201091245190790341,13254280554789829617660115025920,13387481595649637527854612742144,-15687055085525268446,443442485699711744314086,-15.687055085525268,443442.4856997117,-256.3205608830239,6376566.093349729,0,63765.66093349728
102600,-1425022409531375887045,262335178681713814903296,13387481595649637527854612742144,13522021261960504494399659442176,-15447064546446632573,445479060492977790186486,-15.447064546446633,445479.0604929778,-271.76762542947057,6822045.153842706,0,68220.45153842706
102800,-990505975165231747137,261344672706548583156159,13522021261960504494399659442176,13657913006455884719138302590976,-15235627739686313312,448257063670673667340794,-15.235627739686313,448257.06367067364,-287.0032531691569,7270302.21751338,0,72703.0221751338
103000,-4171289806533948120274,257173382900014635035885,13657913006455884719138302590976,13795170417064656359994054148096,-14843283794353455702,445535419403408383064996,-14.843283794353455,445535.41940340836,-301.84653696351035,7715837.636916788,0,77158.37636916788
103200,-5704490584610512776195,251468892315404122259690,13795170417064656359994054148096,13933807218269787732754344968192,-14369627639339150904,440030940095682766066114,-14.369627639339152,440030.94009568274,-316.2161646028495,8155868.577012471,0,81558.6857701247
103400,-266490641021303406894,251202401674382818852796,13933807218269787732754344968192,14073837272480667434123421286400,-14211578070043818529,443982099395955237983003,-14.211578070043819,443982.0993959552,-330.4277426728933,8599850.676408427,0,85998.50676408428
103600,-84446900382583899852,251117954774000234952944,14073837272480667434123421286400,14215274581419213227835181236224,-14065447558007758495,448293215723530582092875,-14.065447558007758,448293.21572353056,-344.49319023090106,9048143.892131958,0,90481.43892131958
103800,-98031011676554548390,251019923762323680404554,14215274581419213227835181236224,14358133287519917319812909367296,-13920064764667400432,452621648365587148788442,-13.9200647646674,452621.64836558717,-358.4132549955685,9500765.540497545,0,95007.65540497545
104000,-4726239432139080194434,246293684330184600210120,14358133287519917319812909367296,14502427675343960878564916592640,-13522083402888429569,448562673644662240008633,-13.522083402888429,448562.67364466225,-371.9353383984569,9949328.214142207,0,99493.28214142207
104200,-153323248624403218151,246140361081560196991969,14502427675343960878564916592640,14648172173007532908804906680320,-13379209077544315893,452788530519100421581801,-13.379209077544315,452788.53051910043,-385.3145474760012,10402116.744661307,0,104021.16744661306
104400,-121375503381600861278,246018985578178596130691,14648172173007532908804906680320,14795381353624520111483281997824,-13239558499721049256,457113381579001572253210,-13.23955849972105,457113.38157900155,-398.5541059757223,10859230.12624031,0,108592.3012624031
104600,-10636955839567006915622,235382029738611589215069,14795381353624520111483281997824,14944069936763678068420259086336,-12541094931812041177,441744695163820118684398,-12.541094931812042,441744.6951638201,-411.0952009075343,11300974.82140413,0,113009.74821404129
104800,-287692551152080260018,235094337187459508955051,14944069936763678068420259086336,15094252789920450384727006773248,-12401139484164751438,445638737531697864019165,-12.401139484164752,445638.73753169784,-423.49634039169905,11746613.558935827,0,117466.13558935827
105000,-1851150658856096642226,233243186528603412312825,15094252789920450384727006773248,15245944930003593415001764790272,-12181076269958830374,446572998811697799109655,-12.18107626995883,446572.9988116978,-435.6774166616579,12193186.557747524,0,121931.86557747524
105200,0,233243186528603412312825,15245944930003593415001764790272,15399161524836716911491813474304,-12059878565494479786,451060906549556699087481,-12.05987856549448,451060.9065495567,-447.7372952271524,12644247.46429708,0,126442.4746429708
105400,-358297297191089131666,232884889231412323181159,15399161524836716911491813474304,15553917894674936500805085167616,-11921545241599442964,454894054133092960836263,-11.921545241599443,454894.054133093,-459.65884046875186,13099141.518430173,0,130991.41518430173
