tick,liquidity_net,liquidity
99600,0,446398006439181913321929
99400,-4923896337677243245015,451321902776859156566944
99200,-1972039719547970056990,453293942496407126623934
99000,-5128838509999090546379,458422781006406217170313
98800,-22158861262940520184810,480581642269346737355123
98600,24644008675776276578297,455937633593570460776826
98400,-338512923335722634439,456276146516906183411265
98200,-10538030511003521201336,466814177027909704612601
98000,-11989179304600450228884,478803356332510154841485
97800,-135685576464118111973,478939041908974272953458
97600,127322710655827959998005,351616331253146312955453
97400,19252081974036073529152,332364249279110239426301
97200,453815991022156747235,331910433288088082679066
97000,-5451708086171967350964,337362141374260050030030
96800,-378798224828722280865,337740939599088772310895
96600,35116683283262223887,337705822915805510087008
96400,-46967600490421143283589,384673423406226653370597
96200,-122443226183557009804276,507116649589783663174873
96000,-610893244570165980410,507727542834353829155283
95800,76725286669859546885,507650817547683969608398
95600,3785283866434703782754,503865533681249265825644
95400,0,503865533681249265825644
95200,124762579665228524676326,379102954016020741149318
95000,0,379102954016020741149318
94800,4799236205797381709822,374303717810223359439496
94600,104271131381840729358,374199446678841518710138
94400,91267857981473871106,374108178820860044839032
94200,52690960801475292026,374055487860058569547006
94000,956694896592121769682,373098792963466447777324
93800,610893244570165980410,372487899718896281796914
93600,57121836019012875985686,315366063699883405811228
93400,2407152228534696401941,312958911471348709409287
93200,153028217345761615589,312805883254002947793698
93000,28985608166604190302,312776897645836343603396
92800,0,312776897645836343603396
92600,438859293665796726575,312338038352170546876821
92400,31689294077817130696,312306349058092729746125
92200,21138361769121836756186,291167987288970892989939
92000,317674432206159340656,290850312856764733649283
91800,0,290850312856764733649283
91600,0,290850312856764733649283
91400,0,290850312856764733649283
91200,65075466988079252461,290785237389776654396822
91000,2254009579165126674869,288531227810611527721953
90800,0,288531227810611527721953
90600,0,288531227810611527721953
90400,94641989341652640378,288436585821269875081575
90200,0,288436585821269875081575
90000,0,288436585821269875081575
89800,496910661115790082999,287939675160154084998576
89600,135685576464118111973,287803989583689966886603
89400,0,287803989583689966886603
89200,2186284645625631889500,285617704938064334997103
89000,0,285617704938064334997103
88800,831552461973259683851,284786152476091075313252
88600,481791514680273241178,284304360961410802072074
88400,0,284304360961410802072074
88200,308891339841976172472,283995469621568825899602
88000,11882319335513093196801,272113150286055732702801
87800,13104110434386843960616,259009039851668888742185
87600,0,259009039851668888742185
87400,1748573714688927567905,257260466136979961174280
87200,0,257260466136979961174280
87000,100339807563222104141,257160126329416739070139
86800,274812791967451645094,256885313537449287425045
86600,0,256885313537449287425045
86400,0,256885313537449287425045
86200,0,256885313537449287425045
86000,0,256885313537449287425045
85800,0,256885313537449287425045
85600,149362755980349349193,256735950781468938075852
85400,0,256735950781468938075852
85200,15837820484326455277732,240898130297142482798120
85000,395447310263168580480,240502682986879314217640
84800,3073004564046040804644,237429678422833273412996
84600,0,237429678422833273412996
84400,0,237429678422833273412996
84200,0,237429678422833273412996
84000,0,237429678422833273412996
83800,0,237429678422833273412996
83600,0,237429678422833273412996
83400,0,237429678422833273412996
83200,0,237429678422833273412996
83000,6985785851311746402329,230443892571521527010667
82800,2395832457789365258633,228048060113732161752034
82600,1447368162863708255,228046612745569298043779
82400,0,228046612745569298043779
82200,1663148379705993884518,226383464365863304159261
82000,0,226383464365863304159261
81800,0,226383464365863304159261
81600,-2034435137686355012564620,2260818602052218316723881
81400,0,2260818602052218316723881
81200,237485849106719884142,2260581116203111596839739
81000,0,2260581116203111596839739
80800,0,2260581116203111596839739
80600,0,2260581116203111596839739
80400,0,2260581116203111596839739
80200,0,2260581116203111596839739
80000,20923094663783810376,2260560193108447813029363
79800,0,2260560193108447813029363
79600,521849922237643111499,2260038343186210169917864
79400,0,2260038343186210169917864
79200,0,2260038343186210169917864
79000,0,2260038343186210169917864
78800,0,2260038343186210169917864
78600,952118727990803704498,2259086224458219366213366
78400,0,2259086224458219366213366
78200,0,2259086224458219366213366
78000,0,2259086224458219366213366
77800,0,2259086224458219366213366
77600,0,2259086224458219366213366
77400,0,2259086224458219366213366
77200,0,2259086224458219366213366
77000,0,2259086224458219366213366
76800,0,2259086224458219366213366
76600,0,2259086224458219366213366
76400,0,2259086224458219366213366
76200,126666377015017607873,2258959558081204348605493
76000,2840942938982792187,2258956717138265365813306
75800,11822059339497762190,2258944895078925868051116
75600,0,2258944895078925868051116
75400,0,2258944895078925868051116
75200,0,2258944895078925868051116
75000,0,2258944895078925868051116
74800,0,2258944895078925868051116
74600,0,2258944895078925868051116
74400,0,2258944895078925868051116
74200,0,2258944895078925868051116
74000,0,2258944895078925868051116
73800,0,2258944895078925868051116
73600,116094138576723925992,2258828800940349144125124
73400,0,2258828800940349144125124
73200,0,2258828800940349144125124
73000,0,2258828800940349144125124
72800,0,2258828800940349144125124
72600,0,2258828800940349144125124
72400,0,2258828800940349144125124
72200,0,2258828800940349144125124
72000,0,2258828800940349144125124
71800,0,2258828800940349144125124
71600,0,2258828800940349144125124
71400,0,2258828800940349144125124
71200,0,2258828800940349144125124
71000,0,2258828800940349144125124
70800,0,2258828800940349144125124
70600,0,2258828800940349144125124
70400,0,2258828800940349144125124
70200,0,2258828800940349144125124
70000,0,2258828800940349144125124
69800,0,2258828800940349144125124
69600,0,2258828800940349144125124
69400,0,2258828800940349144125124
69200,0,2258828800940349144125124
69000,4137280488476081847910,2254691520451873062277214
68800,0,2254691520451873062277214
68600,0,2254691520451873062277214
68400,0,2254691520451873062277214
68200,0,2254691520451873062277214
68000,0,2254691520451873062277214
67800,0,2254691520451873062277214
67600,0,2254691520451873062277214
67400,0,2254691520451873062277214
67200,64869260667263763364,2254626651191205798513850
67000,0,2254626651191205798513850
66800,0,2254626651191205798513850
66600,0,2254626651191205798513850
66400,0,2254626651191205798513850
66200,0,2254626651191205798513850
66000,0,2254626651191205798513850
65800,0,2254626651191205798513850
65600,0,2254626651191205798513850
65400,0,2254626651191205798513850
65200,0,2254626651191205798513850
65000,0,2254626651191205798513850
64800,0,2254626651191205798513850
64600,0,2254626651191205798513850
64400,0,2254626651191205798513850
64200,0,2254626651191205798513850
64000,0,2254626651191205798513850
63800,0,2254626651191205798513850
63600,0,2254626651191205798513850
63400,0,2254626651191205798513850
63200,0,2254626651191205798513850
63000,0,2254626651191205798513850
62800,0,2254626651191205798513850
62600,0,2254626651191205798513850
62400,0,2254626651191205798513850
62200,0,2254626651191205798513850
62000,0,2254626651191205798513850
61800,0,2254626651191205798513850
61600,0,2254626651191205798513850
61400,0,2254626651191205798513850
61200,0,2254626651191205798513850
61000,0,2254626651191205798513850
60800,0,2254626651191205798513850
60600,0,2254626651191205798513850
60400,0,2254626651191205798513850
60200,0,2254626651191205798513850
60000,0,2254626651191205798513850
59800,0,2254626651191205798513850
59600,0,2254626651191205798513850
59400,0,2254626651191205798513850
59200,0,2254626651191205798513850
59000,0,2254626651191205798513850
58800,0,2254626651191205798513850
58600,111711026304791780023247,2142915624886414018490603
58400,0,2142915624886414018490603
58200,0,2142915624886414018490603
58000,0,2142915624886414018490603
57800,0,2142915624886414018490603
57600,0,2142915624886414018490603
57400,0,2142915624886414018490603
57200,0,2142915624886414018490603
57000,0,2142915624886414018490603
56800,0,2142915624886414018490603
56600,0,2142915624886414018490603
56400,0,2142915624886414018490603
56200,0,2142915624886414018490603
56000,0,2142915624886414018490603
55800,0,2142915624886414018490603
55600,0,2142915624886414018490603
55400,0,2142915624886414018490603
55200,88122132318300632302,2142827502754095717858301
55000,0,2142827502754095717858301
54800,0,2142827502754095717858301
54600,0,2142827502754095717858301
54400,0,2142827502754095717858301
54200,0,2142827502754095717858301
54000,0,2142827502754095717858301
53800,0,2142827502754095717858301
53600,0,2142827502754095717858301
53400,0,2142827502754095717858301
53200,0,2142827502754095717858301
53000,0,2142827502754095717858301
52800,0,2142827502754095717858301
52600,0,2142827502754095717858301
52400,0,2142827502754095717858301
52200,0,2142827502754095717858301
52000,0,2142827502754095717858301
51800,0,2142827502754095717858301
51600,99853686363291732072045,2042973816390803985786256
51400,0,2042973816390803985786256
51200,75588574357653425232,2042898227816446332361024
51000,0,2042898227816446332361024
50800,0,2042898227816446332361024
50600,0,2042898227816446332361024
50400,0,2042898227816446332361024
50200,0,2042898227816446332361024
50000,0,2042898227816446332361024
49800,0,2042898227816446332361024
49600,0,2042898227816446332361024
49400,0,2042898227816446332361024
49200,0,2042898227816446332361024
49000,0,2042898227816446332361024
48800,0,2042898227816446332361024
48600,0,2042898227816446332361024
48400,0,2042898227816446332361024
48200,0,2042898227816446332361024
48000,0,2042898227816446332361024
47800,0,2042898227816446332361024
47600,0,2042898227816446332361024
47400,0,2042898227816446332361024
47200,0,2042898227816446332361024
47000,0,2042898227816446332361024
46800,0,2042898227816446332361024
46600,0,2042898227816446332361024
46400,0,2042898227816446332361024
46200,0,2042898227816446332361024
46000,0,2042898227816446332361024
45800,0,2042898227816446332361024
45600,0,2042898227816446332361024
45400,0,2042898227816446332361024
45200,0,2042898227816446332361024
45000,0,2042898227816446332361024
44800,0,2042898227816446332361024
44600,0,2042898227816446332361024
44400,0,2042898227816446332361024
44200,0,2042898227816446332361024
44000,0,2042898227816446332361024
43800,0,2042898227816446332361024
43600,0,2042898227816446332361024
43400,0,2042898227816446332361024
43200,0,2042898227816446332361024
43000,0,2042898227816446332361024
42800,0,2042898227816446332361024
42600,0,2042898227816446332361024
42400,0,2042898227816446332361024
42200,0,2042898227816446332361024
42000,0,2042898227816446332361024
41800,0,2042898227816446332361024
41600,0,2042898227816446332361024
41400,0,2042898227816446332361024
41200,0,2042898227816446332361024
41000,0,2042898227816446332361024
40800,0,2042898227816446332361024
40600,0,2042898227816446332361024
40400,0,2042898227816446332361024
40200,0,2042898227816446332361024
40000,0,2042898227816446332361024
39800,0,2042898227816446332361024
39600,0,2042898227816446332361024
39400,0,2042898227816446332361024
39200,0,2042898227816446332361024
39000,0,2042898227816446332361024
38800,0,2042898227816446332361024
38600,0,2042898227816446332361024
38400,0,2042898227816446332361024
38200,0,2042898227816446332361024
38000,0,2042898227816446332361024
37800,0,2042898227816446332361024
37600,0,2042898227816446332361024
37400,0,2042898227816446332361024
37200,0,2042898227816446332361024
37000,0,2042898227816446332361024
36800,0,2042898227816446332361024
36600,0,2042898227816446332361024
36400,0,2042898227816446332361024
36200,0,2042898227816446332361024
36000,0,2042898227816446332361024
35800,0,2042898227816446332361024
35600,2037899836710051996430974,4998391106394335930050
35400,0,4998391106394335930050
35200,0,4998391106394335930050
35000,0,4998391106394335930050
34800,0,4998391106394335930050
34600,0,4998391106394335930050
34400,0,4998391106394335930050
34200,0,4998391106394335930050
34000,0,4998391106394335930050
33800,0,4998391106394335930050
33600,0,4998391106394335930050
33400,0,4998391106394335930050
33200,0,4998391106394335930050
33000,0,4998391106394335930050
32800,0,4998391106394335930050
32600,0,4998391106394335930050
32400,0,4998391106394335930050
32200,0,4998391106394335930050
32000,0,4998391106394335930050
31800,0,4998391106394335930050
31600,0,4998391106394335930050
31400,0,4998391106394335930050
31200,0,4998391106394335930050
31000,0,4998391106394335930050
30800,0,4998391106394335930050
30600,0,4998391106394335930050
30400,0,4998391106394335930050
30200,0,4998391106394335930050
30000,0,4998391106394335930050
29800,0,4998391106394335930050
29600,0,4998391106394335930050
29400,0,4998391106394335930050
29200,0,4998391106394335930050
29000,0,4998391106394335930050
28800,0,4998391106394335930050
28600,0,4998391106394335930050
28400,0,4998391106394335930050
28200,0,4998391106394335930050
28000,0,4998391106394335930050
27800,0,4998391106394335930050
27600,0,4998391106394335930050
27400,0,4998391106394335930050
27200,0,4998391106394335930050
27000,0,4998391106394335930050
26800,0,4998391106394335930050
26600,0,4998391106394335930050
26400,0,4998391106394335930050
26200,0,4998391106394335930050
26000,0,4998391106394335930050
25800,0,4998391106394335930050
25600,0,4998391106394335930050
25400,0,4998391106394335930050
25200,0,4998391106394335930050
25000,0,4998391106394335930050
24800,0,4998391106394335930050
24600,0,4998391106394335930050
24400,0,4998391106394335930050
24200,0,4998391106394335930050
24000,0,4998391106394335930050
23800,0,4998391106394335930050
23600,0,4998391106394335930050
23400,0,4998391106394335930050
23200,0,4998391106394335930050
23000,0,4998391106394335930050
22800,0,4998391106394335930050
22600,0,4998391106394335930050
22400,0,4998391106394335930050
22200,0,4998391106394335930050
22000,0,4998391106394335930050
21800,0,4998391106394335930050
21600,0,4998391106394335930050
21400,0,4998391106394335930050
21200,0,4998391106394335930050
21000,0,4998391106394335930050
20800,0,4998391106394335930050
20600,0,4998391106394335930050
20400,0,4998391106394335930050
20200,0,4998391106394335930050
20000,0,4998391106394335930050
19800,0,4998391106394335930050
19600,0,4998391106394335930050
19400,0,4998391106394335930050
19200,0,4998391106394335930050
19000,0,4998391106394335930050
18800,0,4998391106394335930050
18600,0,4998391106394335930050
18400,0,4998391106394335930050
