tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
99600,0,446398006439181913321929,11522798608524055961117290135552,11408150550388004806219444256768,30845748841657397347,-645965562874721408925540,30.845748841657397,-645965.5628747214,30.845748841657397,-645965.5628747214,0.30845748841657394,0
99400,-4923896337677243245015,451321902776859156566944,11408150550388004806219444256768,11294643202740866532466392825856,31499394803599064309,-646592707612494184219183,31.499394803599063,-646592.7076124942,62.34514364525646,-1292558.2704872156,0.6234514364525645,0
99200,-1972039719547970056990,453293942496407126623934,11294643202740866532466392825856,11182265215888272970580884455424,31954972085442363591,-642956482816955319534548,31.954972085442364,-642956.4828169553,94.30011573069882,-1935514.753304171,0.9430011573069883,0
99000,-5128838509999090546379,458422781006406217170313,11182265215888272970580884455424,11071005353061589987768538234880,32641299936644460007,-643761689187433253490617,32.64129993664446,-643761.6891874332,126.94141566734328,-2579276.442491604,1.2694141566734327,0
98800,-22158861262940520184810,480581642269346737355123,11071005353061589987768538234880,10960852489294327927484060794880,34562978370447141896,-668164482047800837257930,34.56297837044714,-668164.4820478008,161.5043940377904,-3247440.924539405,1.615043940377904,0
98600,24644008675776276578297,455937633593570460776826,10960852489294327927484060794880,10851795610309766012269615906816,33120139008817786641,-627594200766291020861287,33.12013900881779,-627594.200766291,194.62453304660818,-3875035.125305696,1.9462453304660818,0
98400,-338512923335722634439,456276146516906183411265,10851795610309766012269615906816,10743823811419610565680251797504,33477822531942532316,-621811168739761831037325,33.47782253194253,-621811.1687397618,228.1023555785507,-4496846.294045458,2.2810235557855068,0
98200,-10538030511003521201336,466814177027909704612601,10743823811419610565680251797504,10636926296433630758301044047872,34595228419227307190,-629842645606283248834457,34.595228419227304,-629842.6456062832,262.697583997778,-5126688.939651741,2.62697583997778,0
98000,-11989179304600450228884,478803356332510154841485,10636926296433630758301044047872,10531092376580143525266574016512,35840336555144513314,-639591206353576907311630,35.84033655514451,-639591.2063535769,298.5379205529225,-5766280.146005318,2.985379205529225,0
97800,-135685576464118111973,478939041908974272953458,10531092376580143525266574016512,10426311469437228309892617469952,36210778502610941075,-633406931131917666087360,36.21077850261094,-633406.9311319176,334.74869905553345,-6399687.077137236,3.347486990555334,0
97600,127322710655827959998005,351616331253146312955453,10426311469437228309892617469952,10322573097874581561427496009728,26851551632245044550,-460393179161088948442469,26.851551632245044,-460393.17916108895,361.6002506877785,-6860080.256298324,3.616002506877785,0
97400,19252081974036073529152,332364249279110239426301,10322573097874581561427496009728,10219866889005905152331848089600,25636420058322722555,-430855278270466814597467,25.636420058322724,-430855.27827046684,387.2366707461012,-7290935.534568791,3.872366707461012,0
97200,453815991022156747235,331910433288088082679066,10219866889005905152331848089600,10118182573151710495596601147392,25858701215801400376,-425985965882928880860814,25.8587012158014,-425985.96588292887,413.0953719619026,-7716921.50045172,4.130953719619026,0
97000,-5451708086171967350964,337362141374260050030030,10118182573151710495596601147392,10017509982812438157007435857920,26547576211169672520,-428674849658867179358738,26.547576211169673,-428674.84965886717,439.6429481730722,-8145596.350110588,4.3964294817307215,0
96800,-378798224828722280865,337740939599088772310895,10017509982812438157007435857920,9917839051651813023462356680704,26844478193393581961,-424886213091776649903178,26.84447819339358,-424886.21309177665,466.4874263664658,-8570482.563202364,4.664874263664658,0
96600,35116683283262223887,337705822915805510087008,9917839051651813023462356680704,9819159813490294289854013374464,27111436917969099026,-420614996871101843726779,27.111436917969097,-420614.99687110184,493.5988632844349,-8991097.560073467,4.935988632844349,0
96400,-46967600490421143283589,384673423406226653370597,9819159813490294289854013374464,9721462401308549332822642393088,31192407589202401590,-474346454710656523953966,31.1924075892024,-474346.45471065654,524.7912708736374,-9465444.014784124,5.247912708736374,0
96200,-122443226183557009804276,507116649589783663174873,9721462401308549332822642393088,9624737046260847888588198641664,41534339816031870521,-619111139594350878344017,41.53433981603187,-619111.1395943508,566.3256106896692,-10084555.154378474,5.663256106896693,0
96000,-610893244570165980410,507727542834353829155283,9624737046260847888588198641664,9528974076698260567171272802304,42002282667779712095,-613689573095672904958900,42.00228266777971,-613689.5730956729,608.3278933574489,-10698244.727474147,6.08327893357449,0
95800,76725286669859546885,507650817547683969608398,9528974076698260567171272802304,9434163917201586267709035773952,42417980450550014910,-607491748551502176143746,42.41798045055001,-607491.7485515021,650.7458738079989,-11305736.47602565,6.50745873807999,0
95600,3785283866434703782754,503865533681249265825644,9434163917201586267709035773952,9340297087623897030775432806400,42524799765118917243,-596962729908244219357227,42.524799765118914,-596962.7299082442,693.2706735731178,-11902699.205933895,6.932706735731179,0
95400,0,503865533681249265825644,9340297087623897030775432806400,9247364202142611381612986761216,42952159633325196559,-591023146991902802887549,42.952159633325195,-591023.1469919028,736.222833206443,-12493722.352925798,7.36222833206443,0
95200,124762579665228524676326,379102954016020741149318,9247364202142611381612986761216,9155355968320994833284594663424,32641510615884812371,-440254981671342395937048,32.64151061588481,-440254.9816713424,768.8643438223279,-12933977.33459714,7.688643438223279,0
95000,0,379102954016020741149318,9155355968320994833284594663424,9064263186179005359052118032384,32969546767775403644,-435874589333667415434557,32.969546767775405,-435874.5893336674,801.8338905901034,-13369851.923930809,8.018338905901034,0
94800,4799236205797381709822,374303717810223359439496,9064263186179005359052118032384,8974076747273376873490616942592,32879308636773013560,-426074748008495588006052,32.87930863677301,-426074.7480084956,834.7131992268763,-13795926.671939304,8.347131992268764,0
94600,104271131381840729358,374199446678841518710138,8974076747273376873490616942592,8884787633786859657544935145472,33200483223350451707,-421717932118941937178082,33.20048322335045,-421717.9321189419,867.9136824502268,-14217644.604058245,8.679136824502269,0
94400,91267857981473871106,374108178820860044839032,8884787633786859657544935145472,8796386917626523151936461471744,33525957830155746411,-417420143036247243177385,33.52595783015575,-417420.14303624723,901.4396402803826,-14635064.747094493,9.014396402803825,0
94200,52690960801475292026,374055487860058569547006,8796386917626523151936461471744,8708865759531023165628172206080,33858112987686274076,-413208743590328917556014,33.858112987686276,-413208.7435903289,935.2977532680688,-15048273.490684822,9.352977532680688,0
94000,956694896592121769682,373098792963466447777324,8708865759531023165628172206080,8622215408186761441753916506112,34110908849562405206,-408051133213947154183254,34.110908849562406,-408051.1332139472,969.4086621176313,-15456324.623898769,9.694086621176313,0
93800,610893244570165980410,372487899718896281796914,8622215408186761441753916506112,8536427199352835124120422187008,34397299177825971190,-403329683727576637393885,34.39729917782597,-403329.68372757663,1003.8059612954572,-15859654.307626346,10.038059612954571,0
93600,57121836019012875985686,315366063699883405811228,8536427199352835124120422187008,8451492554994686052289474461696,29415068199091655449,-338080596759472834538767,29.415068199091657,-338080.59675947286,1033.221029494549,-16197734.904385818,10.33221029494549,0
93400,2407152228534696401941,312958911471348709409287,8451492554994686052289474461696,8367402982426382331245857079296,29483901556536194812,-332161951784875068179411,29.483901556536196,-332161.95178487507,1062.7049310510852,-16529896.856170693,10.627049310510852,0
93200,153028217345761615589,312805883254002947793698,8367402982426382331245857079296,8284150073461426341059812655104,29765643111157510583,-328696247594528329675256,29.76564311115751,-328696.2475945283,1092.4705741622427,-16858593.103765223,10.924705741622427,0
93000,28985608166604190302,312776897645836343603396,8284150073461426341059812655104,8201725503572008121750729523200,30061991866537225786,-325395672973774860428558,30.061991866537227,-325395.67297377484,1122.53256602878,-17183988.776738998,11.2253256602878,0
92800,0,312776897645836343603396,8201725503572008121750729523200,8120121031056637705257551396864,30364104726634333214,-322158092998649388471170,30.364104726634334,-322158.0929986494,1152.8966707554143,-17506146.869737647,11.528966707554144,0
92600,438859293665796726575,312338038352170546876821,8120121031056637705257551396864,8039328496216041552725411889152,30626221490085185060,-318505201241640944213545,30.626221490085186,-318505.20124164096,1183.5228922454994,-17824652.07097929,11.835228922454995,0
92400,31689294077817130696,312306349058092729746125,8039328496216041552725411889152,7959339820537274683412499660800,30930866154955205779,-315304185714643236191950,30.930866154955204,-315304.1857146432,1214.4537584004547,-18139956.256693933,12.144537584004548,0
92200,21138361769121836756186,291167987288970892989939,7959339820537274683412499660800,7880147005885935905226469933056,29127125055243845448,-291038081889471711716159,29.127125055243845,-291038.08188947174,1243.5808834556985,-18430994.338583406,12.435808834556985,0
92000,317674432206159340656,290850312856764733649283,7880147005885935905226469933056,7801742133706437733194408132608,29387744744889219765,-287827975295981619668898,29.38774474488922,-287827.9752959816,1272.9686282005878,-18718822.31387939,12.729686282005877,0
91800,0,290850312856764733649283,7801742133706437733194408132608,7724117364230212776376127193088,29683081649247103506,-284964181562704359447817,29.683081649247104,-284964.1815627044,1302.6517098498348,-19003786.495442092,13.026517098498347,0
91600,0,290850312856764733649283,7724117364230212776376127193088,7647264935691814934924245336064,29981386589697515561,-282128881635627798648843,29.981386589697514,-282128.8816356278,1332.6330964395322,-19285915.37707772,13.326330964395321,0
91400,0,290850312856764733649283,7647264935691814934924245336064,7571177163552812950399521652736,30282689394000169377,-279321792010746356256836,30.28268939400017,-279321.7920107464,1362.9157858335325,-19565237.169088468,13.629157858335326,0
91200,65075466988079252461,290785237389776654396822,7571177163552812950399521652736,7495846439733408755347038928896,30580176584785388292,-276480757768745888733903,30.580176584785388,-276480.7577687459,1393.495962418318,-19841717.926857214,13.934959624183179,0
91000,2254009579165126674869,288531227810611527721953,7495846439733408755347038928896,7421265231851693927840406831104,30648073887675004169,-271608059543667036963897,30.648073887675004,-271608.059543667,1424.144036305993,-20113325.98640088,14.241440363059931,0
90800,0,288531227810611527721953,7421265231851693927840406831104,7347426082470486830098736480256,30956076674043098276,-268905648639965358089575,30.9560766740431,-268905.64863996534,1455.100112980036,-20382231.635040846,14.55100112980036,0
90600,0,288531227810611527721953,7347426082470486830098736480256,7274321608351650226084677419008,31267174784338868975,-266230125836370397015936,31.26717478433887,-266230.1258363704,1486.367287764375,-20648461.760877214,14.86367287764375,0
90400,94641989341652640378,288436585821269875081575,7274321608351650226084677419008,7201944499717843216187336425472,31571040216452322645,-263494765541127754420560,31.57104021645232,-263494.76554112777,1517.9383279808274,-20911956.526418343,15.179383279808274,0
90200,0,288436585821269875081575,7201944499717843216187336425472,7130287519521603906198648651776,31888318502548413763,-260873079245583083148691,31.888318502548415,-260873.0792455831,1549.8266464833757,-21172829.605663925,15.498266464833756,0
90000,0,288436585821269875081575,7130287519521603906198648651776,7059343502721714396887206854656,32208785328209181613,-258277477866822736436012,32.20878532820918,-258277.47786682274,1582.0354318115849,-21431107.083530746,15.820354318115848,0
89800,496910661115790082999,287939675160154084998576,7059343502721714396887206854656,6989105355566762525776628678656,32476426682933000365,-255267175633496806492663,32.476426682933,-255267.1756334968,1614.5118584945178,-21686374.259164244,16.145118584945177,0
89600,135685576464118111973,287803989583689966886603,6989105355566762525776628678656,6919566054885828303534424064000,32787346158808583441,-252608258650822402190364,32.78734615880858,-252608.2586508224,1647.2992046533263,-21938982.517815065,16.472992046533264,0
89400,0,287803989583689966886603,6919566054885828303534424064000,6850718647386236498176206962688,33116847908626260541,-250094889519987801344484,33.11684790862626,-250094.8895199878,1680.4160525619527,-22189077.407335054,16.804160525619526,0
89200,2186284645625631889500,285617704938064334997103,6850718647386236498176206962688,6782556248958284169192797110272,33195562823614875829,-245725600395699643537718,33.19556282361488,-245725.60039569964,1713.6116153855676,-22434803.007730752,17.136116153855674,0
89000,0,285617704938064334997103,6782556248958284169192797110272,6715072043986901493303658676224,33529167012974578298,-243280711451890522564787,33.529167012974575,-243280.71145189053,1747.1407823985421,-22678083.719182644,17.47140782398542,0
88800,831552461973259683851,284786152476091075313252,6715072043986901493303658676224,6648259284670144550845059956736,33767525376998031162,-240158903833022878821157,33.76752537699803,-240158.90383302287,1780.9083077755402,-22918242.62301567,17.809083077755403,0
88600,481791514680273241178,284304360961410802072074,6648259284670144550845059956736,6582111290344481792196121460736,34049176742703519464,-237367151513209627584296,34.04917674270352,-237367.15151320962,1814.9574845182437,-23155609.77452888,18.14957484518244,0
88400,0,284304360961410802072074,6582111290344481792196121460736,6516621446816787489949925507072,34391359463508369380,-235005426388018491921646,34.39135946350837,-235005.4263880185,1849.3488439817522,-23390615.200916898,18.493488439817522,0
88200,308891339841976172472,283995469621568825899602,6516621446816787489949925507072,6451783205702984755934438359040,34699239928641677711,-232414411115942283792707,34.699239928641674,-232414.4111159423,1884.0480839103939,-23623029.61203284,18.840480839103936,0
88000,11882319335513093196801,272113150286055732702801,6451783205702984755934438359040,6387590083773261561889579597824,33581555411897924262,-220474539364066965801774,33.581555411897924,-220474.53936406696,1917.6296393222917,-23843504.151396904,19.176296393222916,0
87800,13104110434386843960616,259009039851668888742185,6387590083773261561889579597824,6324035662303813601904258187264,32285604852964448297,-207769171475689820275532,32.28560485296445,-207769.17147568983,1949.9152441752562,-24051273.322872594,19.499152441752564,0
87600,0,259009039851668888742185,6324035662303813601904258187264,6261113586435030680020268875776,32610064272200073360,-205701936521790812239390,32.61006427220007,-205701.9365217908,1982.5253084474564,-24256975.259394385,19.825253084474564,0
87400,1748573714688927567905,257260466136979961174280,6261113586435030680020268875776,6198817564536061320808452063232,32715420947660296690,-202280390250410933820416,32.7154209476603,-202280.39025041094,2015.2407293951167,-24459255.649644796,20.152407293951164,0
87200,0,257260466136979961174280,6198817564536061320808452063232,6137141367575718448220191326208,33044199873409715344,-200267766865315183236360,33.04419987340972,-200267.76686531518,2048.2849292685264,-24659523.416510113,20.482849292685263,0
87000,100339807563222104141,257160126329416739070139,6137141367575718448220191326208,6076078828499622549922819080192,33363265098740690181,-198197834765846127891915,33.36326509874069,-198197.8347658461,2081.648194367267,-24857721.25127596,20.81648194367267,0
86800,274812791967451645094,256885313537449287425045,6076078828499622549922819080192,6015623841613560935020700368896,33662542859330852950,-196016135781670849302466,33.662542859330856,-196016.13578167086,2115.3107372265977,-25053737.387057632,21.153107372265975,0
86600,0,256885313537449287425045,6015623841613560935020700368896,5955770361972969635469726842880,34000840040254308501,-194065839669226366578392,34.00084004025431,-194065.83966922638,2149.311577266852,-25247803.22672686,21.49311577266852,0
86400,0,256885313537449287425045,5955770361972969635469726842880,5896512404778497418788574593024,34342536993532454982,-192134948361954833338732,34.342536993532455,-192134.94836195483,2183.6541142603846,-25439938.175088815,21.83654114260385,0
86200,0,256885313537449287425045,5896512404778497418788574593024,5837844044777577602672874225664,34687667885729537675,-190223268788428945370643,34.68766788572954,-190223.26878842895,2218.3417821461144,-25630161.443877243,22.183417821461145,0
86000,0,256885313537449287425045,5837844044777577602672874225664,5779759415671959257816298946560,35036267226771000619,-188330609798211711685554,35.036267226771,-188330.60979821172,2253.3780493728855,-25818492.053675454,22.533780493728855,0
85800,0,256885313537449287425045,5779759415671959257816298946560,5722252709531130244944160096256,35388369873395909839,-186456782142753074723907,35.38836987339591,-186456.78214275307,2288.766419246281,-26004948.83581821,22.887664192462815,0
85600,149362755980349349193,256735950781468938075852,5722252709531130244944160096256,5665318176211578042863981690880,35723228124019215736,-184494264163488191470057,35.723228124019215,-184494.2641634882,2324.4896473703,-26189443.099981695,23.244896473703,0
85400,0,256735950781468938075852,5665318176211578042863981690880,5608950122781828694837991309312,36082234495531855772,-182658606885926906982036,36.08223449553186,-182658.6068859269,2360.571881865832,-26372101.706867624,23.605718818658318,0
85200,15837820484326455277732,240898130297142482798120,5608950122781828694837991309312,5553142912953203074682557825024,34196597315127278491,-169685274505713510796682,34.19659731512728,-169685.27450571352,2394.7684791809593,-26541786.981373336,23.947684791809593,0
85000,395447310263168580480,240502682986879314217640,5553142912953203074682557825024,5497890966516242058898581749760,34483561855347182088,-167721185707721539293103,34.48356185534718,-167721.18570772154,2429.2520410363063,-26709508.167081058,24.292520410363064,0
84800,3073004564046040804644,237429678422833273412996,5497890966516242058898581749760,5443188758782737554438055002112,34385070943778832514,-163930693064434444212601,34.385070943778835,-163930.69306443445,2463.637111980085,-26873438.860145494,24.636371119800852,0
84600,0,237429678422833273412996,5443188758782737554438055002112,5389030820033310835311634284544,34730629287803741895,-162299636559219587129930,34.730629287803744,-162299.6365592196,2498.367741267889,-27035738.496704713,24.98367741267889,0
84400,0,237429678422833273412996,5389030820033310835311634284544,5335411734970495403840768049152,35079660376418544693,-160684808530031837694742,35.079660376418545,-160684.80853003185,2533.4474016443073,-27196423.305234745,25.334474016443075,0
84200,0,237429678422833273412996,5335411734970495403840768049152,5282326142177251193060432281600,35432199109534957123,-159086047508879073456826,35.432199109534956,-159086.04750887907,2568.879600753842,-27355509.352743626,25.68879600753842,0
84000,0,237429678422833273412996,5282326142177251193060432281600,5229768733580878585075083509760,35788280737792679374,-157503193634302987587642,35.78828073779268,-157503.193634303,2604.667881491635,-27513012.546377927,26.04667881491635,0
83800,0,237429678422833273412996,5229768733580878585075083509760,5177734253922253432374350053376,36147940866092681935,-155936088635433193108850,36.14794086609268,-155936.0886354332,2640.8158223577275,-27668948.63501336,26.408158223577274,0
83600,0,237429678422833273412996,5177734253922253432374350053376,5126217500230353808710883606528,36511215457150124793,-154384575816129053166135,36.51121545715012,-154384.57581612904,2677.3270378148777,-27823333.21082949,26.773270378148776,0
83400,0,237429678422833273412996,5126217500230353808710883606528,5075213321302007557846240067584,36878140835095423267,-152848500039334078258933,36.87814083509542,-152848.5000393341,2714.2051786499733,-27976181.710868824,27.14205178649973,0
83200,0,237429678422833273412996,5075213321302007557846240067584,5024716617186824048417817231360,37248753689100707624,-151327707711539981026777,37.24875368910071,-151327.70771154,2751.453932339074,-28127509.418580364,27.51453932339074,0
83000,6985785851311746402329,230443892571521527010667,5024716617186824048417817231360,4974722338677239203232718258176,36516123914928617769,-145413900568238780695776,36.51612391492862,-145413.90056823878,2787.970056254003,-28272923.319148604,27.879700562540027,0
82800,2395832457789365258633,228048060113732161752034,4974722338677239203232718258176,4925225486803644529590963011584,36499639880632480308,-142470312238754368221128,36.49963988063248,-142470.31223875436,2824.4696961346353,-28415393.631387357,28.244696961346353,0
82600,1447368162863708255,228046612745569298043779,4925225486803644529590963011584,4876221112334536537293310656512,36866214945141340823,-141051884238556229101298,36.866214945141344,-141051.88423855623,2861.335911079777,-28556445.515625913,28.61335911079777,0
82400,0,228046612745569298043779,4876221112334536537293310656512,4827704315281639819487559548928,37236707947982532282,-139648464359946789925010,37.23670794798253,-139648.46435994678,2898.5726190277596,-28696093.97998586,28.985726190277596,0
82200,1663148379705993884518,226383464365863304159261,4827704315281639819487559548928,4779670244409948627257889128448,37336627078423445240,-137250682414489487215802,37.33662707842345,-137250.68241448948,2935.909246106183,-28833344.66240035,29.35909246106183,0
82000,0,226383464365863304159261,4779670244409948627257889128448,4732114096752651472110178271232,37711847564249848158,-135885083244422757795795,37.71184756424985,-135885.08324442277,2973.621093670433,-28969229.745644774,29.73621093670433,0
