tick,liquidity_net,liquidity
-145380,0,234400309739878593182834
-145320,0,234400309739878593182834
-145260,0,234400309739878593182834
-145200,0,234400309739878593182834
-145140,0,234400309739878593182834
-145080,0,234400309739878593182834
-145020,0,234400309739878593182834
-144960,0,234400309739878593182834
-144900,0,234400309739878593182834
-144840,0,234400309739878593182834
-144780,0,234400309739878593182834
-144720,0,234400309739878593182834
-144660,-600017321076545963067,233800292418802047219767
-144600,0,233800292418802047219767
-144540,0,233800292418802047219767
-144480,0,233800292418802047219767
-144420,0,233800292418802047219767
-144360,0,233800292418802047219767
-144300,0,233800292418802047219767
-144240,0,233800292418802047219767
-144180,0,233800292418802047219767
-144120,0,233800292418802047219767
-144060,0,233800292418802047219767
-144000,0,233800292418802047219767
-143940,0,233800292418802047219767
-143880,0,233800292418802047219767
-143820,0,233800292418802047219767
-143760,0,233800292418802047219767
-143700,0,233800292418802047219767
-143640,0,233800292418802047219767
-143580,0,233800292418802047219767
-143520,0,233800292418802047219767
-143460,0,233800292418802047219767
-143400,0,233800292418802047219767
-143340,0,233800292418802047219767
-143280,1311665919652124445366,235111958338454171665133
-143220,0,235111958338454171665133
-143160,0,235111958338454171665133
-143100,0,235111958338454171665133
-143040,0,235111958338454171665133
-142980,0,235111958338454171665133
-142920,0,235111958338454171665133
-142860,0,235111958338454171665133
-142800,0,235111958338454171665133
-142740,0,235111958338454171665133
-142680,426697748656702366884,235538656087110874032017
-142620,0,235538656087110874032017
-142560,0,235538656087110874032017
-142500,0,235538656087110874032017
-142440,0,235538656087110874032017
-142380,0,235538656087110874032017
-142320,0,235538656087110874032017
-142260,0,235538656087110874032017
-142200,0,235538656087110874032017
-142140,0,235538656087110874032017
-142080,0,235538656087110874032017
-142020,0,235538656087110874032017
-141960,0,235538656087110874032017
-141900,-576982800556469146003,234961673286554404886014
-141840,0,234961673286554404886014
-141780,0,234961673286554404886014
-141720,0,234961673286554404886014
-141660,0,234961673286554404886014
-141600,0,234961673286554404886014
-141540,0,234961673286554404886014
-141480,0,234961673286554404886014
-141420,-147008103624923239538,234814665182929481646476
-141360,0,234814665182929481646476
-141300,0,234814665182929481646476
-141240,0,234814665182929481646476
-141180,0,234814665182929481646476
-141120,-106712586925256832540,234707952596004224813936
-141060,0,234707952596004224813936
-141000,0,234707952596004224813936
-140940,0,234707952596004224813936
-140880,0,234707952596004224813936
-140820,0,234707952596004224813936
-140760,0,234707952596004224813936
-140700,-426697748656702366884,234281254847347522447052
-140640,0,234281254847347522447052
-140580,0,234281254847347522447052
-140520,0,234281254847347522447052
-140460,0,234281254847347522447052
-140400,0,234281254847347522447052
-140340,0,234281254847347522447052
-140280,0,234281254847347522447052
-140220,0,234281254847347522447052
-140160,0,234281254847347522447052
-140100,0,234281254847347522447052
-140040,0,234281254847347522447052
-139980,0,234281254847347522447052
-139920,0,234281254847347522447052
-139860,0,234281254847347522447052
-139800,0,234281254847347522447052
-139740,0,234281254847347522447052
-139680,0,234281254847347522447052
-139620,0,234281254847347522447052
-139560,-370015396296202974648,233911239451051319472404
-139500,0,233911239451051319472404
-139440,0,233911239451051319472404
-139380,0,233911239451051319472404
-139320,0,233911239451051319472404
-139260,0,233911239451051319472404
-139200,0,233911239451051319472404
-139140,0,233911239451051319472404
-139080,0,233911239451051319472404
-139020,0,233911239451051319472404
-138960,0,233911239451051319472404
-138900,0,233911239451051319472404
-138840,0,233911239451051319472404
-138780,0,233911239451051319472404
-138720,0,233911239451051319472404
-138660,0,233911239451051319472404
-138600,0,233911239451051319472404
-138540,0,233911239451051319472404
-138480,0,233911239451051319472404
-138420,0,233911239451051319472404
-138360,0,233911239451051319472404
-138300,0,233911239451051319472404
-138240,0,233911239451051319472404
-138180,0,233911239451051319472404
-138120,0,233911239451051319472404
-138060,-680708738192794220095,233230530712858525252309
-138000,0,233230530712858525252309
-137940,0,233230530712858525252309
-137880,-75733051746739180350,233154797661111786071959
-137820,0,233154797661111786071959
-137760,0,233154797661111786071959
-137700,0,233154797661111786071959
-137640,0,233154797661111786071959
-137580,0,233154797661111786071959
-137520,0,233154797661111786071959
-137460,0,233154797661111786071959
-137400,0,233154797661111786071959
-137340,0,233154797661111786071959
-137280,0,233154797661111786071959
-137220,-271551349162429133593,232883246311949356938366
-137160,0,232883246311949356938366
-137100,0,232883246311949356938366
-137040,0,232883246311949356938366
-136980,0,232883246311949356938366
-136920,0,232883246311949356938366
-136860,0,232883246311949356938366
-136800,0,232883246311949356938366
-136740,-69382218962016378073,232813864092987340560293
-136680,0,232813864092987340560293
-136620,0,232813864092987340560293
-136560,0,232813864092987340560293
-136500,0,232813864092987340560293
-136440,0,232813864092987340560293
-136380,0,232813864092987340560293
-136320,-204825449092570739073,232609038643894769821220
-136260,0,232609038643894769821220
-136200,0,232609038643894769821220
-136140,0,232609038643894769821220
-136080,0,232609038643894769821220
-136020,0,232609038643894769821220
-135960,-1963393059493477440622,230645645584401292380598
-135900,0,230645645584401292380598
-135840,0,230645645584401292380598
-135780,0,230645645584401292380598
-135720,0,230645645584401292380598
-135660,0,230645645584401292380598
-135600,0,230645645584401292380598
-135540,0,230645645584401292380598
-135480,0,230645645584401292380598
-135420,0,230645645584401292380598
-135360,0,230645645584401292380598
-135300,0,230645645584401292380598
-135240,0,230645645584401292380598
-135180,0,230645645584401292380598
-135120,0,230645645584401292380598
-135060,0,230645645584401292380598
-135000,0,230645645584401292380598
-134940,0,230645645584401292380598
-134880,0,230645645584401292380598
-134820,0,230645645584401292380598
-134760,0,230645645584401292380598
-134700,0,230645645584401292380598
-134640,0,230645645584401292380598
-134580,0,230645645584401292380598
-134520,0,230645645584401292380598
-134460,0,230645645584401292380598
-134400,0,230645645584401292380598
-134340,0,230645645584401292380598
-134280,0,230645645584401292380598
-134220,0,230645645584401292380598
-134160,0,230645645584401292380598
-134100,0,230645645584401292380598
-134040,0,230645645584401292380598
-133980,0,230645645584401292380598
-133920,0,230645645584401292380598
-133860,0,230645645584401292380598
-133800,0,230645645584401292380598
-133740,0,230645645584401292380598
-133680,0,230645645584401292380598
-133620,0,230645645584401292380598
-133560,0,230645645584401292380598
-133500,0,230645645584401292380598
-133440,0,230645645584401292380598
-133380,0,230645645584401292380598
-133320,0,230645645584401292380598
-133260,0,230645645584401292380598
-133200,0,230645645584401292380598
-133140,0,230645645584401292380598
-133080,0,230645645584401292380598
-133020,0,230645645584401292380598
-132960,0,230645645584401292380598
-132900,0,230645645584401292380598
-132840,0,230645645584401292380598
-132780,0,230645645584401292380598
-132720,0,230645645584401292380598
-132660,0,230645645584401292380598
-132600,0,230645645584401292380598
-132540,0,230645645584401292380598
-132480,0,230645645584401292380598
-132420,0,230645645584401292380598
-132360,0,230645645584401292380598
-132300,-14909498907801936774,230630736085493490443824
-132240,0,230630736085493490443824
-132180,0,230630736085493490443824
-132120,0,230630736085493490443824
-132060,0,230630736085493490443824
-132000,0,230630736085493490443824
-131940,0,230630736085493490443824
-131880,0,230630736085493490443824
-131820,0,230630736085493490443824
-131760,0,230630736085493490443824
-131700,0,230630736085493490443824
-131640,0,230630736085493490443824
-131580,0,230630736085493490443824
-131520,-477811479271698602666,230152924606221791841158
-131460,0,230152924606221791841158
-131400,0,230152924606221791841158
-131340,0,230152924606221791841158
-131280,0,230152924606221791841158
-131220,-335864060664410686509,229817060545557381154649
-131160,0,229817060545557381154649
-131100,0,229817060545557381154649
-131040,0,229817060545557381154649
-130980,0,229817060545557381154649
-130920,0,229817060545557381154649
-130860,0,229817060545557381154649
-130800,0,229817060545557381154649
-130740,0,229817060545557381154649
-130680,0,229817060545557381154649
-130620,0,229817060545557381154649
-130560,0,229817060545557381154649
-130500,0,229817060545557381154649
-130440,0,229817060545557381154649
-130380,0,229817060545557381154649
-130320,0,229817060545557381154649
-130260,0,229817060545557381154649
-130200,-44728410823099111268,229772332134734282043381
-130140,0,229772332134734282043381
-130080,0,229772332134734282043381
-130020,0,229772332134734282043381
-129960,0,229772332134734282043381
-129900,0,229772332134734282043381
-129840,0,229772332134734282043381
-129780,0,229772332134734282043381
-129720,0,229772332134734282043381
-129660,0,229772332134734282043381
-129600,0,229772332134734282043381
-129540,0,229772332134734282043381
-129480,0,229772332134734282043381
-129420,0,229772332134734282043381
-129360,0,229772332134734282043381
-129300,0,229772332134734282043381
-129240,0,229772332134734282043381
-129180,0,229772332134734282043381
-129120,0,229772332134734282043381
-129060,0,229772332134734282043381
-129000,0,229772332134734282043381
-128940,0,229772332134734282043381
-128880,0,229772332134734282043381
-128820,0,229772332134734282043381
-128760,0,229772332134734282043381
-128700,0,229772332134734282043381
-128640,0,229772332134734282043381
-128580,0,229772332134734282043381
-128520,0,229772332134734282043381
-128460,0,229772332134734282043381
-128400,0,229772332134734282043381
-128340,0,229772332134734282043381
-128280,0,229772332134734282043381
-128220,0,229772332134734282043381
-128160,0,229772332134734282043381
-128100,0,229772332134734282043381
-128040,0,229772332134734282043381
-127980,0,229772332134734282043381
-127920,0,229772332134734282043381
-127860,0,229772332134734282043381
-127800,0,229772332134734282043381
-127740,0,229772332134734282043381
-127680,0,229772332134734282043381
-127620,0,229772332134734282043381
-127560,0,229772332134734282043381
-127500,0,229772332134734282043381
-127440,0,229772332134734282043381
-127380,0,229772332134734282043381
-127320,0,229772332134734282043381
-127260,0,229772332134734282043381
-127200,0,229772332134734282043381
-127140,0,229772332134734282043381
-127080,0,229772332134734282043381
-127020,0,229772332134734282043381
-126960,0,229772332134734282043381
-126900,0,229772332134734282043381
-126840,0,229772332134734282043381
-126780,0,229772332134734282043381
-126720,0,229772332134734282043381
-126660,0,229772332134734282043381
-126600,0,229772332134734282043381
-126540,-2680784469716913659,229769651350264565129722
-126480,0,229769651350264565129722
-126420,0,229769651350264565129722
-126360,0,229769651350264565129722
-126300,0,229769651350264565129722
-126240,0,229769651350264565129722
-126180,0,229769651350264565129722
-126120,0,229769651350264565129722
-126060,0,229769651350264565129722
-126000,0,229769651350264565129722
-125940,0,229769651350264565129722
-125880,0,229769651350264565129722
-125820,0,229769651350264565129722
-125760,0,229769651350264565129722
-125700,0,229769651350264565129722
-125640,0,229769651350264565129722
-125580,0,229769651350264565129722
-125520,0,229769651350264565129722
-125460,0,229769651350264565129722
-125400,0,229769651350264565129722
-125340,0,229769651350264565129722
-125280,0,229769651350264565129722
-125220,0,229769651350264565129722
-125160,0,229769651350264565129722
-125100,0,229769651350264565129722
-125040,0,229769651350264565129722
-124980,0,229769651350264565129722
-124920,0,229769651350264565129722
-124860,0,229769651350264565129722
-124800,0,229769651350264565129722
-124740,0,229769651350264565129722
-124680,0,229769651350264565129722
-124620,0,229769651350264565129722
-124560,0,229769651350264565129722
-124500,0,229769651350264565129722
-124440,0,229769651350264565129722
