tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-145380,0,234400309739878593182834,55226920668555529766830080,55392841892038819941711872,-1007245256871287604302355,490885878741674374,-1007245.2568712876,0.4908858787416744,-1007245.2568712876,0.4908858787416744,0,0.0014726576362250232
-145320,0,234400309739878593182834,55392841892038819941711872,55559261601623967658934272,-1004228199799243246477055,492360673725786187,-1004228.1997992432,0.4923606737257862,-2011473.4566705308,0.9832465524674605,0,0.0029497396574023815
-145260,0,234400309739878593182834,55559261601623967658934272,55726181294939732294238208,-1001220179884136551009106,493839899516241764,-1001220.1798841365,0.49383989951624174,-3012693.6365546673,1.4770864519837024,0,0.004431259355951107
-145200,0,234400309739878593182834,55726181294939732294238208,55893602474114255192850432,-998221170056324107563167,495323569424677951,-998221.1700563241,0.495323569424678,-4010914.8066109912,1.9724100214083804,0,0.005917230064225142
-145140,0,234400309739878593182834,55893602474114255192850432,56061526645788623176204288,-995231143327519733836191,496811696802859877,-995231.1433275198,0.49681169680285986,-5006145.9499385115,2.4692217182112404,0,0.007407665154633721
-145080,0,234400309739878593182834,56061526645788623176204288,56229955321130389098987520,-992250072790051025822966,498304295042553884,-992250.072790051,0.49830429504255386,-5998396.022728562,2.9675260132537944,0,0.008902578039761383
-145020,0,234400309739878593182834,56229955321130389098987520,56398890015847204075339776,-989277931617039410728719,499801377575857910,-989277.9316170394,0.4998013775758579,-6987673.954345602,3.4673273908296522,0,0.010401982172488958
-144960,0,234400309739878593182834,56398890015847204075339776,56568332250200441115115520,-986314693061864780367380,501302957875176072,-986314.6930618648,0.5013029578751761,-7973988.647407467,3.9686303487048282,0,0.011905891046114484
-144900,0,234400309739878593182834,56568332250200441115115520,56738283549018835940016128,-983360330457790962034218,502809049453269494,-983360.330457791,0.5028090494532695,-8957348.977865258,4.471439398158098,0,0.013414318194474294
-144840,0,234400309739878593182834,56738283549018835940016128,56908745441712325368217600,-980414817218631281983456,504319665863840823,-980414.8172186313,0.5043196658638408,-9937763.79508389,4.975759064021939,0,0.014927277192065816
-144780,0,234400309739878593182834,56908745441712325368217600,57079719462285653770764288,-977478126836928273981916,505834820700848058,-977478.1268369283,0.5058348207008481,-10915241.921920817,5.481593884722787,0,0.01644478165416836
-144720,0,234400309739878593182834,57079719462285653770764288,57251207149352323125346304,-974550232885459966873055,507354527599521100,-974550.23288546,0.5073545275995212,-11889792.154806277,5.988948412322308,0,0.01796684523696692
-144660,-600017321076545963067,233800292418802047219767,57251207149352323125346304,57423210046148345501581312,-969143930155866098039600,507576173567711145,-969143.9301558661,0.5075761735677111,-12858936.084962143,6.496524585890018,0,0.019489573757670055
-144600,0,233800292418802047219767,57423210046148345501581312,57595729700546150165118976,-966241000081626255160498,509101112106890132,-966241.0000816262,0.5091011121068901,-13825177.08504377,7.0056256979969085,0,0.021016877093990725
-144540,0,233800292418802047219767,57595729700546150165118976,57768767665068559401222144,-963346765313493286103771,510630632101429412,-963346.7653134933,0.5106306321014294,-14788523.850357262,7.516256330098338,0,0.022548768990295016
-144480,0,233800292418802047219767,57768767665068559401222144,57942325496902678439002112,-960461199805686797565686,512164747315509318,-960461.1998056868,0.5121647473155093,-15748985.050162949,8.028421077413848,0,0.02408526323224154
-144420,0,233800292418802047219767,57942325496902678439002112,58116404757914000124018688,-957584277590950664281383,513703471554932709,-957584.2775909507,0.5137034715549327,-16706569.3277539,8.542124548968781,0,0.025626373646906345
-144360,0,233800292418802047219767,58116404757914000124018688,58291007014660372151926784,-954715972779322449458833,515246818666719401,-954715.9727793224,0.5152468186667194,-17661285.30053322,9.0573713676355,0,0.0271721141029065
-144300,0,233800292418802047219767,58291007014660372151926784,58466133838406161870618624,-951856259558759593284207,516794802539689176,-951856.2595587596,0.5167948025396891,-18613141.56009198,9.57416617017519,0,0.02872249851052557
-144240,0,233800292418802047219767,58466133838406161870618624,58641786805136369542758400,-949005112194388173582685,518347437104309697,-949005.1121943882,0.5183474371043097,-19562146.67228637,10.0925136072795,0,0.0302775408218385
-144180,0,233800292418802047219767,58641786805136369542758400,58817967495570810327793664,-946162505028417039658076,519904736332899296,-946162.505028417,0.5199047363328992,-20508309.177314784,10.612418343612399,0,0.031837255030837196
-144120,0,233800292418802047219767,58817967495570810327793664,58994677495178330623705088,-943328412479863096244169,521466714239728365,-943328.4124798632,0.5214667142397283,-21451637.589794647,11.133885057852128,0,0.03340165517355639
-144060,0,233800292418802047219767,58994677495178330623705088,59171918394191101718167552,-940502809044505661878955,523033384881247500,-940502.8090445057,0.5230333848812475,-22392140.398839153,11.656918442733375,0,0.034970755328200126
-144000,0,233800292418802047219767,59171918394191101718167552,59349691787618896259842048,-937685669294336246823075,524604762356036799,-937685.6692943362,0.5246047623560368,-23329826.06813349,12.18152320508941,0,0.03654456961526823
-143940,0,233800292418802047219767,59349691787618896259842048,59527999275263493578686464,-934876967877785015269119,526180860805186095,-934876.967877785,0.5261808608051861,-24264703.036011275,12.707704065894596,0,0.03812311219768379
-143880,0,233800292418802047219767,59527999275263493578686464,59706842461733016286789632,-932076679518901751006890,527761694412092163,-932076.6795189017,0.5277616944120922,-25196779.715530176,13.235465760306688,0,0.03970639728092006
-143820,0,233800292418802047219767,59706842461733016286789632,59886222956456395728224256,-929284779017581817141837,529347277402838956,-929284.7790175818,0.5293472774028389,-26126064.49454776,13.764813037709526,0,0.04129443911312858
-143760,0,233800292418802047219767,59886222956456395728224256,60066142373697871788638208,-926501241249288263527500,530937624046298993,-926501.2412492883,0.530937624046299,-27052565.735797048,14.295750661755825,0,0.04288725198526747
-143700,0,233800292418802047219767,60066142373697871788638208,60246602332571501294780416,-923726041164644474207462,532532748654158714,-923726.0411646445,0.5325327486541587,-27976291.77696169,14.828283410409984,0,0.04448485023122995
-143640,0,233800292418802047219767,60246602332571501294780416,60427604457055743723438080,-920959153789382960112446,534132665581146613,-920959.153789383,0.5341326655811466,-28897250.930751074,15.362416075991131,0,0.046087248227973394
-143580,0,233800292418802047219767,60427604457055743723438080,60609150376008038320439296,-918200554223853793449205,535737389225007892,-918200.5542238537,0.5357373892250079,-29815451.48497493,15.89815346521614,0,0.04769446039564842
-143520,0,233800292418802047219767,60609150376008038320439296,60791241723179518658609152,-915450217643276120310332,537346934026910040,-915450.2176432761,0.53734693402691,-30730901.702618204,16.43550039924305,0,0.04930650119772915
-143460,0,233800292418802047219767,60791241723179518658609152,60973880137229658476249088,-912708119296942755396497,538961314471240041,-912708.1192969427,0.5389613144712401,-31643609.821915146,16.97446171371429,0,0.05092338514114287
-143400,0,233800292418802047219767,60973880137229658476249088,61157067261741063544504320,-909974234508512085660547,540580545086035305,-909974.2345085121,0.5405805450860353,-32553584.056423657,17.515042258800328,0,0.05254512677640098
-143340,0,233800292418802047219767,61157067261741063544504320,61340804745234229174992896,-907248538675390607754708,542204640442882272,-907248.5386753906,0.5422046404428823,-33460832.595099047,18.05724689924321,0,0.054171740697729634
-143280,1311665919652124445366,235111958338454171665133,61340804745234229174992896,61525094241182417986519040,-909605605265446841779258,546884629386480340,-909605.6052654468,0.5468846293864803,-34370438.20036449,18.60413152862969,0,0.055812394585889075
-143220,0,235111958338454171665133,61525094241182417986519040,61709937408026477542244352,-906881013607782105866755,548527664444623210,-906881.0136077821,0.5485276644446232,-35277319.21397228,19.152659193074314,0,0.05745797757922294
-143160,0,235111958338454171665133,61709937408026477542244352,61895335909189804015747072,-904164583069197082189112,550175635761790766,-904164.5830691971,0.5501756357617907,-36181483.797041476,19.702834828836103,0,0.05910850448650831
-143100,0,235111958338454171665133,61895335909189804015747072,62081291413093340216819712,-901456289204407447447392,551828558168353160,-901456.2892044075,0.5518285581683532,-37082940.08624588,20.254663387004456,0,0.060763990161013366
-143040,0,235111958338454171665133,62081291413093340216819712,62267805593170513487724544,-898756107640979721494808,553486446539009201,-898756.1076409797,0.5534864465390092,-37981696.19388686,20.808149833543464,0,0.06242444950063039
-142980,0,235111958338454171665133,62267805593170513487724544,62454880127882362578010112,-896064014079812257471165,555149315793347155,-896064.0140798122,0.5551493157933471,-38877760.20796667,21.36329914933681,0,0.06408989744801043
-142920,0,235111958338454171665133,62454880127882362578010112,62642516700732604389785600,-893379984294404692885027,556817180895666307,-893379.9842944047,0.5568171808956663,-39771140.19226108,21.920116330232478,0,0.06576034899069742
-142860,0,235111958338454171665133,62642516700732604389785600,62830717000282803802210304,-890703994130918714258438,558490056855282853,-890703.9941309188,0.5584900568552829,-40661844.186391994,22.478606387087762,0,0.06743581916126327
-142800,0,235111958338454171665133,62830717000282803802210304,63019482720167569265786880,-888036019507864691489282,560167958726606375,-888036.0195078647,0.5601679587266064,-41549880.20589986,23.038774345814367,0,0.0691163230374431
-142740,0,235111958338454171665133,63019482720167569265786880,63208815559109782756392960,-885376036415832323193369,561850901609241800,-885376.0364158324,0.5618509016092418,-42435256.24231569,23.600625247423608,0,0.07080187574227083
-142680,426697748656702366884,235538656087110874032017,63208815559109782756392960,63398717220935872678985728,-884326050669694593310329,564561650753583081,-884326.0506696946,0.5645616507535831,-43319582.29298538,24.16518689817719,0,0.07249556069453157
-142620,0,235538656087110874032017,63398717220935872678985728,63589189414591198440456192,-881677180251214000750688,566257793842714249,-881677.180251214,0.5662577938427142,-44201259.47323659,24.731444692019902,0,0.0741943340760597
-142560,0,235538656087110874032017,63589189414591198440456192,63780233854155366303006720,-879036244139809729802050,567959032746188109,-879036.2441398097,0.5679590327461881,-45080295.7173764,25.29940372476609,0,0.07589821117429826
-142500,0,235538656087110874032017,63780233854155366303006720,63971852258857717036220416,-876403218569564918535460,569665382773731741,-876403.2185695649,0.5696653827737317,-45956698.935945965,25.869069107539822,0,0.07760720732261946
-142440,0,235538656087110874032017,63971852258857717036220416,64164046353092719079849984,-873778079845390855283804,571376859280834799,-873778.0798453909,0.5713768592808348,-46830477.01579136,26.440445966820658,0,0.07932133790046197
-142380,0,235538656087110874032017,64164046353092719079849984,64356817866435567865036800,-871160804343546012518105,573093477669362409,-871160.804343546,0.5730934776693624,-47701637.8201349,27.01353944449002,0,0.08104061833347007
-142320,0,235538656087110874032017,64356817866435567865036800,64550168533657716416053248,-868551368510893619908062,574815253387350866,-868551.3685108937,0.5748152533873508,-48570189.188645795,27.58835469787737,0,0.08276506409363212
-142260,0,235538656087110874032017,64550168533657716416053248,64744100094742466081587200,-865949748864754775089491,576542201929186398,-865949.7488647548,0.5765422019291864,-49436138.93751055,28.164896899806557,0,0.08449469069941967
-142200,0,235538656087110874032017,64744100094742466081587200,64938614294900651755307008,-863355921992911009720081,578274338835886072,-863355.921992911,0.5782743388358861,-50299494.85950346,28.743171238642443,0,0.08622951371592733
-142140,0,235538656087110874032017,64938614294900651755307008,65133712884586352866230272,-860769864553295701548615,580011679695174406,-860769.8645532957,0.5800116796951744,-51160264.72405676,29.32318291833762,0,0.08796954875501287
-142080,0,235538656087110874032017,65133712884586352866230272,65329397619512595779158016,-858191553273539271894407,581754240141457833,-858191.5532735393,0.5817542401414578,-52018456.277330294,29.904937158479076,0,0.08971481147543722
-142020,0,235538656087110874032017,65329397619512595779158016,65525670260667236583735296,-855620964951345981882359,583502035856360982,-855620.9649513459,0.583502035856361,-52874077.24228164,30.488439194335438,0,0.09146531758300631
-141960,0,235538656087110874032017,65525670260667236583735296,65722532574328740804296704,-853058076453621696627537,585255082568420227,-853058.0764536217,0.5852550825684202,-53727135.31873526,31.073694276903858,0,0.09322108283071158
-141900,-576982800556469146003,234961673286554404886014,65722532574328740804296704,65919986332082091958730752,-848419446508685624112644,585575429823864803,-848419.4465086856,0.5855754298238648,-54575554.76524394,31.659269706727724,0,0.09497780912018317
-141840,0,234961673286554404886014,65919986332082091958730752,66118033310834760246886400,-845878129114925944087683,587334705745519313,-845878.129114926,0.5873347057455193,-55421432.894358866,32.246604412473246,0,0.09673981323741974
-141780,0,234961673286554404886014,66118033310834760246886400,66316675292832645469175808,-843344423868732863247558,589099267154878398,-843344.4238687329,0.5890992671548784,-56264777.3182276,32.835703679628125,0,0.09850711103888438
-141720,0,234961673286554404886014,66316675292832645469175808,66515914065676183153934336,-840818307969183896558531,590869129931531264,-840818.3079691839,0.5908691299315313,-57105595.62619678,33.42657280955966,0,0.10027971842867897
-141660,0,234961673286554404886014,66515914065676183153934336,66715751422336373375369216,-838299758683406562217238,592644310002602713,-838299.7586834065,0.5926443100026028,-57943895.384880185,34.01921711956226,0,0.1020576513586868
-141600,0,234961673286554404886014,66715751422336373375369216,66916189161170921240657920,-835788753346645917122875,594424823343084313,-835788.753346646,0.5944248233430843,-58779684.13822683,34.613641942905346,0,0.10384092582871603
-141540,0,234961673286554404886014,66916189161170921240657920,67117229085940471866327040,-833285269362249900772331,596210685976114616,-833285.2693622499,0.5962106859761146,-59612969.40758908,35.209852628881464,0,0.1056295578866444
-141480,0,234961673286554404886014,67117229085940471866327040,67318873005824776635154432,-830789284200976328102180,598001913972775365,-830789.2842009764,0.5980019139727754,-60443758.69179005,35.80785454285424,0,0.10742356362856272
-141420,-147008103624923239538,234814665182929481646476,67318873005824776635154432,67521122735439014071894016,-827782533747095304669646,599423248445965228,-827782.5337470953,0.5994232484459652,-61271541.22553714,36.4072777913002,0,0.10922183337390061
-141360,0,234814665182929481646476,67521122735439014071894016,67723980094850102129065984,-825303031232202322494605,601224128117722875,-825303.0312322023,0.6012241281177229,-62096844.256769344,37.008501919417924,0,0.11102550575825378
-141300,0,234814665182929481646476,67723980094850102129065984,67927446909593096372092928,-822830955707482959969992,603030418269658895,-822830.955707483,0.6030304182696589,-62919675.21247683,37.611532337687585,0,0.11283459701306275
