tick,liquidity_net,liquidity
-146400,0,233894094685912794376543
-146460,0,233894094685912794376543
-146520,0,233894094685912794376543
-146580,0,233894094685912794376543
-146640,0,233894094685912794376543
-146700,0,233894094685912794376543
-146760,0,233894094685912794376543
-146820,114936793549040237811,233779157892363754138732
-146880,0,233779157892363754138732
-146940,0,233779157892363754138732
-147000,0,233779157892363754138732
-147060,0,233779157892363754138732
-147120,0,233779157892363754138732
-147180,0,233779157892363754138732
-147240,370015396296202974648,233409142496067551164084
-147300,19283988581844804414,233389858507485706359670
-147360,0,233389858507485706359670
-147420,0,233389858507485706359670
-147480,0,233389858507485706359670
-147540,2673768658276403800771,230716089849209302558899
-147600,271551349162429133593,230444538500046873425306
-147660,0,230444538500046873425306
-147720,0,230444538500046873425306
-147780,0,230444538500046873425306
-147840,0,230444538500046873425306
-147900,0,230444538500046873425306
-147960,0,230444538500046873425306
-148020,0,230444538500046873425306
-148080,0,230444538500046873425306
-148140,0,230444538500046873425306
-148200,0,230444538500046873425306
-148260,0,230444538500046873425306
-148320,0,230444538500046873425306
-148380,147008103624923239538,230297530396421950185768
-148440,0,230297530396421950185768
-148500,0,230297530396421950185768
-148560,0,230297530396421950185768
-148620,0,230297530396421950185768
-148680,619910288511037351079,229677620107910912834689
-148740,0,229677620107910912834689
-148800,0,229677620107910912834689
-148860,0,229677620107910912834689
-148920,0,229677620107910912834689
-148980,0,229677620107910912834689
-149040,0,229677620107910912834689
-149100,0,229677620107910912834689
-149160,1963393059493477440622,227714227048417435394067
-149220,0,227714227048417435394067
-149280,0,227714227048417435394067
-149340,0,227714227048417435394067
-149400,0,227714227048417435394067
-149460,0,227714227048417435394067
-149520,0,227714227048417435394067
-149580,0,227714227048417435394067
-149640,0,227714227048417435394067
-149700,0,227714227048417435394067
-149760,0,227714227048417435394067
-149820,0,227714227048417435394067
-149880,0,227714227048417435394067
-149940,0,227714227048417435394067
-150000,0,227714227048417435394067
-150060,0,227714227048417435394067
-150120,0,227714227048417435394067
-150180,0,227714227048417435394067
-150240,0,227714227048417435394067
-150300,0,227714227048417435394067
-150360,0,227714227048417435394067
-150420,0,227714227048417435394067
-150480,0,227714227048417435394067
-150540,0,227714227048417435394067
-150600,0,227714227048417435394067
-150660,0,227714227048417435394067
-150720,0,227714227048417435394067
-150780,0,227714227048417435394067
-150840,0,227714227048417435394067
-150900,0,227714227048417435394067
-150960,680708738192794220095,227033518310224641173972
-151020,0,227033518310224641173972
-151080,0,227033518310224641173972
-151140,0,227033518310224641173972
-151200,0,227033518310224641173972
-151260,0,227033518310224641173972
-151320,0,227033518310224641173972
-151380,0,227033518310224641173972
-151440,0,227033518310224641173972
-151500,0,227033518310224641173972
-151560,0,227033518310224641173972
-151620,0,227033518310224641173972
-151680,0,227033518310224641173972
-151740,0,227033518310224641173972
-151800,0,227033518310224641173972
-151860,0,227033518310224641173972
-151920,204825449092570739073,226828692861132070434899
-151980,0,226828692861132070434899
-152040,0,226828692861132070434899
-152100,0,226828692861132070434899
-152160,0,226828692861132070434899
-152220,0,226828692861132070434899
-152280,0,226828692861132070434899
-152340,0,226828692861132070434899
-152400,0,226828692861132070434899
-152460,0,226828692861132070434899
-152520,0,226828692861132070434899
-152580,0,226828692861132070434899
-152640,0,226828692861132070434899
-152700,0,226828692861132070434899
-152760,0,226828692861132070434899
-152820,0,226828692861132070434899
-152880,0,226828692861132070434899
-152940,0,226828692861132070434899
-153000,75304393039311888494,226753388468092758546405
-153060,0,226753388468092758546405
-153120,0,226753388468092758546405
-153180,0,226753388468092758546405
-153240,0,226753388468092758546405
-153300,0,226753388468092758546405
-153360,0,226753388468092758546405
-153420,0,226753388468092758546405
-153480,0,226753388468092758546405
-153540,0,226753388468092758546405
-153600,0,226753388468092758546405
-153660,0,226753388468092758546405
-153720,0,226753388468092758546405
-153780,0,226753388468092758546405
-153840,0,226753388468092758546405
-153900,0,226753388468092758546405
-153960,0,226753388468092758546405
-154020,0,226753388468092758546405
-154080,0,226753388468092758546405
-154140,0,226753388468092758546405
-154200,0,226753388468092758546405
-154260,14909498907801936774,226738478969184956609631
-154320,0,226738478969184956609631
-154380,0,226738478969184956609631
-154440,0,226738478969184956609631
-154500,0,226738478969184956609631
-154560,0,226738478969184956609631
-154620,2393152154293071253526,224345326814891885356105
-154680,0,224345326814891885356105
-154740,0,224345326814891885356105
-154800,0,224345326814891885356105
-154860,0,224345326814891885356105
-154920,0,224345326814891885356105
-154980,0,224345326814891885356105
-155040,0,224345326814891885356105
-155100,0,224345326814891885356105
-155160,0,224345326814891885356105
-155220,0,224345326814891885356105
-155280,0,224345326814891885356105
-155340,0,224345326814891885356105
-155400,0,224345326814891885356105
-155460,0,224345326814891885356105
-155520,0,224345326814891885356105
-155580,0,224345326814891885356105
-155640,0,224345326814891885356105
-155700,0,224345326814891885356105
-155760,0,224345326814891885356105
-155820,0,224345326814891885356105
-155880,0,224345326814891885356105
-155940,0,224345326814891885356105
-156000,0,224345326814891885356105
-156060,0,224345326814891885356105
-156120,0,224345326814891885356105
-156180,0,224345326814891885356105
-156240,0,224345326814891885356105
-156300,0,224345326814891885356105
-156360,0,224345326814891885356105
-156420,0,224345326814891885356105
-156480,0,224345326814891885356105
-156540,0,224345326814891885356105
-156600,0,224345326814891885356105
-156660,0,224345326814891885356105
-156720,0,224345326814891885356105
-156780,0,224345326814891885356105
-156840,0,224345326814891885356105
-156900,0,224345326814891885356105
-156960,0,224345326814891885356105
-157020,0,224345326814891885356105
-157080,0,224345326814891885356105
-157140,0,224345326814891885356105
-157200,0,224345326814891885356105
-157260,0,224345326814891885356105
-157320,0,224345326814891885356105
-157380,0,224345326814891885356105
-157440,0,224345326814891885356105
-157500,0,224345326814891885356105
-157560,0,224345326814891885356105
-157620,0,224345326814891885356105
-157680,0,224345326814891885356105
-157740,0,224345326814891885356105
-157800,0,224345326814891885356105
-157860,0,224345326814891885356105
-157920,44728410823099111268,224300598404068786244837
-157980,0,224300598404068786244837
-158040,0,224300598404068786244837
-158100,0,224300598404068786244837
-158160,0,224300598404068786244837
-158220,0,224300598404068786244837
-158280,0,224300598404068786244837
-158340,0,224300598404068786244837
-158400,0,224300598404068786244837
-158460,0,224300598404068786244837
-158520,0,224300598404068786244837
-158580,0,224300598404068786244837
-158640,0,224300598404068786244837
-158700,0,224300598404068786244837
-158760,0,224300598404068786244837
-158820,0,224300598404068786244837
-158880,0,224300598404068786244837
-158940,0,224300598404068786244837
-159000,0,224300598404068786244837
-159060,0,224300598404068786244837
-159120,0,224300598404068786244837
-159180,0,224300598404068786244837
-159240,0,224300598404068786244837
-159300,0,224300598404068786244837
-159360,0,224300598404068786244837
-159420,0,224300598404068786244837
-159480,0,224300598404068786244837
-159540,0,224300598404068786244837
-159600,0,224300598404068786244837
-159660,0,224300598404068786244837
-159720,0,224300598404068786244837
-159780,0,224300598404068786244837
-159840,0,224300598404068786244837
-159900,0,224300598404068786244837
-159960,0,224300598404068786244837
-160020,0,224300598404068786244837
-160080,0,224300598404068786244837
