tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-146400,0,233894094685912794376543,52481098568224679749746688,52323899049536720755228672,1060833036795993467874353,-464077897830353381,1060833.0367959936,-0.4640778978303534,1060833.0367959936,-0.4640778978303534,3182.499110387981,0
-146460,0,233894094685912794376543,52323899049536720755228672,52167170399206137355304960,1064020154839935266384315,-462687819799138420,1064020.1548399352,-0.4626878197991384,2124853.191635929,-0.9267657176294919,6374.5595749077875,0
-146520,0,233894094685912794376543,52167170399206137355304960,52010911206815053077544960,1067216848114979346222221,-461301905545068826,1067216.8481149795,-0.4613019055450688,3192070.0397509085,-1.3880676231745608,9576.210119252726,0
-146580,0,233894094685912794376543,52010911206815053077544960,51855120066170301670490112,1070423145388455792111799,-459920142596130343,1070423.1453884558,-0.45992014259613034,4262493.185139365,-1.8479877657706911,12787.479555418095,0
-146640,0,233894094685912794376543,51855120066170301670490112,51699795575290765540065280,1073639075514169537501014,-458542518517687656,1073639.0755141696,-0.4585425185176877,5336132.260653534,-2.306530284288379,16008.396781960602,0
-146700,0,233894094685912794376543,51699795575290765540065280,51544936336394757135663104,1076864667432626578205431,-457169020912357598,1076864.6674326265,-0.45716902091235756,6412996.928086161,-2.7636993052007366,19238.990784258483,0
-146760,0,233894094685912794376543,51544936336394757135663104,51390540955887451875835904,1080099950171198451233894,-455799637419857000,1080099.9501711985,-0.455799637419857,7493096.878257359,-3.2194989426205938,22479.29063477208,0
-146820,114936793549040237811,233779157892363754138732,51390540955887451875835904,51236608044348312484052992,1082812591412689261962002,-454211044274322413,1082812.5914126893,-0.4542110442743224,8575909.469670048,-3.673709986894916,25727.728409010142,0
-146880,0,233779157892363754138732,51236608044348312484052992,51083136216518633583542272,1086065743820859424281070,-452850520971814242,1086065.7438208594,-0.4528505209718143,9661975.213490907,-4.1265605078667305,28985.92564047272,0
-146940,0,233779157892363754138732,51083136216518633583542272,50930124091289034752524288,1089328669850727718692121,-451494072919541165,1089328.6698507278,-0.4514940729195412,10751303.883341635,-4.578054580786271,32253.911650024904,0
-147000,0,233779157892363754138732,50930124091289034752524288,50777570291687056658661376,1092601398865655645972514,-450141687910657813,1092601.3988656555,-0.4501416879106578,11843905.28220729,-5.028196268696929,35531.715846621875,0
-147060,0,233779157892363754138732,50777570291687056658661376,50625473444864765783441408,1095883960317248167662808,-448793353774893656,1095883.9603172482,-0.44879335377489366,12939789.242524538,-5.476989622471823,38819.36772757362,0
-147120,0,233779157892363754138732,50625473444864765783441408,50473832182086376326430720,1099176383745764640897233,-447449058378502306,1099176.3837457646,-0.44744905837850235,14038965.626270304,-5.924438680850326,42116.89687881091,0
-147180,0,233779157892363754138732,50473832182086376326430720,50322645138715966598807552,1102478698779970416784911,-446108789623982711,1102478.6987799704,-0.4461087896239827,15141444.325050274,-6.370547470474309,45424.33297515083,0
-147240,370015396296202974648,233409142496067551164084,50322645138715966598807552,50171910954205195416895488,1104040737751489797506005,-444068568991093100,1104040.7377514897,-0.4440685689910931,16245485.062801763,-6.814616039465402,48736.455188405285,0
-147300,19283988581844804414,233389858507485706359670,50171910954205195416895488,50021628272081018495696896,1107266178440564756832537,-442701847474655928,1107266.1784405648,-0.44270184747465596,17352751.241242327,-7.257317886940058,52058.25372372698,0
