tick,liquidity_net,liquidity
108400,-41543488461482237563654,369353232983587665549113
108600,-20256770463717607709173,349096462519870057839940
108800,-145757037478241145088820,203339425041628912751120
109000,-2354554121593351744679,200984870920035561006441
109200,-6577063897897881027784,194407807022137679978657
109400,-483403602362316188522,193924403419775363790135
109600,-3736192355169440168353,190188211064605923621782
109800,-4929534506475291251372,185258676558130632370410
110000,-26018888052540905484860,159239788505589726885550
110200,-2911886307834009754427,156327902197755717131123
110400,-3916288459021677887394,152411613738734039243729
110600,-8987139489028384309263,143424474249705654934466
110800,-6201867323456446175499,137222606926249208758967
111000,-145144523550659459382,137077462402698549299585
111200,-7961296226493705616543,129116166176204843683042
111400,-20043544774719697904,129096122631430123985138
111600,-80146514495452746648,129015976116934671238490
111800,-185019756099549402788,128830956360835121835702
112000,-232752691798900970139,128598203669036220865563
112200,0,128598203669036220865563
112400,-200133046533185893651,128398070622503034971912
112600,-22591843998266805943,128375478778504768165969
112800,-48988550567235235672,128326490227937532930297
113000,-90363759307350820457771,37962730920586712472526
113200,-285825269895124926738,37676905650691587545788
113400,-1895040672273167339900,35781864978418420205888
113600,-69045799761552260938,35712819178656867944950
113800,0,35712819178656867944950
114000,68100741524790403637,35780919920181658348587
114200,-480638012641447013492,35300281907540211335095
114400,-16410432944502542322,35283871474595708792773
114600,-23811506713905156491219,11472364760690552301554
114800,0,11472364760690552301554
115000,-217926701248578589134,11254438059441973712420
115200,-2011537725050593147706,9242900334391380564714
115400,-9144219315751895078,9233756115075628669636
115600,0,9233756115075628669636
115800,0,9233756115075628669636
116000,-630856614533047440234,8602899500542581229402
116200,4475226430220300853809,13078125930762882083211
116400,-4475226430220300853809,8602899500542581229402
116600,0,8602899500542581229402
116800,-195866680873472527355,8407032819669108702047
117000,0,8407032819669108702047
117200,-33177451681310375837,8373855367987798326210
117400,-205079899919738464947,8168775468068059861263
117600,0,8168775468068059861263
117800,-304584692299720090378,7864190775768339770885
118000,-2059409358110453366056,5804781417657886404829
118200,0,5804781417657886404829
118400,0,5804781417657886404829
118600,0,5804781417657886404829
118800,0,5804781417657886404829
119000,0,5804781417657886404829
119200,-944416859820182148325,4860364557837704256504
119400,-18605712441262354599,4841758845396441901905
119600,0,4841758845396441901905
119800,0,4841758845396441901905
120000,0,4841758845396441901905
120200,-57937369974474822528,4783821475421967079377
120400,0,4783821475421967079377
120600,0,4783821475421967079377
120800,0,4783821475421967079377
121000,0,4783821475421967079377
121200,0,4783821475421967079377
121400,0,4783821475421967079377
121600,0,4783821475421967079377
121800,-70384878774677260822,4713436596647289818555
122000,-660111205541995406045,4053325391105294412510
122200,0,4053325391105294412510
122400,0,4053325391105294412510
122600,0,4053325391105294412510
122800,0,4053325391105294412510
123000,0,4053325391105294412510
123200,0,4053325391105294412510
123400,0,4053325391105294412510
123600,0,4053325391105294412510
123800,0,4053325391105294412510
124000,0,4053325391105294412510
124200,0,4053325391105294412510
124400,0,4053325391105294412510
124600,0,4053325391105294412510
124800,0,4053325391105294412510
125000,0,4053325391105294412510
125200,0,4053325391105294412510
125400,0,4053325391105294412510
125600,0,4053325391105294412510
125800,0,4053325391105294412510
126000,0,4053325391105294412510
126200,-735354364726341119137,3317971026378953293373
126400,0,3317971026378953293373
126600,0,3317971026378953293373
126800,0,3317971026378953293373
127000,0,3317971026378953293373
127200,0,3317971026378953293373
127400,0,3317971026378953293373
127600,0,3317971026378953293373
127800,0,3317971026378953293373
128000,0,3317971026378953293373
128200,0,3317971026378953293373
128400,0,3317971026378953293373
128600,0,3317971026378953293373
128800,0,3317971026378953293373
129000,0,3317971026378953293373
129200,0,3317971026378953293373
129400,0,3317971026378953293373
129600,0,3317971026378953293373
129800,0,3317971026378953293373
130000,0,3317971026378953293373
130200,0,3317971026378953293373
130400,0,3317971026378953293373
130600,0,3317971026378953293373
130800,0,3317971026378953293373
131000,0,3317971026378953293373
131200,0,3317971026378953293373
131400,0,3317971026378953293373
131600,0,3317971026378953293373
131800,0,3317971026378953293373
132000,0,3317971026378953293373
132200,0,3317971026378953293373
132400,0,3317971026378953293373
132600,0,3317971026378953293373
132800,0,3317971026378953293373
133000,0,3317971026378953293373
133200,0,3317971026378953293373
133400,0,3317971026378953293373
133600,0,3317971026378953293373
133800,0,3317971026378953293373
134000,0,3317971026378953293373
134200,-4291895563550118052,3313679130815403175321
134400,0,3313679130815403175321
134600,0,3313679130815403175321
134800,0,3313679130815403175321
135000,0,3313679130815403175321
135200,0,3313679130815403175321
135400,0,3313679130815403175321
135600,0,3313679130815403175321
135800,0,3313679130815403175321
136000,0,3313679130815403175321
136200,0,3313679130815403175321
136400,0,3313679130815403175321
136600,0,3313679130815403175321
136800,0,3313679130815403175321
137000,0,3313679130815403175321
137200,0,3313679130815403175321
137400,0,3313679130815403175321
137600,0,3313679130815403175321
137800,0,3313679130815403175321
138000,0,3313679130815403175321
138200,-2128494496369317931,3311550636319033857390
138400,0,3311550636319033857390
138600,0,3311550636319033857390
138800,0,3311550636319033857390
139000,0,3311550636319033857390
139200,0,3311550636319033857390
139400,-310336635716035519,3311240299683317821871
139600,0,3311240299683317821871
139800,0,3311240299683317821871
140000,0,3311240299683317821871
140200,0,3311240299683317821871
140400,0,3311240299683317821871
140600,0,3311240299683317821871
140800,0,3311240299683317821871
141000,0,3311240299683317821871
141200,0,3311240299683317821871
141400,0,3311240299683317821871
141600,0,3311240299683317821871
141800,0,3311240299683317821871
142000,0,3311240299683317821871
142200,0,3311240299683317821871
142400,0,3311240299683317821871
142600,0,3311240299683317821871
142800,0,3311240299683317821871
143000,0,3311240299683317821871
143200,0,3311240299683317821871
143400,0,3311240299683317821871
143600,0,3311240299683317821871
143800,0,3311240299683317821871
144000,0,3311240299683317821871
144200,0,3311240299683317821871
144400,0,3311240299683317821871
144600,0,3311240299683317821871
144800,0,3311240299683317821871
145000,0,3311240299683317821871
145200,0,3311240299683317821871
145400,0,3311240299683317821871
145600,0,3311240299683317821871
145800,0,3311240299683317821871
146000,0,3311240299683317821871
146200,0,3311240299683317821871
146400,0,3311240299683317821871
146600,0,3311240299683317821871
146800,0,3311240299683317821871
147000,0,3311240299683317821871
147200,0,3311240299683317821871
147400,0,3311240299683317821871
147600,0,3311240299683317821871
147800,0,3311240299683317821871
148000,0,3311240299683317821871
148200,0,3311240299683317821871
148400,0,3311240299683317821871
148600,0,3311240299683317821871
148800,0,3311240299683317821871
149000,0,3311240299683317821871
149200,0,3311240299683317821871
149400,0,3311240299683317821871
149600,0,3311240299683317821871
149800,0,3311240299683317821871
150000,0,3311240299683317821871
150200,0,3311240299683317821871
150400,0,3311240299683317821871
150600,0,3311240299683317821871
150800,0,3311240299683317821871
151000,0,3311240299683317821871
151200,0,3311240299683317821871
151400,0,3311240299683317821871
151600,0,3311240299683317821871
151800,0,3311240299683317821871
152000,0,3311240299683317821871
152200,0,3311240299683317821871
152400,0,3311240299683317821871
152600,0,3311240299683317821871
152800,0,3311240299683317821871
153000,0,3311240299683317821871
153200,0,3311240299683317821871
153400,0,3311240299683317821871
153600,0,3311240299683317821871
153800,0,3311240299683317821871
154000,0,3311240299683317821871
154200,0,3311240299683317821871
154400,0,3311240299683317821871
154600,0,3311240299683317821871
154800,0,3311240299683317821871
155000,0,3311240299683317821871
155200,0,3311240299683317821871
155400,0,3311240299683317821871
155600,0,3311240299683317821871
155800,0,3311240299683317821871
156000,0,3311240299683317821871
156200,0,3311240299683317821871
156400,0,3311240299683317821871
156600,0,3311240299683317821871
156800,0,3311240299683317821871
157000,0,3311240299683317821871
157200,0,3311240299683317821871
157400,0,3311240299683317821871
157600,0,3311240299683317821871
157800,0,3311240299683317821871
158000,0,3311240299683317821871
158200,0,3311240299683317821871
158400,0,3311240299683317821871
158600,0,3311240299683317821871
158800,0,3311240299683317821871
159000,0,3311240299683317821871
159200,0,3311240299683317821871
159400,0,3311240299683317821871
159600,0,3311240299683317821871
159800,0,3311240299683317821871
160000,0,3311240299683317821871
160200,0,3311240299683317821871
160400,0,3311240299683317821871
160600,0,3311240299683317821871
160800,0,3311240299683317821871
161000,0,3311240299683317821871
161200,0,3311240299683317821871
161400,0,3311240299683317821871
161600,0,3311240299683317821871
161800,0,3311240299683317821871
162000,0,3311240299683317821871
162200,0,3311240299683317821871
162400,0,3311240299683317821871
162600,0,3311240299683317821871
162800,0,3311240299683317821871
163000,0,3311240299683317821871
163200,0,3311240299683317821871
163400,0,3311240299683317821871
163600,0,3311240299683317821871
163800,0,3311240299683317821871
164000,0,3311240299683317821871
164200,0,3311240299683317821871
164400,0,3311240299683317821871
164600,0,3311240299683317821871
164800,0,3311240299683317821871
165000,0,3311240299683317821871
165200,0,3311240299683317821871
165400,0,3311240299683317821871
165600,0,3311240299683317821871
165800,0,3311240299683317821871
166000,0,3311240299683317821871
166200,0,3311240299683317821871
166400,0,3311240299683317821871
166600,0,3311240299683317821871
166800,0,3311240299683317821871
167000,0,3311240299683317821871
167200,0,3311240299683317821871
167400,0,3311240299683317821871
167600,0,3311240299683317821871
167800,0,3311240299683317821871
168000,0,3311240299683317821871
168200,0,3311240299683317821871
168400,0,3311240299683317821871
168600,0,3311240299683317821871
168800,0,3311240299683317821871
169000,0,3311240299683317821871
169200,0,3311240299683317821871
169400,0,3311240299683317821871
169600,0,3311240299683317821871
169800,0,3311240299683317821871
170000,0,3311240299683317821871
170200,0,3311240299683317821871
170400,0,3311240299683317821871
170600,0,3311240299683317821871
170800,0,3311240299683317821871
171000,0,3311240299683317821871
171200,0,3311240299683317821871
171400,0,3311240299683317821871
171600,0,3311240299683317821871
171800,0,3311240299683317821871
172000,0,3311240299683317821871
172200,0,3311240299683317821871
172400,0,3311240299683317821871
172600,0,3311240299683317821871
172800,0,3311240299683317821871
173000,0,3311240299683317821871
173200,0,3311240299683317821871
173400,0,3311240299683317821871
173600,0,3311240299683317821871
173800,0,3311240299683317821871
174000,0,3311240299683317821871
174200,0,3311240299683317821871
174400,0,3311240299683317821871
174600,0,3311240299683317821871
174800,0,3311240299683317821871
175000,0,3311240299683317821871
175200,0,3311240299683317821871
175400,0,3311240299683317821871
175600,0,3311240299683317821871
175800,0,3311240299683317821871
176000,0,3311240299683317821871
176200,0,3311240299683317821871
176400,0,3311240299683317821871
176600,0,3311240299683317821871
176800,0,3311240299683317821871
177000,0,3311240299683317821871
177200,0,3311240299683317821871
177400,0,3311240299683317821871
177600,0,3311240299683317821871
177800,0,3311240299683317821871
178000,0,3311240299683317821871
178200,0,3311240299683317821871
178400,0,3311240299683317821871
178600,0,3311240299683317821871
178800,0,3311240299683317821871
179000,0,3311240299683317821871
179200,0,3311240299683317821871
179400,0,3311240299683317821871
179600,0,3311240299683317821871
179800,0,3311240299683317821871
180000,0,3311240299683317821871
180200,0,3311240299683317821871
180400,0,3311240299683317821871
180600,0,3311240299683317821871
180800,0,3311240299683317821871
181000,0,3311240299683317821871
181200,0,3311240299683317821871
181400,0,3311240299683317821871
181600,0,3311240299683317821871
181800,0,3311240299683317821871
182000,0,3311240299683317821871
182200,0,3311240299683317821871
182400,0,3311240299683317821871
182600,0,3311240299683317821871
182800,0,3311240299683317821871
183000,0,3311240299683317821871
183200,0,3311240299683317821871
183400,0,3311240299683317821871
183600,0,3311240299683317821871
183800,0,3311240299683317821871
184000,0,3311240299683317821871
184200,0,3311240299683317821871
184400,0,3311240299683317821871
184600,0,3311240299683317821871
184800,0,3311240299683317821871
185000,0,3311240299683317821871
185200,0,3311240299683317821871
185400,0,3311240299683317821871
185600,0,3311240299683317821871
185800,0,3311240299683317821871
186000,0,3311240299683317821871
186200,0,3311240299683317821871
186400,0,3311240299683317821871
186600,0,3311240299683317821871
186800,0,3311240299683317821871
187000,0,3311240299683317821871
187200,0,3311240299683317821871
187400,0,3311240299683317821871
187600,0,3311240299683317821871
187800,0,3311240299683317821871
188000,0,3311240299683317821871
188200,0,3311240299683317821871
188400,0,3311240299683317821871
188600,0,3311240299683317821871
188800,0,3311240299683317821871
189000,0,3311240299683317821871
189200,0,3311240299683317821871
189400,0,3311240299683317821871
189600,0,3311240299683317821871
189800,0,3311240299683317821871
190000,0,3311240299683317821871
190200,0,3311240299683317821871
190400,0,3311240299683317821871
190600,0,3311240299683317821871
190800,0,3311240299683317821871
191000,0,3311240299683317821871
191200,0,3311240299683317821871
191400,0,3311240299683317821871
191600,0,3311240299683317821871
191800,0,3311240299683317821871
192000,0,3311240299683317821871
192200,0,3311240299683317821871
192400,0,3311240299683317821871
192600,0,3311240299683317821871
192800,0,3311240299683317821871
193000,0,3311240299683317821871
193200,0,3311240299683317821871
193400,0,3311240299683317821871
193600,0,3311240299683317821871
193800,0,3311240299683317821871
194000,0,3311240299683317821871
194200,0,3311240299683317821871
194400,0,3311240299683317821871
194600,0,3311240299683317821871
194800,0,3311240299683317821871
195000,0,3311240299683317821871
195200,0,3311240299683317821871
195400,0,3311240299683317821871
195600,0,3311240299683317821871
195800,0,3311240299683317821871
196000,0,3311240299683317821871
196200,0,3311240299683317821871
196400,0,3311240299683317821871
196600,0,3311240299683317821871
196800,0,3311240299683317821871
197000,0,3311240299683317821871
197200,0,3311240299683317821871
197400,0,3311240299683317821871
197600,0,3311240299683317821871
197800,0,3311240299683317821871
198000,0,3311240299683317821871
198200,0,3311240299683317821871
198400,0,3311240299683317821871
198600,0,3311240299683317821871
198800,0,3311240299683317821871
199000,0,3311240299683317821871
199200,0,3311240299683317821871
199400,0,3311240299683317821871
199600,0,3311240299683317821871
199800,0,3311240299683317821871
200000,0,3311240299683317821871
200200,0,3311240299683317821871
200400,0,3311240299683317821871
200600,0,3311240299683317821871
200800,0,3311240299683317821871
201000,0,3311240299683317821871
201200,0,3311240299683317821871
201400,0,3311240299683317821871
201600,0,3311240299683317821871
201800,0,3311240299683317821871
202000,0,3311240299683317821871
202200,0,3311240299683317821871
202400,0,3311240299683317821871
202600,0,3311240299683317821871
202800,0,3311240299683317821871
203000,0,3311240299683317821871
203200,0,3311240299683317821871
203400,0,3311240299683317821871
203600,0,3311240299683317821871
203800,0,3311240299683317821871
204000,0,3311240299683317821871
204200,0,3311240299683317821871
204400,0,3311240299683317821871
204600,0,3311240299683317821871
204800,0,3311240299683317821871
205000,0,3311240299683317821871
205200,0,3311240299683317821871
205400,0,3311240299683317821871
205600,0,3311240299683317821871
205800,0,3311240299683317821871
206000,0,3311240299683317821871
206200,0,3311240299683317821871
206400,0,3311240299683317821871
206600,0,3311240299683317821871
206800,0,3311240299683317821871
207000,0,3311240299683317821871
207200,0,3311240299683317821871
207400,0,3311240299683317821871
207600,0,3311240299683317821871
207800,0,3311240299683317821871
208000,0,3311240299683317821871
208200,0,3311240299683317821871
208400,0,3311240299683317821871
208600,0,3311240299683317821871
208800,0,3311240299683317821871
209000,0,3311240299683317821871
209200,0,3311240299683317821871
209400,0,3311240299683317821871
209600,0,3311240299683317821871
209800,0,3311240299683317821871
210000,0,3311240299683317821871
210200,0,3311240299683317821871
210400,0,3311240299683317821871
210600,0,3311240299683317821871
210800,0,3311240299683317821871
211000,0,3311240299683317821871
211200,0,3311240299683317821871
211400,0,3311240299683317821871
211600,0,3311240299683317821871
211800,0,3311240299683317821871
212000,0,3311240299683317821871
212200,0,3311240299683317821871
212400,0,3311240299683317821871
212600,0,3311240299683317821871
212800,0,3311240299683317821871
213000,0,3311240299683317821871
213200,0,3311240299683317821871
213400,0,3311240299683317821871
213600,0,3311240299683317821871
213800,0,3311240299683317821871
214000,0,3311240299683317821871
214200,0,3311240299683317821871
214400,0,3311240299683317821871
214600,0,3311240299683317821871
214800,0,3311240299683317821871
215000,0,3311240299683317821871
215200,0,3311240299683317821871
215400,0,3311240299683317821871
215600,0,3311240299683317821871
215800,0,3311240299683317821871
216000,0,3311240299683317821871
216200,0,3311240299683317821871
216400,0,3311240299683317821871
216600,0,3311240299683317821871
216800,0,3311240299683317821871
217000,0,3311240299683317821871
217200,0,3311240299683317821871
217400,0,3311240299683317821871
217600,0,3311240299683317821871
217800,0,3311240299683317821871
218000,0,3311240299683317821871
218200,0,3311240299683317821871
218400,0,3311240299683317821871
218600,0,3311240299683317821871
218800,0,3311240299683317821871
219000,0,3311240299683317821871
219200,0,3311240299683317821871
219400,0,3311240299683317821871
219600,0,3311240299683317821871
219800,0,3311240299683317821871
220000,0,3311240299683317821871
220200,0,3311240299683317821871
220400,0,3311240299683317821871
220600,0,3311240299683317821871
220800,0,3311240299683317821871
221000,0,3311240299683317821871
221200,0,3311240299683317821871
221400,0,3311240299683317821871
221600,0,3311240299683317821871
221800,0,3311240299683317821871
222000,0,3311240299683317821871
222200,0,3311240299683317821871
222400,0,3311240299683317821871
222600,0,3311240299683317821871
222800,0,3311240299683317821871
223000,0,3311240299683317821871
223200,0,3311240299683317821871
223400,0,3311240299683317821871
223600,0,3311240299683317821871
223800,0,3311240299683317821871
224000,0,3311240299683317821871
224200,0,3311240299683317821871
224400,0,3311240299683317821871
224600,0,3311240299683317821871
224800,0,3311240299683317821871
225000,0,3311240299683317821871
225200,0,3311240299683317821871
225400,0,3311240299683317821871
225600,0,3311240299683317821871
225800,0,3311240299683317821871
226000,0,3311240299683317821871
226200,0,3311240299683317821871
226400,0,3311240299683317821871
226600,0,3311240299683317821871
226800,0,3311240299683317821871
227000,0,3311240299683317821871
227200,0,3311240299683317821871
227400,0,3311240299683317821871
227600,0,3311240299683317821871
227800,0,3311240299683317821871
228000,0,3311240299683317821871
228200,0,3311240299683317821871
228400,0,3311240299683317821871
228600,0,3311240299683317821871
228800,0,3311240299683317821871
229000,0,3311240299683317821871
229200,0,3311240299683317821871
229400,0,3311240299683317821871
229600,0,3311240299683317821871
229800,0,3311240299683317821871
230000,0,3311240299683317821871
230200,0,3311240299683317821871
230400,0,3311240299683317821871
230600,0,3311240299683317821871
230800,0,3311240299683317821871
231000,0,3311240299683317821871
231200,0,3311240299683317821871
231400,0,3311240299683317821871
231600,0,3311240299683317821871
231800,0,3311240299683317821871
232000,0,3311240299683317821871
232200,0,3311240299683317821871
232400,0,3311240299683317821871
232600,0,3311240299683317821871
232800,0,3311240299683317821871
233000,0,3311240299683317821871
233200,0,3311240299683317821871
233400,0,3311240299683317821871
233600,0,3311240299683317821871
233800,0,3311240299683317821871
234000,0,3311240299683317821871
234200,0,3311240299683317821871
234400,0,3311240299683317821871
234600,0,3311240299683317821871
234800,0,3311240299683317821871
235000,0,3311240299683317821871
235200,0,3311240299683317821871
235400,0,3311240299683317821871
235600,0,3311240299683317821871
235800,0,3311240299683317821871
236000,0,3311240299683317821871
236200,0,3311240299683317821871
236400,0,3311240299683317821871
236600,0,3311240299683317821871
236800,0,3311240299683317821871
237000,0,3311240299683317821871
237200,0,3311240299683317821871
237400,0,3311240299683317821871
237600,0,3311240299683317821871
237800,0,3311240299683317821871
238000,0,3311240299683317821871
238200,0,3311240299683317821871
238400,0,3311240299683317821871
238600,0,3311240299683317821871
238800,0,3311240299683317821871
239000,0,3311240299683317821871
239200,0,3311240299683317821871
239400,0,3311240299683317821871
239600,0,3311240299683317821871
239800,0,3311240299683317821871
240000,0,3311240299683317821871
