tick,liquidity_net,liquidity
108600,-15016575931672406194903,411018338744066118982666
108400,-41152064173905228998294,452170402917971347980960
108200,-10674394464158289582802,462844797382129637563762
108000,-14243041297475205972784,477087838679604843536546
107800,-34394997960159187789664,511482836639764031326210
107600,59793855148931319548306,451688981490832711777904
107400,77146050370952720342285,374542931119879991435619
107200,-70524060759979926375497,445066991879859917811116
107000,-11157146690532751821393,456224138570392669632509
106800,1577008022432563131511,454647130547960106500998
106600,27581735247335655008829,427065395300624451492169
106400,3036959751887690340458,424028435548736761151711
106200,46773146141486621125400,377255289407250140026311
106000,58396910365041777835868,318858379042208362190443
105800,19904196774238513641558,298954182267969848548885
105600,1227362993657394192749,297726819274312454356136
105400,212628608677700727404,297514190665634753628732
105200,55799985329490655923,297458390680305262972809
105000,13634007125585910893787,283824383554719352079022
104800,17832723375968327967377,265991660178751024111645
104600,-50054990939886796586222,316046651118637820697867
104400,3150459032017945419847,312896192086619875278020
104200,1205332096350370379495,311690859990269504898525
104000,33228641207781324940,311657631349061723573585
103800,-307219168022327924531525,618876799371389648105110
103600,0,618876799371389648105110
103400,596134498204020660512,618280664873185627444598
103200,328616645377645550369,617952048227807981894229
103000,62790245771646481147444,555161802456161500746785
102800,232752691798900970139,554929049764362599776646
102600,14727540479664307336,554914322223882935469310
102400,114105876096935722329,554800216347785999746981
102200,0,554800216347785999746981
102000,880810852496990067583,553919405495289009679398
101800,58779017858676643756,553860626477430333035642
101600,0,553860626477430333035642
101400,699679817233390345565,553160946660196942690077
101200,129508462116259946392,553031438198080682743685
101000,495670778327349215312,552535767419753333528373
100800,0,552535767419753333528373
100600,20043544774719697904,552515723874978613830469
100400,0,552515723874978613830469
100200,0,552515723874978613830469
100000,0,552515723874978613830469
99800,0,552515723874978613830469
99600,3065918816910248560,552512657956161703581909
99400,0,552512657956161703581909
99200,0,552512657956161703581909
99000,90364557218291316344753,462148100737870387237156
98800,0,462148100737870387237156
98600,2059409358110453366056,460088691379759933871100
98400,0,460088691379759933871100
98200,0,460088691379759933871100
98000,0,460088691379759933871100
97800,0,460088691379759933871100
97600,0,460088691379759933871100
97400,0,460088691379759933871100
97200,0,460088691379759933871100
97000,0,460088691379759933871100
96800,0,460088691379759933871100
96600,0,460088691379759933871100
96400,76415327078315362172,460012276052681618508928
96200,133667859812724965893,459878608192868893543035
96000,0,459878608192868893543035
95800,0,459878608192868893543035
95600,0,459878608192868893543035
95400,0,459878608192868893543035
95200,0,459878608192868893543035
95000,0,459878608192868893543035
94800,0,459878608192868893543035
94600,0,459878608192868893543035
94400,0,459878608192868893543035
94200,0,459878608192868893543035
94000,0,459878608192868893543035
93800,0,459878608192868893543035
93600,0,459878608192868893543035
93400,0,459878608192868893543035
93200,0,459878608192868893543035
93000,0,459878608192868893543035
92800,0,459878608192868893543035
92600,0,459878608192868893543035
92400,0,459878608192868893543035
92200,0,459878608192868893543035
92000,0,459878608192868893543035
91800,0,459878608192868893543035
91600,0,459878608192868893543035
91400,0,459878608192868893543035
91200,0,459878608192868893543035
91000,0,459878608192868893543035
90800,0,459878608192868893543035
90600,0,459878608192868893543035
90400,0,459878608192868893543035
90200,0,459878608192868893543035
90000,0,459878608192868893543035
89800,0,459878608192868893543035
89600,0,459878608192868893543035
89400,0,459878608192868893543035
89200,0,459878608192868893543035
89000,0,459878608192868893543035
88800,0,459878608192868893543035
88600,0,459878608192868893543035
88400,0,459878608192868893543035
88200,0,459878608192868893543035
88000,0,459878608192868893543035
87800,0,459878608192868893543035
87600,0,459878608192868893543035
87400,0,459878608192868893543035
87200,0,459878608192868893543035
87000,0,459878608192868893543035
86800,0,459878608192868893543035
86600,0,459878608192868893543035
86400,0,459878608192868893543035
86200,0,459878608192868893543035
86000,0,459878608192868893543035
85800,0,459878608192868893543035
85600,0,459878608192868893543035
85400,0,459878608192868893543035
85200,0,459878608192868893543035
85000,0,459878608192868893543035
84800,0,459878608192868893543035
84600,0,459878608192868893543035
84400,0,459878608192868893543035
84200,0,459878608192868893543035
84000,0,459878608192868893543035
83800,0,459878608192868893543035
83600,0,459878608192868893543035
