tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
108600,-15016575931672406194903,411018338744066118982666,18070938895102146934156084379648,17891138993758208118753429815296,18109711232250284356,-932762472478488621579691,18.109711232250284,-932762.4724784886,18.109711232250284,-932762.4724784886,0.18109711232250283,0
108400,-41152064173905228998294,452170402917971347980960,17891138993758208118753429815296,17713128042325005100037705826304,20123113900206001058,-1015942829910653129955237,20.123113900206,-1015942.8299106532,38.232825132456284,-1948705.3023891416,0.38232825132456283,0
108200,-10674394464158289582802,462844797382129637563762,17713128042325005100037705826304,17536888241339027677423331180544,20805165149224024380,-1029579285816900079935622,20.805165149224024,-1029579.2858169001,59.03799028168031,-2978284.5882060416,0.5903799028168031,0
108000,-14243041297475205972784,477087838679604843536546,17536888241339027677423331180544,17362401968435574303103593218048,21660917837684578910,-1050703136069584916100296,21.66091783768458,-1050703.1360695849,80.69890811936489,-4028987.7242756262,0.8069890811936489,0
107800,-34394997960159187789664,511482836639764031326210,17362401968435574303103593218048,17189651776586682699044922327040,23455910809753001368,-1115244319102141221351514,23.455910809753,-1115244.3191021413,104.15481892911788,-5144232.043377767,1.0415481892911789,0
107600,59793855148931319548306,451688981490832711777904,17189651776586682699044922327040,17018620392356579476531637649408,20922012666756919392,-975069839994760282969631,20.92201266675692,-975069.8399947602,125.07683159587481,-6119301.883372528,1.2507683159587482,0
107400,77146050370952720342285,374542931119879991435619,17018620392356579476531637649408,16849290714174500139473460789248,17522993375207686267,-800488512913366488319353,17.522993375207687,-800488.5129133664,142.59982497108248,-6919790.396285894,1.4259982497108248,0
107200,-70524060759979926375497,445066991879859917811116,16849290714174500139473460789248,16681645810624690320291447963648,21031720706022431530,-941751147055438141881363,21.03172070602243,-941751.1470554381,163.63154567710492,-7861541.543341332,1.6363154567710492,0
107000,-11157146690532751821393,456224138570392669632509,16681645810624690320291447963648,16515668918753412607996873146368,21775613878024311324,-955754394820549831099960,21.775613878024313,-955754.3948205499,185.40715955512923,-8817295.938161882,1.854071595551292,0
106800,1577008022432563131511,454647130547960106500998,16515668918753412607996873146368,16351343442392810349675358978048,21918424277631861387,-942974113400945859993333,21.91842427763186,-942974.1134009459,207.32558383276108,-9760270.051562827,2.073255838327611,0
106600,27581735247335655008829,427065395300624451492169,16351343442392810349675358978048,16188652950501439274191905882112,20795625366416103478,-876954318090265603261904,20.795625366416104,-876954.3180902656,228.1212091991772,-10637224.369653093,2.281212091991772,0
106400,3036959751887690340458,424028435548736761151711,16188652950501439274191905882112,16027581175521320571128929845248,20855245755030225395,-862054736452852280963779,20.855245755030225,-862054.7364528523,248.97645495420744,-11499279.106105944,2.4897645495420746,0
106200,46773146141486621125400,377255289407250140026311,16027581175521320571128929845248,15868112011751319518373518245888,18741243165540201447,-759333343351898749477534,18.7412431655402,-759333.3433518987,267.71769811974764,-12258612.449457843,2.6771769811974764,0
106000,58396910365041777835868,318858379042208362190443,15868112011751319518373518245888,15710229513736746075562474209280,15999397176135597932,-635407357667772529139685,15.999397176135599,-635407.3576677726,283.7170952958832,-12894019.807125615,2.837170952958832,0
105800,19904196774238513641558,298954182267969848548885,15710229513736746075562474209280,15553917894674936500805085167616,15151413361554218817,-589815676303137281809797,15.15141336155422,-589815.6763031373,298.8685086574374,-13483835.483428752,2.988685086574374,0
105600,1227362993657394192749,297726819274312454356136,15553917894674936500805085167616,15399161524836716911491813474304,15240850350274535734,-581549796085158985840160,15.240850350274536,-581549.796085159,314.10935900771193,-14065385.27951391,3.1410935900771193,0
105400,212628608677700727404,297514190665634753628732,15399161524836716911491813474304,15245944930003593415001764790272,15383021747985420732,-575352371703864672067259,15.38302174798542,-575352.3717038647,329.49238075569735,-14640737.651217775,3.2949238075569736,0
105200,55799985329490655923,297458390680305262972809,15245944930003593415001764790272,15094252789920450384727006773248,15534701776043793950,-569520968757281399912128,15.534701776043795,-569520.9687572814,345.02708253174114,-15210258.619975056,3.450270825317411,0
105000,13634007125585910893787,283824383554719352079022,15094252789920450384727006773248,14944069936763678068420259086336,14971631437734615570,-538010151504340158260461,14.971631437734615,-538010.1515043401,359.9987139694758,-15748268.771479396,3.5999871396947576,0
104800,17832723375968327967377,265991660178751024111645,14944069936763678068420259086336,14795381353624520111483281997824,14171968289492589864,-499190209941954097442370,14.17196828949259,-499190.2099419541,374.1706822589684,-16247458.98142135,3.7417068225896837,0
104600,-50054990939886796586222,316046651118637820697867,14795381353624520111483281997824,14648172173007532908804906680320,17008110639479342973,-587227660865428778467824,17.008110639479344,-587227.6608654287,391.17879289844774,-16834686.642286777,3.9117879289844772,0
104400,3150459032017945419847,312896192086619875278020,14648172173007532908804906680320,14502427675343960878564916592640,17007790006886338614,-575589498599043650249526,17.00779000688634,-575589.4985990437,408.1865829053341,-17410276.140885822,4.081865829053341,0
104200,1205332096350370379495,311690859990269504898525,14502427675343960878564916592640,14358133287519917319812909367296,17112537076087376715,-567667359754155737369429,17.112537076087378,-567667.3597541557,425.2991199814215,-17977943.50063998,4.252991199814216,0
104000,33228641207781324940,311657631349061723573585,14358133287519917319812909367296,14215274581419213227835181236224,17282669629401439987,-561959340568086672072956,17.28266962940144,-561959.3405680867,442.5817896108229,-18539902.841208067,4.425817896108229,0
103800,-307219168022327924531525,618876799371389648105110,14215274581419213227835181236224,14073837272480667434123421286400,34664105058756350626,-1104812560203327214442727,34.66410505875635,-1104812.560203327,477.24589466957923,-19644715.401411396,4.772458946695792,0
103600,0,618876799371389648105110,14073837272480667434123421286400,13933807218269787732754344968192,35012467601348852487,-1093820038426724775046827,35.01246760134885,-1093820.0384267247,512.258362270928,-20738535.43983812,5.122583622709281,0
103400,596134498204020660512,618280664873185627444598,13933807218269787732754344968192,13795170417064656359994054148096,35330266296665447740,-1081893747183241690787827,35.33026629666545,-1081893.7471832416,547.5886285675934,-21820429.18702136,5.4758862856759345,0
