tick,liquidity_net,liquidity
-106400,2046976217156059509909,253020057902446670492016
-106200,0,253020057902446670492016
-106000,0,253020057902446670492016
-105800,0,253020057902446670492016
-105600,-28420261345752893981904,224599796556693776510112
-105400,-13660953765903384746,224586135602927873125366
-105200,32588518207383863845162,257174653810311736970528
-105000,-1350683895767443751795,255823969914544293218733
-104800,0,255823969914544293218733
-104600,0,255823969914544293218733
-104400,17011445640777570446,255840981360185070789179
-104200,13973753849434791055783,269814735209619861844962
-104000,0,269814735209619861844962
-103800,10586699034605018357442,280401434244224880202404
-103600,836880637114623036831,281238314881339503239235
-103400,-11958678586375929052607,269279636294963574186628
-103200,-22464058522514024176,269257172236441060162452
-103000,9375472151917632080041,278632644388358692242493
-102800,0,278632644388358692242493
-102600,0,278632644388358692242493
-102400,0,278632644388358692242493
-102200,0,278632644388358692242493
-102000,0,278632644388358692242493
-101800,0,278632644388358692242493
-101600,-330133562185133101527,278302510826173559140966
-101400,0,278302510826173559140966
-101200,-129134475193160105875,278173376350980399035091
-101000,4490195853867316032410,282663572204847715067501
-100800,-4490195853867316032410,278173376350980399035091
-100600,0,278173376350980399035091
-100400,0,278173376350980399035091
-100200,0,278173376350980399035091
-100000,-593320021745688918384,277580056329234710116707
-99800,0,277580056329234710116707
-99600,-3240614545324560114552,274339441783910150002155
-99400,0,274339441783910150002155
-99200,0,274339441783910150002155
-99000,-2827033884855621495281,271512407899054528506874
-98800,0,271512407899054528506874
-98600,-701731643949918220813,270810676255104610286061
-98400,0,270810676255104610286061
-98200,0,270810676255104610286061
-98000,0,270810676255104610286061
-97800,-1818376914947802825205,268992299340156807460856
-97600,0,268992299340156807460856
-97400,0,268992299340156807460856
-97200,-12507693717489906646,268979791646439317554210
-97000,0,268979791646439317554210
-96800,0,268979791646439317554210
-96600,0,268979791646439317554210
-96400,0,268979791646439317554210
-96200,-34768665249245790101,268945022981190071764109
-96000,0,268945022981190071764109
-95800,0,268945022981190071764109
-95600,0,268945022981190071764109
-95400,-33425398844498486881993,235519624136691584882116
-95200,0,235519624136691584882116
-95000,0,235519624136691584882116
-94800,0,235519624136691584882116
-94600,0,235519624136691584882116
-94400,0,235519624136691584882116
-94200,0,235519624136691584882116
-94000,0,235519624136691584882116
-93800,0,235519624136691584882116
-93600,0,235519624136691584882116
-93400,0,235519624136691584882116
-93200,0,235519624136691584882116
-93000,0,235519624136691584882116
-92800,0,235519624136691584882116
-92600,0,235519624136691584882116
-92400,0,235519624136691584882116
-92200,-61759515213598156606,235457864621477986725510
-92000,0,235457864621477986725510
-91800,0,235457864621477986725510
-91600,0,235457864621477986725510
-91400,0,235457864621477986725510
-91200,0,235457864621477986725510
-91000,0,235457864621477986725510
-90800,0,235457864621477986725510
-90600,0,235457864621477986725510
-90400,0,235457864621477986725510
-90200,0,235457864621477986725510
-90000,0,235457864621477986725510
-89800,0,235457864621477986725510
-89600,-52973120317045104121,235404891501160941621389
-89400,0,235404891501160941621389
-89200,0,235404891501160941621389
-89000,0,235404891501160941621389
-88800,0,235404891501160941621389
-88600,-3092684391893468537401,232312207109267473083988
-88400,0,232312207109267473083988
-88200,0,232312207109267473083988
-88000,0,232312207109267473083988
-87800,-10586699034605018357442,221725508074662454726546
-87600,0,221725508074662454726546
-87400,0,221725508074662454726546
-87200,0,221725508074662454726546
-87000,0,221725508074662454726546
-86800,0,221725508074662454726546
-86600,0,221725508074662454726546
-86400,0,221725508074662454726546
-86200,0,221725508074662454726546
-86000,0,221725508074662454726546
-85800,0,221725508074662454726546
-85600,0,221725508074662454726546
-85400,0,221725508074662454726546
-85200,-31853551387952224920737,189871956686710229805809
-85000,0,189871956686710229805809
-84800,0,189871956686710229805809
-84600,0,189871956686710229805809
-84400,0,189871956686710229805809
-84200,-12103955246207541904555,177768001440502687901254
-84000,-30839327530304254942169,146928673910198432959085
-83800,0,146928673910198432959085
-83600,0,146928673910198432959085
-83400,0,146928673910198432959085
-83200,0,146928673910198432959085
-83000,0,146928673910198432959085
-82800,0,146928673910198432959085
-82600,0,146928673910198432959085
-82400,0,146928673910198432959085
-82200,0,146928673910198432959085
-82000,0,146928673910198432959085
-81800,0,146928673910198432959085
-81600,-55407950474537674412989,91520723435660758546096
-81400,0,91520723435660758546096
-81200,0,91520723435660758546096
-81000,0,91520723435660758546096
-80800,0,91520723435660758546096
-80600,0,91520723435660758546096
-80400,0,91520723435660758546096
-80200,0,91520723435660758546096
-80000,-9375472151917632080041,82145251283743126466055
-79800,0,82145251283743126466055
-79600,0,82145251283743126466055
-79400,0,82145251283743126466055
-79200,0,82145251283743126466055
-79000,0,82145251283743126466055
-78800,0,82145251283743126466055
-78600,0,82145251283743126466055
-78400,0,82145251283743126466055
-78200,-2666500501344859788375,79478750782398266677680
-78000,0,79478750782398266677680
-77800,0,79478750782398266677680
-77600,0,79478750782398266677680
-77400,0,79478750782398266677680
-77200,0,79478750782398266677680
-77000,0,79478750782398266677680
-76800,0,79478750782398266677680
-76600,0,79478750782398266677680
-76400,0,79478750782398266677680
-76200,0,79478750782398266677680
-76000,0,79478750782398266677680
-75800,0,79478750782398266677680
-75600,0,79478750782398266677680
-75400,0,79478750782398266677680
-75200,0,79478750782398266677680
-75000,0,79478750782398266677680
-74800,0,79478750782398266677680
-74600,0,79478750782398266677680
-74400,0,79478750782398266677680
-74200,0,79478750782398266677680
-74000,0,79478750782398266677680
-73800,0,79478750782398266677680
-73600,0,79478750782398266677680
-73400,0,79478750782398266677680
-73200,-101280364749305908153,79377470417648960769527
-73000,0,79377470417648960769527
-72800,0,79377470417648960769527
-72600,0,79377470417648960769527
-72400,0,79377470417648960769527
-72200,0,79377470417648960769527
-72000,0,79377470417648960769527
-71800,0,79377470417648960769527
-71600,0,79377470417648960769527
-71400,0,79377470417648960769527
-71200,0,79377470417648960769527
-71000,0,79377470417648960769527
-70800,0,79377470417648960769527
-70600,0,79377470417648960769527
-70400,0,79377470417648960769527
-70200,0,79377470417648960769527
-70000,0,79377470417648960769527
-69800,0,79377470417648960769527
-69600,0,79377470417648960769527
-69400,0,79377470417648960769527
-69200,0,79377470417648960769527
-69000,-41744661422370830808481,37632808995278129961046
-68800,0,37632808995278129961046
-68600,0,37632808995278129961046
-68400,-13099923205249411478484,24532885790028718482562
-68200,0,24532885790028718482562
-68000,0,24532885790028718482562
-67800,0,24532885790028718482562
-67600,0,24532885790028718482562
-67400,0,24532885790028718482562
-67200,0,24532885790028718482562
-67000,0,24532885790028718482562
-66800,0,24532885790028718482562
-66600,0,24532885790028718482562
-66400,0,24532885790028718482562
-66200,0,24532885790028718482562
-66000,0,24532885790028718482562
-65800,0,24532885790028718482562
-65600,0,24532885790028718482562
-65400,0,24532885790028718482562
-65200,0,24532885790028718482562
-65000,0,24532885790028718482562
-64800,0,24532885790028718482562
-64600,0,24532885790028718482562
-64400,0,24532885790028718482562
-64200,0,24532885790028718482562
-64000,0,24532885790028718482562
-63800,0,24532885790028718482562
-63600,0,24532885790028718482562
-63400,0,24532885790028718482562
-63200,0,24532885790028718482562
-63000,0,24532885790028718482562
-62800,0,24532885790028718482562
-62600,0,24532885790028718482562
-62400,0,24532885790028718482562
-62200,0,24532885790028718482562
-62000,0,24532885790028718482562
-61800,0,24532885790028718482562
-61600,0,24532885790028718482562
-61400,0,24532885790028718482562
-61200,0,24532885790028718482562
-61000,0,24532885790028718482562
-60800,0,24532885790028718482562
-60600,0,24532885790028718482562
-60400,0,24532885790028718482562
-60200,0,24532885790028718482562
-60000,0,24532885790028718482562
-59800,0,24532885790028718482562
-59600,0,24532885790028718482562
-59400,0,24532885790028718482562
-59200,0,24532885790028718482562
-59000,0,24532885790028718482562
-58800,0,24532885790028718482562
-58600,0,24532885790028718482562
-58400,0,24532885790028718482562
-58200,0,24532885790028718482562
-58000,0,24532885790028718482562
-57800,0,24532885790028718482562
-57600,0,24532885790028718482562
-57400,0,24532885790028718482562
-57200,0,24532885790028718482562
-57000,0,24532885790028718482562
-56800,0,24532885790028718482562
-56600,0,24532885790028718482562
-56400,0,24532885790028718482562
-56200,0,24532885790028718482562
-56000,0,24532885790028718482562
-55800,0,24532885790028718482562
-55600,0,24532885790028718482562
-55400,0,24532885790028718482562
-55200,0,24532885790028718482562
-55000,0,24532885790028718482562
-54800,0,24532885790028718482562
-54600,0,24532885790028718482562
-54400,0,24532885790028718482562
-54200,0,24532885790028718482562
-54000,0,24532885790028718482562
-53800,0,24532885790028718482562
-53600,0,24532885790028718482562
-53400,0,24532885790028718482562
-53200,0,24532885790028718482562
-53000,0,24532885790028718482562
-52800,0,24532885790028718482562
-52600,0,24532885790028718482562
-52400,0,24532885790028718482562
-52200,0,24532885790028718482562
-52000,0,24532885790028718482562
-51800,0,24532885790028718482562
-51600,0,24532885790028718482562
-51400,0,24532885790028718482562
-51200,0,24532885790028718482562
-51000,0,24532885790028718482562
-50800,0,24532885790028718482562
-50600,0,24532885790028718482562
-50400,0,24532885790028718482562
-50200,0,24532885790028718482562
-50000,0,24532885790028718482562
-49800,0,24532885790028718482562
-49600,0,24532885790028718482562
-49400,0,24532885790028718482562
-49200,0,24532885790028718482562
-49000,0,24532885790028718482562
-48800,0,24532885790028718482562
-48600,0,24532885790028718482562
-48400,0,24532885790028718482562
-48200,0,24532885790028718482562
-48000,0,24532885790028718482562
-47800,0,24532885790028718482562
-47600,0,24532885790028718482562
-47400,0,24532885790028718482562
-47200,0,24532885790028718482562
-47000,0,24532885790028718482562
-46800,0,24532885790028718482562
-46600,0,24532885790028718482562
-46400,0,24532885790028718482562
-46200,0,24532885790028718482562
-46000,0,24532885790028718482562
-45800,0,24532885790028718482562
-45600,0,24532885790028718482562
-45400,0,24532885790028718482562
-45200,0,24532885790028718482562
-45000,0,24532885790028718482562
-44800,0,24532885790028718482562
-44600,0,24532885790028718482562
-44400,0,24532885790028718482562
-44200,0,24532885790028718482562
-44000,0,24532885790028718482562
-43800,0,24532885790028718482562
-43600,0,24532885790028718482562
-43400,0,24532885790028718482562
-43200,0,24532885790028718482562
-43000,0,24532885790028718482562
-42800,0,24532885790028718482562
-42600,0,24532885790028718482562
-42400,0,24532885790028718482562
-42200,0,24532885790028718482562
-42000,0,24532885790028718482562
-41800,0,24532885790028718482562
-41600,0,24532885790028718482562
-41400,0,24532885790028718482562
-41200,0,24532885790028718482562
-41000,0,24532885790028718482562
-40800,0,24532885790028718482562
-40600,0,24532885790028718482562
-40400,0,24532885790028718482562
-40200,0,24532885790028718482562
-40000,0,24532885790028718482562
-39800,0,24532885790028718482562
-39600,0,24532885790028718482562
-39400,0,24532885790028718482562
-39200,0,24532885790028718482562
-39000,0,24532885790028718482562
-38800,0,24532885790028718482562
-38600,0,24532885790028718482562
-38400,0,24532885790028718482562
-38200,0,24532885790028718482562
-38000,0,24532885790028718482562
-37800,0,24532885790028718482562
-37600,0,24532885790028718482562
-37400,0,24532885790028718482562
-37200,0,24532885790028718482562
-37000,0,24532885790028718482562
-36800,0,24532885790028718482562
-36600,0,24532885790028718482562
-36400,0,24532885790028718482562
-36200,0,24532885790028718482562
-36000,0,24532885790028718482562
-35800,0,24532885790028718482562
-35600,0,24532885790028718482562
-35400,0,24532885790028718482562
-35200,0,24532885790028718482562
-35000,0,24532885790028718482562
-34800,0,24532885790028718482562
-34600,0,24532885790028718482562
-34400,0,24532885790028718482562
-34200,0,24532885790028718482562
-34000,0,24532885790028718482562
-33800,0,24532885790028718482562
-33600,0,24532885790028718482562
-33400,0,24532885790028718482562
-33200,0,24532885790028718482562
-33000,0,24532885790028718482562
-32800,0,24532885790028718482562
-32600,0,24532885790028718482562
-32400,0,24532885790028718482562
-32200,0,24532885790028718482562
-32000,0,24532885790028718482562
-31800,0,24532885790028718482562
-31600,0,24532885790028718482562
-31400,0,24532885790028718482562
-31200,0,24532885790028718482562
-31000,0,24532885790028718482562
-30800,0,24532885790028718482562
-30600,0,24532885790028718482562
-30400,0,24532885790028718482562
-30200,0,24532885790028718482562
-30000,0,24532885790028718482562
-29800,0,24532885790028718482562
-29600,0,24532885790028718482562
-29400,0,24532885790028718482562
-29200,0,24532885790028718482562
-29000,0,24532885790028718482562
-28800,0,24532885790028718482562
-28600,0,24532885790028718482562
-28400,0,24532885790028718482562
-28200,0,24532885790028718482562
-28000,0,24532885790028718482562
-27800,0,24532885790028718482562
-27600,0,24532885790028718482562
-27400,0,24532885790028718482562
-27200,0,24532885790028718482562
-27000,0,24532885790028718482562
-26800,0,24532885790028718482562
-26600,0,24532885790028718482562
-26400,0,24532885790028718482562
-26200,0,24532885790028718482562
-26000,0,24532885790028718482562
-25800,0,24532885790028718482562
-25600,0,24532885790028718482562
-25400,0,24532885790028718482562
-25200,0,24532885790028718482562
-25000,0,24532885790028718482562
-24800,0,24532885790028718482562
-24600,0,24532885790028718482562
-24400,0,24532885790028718482562
-24200,0,24532885790028718482562
-24000,0,24532885790028718482562
-23800,0,24532885790028718482562
-23600,0,24532885790028718482562
-23400,0,24532885790028718482562
-23200,0,24532885790028718482562
-23000,0,24532885790028718482562
-22800,0,24532885790028718482562
-22600,0,24532885790028718482562
-22400,0,24532885790028718482562
-22200,0,24532885790028718482562
-22000,0,24532885790028718482562
-21800,0,24532885790028718482562
-21600,0,24532885790028718482562
