tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-106400,2046976217156059509909,253020057902446670492016,387747007399540859242283008,391643733801429879295574016,-514392717672609181756224,12444437792665466233,-514392.7176726092,12.444437792665466,-514392.7176726092,12.444437792665466,0,0.12444437792665466
-106200,0,253020057902446670492016,391643733801429879295574016,395579620986926347243749376,-509274679233861397008381,12569500187417808477,-509274.6792338614,12.569500187417809,-1023667.3969064706,25.013937980083277,0,0.2501393798008328
-106000,0,253020057902446670492016,395579620986926347243749376,399555062508672724620017664,-504207563595057868057808,12695819416977664402,-504207.5635950579,12.695819416977665,-1527874.9605015286,37.70975739706094,0,0.3770975739706094
-105800,0,253020057902446670492016,399555062508672724620017664,403570455874382616294588416,-499190864091088941274309,12823408112110382317,-499190.86409108894,12.823408112110382,-2027065.8245926176,50.533165509171326,0,0.5053316550917133
-105600,-28420261345752893981904,224599796556693776510112,403570455874382616294588416,407626202586587840940867584,-438710782611650701809669,11497425379299563616,-438710.7826116507,11.497425379299564,-2465776.607204268,62.03059088847089,0,0.6203059088847089
-105400,-13660953765903384746,224586135602927873125366,407626202586587840940867584,411722708182785036539396096,-434319336102430433489048,11612264277365450773,-434319.3361024304,11.612264277365451,-2900095.9433066985,73.64285516583634,0,0.7364285516583634
-105200,32588518207383863845162,257174653810311736970528,411722708182785036539396096,415860382275985580490752000,-492392760018937246397711,13430892106164429250,-492392.76001893723,13.430892106164428,-3392488.7033256358,87.07374727200076,0,0.8707374727200077
-105000,-1350683895767443751795,255823969914544293218733,415860382275985580490752000,420039638595673291103404032,-484933292511258429982685,13494619956640622225,-484933.29251125845,13.494619956640623,-3877421.995836894,100.56836722864138,0,1.0056836722864138
-104800,0,255823969914544293218733,420039638595673291103404032,424260895029173346430353408,-480108365668325442329480,13630236327276533826,-480108.36566832545,13.630236327276533,-4357530.36150522,114.19860355591791,0,1.141986035559179
-104600,0,255823969914544293218733,424260895029173346430353408,428524573663437436976365568,-475331445261329046542944,13767215596611644120,-475331.44526132906,13.767215596611644,-4832861.806766549,127.96581915252956,0,1.2796581915252956
-104400,17011445640777570446,255840981360185070789179,428524573663437436976365568,432831100827248450810675200,-470633347117974557732779,13906496135706003704,-470633.34711797454,13.906496135706004,-5303495.153884524,141.87231528823557,0,1.4187231528823556
-104200,13973753849434791055783,269814735209619861844962,432831100827248450810675200,437180907133849638887489536,-491400416309906810395216,14813442588895459523,-491400.4163099068,14.813442588895459,-5794895.570194431,156.68575787713104,0,1.5668575787713104
-104000,0,269814735209619861844962,437180907133849638887489536,441574427524001627828649984,-486511143711190928026349,14962312681346070140,-486511.1437111909,14.96231268134607,-6281406.713905621,171.64807055847712,0,1.7164807055847713
-103800,10586699034605018357442,280401434244224880202404,441574427524001627828649984,446012101309472709007114240,-500569785079531481120717,15705653831490275042,-500569.7850795315,15.705653831490276,-6781976.498985153,187.3537243899674,0,1.873537243899674
-103600,836880637114623036831,281238314881339503239235,446012101309472709007114240,450494372216966252221956096,-497068406350081741144287,15910836208503244481,-497068.4063500817,15.910836208503245,-7279044.9053352345,203.26456059847064,0,2.0326456059847064
-103400,-11958678586375929052607,269279636294963574186628,450494372216966252221956096,455021688432488817377673216,-471196935797843729382544,15387382784356717153,-471196.93579784373,15.387382784356717,-7750241.841133079,218.65194338282737,0,2.186519433828274
-103200,-22464058522514024176,269257172236441060162452,455021688432488817377673216,459594502646165011481755648,-466469763732812964875461,15540724223099060918,-466469.76373281295,15.54072422309906,-8216711.604865892,234.19266760592643,0,2.341926676059264
-103000,9375472151917632080041,278632644388358692242493,459594502646165011481755648,464213272097502114617491456,-477909305450292282675867,16243465772849690492,-477909.3054502923,16.24346577284969,-8694620.910316184,250.4361333787761,0,2.5043613337877613
-102800,0,278632644388358692242493,464213272097502114617491456,468878458621110041169625088,-473154264969544484073913,16406707115083981947,-473154.2649695445,16.406707115083982,-9167775.175285729,266.8428404938601,0,2.668428404938601
-102600,0,278632644388358692242493,468878458621110041169625088,473590528692880484593565696,-468446535578405463520993,16571588977647424846,-468446.5355784055,16.571588977647426,-9636221.710864134,283.4144294715075,0,2.834144294715075
-102400,0,278632644388358692242493,473590528692880484593565696,478349953476630193530470400,-463785646547083563443946,16738127847214875314,-463785.64654708357,16.738127847214876,-10100007.357411217,300.15255731872236,0,3.0015255731872235
-102200,0,278632644388358692242493,478349953476630193530470400,483157208871213052192620544,-459171131829395718021085,16906340376146762937,-459171.1318293957,16.906340376146762,-10559178.489240613,317.05889769486913,0,3.1705889769486917
-102000,0,278632644388358692242493,483157208871213052192620544,488012775558105569224032256,-454602530016162088846610,17076243384153991864,-454602.5300161621,17.07624338415399,-11013781.019256774,334.13514107902313,0,3.341351410790231
-101800,0,278632644388358692242493,488012775558105569224032256,492917139049470791558103040,-450079384289088517302145,17247853859980484214,-450079.38428908854,17.247853859980484,-11463860.403545862,351.3829949390036,0,3.5138299493900362
-101600,-330133562185133101527,278302510826173559140966,492917139049470791558103040,497870789736704903879852032,-445073278662182039996756,17400547737868417035,-445073.27866218204,17.40054773786842,-11908933.682208044,368.783542676872,0,3.68783542676872
-101400,0,278302510826173559140966,497870789736704903879852032,502874222939471805092462592,-440644945853416977124295,17575417362864752578,-440644.945853417,17.57541736286475,-12349578.628061462,386.35896003973676,0,3.8635896003973675
-101200,-129134475193160105875,278173376350980399035091,502874222939471805092462592,507927938955230815748882432,-436058245239972628466067,17743807285314799560,-436058.2452399726,17.743807285314798,-12785636.873301435,404.10276732505156,0,4.0410276732505155
-101000,4490195853867316032410,282663572204847715067501,507927938955230815748882432,513032443109261570897608704,-438688304703269365764235,18211420443494996005,-438688.3047032694,18.211420443494998,-13224325.178004704,422.31418776854656,0,4.223141877685466
-100800,-4490195853867316032410,278173376350980399035091,513032443109261570897608704,518188245805192008217657344,-427424140864128843665331,18102237868614464785,-427424.1408641288,18.102237868614466,-13651749.318868833,440.416425637161,0,4.40416425637161
-100600,0,278173376350980399035091,518188245805192008217657344,523395862576034055647657984,-423171411174458066100378,18284159242318799057,-423171.41117445804,18.2841592423188,-14074920.73004329,458.70058487947983,0,4.5870058487947984
-100400,0,278173376350980399035091,523395862576034055647657984,528655814135732309908783104,-418960994747158409765666,18467908864356614856,-418960.99474715843,18.467908864356616,-14493881.724790448,477.16849374383645,0,4.771684937438364
-100200,0,278173376350980399035091,528655814135732309908783104,533968626431230378845929472,-414792470579165171708544,18653505108005256628,-414792.47057916515,18.653505108005255,-14908674.195369614,495.8219988518417,0,4.958219988518417
-100000,-593320021745688918384,277580056329234710116707,533968626431230378845929472,539334830695061072340058112,-409789507632489383012345,18800780360899102030,-409789.5076324894,18.8007803608991,-15318463.703002105,514.6227792127409,0,5.146227792127408
-99800,0,277580056329234710116707,539334830695061072340058112,544754963498464633679773696,-405712236746246580902815,18989721850608583738,-405712.2367462466,18.989721850608582,-15724175.93974835,533.6125010633494,0,5.336125010633495
