tick,liquidity_net,liquidity
-106000,0,259911885367475008712385
-106200,0,259911885367475008712385
-106400,129134475193160105875,259782750892281848606510
-106600,7663664491278822652259,252119086401003025954251
-106800,27897485746007515625544,224221600654995510328707
-107000,0,224221600654995510328707
-107200,4724380858458620448107,219497219796536889880600
-107400,330133562185133101527,219167086234351756779073
-107600,741379805568387622539,218425706428783369156534
-107800,0,218425706428783369156534
-108000,0,218425706428783369156534
-108200,2679008195062349695021,215746698233721019461513
-108400,2802267699229816064953,212944430534491203396560
-108600,31853551387952224920737,181090879146538978475823
-108800,0,181090879146538978475823
-109000,30839327530304254942169,150251551616234723533654
-109200,-797332074147788198828,151048883690382511732482
-109400,56758634370305118164784,94290249320077393567698
-109600,0,94290249320077393567698
-109800,821481329557770892430,93468767990519622675268
-110000,3092684391893468537401,90376083598626154137867
-110200,12103955246207541904555,78272128352418612233312
-110400,0,78272128352418612233312
-110600,0,78272128352418612233312
-110800,0,78272128352418612233312
-111000,0,78272128352418612233312
-111200,0,78272128352418612233312
-111400,0,78272128352418612233312
-111600,999908021509089476199,77272220330909522757113
-111800,13660953765903384746,77258559377143619372367
-112000,0,77258559377143619372367
-112200,1352542901922817155987,75906016475220802216380
-112400,0,75906016475220802216380
-112600,0,75906016475220802216380
-112800,0,75906016475220802216380
-113000,0,75906016475220802216380
-113200,0,75906016475220802216380
-113400,0,75906016475220802216380
-113600,0,75906016475220802216380
-113800,0,75906016475220802216380
-114000,3358158615251650964941,72547857859969151251439
-114200,0,72547857859969151251439
-114400,797332074147788198828,71750525785821363052611
-114600,0,71750525785821363052611
-114800,0,71750525785821363052611
-115000,0,71750525785821363052611
-115200,34768665249245790101,71715757120572117262510
-115400,0,71715757120572117262510
-115600,0,71715757120572117262510
-115800,0,71715757120572117262510
-116000,0,71715757120572117262510
-116200,0,71715757120572117262510
-116400,0,71715757120572117262510
-116600,-17108993397844866047,71732866113969962128557
-116800,0,71732866113969962128557
-117000,42661591846146054811,71690204522123816073746
-117200,0,71690204522123816073746
-117400,0,71690204522123816073746
-117600,0,71690204522123816073746
-117800,0,71690204522123816073746
-118000,0,71690204522123816073746
-118200,0,71690204522123816073746
-118400,0,71690204522123816073746
-118600,0,71690204522123816073746
-118800,0,71690204522123816073746
-119000,0,71690204522123816073746
-119200,13138187858821324351,71677066334264994749395
-119400,0,71677066334264994749395
-119600,0,71677066334264994749395
-119800,40053110508400450220,71637013223756594299175
-120000,0,71637013223756594299175
-120200,0,71637013223756594299175
-120400,0,71637013223756594299175
-120600,0,71637013223756594299175
-120800,0,71637013223756594299175
-121000,0,71637013223756594299175
-121200,0,71637013223756594299175
-121400,0,71637013223756594299175
-121600,32922501544719135066128,38714511679037459233047
-121800,0,38714511679037459233047
-122000,17108993397844866047,38697402685639614367000
-122200,4776618936949699243084,33920783748689915123916
-122400,0,33920783748689915123916
-122600,0,33920783748689915123916
-122800,0,33920783748689915123916
-123000,0,33920783748689915123916
-123200,0,33920783748689915123916
-123400,0,33920783748689915123916
-123600,0,33920783748689915123916
-123800,0,33920783748689915123916
-124000,0,33920783748689915123916
-124200,52973120317045104121,33867810628372870019795
-124400,0,33867810628372870019795
-124600,0,33867810628372870019795
