tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-106000,0,259911885367475008712385,395579620986926347243749376,391643733801429879295574016,523146438060747205925904,-12911871568293566420,523146.4380607472,-12.911871568293567,523146.4380607472,-12.911871568293567,5231.464380607473,0
-106200,0,259911885367475008712385,391643733801429879295574016,387747007399540859242283008,528403882988338781494378,-12783402690853085982,528403.8829883388,-12.783402690853086,1051550.321049086,-25.69527425914665,10515.50321049086,0
-106400,129134475193160105875,259782750892281848606510,387747007399540859242283008,383889052144336035412705280,533448993215631781240280,-12649923931228388759,533448.9932156318,-12.649923931228388,1584999.314264718,-38.34519819037504,15849.993142647181,0
-106600,7663664491278822652259,252119086401003025954251,383889052144336035412705280,380069482275651614576476160,522914928955796349195218,-12154598001236466764,522914.92895579635,-12.154598001236467,2107914.243220514,-50.4997961916115,21079.142432205143,0
-106800,27897485746007515625544,224221600654995510328707,380069482275651614576476160,376287915871510607335260160,469726965590277432713893,-10702114566483776660,469726.96559027745,-10.702114566483777,2577641.2088107914,-61.20191075809528,25776.412088107914,0
-107000,0,224221600654995510328707,376287915871510607335260160,372543974809934040511021056,474447562870377169365092,-10595632044773488842,474447.56287037715,-10.595632044773488,3052088.7716811686,-71.79754280286878,30520.88771681169,0
-107200,4724380858458620448107,219497219796536889880600,372543974809934040511021056,368837284731132463118548992,469118460033915194534115,-10269178801134879840,469118.4600339152,-10.26917880113488,3521207.2317150836,-82.06672160400366,35212.072317150836,0
-107400,330133562185133101527,219167086234351756779073,368837284731132463118548992,365167475000073210436780032,473120276260231585390371,-10151712222859125514,473120.27626023156,-10.151712222859125,3994327.507975315,-92.21843382686279,39943.27507975315,0
-107600,741379805568387622539,218425706428783369156534,365167475000073210436780032,361534178669420265082978304,476258460285618418161496,-10016707348792727290,476258.46028561844,-10.016707348792727,4470585.968260934,-102.23514117565551,44705.859682609334,0
-107800,0,218425706428783369156534,361534178669420265082978304,357937032442843072957513728,481044696880363334732654,-9917044403576765555,481044.69688036334,-9.917044403576766,4951630.665141297,-112.15218557923228,49516.30665141296,0
-108000,0,218425706428783369156534,357937032442843072957513728,354375676638690122171154432,485879033535580270046251,-9818373071902349873,485879.03353558027,-9.81837307190235,5437509.698676877,-121.97055865113464,54375.09698676877,0
-108200,2679008195062349695021,215746698233721019461513,354375676638690122171154432,350849755154024123858944000,484742720295221924725954,-9601458552204467528,484742.72029522195,-9.601458552204468,5922252.418972098,-131.5720172033391,59222.524189720985,0
-108400,2802267699229816064953,212944430534491203396560,350849755154024123858944000,347358915429014809151012864,483254771874197742114315,-9382457622886986022,483254.77187419776,-9.382457622886985,6405507.190846296,-140.9544748262261,64055.07190846296,0
-108600,31853551387952224920737,181090879146538978475823,347358915429014809151012864,343902808411686456082300928,415096594279528772106222,-7899583157438893773,415096.59427952877,-7.899583157438894,6820603.785125825,-148.85405798366497,68206.03785125825,0
-108800,0,181090879146538978475823,343902808411686456082300928,340481088523015748394680320,419268174787937411197865,-7820984901940831518,419268.17478793743,-7.8209849019408315,7239871.959913762,-156.6750428856058,72398.71959913762,0
-109000,30839327530304254942169,150251551616234723533654,340481088523015748394680320,337093413622376942574501888,351363798889920251207679,-6424526254798762495,351363.79888992023,-6.424526254798763,7591235.758803682,-163.09956914040455,75912.35758803682,0
-109200,-797332074147788198828,151048883690382511732482,337093413622376942574501888,333739444973331182029635584,356778188527903346717564,-6394357817899552673,356778.18852790334,-6.394357817899553,7948013.947331586,-169.49392695830412,79480.13947331585,0
-109400,56758634370305118164784,94290249320077393567698,333739444973331182029635584,330418847209755697798447104,224952222283067193175773,-3951877477441849056,224952.22228306718,-3.9518774774418493,8172966.169614653,-173.44580443574597,81729.66169614653,0
-109600,0,94290249320077393567698,330418847209755697798447104,327131288302310490609025024,227212916104051354510024,-3912557595686253404,227212.91610405134,-3.9125575956862533,8400179.085718704,-177.35836203143222,84001.79085718704,0
-109800,821481329557770892430,93468767990519622675268,327131288302310490609025024,323876439525238164961624064,227496897051242437742665,-3839880864757230406,227496.89705124244,-3.8398808647572302,8627675.982769947,-181.19824289618944,86276.75982769948,0
-110000,3092684391893468537401,90376083598626154137867,323876439525238164961624064,320653975423494853650022400,222180123747485765620972,-3675885894744702208,222180.12374748578,-3.6758858947447024,8849856.106517434,-184.87412879093415,88498.56106517435,0
-110200,12103955246207541904555,78272128352418612233312,320653975423494853650022400,317463573780207147480514560,194357613482602406773901,-3151903552909267351,194357.6134826024,-3.151903552909267,9044213.720000036,-188.0260323438434,90442.13720000036,0
-110400,0,78272128352418612233312,317463573780207147480514560,314304915584453655799005184,196310841823280225915240,-3120543148718409496,196310.84182328024,-3.1205431487184097,9240524.561823316,-191.14657549256182,92405.24561823315,0
-110600,0,78272128352418612233312,314304915584453655799005184,311177684999366799779692544,198283699448771620501214,-3089494770239786289,198283.69944877163,-3.0894947702397864,9438808.261272088,-194.2360702628016,94388.08261272087,0
-110800,0,78272128352418612233312,311177684999366799779692544,308081569330551952257318912,200276383626759471253832,-3058755312920188229,200276.38362675946,-3.058755312920188,9639084.644898847,-197.2948255757218,96390.84644898846,0
-111000,0,78272128352418612233312,308081569330551952257318912,305016258994821003525226496,202289093607391248892100,-3028321703095552724,202289.09360739126,-3.028321703095553,9841373.738506239,-200.32314727881734,98413.7373850624,0
-111200,0,78272128352418612233312,305016258994821003525226496,301981447489236779686428672,204322030643217391563576,-2998190897683862543,204322.03064321738,-2.9981908976838625,10045695.769149456,-203.3213381765012,100456.95769149456,0
-111400,0,78272128352418612233312,301981447489236779686428672,298976831360465496059150336,206375398009312858389093,-2968359883880827777,206375.39800931286,-2.9683598838808276,10252071.16715877,-206.28969806038202,102520.71167158769,0
-111600,999908021509089476199,77272220330909522757113,298976831360465496059150336,296002110174434325059076096,205786508975685439397979,-2901282872345300979,205786.50897568543,-2.901282872345301,10457857.676134454,-209.1909809327273,104578.57676134455,0
-111800,13660953765903384746,77258559377143619372367,296002110174434325059076096,293056986486290711303946240,207817847246075155955601,-2871908247178012267,207817.84724607517,-2.871908247178012,10665675.52338053,-212.0628891799053,106656.75523380529,0
-112000,0,77258559377143619372367,293056986486290711303946240,290141165810660650801692672,209906346387763357129505,-2843333704233135316,209906.34638776336,-2.8433337042331353,10875581.869768292,-214.90622288413846,108755.81869768292,0
-112200,1352542901922817155987,75906016475220802216380,290141165810660650801692672,287254356592202670046969856,208304135316283130034991,-2765761329598411699,208304.13531628312,-2.7657613295984116,11083886.005084574,-217.67198421373686,110838.86005084575,0
-112400,0,75906016475220802216380,287254356592202670046969856,284396270176455168563871744,210397521488761891513651,-2738242913588654761,210397.52148876188,-2.7382429135886546,11294283.526573336,-220.41022712732553,112942.83526573336,0
-112600,0,75906016475220802216380,284396270176455168563871744,281566620780973585841782784,212511945484901002798999,-2710998296771719357,212511.945484901,-2.710998296771719,11506795.472058237,-223.12122542409725,115067.95472058236,0
-112800,0,75906016475220802216380,281566620780973585841782784,278765125466754678245031936,214647618727723729989461,-2684024754935701595,214647.61872772372,-2.6840247549357015,11721443.09078596,-225.80525017903295,117214.4309078596,0
-113000,0,75906016475220802216380,278765125466754678245031936,275991504109945260196495360,216804754764979884605794,-2657319590973664925,216804.75476497988,-2.657319590973665,11938247.84555094,-228.4625697700066,119382.4784555094,0
-113200,0,75906016475220802216380,275991504109945260196495360,273245479373832489057386496,218983569290493818680357,-2630880134613901963,218983.56929049382,-2.630880134613902,12157231.414841434,-231.0934499046205,121572.31414841434,0
-113400,0,75906016475220802216380,273245479373832489057386496,270526776681112498247565312,221184280165758793194563,-2604703742153257777,221184.2801657588,-2.6047037421532577,12378415.695007192,-233.69815364677376,123784.15695007192,0
-113600,0,75906016475220802216380,270526776681112498247565312,267835124186435488820756480,223407107441677942871189,-2578787796192263711,223407.10744167794,-2.578787796192264,12601822.80244887,-236.27694144296603,126018.22802448871,0
-113800,0,75906016475220802216380,267835124186435488820756480,265170252749223431203979264,225652273380612233292812,-2553129705373958143,225652.27338061223,-2.553129705373958,12827475.075829484,-238.83007114833998,128274.75075829483,0
-114000,3358158615251650964941,72547857859969151251439,265170252749223431203979264,262531895906758556035055616,217836592026371163044328,-2415897720164311588,217836.59202637116,-2.4158977201643115,13045311.667855855,-241.2459688685043,130453.11667855855,0
-114200,0,72547857859969151251439,262531895906758556035055616,259919789847539576081481728,220025776167700437628564,-2391860332053825139,220025.77616770045,-2.391860332053825,13265337.444023555,-243.63782920055812,132653.37444023555,0
-114400,797332074147788198828,71750525785821363052611,259919789847539576081481728,257333673384902924821331968,219794481351012470090718,-2342036089807593133,219794.48135101248,-2.342036089807593,13485131.925374568,-245.97986529036572,134851.3192537457,0
-114600,0,71750525785821363052611,257333673384902924821331968,254773287930906469065555968,222003341618467432469199,-2318733600637771161,222003.34161846744,-2.318733600637771,13707135.266993035,-248.2985988910035,137071.35266993035,0
-114800,0,71750525785821363052611,254773287930906469065555968,252238377470473049921814528,224234400185223482100491,-2295662963574729287,224234.4001852235,-2.2956629635747294,13931369.667178258,-250.59426185457824,139313.69667178259,0
-115000,0,71750525785821363052611,252238377470473049921814528,249728688535791378198691840,226487880136686464370592,-2272821871766211100,226487.88013668646,-2.272821871766211,14157857.547314946,-252.86708372634445,141578.57547314945,0
-115200,34768665249245790101,71715757120572117262510,249728688535791378198691840,247243970180971638550429696,228653152989901481167840,-2249117641914234815,228653.1529899015,-2.2491176419142347,14386510.700304847,-255.1162013682587,143865.10700304847,0
-115400,0,71715757120572117262510,247243970180971638550429696,244783973956953053583114240,230951039913918822479533,-2226739660754828057,230951.03991391882,-2.226739660754828,14617461.740218766,-257.3429410290135,146174.61740218766,0
-115600,0,71715757120572117262510,244783973956953053583114240,242348453886661311978274816,233272019825052334057323,-2204584333151413633,233272.01982505232,-2.2045843331514137,14850733.760043819,-259.5475253621649,148507.33760043816,0
-115800,0,71715757120572117262510,242348453886661311978274816,239937166440413146214563840,235616324800017683849287,-2182649443774289248,235616.3248000177,-2.1826494437742894,15086350.084843837,-261.73017480593916,150863.50084843836,0
