tick,liquidity_net,liquidity
-161580,438817208341386831287,2700875777392371816347746
-161520,0,2700875777392371816347746
-161460,0,2700875777392371816347746
-161400,0,2700875777392371816347746
-161340,0,2700875777392371816347746
-161280,0,2700875777392371816347746
-161220,0,2700875777392371816347746
-161160,1938701273955894780676,2702814478666327711128422
-161100,0,2702814478666327711128422
-161040,0,2702814478666327711128422
-160980,0,2702814478666327711128422
-160920,0,2702814478666327711128422
-160860,0,2702814478666327711128422
-160800,0,2702814478666327711128422
-160740,0,2702814478666327711128422
-160680,0,2702814478666327711128422
-160620,0,2702814478666327711128422
-160560,-76213872860287275679,2702738264793467423852743
-160500,0,2702738264793467423852743
-160440,0,2702738264793467423852743
-160380,0,2702738264793467423852743
-160320,0,2702738264793467423852743
-160260,0,2702738264793467423852743
-160200,0,2702738264793467423852743
-160140,167803883332146765686,2702906068676799570618429
-160080,0,2702906068676799570618429
-160020,0,2702906068676799570618429
-159960,0,2702906068676799570618429
-159900,0,2702906068676799570618429
-159840,0,2702906068676799570618429
-159780,0,2702906068676799570618429
-159720,0,2702906068676799570618429
-159660,0,2702906068676799570618429
-159600,0,2702906068676799570618429
-159540,0,2702906068676799570618429
-159480,0,2702906068676799570618429
-159420,0,2702906068676799570618429
-159360,0,2702906068676799570618429
-159300,0,2702906068676799570618429
-159240,0,2702906068676799570618429
-159180,0,2702906068676799570618429
-159120,0,2702906068676799570618429
-159060,118597804962361224893,2703024666481761931843322
-159000,0,2703024666481761931843322
-158940,-5966071154409764752946,2697058595327352167090376
-158880,0,2697058595327352167090376
-158820,0,2697058595327352167090376
-158760,0,2697058595327352167090376
-158700,0,2697058595327352167090376
-158640,0,2697058595327352167090376
-158580,0,2697058595327352167090376
-158520,0,2697058595327352167090376
-158460,8478076726862980459906,2705536672054215147550282
-158400,0,2705536672054215147550282
-158340,0,2705536672054215147550282
-158280,-23031984921634972523,2705513640069293512577759
-158220,-8478076726862980459906,2697035563342430532117853
-158160,0,2697035563342430532117853
-158100,0,2697035563342430532117853
-158040,-118597804962361224893,2696916965537468170892960
-157980,0,2696916965537468170892960
-157920,0,2696916965537468170892960
-157860,0,2696916965537468170892960
-157800,0,2696916965537468170892960
-157740,0,2696916965537468170892960
-157680,0,2696916965537468170892960
-157620,0,2696916965537468170892960
-157560,0,2696916965537468170892960
-157500,0,2696916965537468170892960
-157440,0,2696916965537468170892960
-157380,0,2696916965537468170892960
-157320,0,2696916965537468170892960
-157260,0,2696916965537468170892960
-157200,0,2696916965537468170892960
-157140,0,2696916965537468170892960
-157080,0,2696916965537468170892960
-157020,0,2696916965537468170892960
-156960,9302097032343259053,2696926267634500514152013
-156900,-436882255026524428140,2696489385379473989723873
-156840,0,2696489385379473989723873
-156780,0,2696489385379473989723873
-156720,0,2696489385379473989723873
-156660,-438817208341386831287,2696050568171132602892586
-156600,0,2696050568171132602892586
-156540,0,2696050568171132602892586
-156480,0,2696050568171132602892586
-156420,0,2696050568171132602892586
-156360,0,2696050568171132602892586
-156300,0,2696050568171132602892586
-156240,0,2696050568171132602892586
-156180,0,2696050568171132602892586
-156120,0,2696050568171132602892586
-156060,-167803883332146765686,2695882764287800456126900
-156000,0,2695882764287800456126900
-155940,0,2695882764287800456126900
-155880,0,2695882764287800456126900
-155820,0,2695882764287800456126900
-155760,0,2695882764287800456126900
-155700,0,2695882764287800456126900
-155640,0,2695882764287800456126900
-155580,0,2695882764287800456126900
-155520,0,2695882764287800456126900
-155460,0,2695882764287800456126900
-155400,0,2695882764287800456126900
-155340,0,2695882764287800456126900
-155280,0,2695882764287800456126900
-155220,0,2695882764287800456126900
-155160,0,2695882764287800456126900
-155100,0,2695882764287800456126900
-155040,0,2695882764287800456126900
-154980,0,2695882764287800456126900
-154920,0,2695882764287800456126900
-154860,0,2695882764287800456126900
-154800,0,2695882764287800456126900
-154740,0,2695882764287800456126900
-154680,0,2695882764287800456126900
-154620,0,2695882764287800456126900
-154560,0,2695882764287800456126900
-154500,0,2695882764287800456126900
-154440,0,2695882764287800456126900
-154380,0,2695882764287800456126900
-154320,0,2695882764287800456126900
-154260,-3284515338665043954240,2692598248949135412172660
-154200,0,2692598248949135412172660
-154140,0,2692598248949135412172660
-154080,0,2692598248949135412172660
-154020,0,2692598248949135412172660
-153960,0,2692598248949135412172660
-153900,0,2692598248949135412172660
-153840,0,2692598248949135412172660
-153780,0,2692598248949135412172660
-153720,0,2692598248949135412172660
-153660,0,2692598248949135412172660
-153600,0,2692598248949135412172660
-153540,0,2692598248949135412172660
-153480,0,2692598248949135412172660
-153420,0,2692598248949135412172660
-153360,0,2692598248949135412172660
-153300,0,2692598248949135412172660
-153240,0,2692598248949135412172660
-153180,0,2692598248949135412172660
-153120,0,2692598248949135412172660
-153060,0,2692598248949135412172660
-153000,0,2692598248949135412172660
-152940,0,2692598248949135412172660
-152880,0,2692598248949135412172660
-152820,0,2692598248949135412172660
-152760,0,2692598248949135412172660
-152700,0,2692598248949135412172660
-152640,0,2692598248949135412172660
-152580,0,2692598248949135412172660
-152520,0,2692598248949135412172660
-152460,0,2692598248949135412172660
-152400,0,2692598248949135412172660
-152340,0,2692598248949135412172660
-152280,0,2692598248949135412172660
-152220,0,2692598248949135412172660
-152160,0,2692598248949135412172660
-152100,0,2692598248949135412172660
-152040,-9302097032343259053,2692588946852103068913607
-151980,0,2692588946852103068913607
-151920,0,2692588946852103068913607
-151860,0,2692588946852103068913607
-151800,0,2692588946852103068913607
-151740,0,2692588946852103068913607
-151680,0,2692588946852103068913607
-151620,0,2692588946852103068913607
-151560,0,2692588946852103068913607
-151500,0,2692588946852103068913607
-151440,0,2692588946852103068913607
-151380,0,2692588946852103068913607
-151320,0,2692588946852103068913607
-151260,0,2692588946852103068913607
-151200,0,2692588946852103068913607
-151140,0,2692588946852103068913607
-151080,0,2692588946852103068913607
-151020,0,2692588946852103068913607
-150960,0,2692588946852103068913607
-150900,0,2692588946852103068913607
-150840,0,2692588946852103068913607
-150780,0,2692588946852103068913607
-150720,0,2692588946852103068913607
-150660,0,2692588946852103068913607
-150600,0,2692588946852103068913607
-150540,0,2692588946852103068913607
-150480,0,2692588946852103068913607
-150420,0,2692588946852103068913607
-150360,0,2692588946852103068913607
-150300,0,2692588946852103068913607
-150240,0,2692588946852103068913607
-150180,0,2692588946852103068913607
-150120,0,2692588946852103068913607
-150060,0,2692588946852103068913607
-150000,0,2692588946852103068913607
-149940,0,2692588946852103068913607
-149880,0,2692588946852103068913607
-149820,0,2692588946852103068913607
-149760,0,2692588946852103068913607
-149700,0,2692588946852103068913607
-149640,0,2692588946852103068913607
-149580,0,2692588946852103068913607
-149520,0,2692588946852103068913607
-149460,0,2692588946852103068913607
-149400,0,2692588946852103068913607
-149340,0,2692588946852103068913607
-149280,0,2692588946852103068913607
-149220,0,2692588946852103068913607
-149160,0,2692588946852103068913607
-149100,0,2692588946852103068913607
-149040,0,2692588946852103068913607
-148980,0,2692588946852103068913607
-148920,0,2692588946852103068913607
-148860,0,2692588946852103068913607
-148800,0,2692588946852103068913607
-148740,0,2692588946852103068913607
-148680,0,2692588946852103068913607
-148620,0,2692588946852103068913607
-148560,0,2692588946852103068913607
-148500,0,2692588946852103068913607
-148440,0,2692588946852103068913607
-148380,0,2692588946852103068913607
-148320,0,2692588946852103068913607
-148260,0,2692588946852103068913607
-148200,0,2692588946852103068913607
-148140,0,2692588946852103068913607
-148080,0,2692588946852103068913607
-148020,0,2692588946852103068913607
-147960,0,2692588946852103068913607
-147900,0,2692588946852103068913607
-147840,0,2692588946852103068913607
-147780,0,2692588946852103068913607
-147720,0,2692588946852103068913607
-147660,0,2692588946852103068913607
-147600,0,2692588946852103068913607
-147540,0,2692588946852103068913607
-147480,0,2692588946852103068913607
-147420,0,2692588946852103068913607
-147360,0,2692588946852103068913607
-147300,0,2692588946852103068913607
-147240,0,2692588946852103068913607
-147180,0,2692588946852103068913607
-147120,0,2692588946852103068913607
-147060,0,2692588946852103068913607
-147000,0,2692588946852103068913607
-146940,0,2692588946852103068913607
-146880,0,2692588946852103068913607
-146820,0,2692588946852103068913607
-146760,0,2692588946852103068913607
-146700,0,2692588946852103068913607
-146640,0,2692588946852103068913607
-146580,0,2692588946852103068913607
-146520,0,2692588946852103068913607
-146460,0,2692588946852103068913607
-146400,0,2692588946852103068913607
-146340,0,2692588946852103068913607
-146280,0,2692588946852103068913607
-146220,0,2692588946852103068913607
-146160,0,2692588946852103068913607
-146100,0,2692588946852103068913607
-146040,0,2692588946852103068913607
-145980,0,2692588946852103068913607
-145920,0,2692588946852103068913607
-145860,0,2692588946852103068913607
-145800,0,2692588946852103068913607
-145740,0,2692588946852103068913607
-145680,0,2692588946852103068913607
-145620,0,2692588946852103068913607
-145560,0,2692588946852103068913607
-145500,0,2692588946852103068913607
-145440,0,2692588946852103068913607
-145380,0,2692588946852103068913607
-145320,0,2692588946852103068913607
-145260,0,2692588946852103068913607
-145200,0,2692588946852103068913607
