tick,liquidity_net,liquidity
-163020,5966071154409764752946,2688369058173314375942952
-163080,0,2688369058173314375942952
-163140,0,2688369058173314375942952
-163200,0,2688369058173314375942952
-163260,0,2688369058173314375942952
-163320,0,2688369058173314375942952
-163380,0,2688369058173314375942952
-163440,0,2688369058173314375942952
-163500,0,2688369058173314375942952
-163560,0,2688369058173314375942952
-163620,0,2688369058173314375942952
-163680,0,2688369058173314375942952
-163740,0,2688369058173314375942952
-163800,0,2688369058173314375942952
-163860,69968249712378747376,2688299089923601997195576
-163920,0,2688299089923601997195576
-163980,0,2688299089923601997195576
-164040,0,2688299089923601997195576
-164100,0,2688299089923601997195576
-164160,0,2688299089923601997195576
-164220,0,2688299089923601997195576
-164280,0,2688299089923601997195576
-164340,0,2688299089923601997195576
-164400,0,2688299089923601997195576
-164460,0,2688299089923601997195576
-164520,0,2688299089923601997195576
-164580,0,2688299089923601997195576
-164640,0,2688299089923601997195576
-164700,0,2688299089923601997195576
-164760,0,2688299089923601997195576
-164820,0,2688299089923601997195576
-164880,436882255026524428140,2687862207668575472767436
-164940,0,2687862207668575472767436
-165000,0,2687862207668575472767436
-165060,0,2687862207668575472767436
-165120,0,2687862207668575472767436
-165180,0,2687862207668575472767436
-165240,0,2687862207668575472767436
-165300,0,2687862207668575472767436
-165360,0,2687862207668575472767436
-165420,0,2687862207668575472767436
-165480,0,2687862207668575472767436
-165540,0,2687862207668575472767436
-165600,0,2687862207668575472767436
-165660,0,2687862207668575472767436
-165720,0,2687862207668575472767436
-165780,0,2687862207668575472767436
-165840,0,2687862207668575472767436
-165900,0,2687862207668575472767436
-165960,0,2687862207668575472767436
-166020,0,2687862207668575472767436
-166080,0,2687862207668575472767436
-166140,0,2687862207668575472767436
-166200,0,2687862207668575472767436
-166260,0,2687862207668575472767436
-166320,0,2687862207668575472767436
-166380,0,2687862207668575472767436
-166440,0,2687862207668575472767436
-166500,66161847015339820130,2687796045821560132947306
-166560,0,2687796045821560132947306
-166620,0,2687796045821560132947306
-166680,0,2687796045821560132947306
-166740,0,2687796045821560132947306
-166800,0,2687796045821560132947306
-166860,0,2687796045821560132947306
-166920,0,2687796045821560132947306
-166980,0,2687796045821560132947306
-167040,0,2687796045821560132947306
-167100,0,2687796045821560132947306
-167160,0,2687796045821560132947306
-167220,0,2687796045821560132947306
-167280,0,2687796045821560132947306
-167340,0,2687796045821560132947306
-167400,0,2687796045821560132947306
-167460,0,2687796045821560132947306
-167520,0,2687796045821560132947306
-167580,0,2687796045821560132947306
-167640,0,2687796045821560132947306
-167700,0,2687796045821560132947306
-167760,0,2687796045821560132947306
-167820,0,2687796045821560132947306
-167880,0,2687796045821560132947306
-167940,0,2687796045821560132947306
-168000,0,2687796045821560132947306
-168060,0,2687796045821560132947306
-168120,3208074709345465077780,2684587971112214667869526
-168180,0,2684587971112214667869526
-168240,0,2684587971112214667869526
-168300,0,2684587971112214667869526
-168360,0,2684587971112214667869526
-168420,0,2684587971112214667869526
-168480,0,2684587971112214667869526
-168540,0,2684587971112214667869526
-168600,0,2684587971112214667869526
-168660,0,2684587971112214667869526
-168720,0,2684587971112214667869526
-168780,0,2684587971112214667869526
-168840,0,2684587971112214667869526
-168900,0,2684587971112214667869526
-168960,0,2684587971112214667869526
-169020,0,2684587971112214667869526
-169080,0,2684587971112214667869526
-169140,0,2684587971112214667869526
-169200,0,2684587971112214667869526
-169260,0,2684587971112214667869526
-169320,0,2684587971112214667869526
-169380,0,2684587971112214667869526
-169440,0,2684587971112214667869526
-169500,0,2684587971112214667869526
-169560,0,2684587971112214667869526
-169620,0,2684587971112214667869526
-169680,0,2684587971112214667869526
-169740,0,2684587971112214667869526
-169800,0,2684587971112214667869526
-169860,0,2684587971112214667869526
-169920,0,2684587971112214667869526
-169980,0,2684587971112214667869526
-170040,0,2684587971112214667869526
-170100,0,2684587971112214667869526
-170160,0,2684587971112214667869526
-170220,0,2684587971112214667869526
-170280,0,2684587971112214667869526
-170340,0,2684587971112214667869526
-170400,0,2684587971112214667869526
-170460,0,2684587971112214667869526
-170520,0,2684587971112214667869526
-170580,0,2684587971112214667869526
-170640,0,2684587971112214667869526
-170700,0,2684587971112214667869526
-170760,0,2684587971112214667869526
-170820,0,2684587971112214667869526
-170880,0,2684587971112214667869526
-170940,0,2684587971112214667869526
-171000,0,2684587971112214667869526
-171060,0,2684587971112214667869526
-171120,0,2684587971112214667869526
-171180,0,2684587971112214667869526
-171240,0,2684587971112214667869526
-171300,0,2684587971112214667869526
-171360,0,2684587971112214667869526
-171420,0,2684587971112214667869526
-171480,0,2684587971112214667869526
-171540,0,2684587971112214667869526
-171600,0,2684587971112214667869526
-171660,0,2684587971112214667869526
-171720,0,2684587971112214667869526
-171780,0,2684587971112214667869526
-171840,0,2684587971112214667869526
-171900,0,2684587971112214667869526
-171960,0,2684587971112214667869526
-172020,0,2684587971112214667869526
-172080,0,2684587971112214667869526
-172140,0,2684587971112214667869526
-172200,0,2684587971112214667869526
-172260,0,2684587971112214667869526
-172320,0,2684587971112214667869526
-172380,0,2684587971112214667869526
-172440,0,2684587971112214667869526
-172500,0,2684587971112214667869526
-172560,0,2684587971112214667869526
-172620,0,2684587971112214667869526
-172680,0,2684587971112214667869526
-172740,0,2684587971112214667869526
-172800,0,2684587971112214667869526
-172860,0,2684587971112214667869526
-172920,0,2684587971112214667869526
-172980,0,2684587971112214667869526
-173040,0,2684587971112214667869526
-173100,0,2684587971112214667869526
-173160,0,2684587971112214667869526
-173220,0,2684587971112214667869526
-173280,0,2684587971112214667869526
-173340,0,2684587971112214667869526
-173400,0,2684587971112214667869526
-173460,0,2684587971112214667869526
-173520,0,2684587971112214667869526
-173580,0,2684587971112214667869526
-173640,0,2684587971112214667869526
-173700,0,2684587971112214667869526
-173760,0,2684587971112214667869526
-173820,0,2684587971112214667869526
-173880,0,2684587971112214667869526
-173940,0,2684587971112214667869526
-174000,0,2684587971112214667869526
-174060,0,2684587971112214667869526
-174120,0,2684587971112214667869526
-174180,0,2684587971112214667869526
-174240,0,2684587971112214667869526
-174300,0,2684587971112214667869526
-174360,0,2684587971112214667869526
-174420,0,2684587971112214667869526
-174480,0,2684587971112214667869526
-174540,0,2684587971112214667869526
-174600,0,2684587971112214667869526
-174660,0,2684587971112214667869526
-174720,0,2684587971112214667869526
-174780,0,2684587971112214667869526
-174840,0,2684587971112214667869526
-174900,0,2684587971112214667869526
-174960,0,2684587971112214667869526
-175020,0,2684587971112214667869526
-175080,0,2684587971112214667869526
-175140,0,2684587971112214667869526
-175200,0,2684587971112214667869526
-175260,0,2684587971112214667869526
-175320,0,2684587971112214667869526
-175380,0,2684587971112214667869526
-175440,0,2684587971112214667869526
-175500,0,2684587971112214667869526
-175560,0,2684587971112214667869526
-175620,0,2684587971112214667869526
-175680,0,2684587971112214667869526
-175740,0,2684587971112214667869526
-175800,0,2684587971112214667869526
-175860,0,2684587971112214667869526
-175920,0,2684587971112214667869526
-175980,0,2684587971112214667869526
-176040,0,2684587971112214667869526
-176100,0,2684587971112214667869526
-176160,0,2684587971112214667869526
-176220,0,2684587971112214667869526
-176280,0,2684587971112214667869526
-176340,0,2684587971112214667869526
-176400,0,2684587971112214667869526
-176460,0,2684587971112214667869526
-176520,0,2684587971112214667869526
-176580,0,2684587971112214667869526
-176640,0,2684587971112214667869526
-176700,0,2684587971112214667869526
-176760,0,2684587971112214667869526
-176820,0,2684587971112214667869526
-176880,0,2684587971112214667869526
-176940,0,2684587971112214667869526
-177000,0,2684587971112214667869526
-177060,0,2684587971112214667869526
-177120,0,2684587971112214667869526
-177180,0,2684587971112214667869526
-177240,0,2684587971112214667869526
-177300,0,2684587971112214667869526
-177360,0,2684587971112214667869526
-177420,0,2684587971112214667869526
-177480,0,2684587971112214667869526
-177540,0,2684587971112214667869526
-177600,0,2684587971112214667869526
-177660,0,2684587971112214667869526
-177720,0,2684587971112214667869526
-177780,0,2684587971112214667869526
-177840,0,2684587971112214667869526
-177900,0,2684587971112214667869526
-177960,0,2684587971112214667869526
-178020,0,2684587971112214667869526
-178080,0,2684587971112214667869526
-178140,0,2684587971112214667869526
-178200,0,2684587971112214667869526
-178260,0,2684587971112214667869526
-178320,0,2684587971112214667869526
-178380,0,2684587971112214667869526
-178440,0,2684587971112214667869526
-178500,0,2684587971112214667869526
-178560,0,2684587971112214667869526
-178620,0,2684587971112214667869526
-178680,0,2684587971112214667869526
-178740,0,2684587971112214667869526
-178800,0,2684587971112214667869526
-178860,0,2684587971112214667869526
-178920,0,2684587971112214667869526
-178980,0,2684587971112214667869526
-179040,0,2684587971112214667869526
