tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-163020,5966071154409764752946,2688369058173314375942952,22862422519429821234151424,22793941448832128009633792,27989641647448155423253414,-2323698864431883801,27989641.647448156,-2.3236988644318837,27989641.647448156,-2.3236988644318837,83968.92494234447,0
-163080,0,2688369058173314375942952,22793941448832128009633792,22725665503348635818000384,28073732441046274787870926,-2316738561522258196,28073732.441046275,-2.3167385615222584,56063374.088494435,-4.640437425954142,168190.1222654833,0
-163140,0,2688369058173314375942952,22725665503348635818000384,22657594068556819535495168,28158075873160832976190621,-2309799107190370211,28158075.87316083,-2.3097991071903703,84221449.96165526,-6.950236533144512,252664.34988496578,0
-163200,0,2688369058173314375942952,22657594068556819535495168,22589726531874556114632704,28242672702812157599135666,-2302880438987718715,28242672.702812158,-2.3028804389877187,112464122.66446742,-9.253116972132231,337392.3679934023,0
-163260,0,2688369058173314375942952,22589726531874556114632704,22522062282554648500895744,28327523691285699481656514,-2295982494651616967,28327523.6912857,-2.295982494651617,140791646.35575312,-11.549099466783847,422374.9390672594,0
-163320,0,2688369058173314375942952,22522062282554648500895744,22454600711679272240021504,28412629602177964667152097,-2289105212107815884,28412629.602177966,-2.289105212107816,169204275.9579311,-13.838204678891664,507612.82787379326,0
-163380,0,2688369058173314375942952,22454600711679272240021504,22387341212154555229274112,28497991201354666413274863,-2282248529465986197,28497991.201354668,-2.282248529465986,197702267.15928578,-16.12045320835765,593106.8014778573,0
-163440,0,2688369058173314375942952,22387341212154555229274112,22320283178705067274403840,28583609257002290627944708,-2275412385022778922,28583609.25700229,-2.2754123850227788,226285876.41628808,-18.395865593380428,678857.6292488643,0
-163500,0,2688369058173314375942952,22320283178705067274403840,22253426007868408430854144,28669484539600281035645485,-2268596717258473419,28669484.53960028,-2.2685967172584736,254955360.95588836,-20.664462310638903,764866.082867665,0
-163560,0,2688369058173314375942952,22253426007868408430854144,22186769097989754395295744,28755617821953073218758870,-2261801464838434755,28755617.821953073,-2.261801464838435,283710978.77784145,-22.926263775477338,851132.9363335243,0
-163620,0,2688369058173314375942952,22186769097989754395295744,22120311849216449141800960,28842009879183935617075775,-2255026566611510601,28842009.879183937,-2.2550265666115106,312552988.6570254,-25.18129034208885,937658.9659710762,0
-163680,0,2688369058173314375942952,22120311849216449141800960,22054053663492614737887232,28928661488741415765650143,-2248271961609448288,28928661.488741416,-2.248271961609448,341481650.1457668,-27.429562303698297,1024444.9504373004,0
-163740,0,2688369058173314375942952,22054053663492614737887232,21987993944553756865593344,29015573430415226839963155,-2241537589047040537,29015573.430415228,-2.2415375890470406,370497223.576182,-29.67109989274534,1111491.670728546,0
-163800,0,2688369058173314375942952,21987993944553756865593344,21922132097921408997261312,29102746486333475452475334,-2234823388320813836,29102746.486333475,-2.2348233883208137,399599970.0625155,-31.90592328106615,1198799.9101875464,0
-163860,69968249712378747376,2688299089923601997195576,21922132097921408997261312,21856467530897776571318272,29189421729099350987016365,-2228071309088816191,29189421.729099352,-2.2280713090888162,428789391.79161483,-34.13399459015497,1286368.1753748446,0
-163920,0,2688299089923601997195576,21856467530897776571318272,21790999652560406937862144,29277117086859870993255332,-2221397444650986578,29277117.08685987,-2.2213974446509863,458066508.8784747,-36.35539203480596,1374199.526635424,0
-163980,0,2688299089923601997195576,21790999652560406937862144,21725727873756863599214592,29365075912527162474976710,-2214743570806256709,29365075.912527163,-2.214743570806257,487431584.79100186,-38.570135605612215,1462294.7543730056,0
-164040,0,2688299089923601997195576,21725727873756863599214592,21660651607099447695114240,29453298997644442650139997,-2208109627675128763,29453298.997644443,-2.2081096276751286,516884883.7886463,-40.77824523328734,1550654.6513659388,0
-164100,0,2688299089923601997195576,21660651607099447695114240,21595770266959872243269632,29541787136150970470960833,-2201495555558813820,29541787.13615097,-2.2014955555588136,546426670.9247973,-42.97974078884616,1639280.0127743918,0
-164160,0,2688299089923601997195576,21595770266959872243269632,21531083269464030869192704,29630541124353705885076359,-2194901294936025738,29630541.124353707,-2.194901294936026,576057212.049151,-45.17464208378218,1728171.636147453,0
-164220,0,2688299089923601997195576,21531083269464030869192704,21466590032486719291392000,29719561760962969730796213,-2188326786464584216,29719561.76096297,-2.188326786464584,605776773.8101139,-47.36296887024677,1817330.3214303418,0
-164280,0,2688299089923601997195576,21466590032486719291392000,21402289975646412641140736,29808849847081386831775631,-2181771970979520260,29808849.847081386,-2.1817719709795202,635585623.6571953,-49.544740841226286,1906756.8709715859,0
-164340,0,2688299089923601997195576,21402289975646412641140736,21338182520300029897342976,29898406186224197360112651,-2175236789493513389,29898406.186224196,-2.1752367894935136,665484029.8434196,-51.7199776307198,1996452.0895302584,0
-164400,0,2688299089923601997195576,21338182520300029897342976,21274267089537724091203584,29988231584321934492058224,-2168721183196017232,29988231.584321935,-2.168721183196017,695472261.4277415,-53.888698813915816,2086416.7842832245,0
-164460,0,2688299089923601997195576,21274267089537724091203584,21210543108177715460571136,30078326849714771931868395,-2162225093451802199,30078326.84971477,-2.162225093451802,725550588.2774563,-56.05092390736762,2176651.764832369,0
-164520,0,2688299089923601997195576,21210543108177715460571136,21147010002761081654607872,30168692793187238266115168,-2155748461802412814,30168692.79318724,-2.1557484618024128,755719281.0706435,-58.20667236917003,2267157.8432119307,0
-164580,0,2688299089923601997195576,21147010002761081654607872,21083667201546625247870976,30259330227946474363150583,-2149291229963544515,30259330.227946475,-2.1492912299635445,785978611.2985901,-60.355963599133574,2357935.83389577,0
-164640,0,2688299089923601997195576,21083667201546625247870976,21020514134505706894655488,30350239969653082437444521,-2142853339826209526,30350239.96965308,-2.1428533398262095,816328851.2682432,-62.498816938959784,2448986.5538047296,0
-164700,0,2688299089923601997195576,21020514134505706894655488,20957550233317130022944768,30441422836411321108572343,-2136434733454988055,30441422.83641132,-2.1364347334549882,846770274.1046546,-64.63525167241477,2540310.822313964,0
-164760,0,2688299089923601997195576,20957550233317130022944768,20894774931362021233393664,30532879648785808519302007,-2130035353088174029,30532879.648785807,-2.130035353088174,877303153.7534404,-66.76528702550294,2631909.461260321,0
