tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
105800,0,347639006562043497483901,15710229513736746075562474209280,15868112011751319518373518245888,-17443526359917550276,692760162820112756175691,-17.44352635991755,692760.1628201128,-17.44352635991755,692760.1628201128,0,6927.601628201128
106000,0,347639006562043497483901,15868112011751319518373518245888,16027581175521320571128929845248,-17269969007042564335,699722168367869340825408,-17.269969007042565,699722.1683678693,-34.71349536696012,1392482.331187982,0,13924.823311879822
106200,-2487547952629179496060,345151458609414317987841,16027581175521320571128929845248,16188652950501439274191905882112,-16975791924641179827,701696925827177872937598,-16.97579192464118,701696.9258271778,-51.689287291601296,2094179.2570151598,0,20941.7925701516
106400,271055798748598932080,345422514408162916919921,16188652950501439274191905882112,16351343442392810349675358978048,-16820087232076237982,709305340374396120746747,-16.820087232076236,709305.3403743961,-68.50937452367754,2803484.597389556,0,28034.84597389556
106600,0,345422514408162916919921,16351343442392810349675358978048,16515668918753412607996873146368,-16652732893572837959,716433619365827364342762,-16.65273289357284,716433.6193658274,-85.16210741725038,3519918.2167553836,0,35199.18216755383
106800,0,345422514408162916919921,16515668918753412607996873146368,16681645810624690320291447963648,-16487043675721419616,723633535152432331887286,-16.48704367572142,723633.5351524323,-101.6491510929718,4243551.751907816,0,42435.51751907817
107000,0,345422514408162916919921,16681645810624690320291447963648,16849290714174500139473460789248,-16323003011118691620,730905807659787359246712,-16.32300301111869,730905.8076597874,-117.97215410409049,4974457.559567603,0,49744.57559567603
107200,0,345422514408162916919921,16849290714174500139473460789248,17018620392356579476531637649408,-16160594497201946715,738251164048493815430634,-16.160594497201945,738251.1640484938,-134.13274860129243,5712708.723616097,0,57127.08723616097
107400,0,345422514408162916919921,17018620392356579476531637649408,17189651776586682699044922327040,-15999801894608057506,745670338786847225269209,-15.999801894608057,745670.3387868472,-150.1325504959005,6458379.062402944,0,64583.79062402944
107600,0,345422514408162916919921,17189651776586682699044922327040,17362401968435574303103593218048,-15840609125550868874,753164073724331061950674,-15.840609125550868,753164.0737243311,-165.97315962145134,7211543.136127275,0,72115.43136127276
107800,0,345422514408162916919921,17362401968435574303103593218048,17536888241339027677423331180544,-15683000272212748479,760733118165758494448992,-15.683000272212748,760733.1181657584,-181.6561598936641,7972276.254293034,0,79722.76254293034
108000,0,345422514408162916919921,17536888241339027677423331180544,17713128042325005100037705826304,-15526959575152646924,768378228946179899821644,-15.526959575152647,768378.2289461799,-197.18311946881676,8740654.483239213,0,87406.54483239213
108200,0,345422514408162916919921,17713128042325005100037705826304,17891138993758208118753429815296,-15372471431731443909,776100170506615045367581,-15.372471431731444,776100.1705066151,-212.5555909005482,9516754.653745828,0,95167.54653745829
108400,0,345422514408162916919921,17891138993758208118753429815296,18070938895102146934156084379648,-15219520394550654302,783899714970433225675299,-15.219520394550655,783899.7149704333,-227.77511129509884,10300654.368716262,0,103006.54368716263
108600,0,345422514408162916919921,18070938895102146934156084379648,18252545724698922439950293008384,-15068091169908248570,791777642220577704527748,-15.068091169908248,791777.6422205777,-242.8432024650071,11092432.01093684,0,110924.32010936839
108800,-271055798748598932080,345151458609414317987841,18252545724698922439950293008384,18435977641566905568219065483264,-14906462210516555702,799107181756316412647769,-14.906462210516557,799107.1817563165,-257.74966467552366,11891539.192693155,0,118915.39192693155
109000,0,345151458609414317987841,18435977641566905568219065483264,18621252987216460306590201806848,-14758147811890344475,807137938908957220400467,-14.758147811890344,807137.9389089572,-272.507812487414,12698677.131602112,0,126986.77131602111
109200,0,345151458609414317987841,18621252987216460306590201806848,18808390287483933315491310862336,-14611309092773377132,815249402457330201377146,-14.611309092773377,815249.4024573303,-287.11912158018737,13513926.534059443,0,135139.26534059443
109400,0,345151458609414317987841,18808390287483933315491310862336,18997408254384067771480401772544,-14465931370639749553,823442383473446618427728,-14.46593137063975,823442.3834734466,-301.5850529508271,14337368.91753289,0,143373.68917532888
