tick,liquidity_net,liquidity
105800,0,347639006562043497483901
105600,0,347639006562043497483901
105400,0,347639006562043497483901
105200,2487547952629179496060,345151458609414317987841
105000,0,345151458609414317987841
104800,0,345151458609414317987841
104600,0,345151458609414317987841
104400,0,345151458609414317987841
104200,0,345151458609414317987841
104000,0,345151458609414317987841
103800,0,345151458609414317987841
103600,0,345151458609414317987841
103400,0,345151458609414317987841
103200,0,345151458609414317987841
103000,0,345151458609414317987841
102800,0,345151458609414317987841
102600,0,345151458609414317987841
102400,0,345151458609414317987841
102200,0,345151458609414317987841
102000,0,345151458609414317987841
101800,0,345151458609414317987841
101600,0,345151458609414317987841
101400,0,345151458609414317987841
101200,0,345151458609414317987841
101000,0,345151458609414317987841
100800,0,345151458609414317987841
100600,0,345151458609414317987841
100400,0,345151458609414317987841
100200,0,345151458609414317987841
100000,0,345151458609414317987841
99800,0,345151458609414317987841
99600,0,345151458609414317987841
99400,0,345151458609414317987841
99200,0,345151458609414317987841
99000,0,345151458609414317987841
98800,0,345151458609414317987841
98600,0,345151458609414317987841
98400,0,345151458609414317987841
98200,0,345151458609414317987841
98000,121693984812171386352273,223457473797242931635568
97800,0,223457473797242931635568
97600,0,223457473797242931635568
97400,0,223457473797242931635568
97200,0,223457473797242931635568
97000,0,223457473797242931635568
96800,0,223457473797242931635568
96600,0,223457473797242931635568
96400,0,223457473797242931635568
96200,0,223457473797242931635568
96000,0,223457473797242931635568
95800,0,223457473797242931635568
95600,0,223457473797242931635568
95400,0,223457473797242931635568
95200,0,223457473797242931635568
95000,0,223457473797242931635568
94800,0,223457473797242931635568
94600,0,223457473797242931635568
94400,0,223457473797242931635568
94200,0,223457473797242931635568
94000,0,223457473797242931635568
93800,0,223457473797242931635568
93600,0,223457473797242931635568
93400,0,223457473797242931635568
93200,0,223457473797242931635568
93000,0,223457473797242931635568
92800,0,223457473797242931635568
92600,0,223457473797242931635568
92400,0,223457473797242931635568
92200,0,223457473797242931635568
92000,0,223457473797242931635568
91800,0,223457473797242931635568
91600,0,223457473797242931635568
91400,0,223457473797242931635568
91200,0,223457473797242931635568
91000,0,223457473797242931635568
90800,0,223457473797242931635568
90600,0,223457473797242931635568
90400,0,223457473797242931635568
90200,0,223457473797242931635568
90000,0,223457473797242931635568
89800,0,223457473797242931635568
89600,0,223457473797242931635568
89400,0,223457473797242931635568
89200,0,223457473797242931635568
89000,0,223457473797242931635568
88800,0,223457473797242931635568
88600,0,223457473797242931635568
88400,0,223457473797242931635568
88200,0,223457473797242931635568
88000,0,223457473797242931635568
87800,0,223457473797242931635568
87600,0,223457473797242931635568
87400,0,223457473797242931635568
87200,0,223457473797242931635568
87000,0,223457473797242931635568
86800,0,223457473797242931635568
86600,0,223457473797242931635568
86400,0,223457473797242931635568
86200,0,223457473797242931635568
86000,0,223457473797242931635568
85800,0,223457473797242931635568
85600,0,223457473797242931635568
85400,0,223457473797242931635568
85200,0,223457473797242931635568
85000,0,223457473797242931635568
84800,0,223457473797242931635568
84600,0,223457473797242931635568
84400,0,223457473797242931635568
84200,0,223457473797242931635568
84000,0,223457473797242931635568
83800,0,223457473797242931635568
83600,0,223457473797242931635568
83400,0,223457473797242931635568
83200,0,223457473797242931635568
83000,0,223457473797242931635568
82800,0,223457473797242931635568
82600,0,223457473797242931635568
82400,0,223457473797242931635568
82200,0,223457473797242931635568
82000,0,223457473797242931635568
81800,0,223457473797242931635568
81600,0,223457473797242931635568
81400,0,223457473797242931635568
81200,0,223457473797242931635568
81000,0,223457473797242931635568
80800,0,223457473797242931635568
80600,0,223457473797242931635568
80400,0,223457473797242931635568
80200,0,223457473797242931635568
80000,0,223457473797242931635568
79800,0,223457473797242931635568
79600,0,223457473797242931635568
79400,0,223457473797242931635568
79200,0,223457473797242931635568
79000,0,223457473797242931635568
78800,0,223457473797242931635568
78600,0,223457473797242931635568
78400,0,223457473797242931635568
78200,0,223457473797242931635568
78000,0,223457473797242931635568
77800,0,223457473797242931635568
77600,0,223457473797242931635568
77400,0,223457473797242931635568
77200,0,223457473797242931635568
77000,0,223457473797242931635568
76800,0,223457473797242931635568
76600,0,223457473797242931635568
76400,0,223457473797242931635568
76200,0,223457473797242931635568
76000,0,223457473797242931635568
75800,0,223457473797242931635568
75600,0,223457473797242931635568
75400,0,223457473797242931635568
75200,0,223457473797242931635568
75000,0,223457473797242931635568
74800,0,223457473797242931635568
74600,0,223457473797242931635568
74400,0,223457473797242931635568
74200,0,223457473797242931635568
74000,0,223457473797242931635568
73800,0,223457473797242931635568
73600,0,223457473797242931635568
73400,0,223457473797242931635568
73200,0,223457473797242931635568
73000,0,223457473797242931635568
72800,0,223457473797242931635568
72600,0,223457473797242931635568
72400,0,223457473797242931635568
72200,0,223457473797242931635568
72000,0,223457473797242931635568
71800,0,223457473797242931635568
71600,0,223457473797242931635568
71400,0,223457473797242931635568
71200,0,223457473797242931635568
71000,0,223457473797242931635568
70800,0,223457473797242931635568
70600,0,223457473797242931635568
70400,0,223457473797242931635568
70200,0,223457473797242931635568
70000,0,223457473797242931635568
69800,0,223457473797242931635568
69600,0,223457473797242931635568
69400,0,223457473797242931635568
69200,0,223457473797242931635568
69000,0,223457473797242931635568
68800,0,223457473797242931635568
68600,0,223457473797242931635568
68400,0,223457473797242931635568
68200,0,223457473797242931635568
68000,0,223457473797242931635568
67800,0,223457473797242931635568
67600,0,223457473797242931635568
67400,0,223457473797242931635568
67200,0,223457473797242931635568
67000,0,223457473797242931635568
66800,0,223457473797242931635568
66600,0,223457473797242931635568
66400,0,223457473797242931635568
66200,0,223457473797242931635568
66000,0,223457473797242931635568
65800,0,223457473797242931635568
65600,0,223457473797242931635568
65400,0,223457473797242931635568
65200,0,223457473797242931635568
65000,0,223457473797242931635568
64800,0,223457473797242931635568
64600,0,223457473797242931635568
64400,0,223457473797242931635568
64200,0,223457473797242931635568
64000,0,223457473797242931635568
63800,0,223457473797242931635568
63600,0,223457473797242931635568
63400,0,223457473797242931635568
63200,0,223457473797242931635568
63000,0,223457473797242931635568
62800,0,223457473797242931635568
62600,0,223457473797242931635568
62400,0,223457473797242931635568
62200,0,223457473797242931635568
62000,0,223457473797242931635568
61800,0,223457473797242931635568
61600,0,223457473797242931635568
61400,0,223457473797242931635568
61200,0,223457473797242931635568
61000,0,223457473797242931635568
60800,0,223457473797242931635568
60600,0,223457473797242931635568
60400,0,223457473797242931635568
60200,0,223457473797242931635568
60000,0,223457473797242931635568
59800,0,223457473797242931635568
59600,0,223457473797242931635568
59400,0,223457473797242931635568
59200,0,223457473797242931635568
59000,0,223457473797242931635568
58800,0,223457473797242931635568
58600,0,223457473797242931635568
58400,0,223457473797242931635568
58200,0,223457473797242931635568
58000,0,223457473797242931635568
57800,0,223457473797242931635568
57600,0,223457473797242931635568
57400,0,223457473797242931635568
57200,0,223457473797242931635568
57000,0,223457473797242931635568
56800,0,223457473797242931635568
56600,0,223457473797242931635568
56400,0,223457473797242931635568
56200,0,223457473797242931635568
56000,0,223457473797242931635568
55800,0,223457473797242931635568
55600,0,223457473797242931635568
55400,0,223457473797242931635568
55200,0,223457473797242931635568
55000,0,223457473797242931635568
54800,0,223457473797242931635568
54600,0,223457473797242931635568
54400,0,223457473797242931635568
54200,0,223457473797242931635568
54000,0,223457473797242931635568
53800,0,223457473797242931635568
53600,0,223457473797242931635568
53400,0,223457473797242931635568
53200,0,223457473797242931635568
53000,0,223457473797242931635568
52800,0,223457473797242931635568
52600,0,223457473797242931635568
52400,0,223457473797242931635568
52200,0,223457473797242931635568
52000,0,223457473797242931635568
51800,0,223457473797242931635568
51600,0,223457473797242931635568
51400,0,223457473797242931635568
51200,0,223457473797242931635568
51000,0,223457473797242931635568
50800,0,223457473797242931635568
50600,0,223457473797242931635568
50400,0,223457473797242931635568
50200,0,223457473797242931635568
50000,0,223457473797242931635568
49800,0,223457473797242931635568
49600,0,223457473797242931635568
49400,0,223457473797242931635568
49200,0,223457473797242931635568
49000,0,223457473797242931635568
48800,0,223457473797242931635568
48600,0,223457473797242931635568
48400,0,223457473797242931635568
48200,0,223457473797242931635568
48000,0,223457473797242931635568
47800,0,223457473797242931635568
47600,0,223457473797242931635568
47400,0,223457473797242931635568
47200,0,223457473797242931635568
47000,0,223457473797242931635568
46800,0,223457473797242931635568
46600,0,223457473797242931635568
46400,0,223457473797242931635568
46200,0,223457473797242931635568
46000,0,223457473797242931635568
45800,0,223457473797242931635568
45600,0,223457473797242931635568
45400,0,223457473797242931635568
45200,0,223457473797242931635568
45000,0,223457473797242931635568
44800,0,223457473797242931635568
44600,0,223457473797242931635568
44400,0,223457473797242931635568
44200,0,223457473797242931635568
44000,0,223457473797242931635568
43800,0,223457473797242931635568
43600,0,223457473797242931635568
43400,0,223457473797242931635568
43200,0,223457473797242931635568
43000,0,223457473797242931635568
42800,0,223457473797242931635568
42600,0,223457473797242931635568
42400,0,223457473797242931635568
42200,0,223457473797242931635568
42000,0,223457473797242931635568
41800,0,223457473797242931635568
41600,0,223457473797242931635568
41400,0,223457473797242931635568
41200,0,223457473797242931635568
41000,0,223457473797242931635568
40800,0,223457473797242931635568
40600,0,223457473797242931635568
40400,0,223457473797242931635568
40200,0,223457473797242931635568
40000,0,223457473797242931635568
39800,0,223457473797242931635568
39600,0,223457473797242931635568
39400,0,223457473797242931635568
39200,0,223457473797242931635568
39000,0,223457473797242931635568
38800,0,223457473797242931635568
38600,0,223457473797242931635568
38400,0,223457473797242931635568
38200,0,223457473797242931635568
38000,0,223457473797242931635568
37800,0,223457473797242931635568
37600,0,223457473797242931635568
37400,0,223457473797242931635568
37200,0,223457473797242931635568
37000,0,223457473797242931635568
36800,0,223457473797242931635568
36600,0,223457473797242931635568
36400,0,223457473797242931635568
36200,0,223457473797242931635568
36000,0,223457473797242931635568
35800,0,223457473797242931635568
35600,0,223457473797242931635568
35400,0,223457473797242931635568
35200,0,223457473797242931635568
35000,0,223457473797242931635568
34800,0,223457473797242931635568
34600,0,223457473797242931635568
34400,0,223457473797242931635568
34200,0,223457473797242931635568
34000,0,223457473797242931635568
33800,0,223457473797242931635568
33600,0,223457473797242931635568
33400,0,223457473797242931635568
33200,0,223457473797242931635568
33000,0,223457473797242931635568
32800,0,223457473797242931635568
32600,0,223457473797242931635568
32400,0,223457473797242931635568
32200,0,223457473797242931635568
32000,0,223457473797242931635568
31800,0,223457473797242931635568
31600,0,223457473797242931635568
31400,0,223457473797242931635568
31200,0,223457473797242931635568
31000,0,223457473797242931635568
30800,0,223457473797242931635568
30600,0,223457473797242931635568
30400,0,223457473797242931635568
30200,0,223457473797242931635568
30000,0,223457473797242931635568
29800,0,223457473797242931635568
29600,0,223457473797242931635568
29400,0,223457473797242931635568
29200,0,223457473797242931635568
29000,0,223457473797242931635568
28800,0,223457473797242931635568
28600,0,223457473797242931635568
28400,0,223457473797242931635568
28200,0,223457473797242931635568
28000,0,223457473797242931635568
27800,0,223457473797242931635568
27600,0,223457473797242931635568
27400,0,223457473797242931635568
27200,0,223457473797242931635568
27000,0,223457473797242931635568
26800,0,223457473797242931635568
26600,0,223457473797242931635568
26400,0,223457473797242931635568
26200,0,223457473797242931635568
26000,0,223457473797242931635568
25800,0,223457473797242931635568
25600,0,223457473797242931635568
25400,0,223457473797242931635568
25200,0,223457473797242931635568
25000,0,223457473797242931635568
24800,0,223457473797242931635568
24600,0,223457473797242931635568
24400,0,223457473797242931635568
24200,0,223457473797242931635568
24000,0,223457473797242931635568
23800,0,223457473797242931635568
23600,0,223457473797242931635568
23400,0,223457473797242931635568
23200,0,223457473797242931635568
23000,0,223457473797242931635568
22800,0,223457473797242931635568
22600,0,223457473797242931635568
22400,0,223457473797242931635568
22200,0,223457473797242931635568
22000,0,223457473797242931635568
21800,0,223457473797242931635568
21600,0,223457473797242931635568
21400,0,223457473797242931635568
21200,0,223457473797242931635568
21000,0,223457473797242931635568
20800,0,223457473797242931635568
20600,0,223457473797242931635568
20400,0,223457473797242931635568
20200,0,223457473797242931635568
20000,0,223457473797242931635568
19800,0,223457473797242931635568
19600,0,223457473797242931635568
19400,0,223457473797242931635568
19200,0,223457473797242931635568
19000,0,223457473797242931635568
18800,0,223457473797242931635568
18600,0,223457473797242931635568
18400,0,223457473797242931635568
18200,0,223457473797242931635568
18000,0,223457473797242931635568
17800,0,223457473797242931635568
17600,0,223457473797242931635568
17400,0,223457473797242931635568
17200,0,223457473797242931635568
17000,0,223457473797242931635568
16800,0,223457473797242931635568
16600,0,223457473797242931635568
16400,0,223457473797242931635568
16200,0,223457473797242931635568
16000,0,223457473797242931635568
15800,0,223457473797242931635568
15600,0,223457473797242931635568
15400,0,223457473797242931635568
15200,0,223457473797242931635568
15000,0,223457473797242931635568
14800,0,223457473797242931635568
14600,0,223457473797242931635568
14400,0,223457473797242931635568
14200,0,223457473797242931635568
14000,0,223457473797242931635568
13800,0,223457473797242931635568
13600,0,223457473797242931635568
13400,0,223457473797242931635568
13200,0,223457473797242931635568
13000,0,223457473797242931635568
12800,0,223457473797242931635568
12600,0,223457473797242931635568
12400,0,223457473797242931635568
12200,0,223457473797242931635568
12000,0,223457473797242931635568
11800,0,223457473797242931635568
11600,0,223457473797242931635568
11400,0,223457473797242931635568
11200,0,223457473797242931635568
11000,0,223457473797242931635568
10800,0,223457473797242931635568
10600,0,223457473797242931635568
10400,0,223457473797242931635568
10200,0,223457473797242931635568
10000,0,223457473797242931635568
9800,0,223457473797242931635568
9600,0,223457473797242931635568
9400,0,223457473797242931635568
9200,0,223457473797242931635568
9000,0,223457473797242931635568
8800,0,223457473797242931635568
8600,0,223457473797242931635568
8400,0,223457473797242931635568
8200,0,223457473797242931635568
8000,0,223457473797242931635568
7800,0,223457473797242931635568
7600,0,223457473797242931635568
7400,0,223457473797242931635568
7200,0,223457473797242931635568
7000,0,223457473797242931635568
6800,0,223457473797242931635568
6600,0,223457473797242931635568
6400,0,223457473797242931635568
6200,0,223457473797242931635568
6000,0,223457473797242931635568
5800,0,223457473797242931635568
5600,0,223457473797242931635568
5400,0,223457473797242931635568
5200,0,223457473797242931635568
5000,0,223457473797242931635568
4800,0,223457473797242931635568
4600,0,223457473797242931635568
4400,0,223457473797242931635568
4200,0,223457473797242931635568
4000,0,223457473797242931635568
3800,0,223457473797242931635568
3600,0,223457473797242931635568
3400,0,223457473797242931635568
3200,0,223457473797242931635568
3000,0,223457473797242931635568
2800,0,223457473797242931635568
2600,0,223457473797242931635568
2400,0,223457473797242931635568
2200,0,223457473797242931635568
2000,0,223457473797242931635568
1800,0,223457473797242931635568
1600,0,223457473797242931635568
1400,0,223457473797242931635568
1200,0,223457473797242931635568
1000,0,223457473797242931635568
800,0,223457473797242931635568
600,0,223457473797242931635568
400,0,223457473797242931635568
200,0,223457473797242931635568
0,0,223457473797242931635568
-200,0,223457473797242931635568
-400,0,223457473797242931635568
-600,0,223457473797242931635568
-800,0,223457473797242931635568
-1000,0,223457473797242931635568
-1200,0,223457473797242931635568
-1400,0,223457473797242931635568
-1600,0,223457473797242931635568
-1800,0,223457473797242931635568
-2000,0,223457473797242931635568
-2200,0,223457473797242931635568
-2400,0,223457473797242931635568
-2600,0,223457473797242931635568
-2800,0,223457473797242931635568
-3000,0,223457473797242931635568
-3200,0,223457473797242931635568
-3400,0,223457473797242931635568
-3600,0,223457473797242931635568
-3800,0,223457473797242931635568
-4000,0,223457473797242931635568
-4200,0,223457473797242931635568
-4400,0,223457473797242931635568
-4600,0,223457473797242931635568
-4800,0,223457473797242931635568
-5000,0,223457473797242931635568
-5200,0,223457473797242931635568
-5400,0,223457473797242931635568
-5600,0,223457473797242931635568
-5800,0,223457473797242931635568
-6000,0,223457473797242931635568
-6200,0,223457473797242931635568
-6400,0,223457473797242931635568
-6600,0,223457473797242931635568
-6800,0,223457473797242931635568
-7000,0,223457473797242931635568
-7200,0,223457473797242931635568
-7400,0,223457473797242931635568
-7600,0,223457473797242931635568
-7800,0,223457473797242931635568
-8000,0,223457473797242931635568
-8200,0,223457473797242931635568
-8400,0,223457473797242931635568
-8600,0,223457473797242931635568
-8800,0,223457473797242931635568
-9000,0,223457473797242931635568
-9200,0,223457473797242931635568
-9400,0,223457473797242931635568
-9600,0,223457473797242931635568
-9800,0,223457473797242931635568
-10000,0,223457473797242931635568
-10200,0,223457473797242931635568
-10400,0,223457473797242931635568
-10600,0,223457473797242931635568
-10800,0,223457473797242931635568
-11000,0,223457473797242931635568
-11200,0,223457473797242931635568
-11400,0,223457473797242931635568
-11600,0,223457473797242931635568
-11800,0,223457473797242931635568
-12000,0,223457473797242931635568
-12200,0,223457473797242931635568
-12400,0,223457473797242931635568
-12600,0,223457473797242931635568
-12800,0,223457473797242931635568
-13000,0,223457473797242931635568
-13200,0,223457473797242931635568
-13400,0,223457473797242931635568
-13600,0,223457473797242931635568
-13800,0,223457473797242931635568
-14000,0,223457473797242931635568
