tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
105800,0,347639006562043497483901,15710229513736746075562474209280,15553917894674936500805085167616,17618827905542615747,-685867426938856718815622,17.618827905542616,-685867.4269388567,17.618827905542616,-685867.4269388567,0.17618827905542617,0
105600,0,347639006562043497483901,15553917894674936500805085167616,15399161524836716911491813474304,17795891172466319469,-679043271513721496884177,17.79589117246632,-679043.2715137214,35.414719078008936,-1364910.6984525782,0.3541471907800893,0
105400,0,347639006562043497483901,15399161524836716911491813474304,15245944930003593415001764790272,17974733865390938035,-672287014191657544720188,17.974733865390938,-672287.0141916575,53.389452943399874,-2037197.7126442357,0.5338945294339987,0
105200,2487547952629179496060,345151458609414317987841,15245944930003593415001764790272,15094252789920450384727006773248,18025462199270821846,-660835260439796807935875,18.025462199270823,-660835.2604397968,71.4149151426707,-2698032.9730840325,0.7141491514267069,0
105000,0,345151458609414317987841,15094252789920450384727006773248,14944069936763678068420259086336,18206612003441245317,-654260166842199081462581,18.206612003441247,-654260.166842199,89.62152714611194,-3352293.1399262315,0.8962152714611195,0
104800,0,345151458609414317987841,14944069936763678068420259086336,14795381353624520111483281997824,18389582301932237995,-647750493264409678857806,18.389582301932236,-647750.4932644097,108.01110944804418,-4000043.633190641,1.080111094480442,0
104600,0,345151458609414317987841,14795381353624520111483281997824,14648172173007532908804906680320,18574391390095661599,-641305588798705959636281,18.574391390095663,-641305.588798706,126.58550083813984,-4641349.221989347,1.2658550083813984,0
104400,0,345151458609414317987841,14648172173007532908804906680320,14502427675343960878564916592640,18761057747146887868,-634924809013732731049905,18.76105774714689,-634924.8090137327,145.34655858528672,-5276274.031003079,1.4534655858528671,0
104200,0,345151458609414317987841,14502427675343960878564916592640,14358133287519917319812909367296,18949600038010832625,-628607515890002849473285,18.949600038010832,-628607.5158900028,164.29615862329754,-5904881.546893083,1.6429615862329754,0
104000,0,345151458609414317987841,14358133287519917319812909367296,14215274581419213227835181236224,19140037115187719114,-622353077756084507401912,19.14003711518772,-622353.0777560845,183.43619573848525,-6527234.624649167,1.8343619573848524,0
103800,0,345151458609414317987841,14215274581419213227835181236224,14073837272480667434123421286400,19332388020640410604,-616160869225514445240813,19.332388020640412,-616160.8692255145,202.76858375912568,-7143395.493874681,2.0276858375912568,0
103600,0,345151458609414317987841,14073837272480667434123421286400,13933807218269787732754344968192,19526671987696236822,-610030271134191843022053,19.526671987696236,-610030.2711341919,222.2952557468219,-7753425.765008873,2.2229525574682194,0
103400,0,345151458609414317987841,13933807218269787732754344968192,13795170417064656359994054148096,19722908442971054617,-603960670478498136912723,19.722908442971054,-603960.6704784981,242.01816418979297,-8357386.435487371,2.42018164189793,0
103200,0,345151458609414317987841,13795170417064656359994054148096,13657913006455884719138302590976,19921117008311848617,-597951460354005423390887,19.92111700831185,-597951.4603540055,261.9392811981048,-8955337.895841377,2.6193928119810486,0
103000,0,345151458609414317987841,13657913006455884719138302590976,13522021261960504494399659442176,20121317502757801841,-592002039894763641295037,20.1213175027578,-592002.0398947636,282.0605987008626,-9547339.93573614,2.820605987008626,0
102800,0,345151458609414317987841,13522021261960504494399659442176,13387481595649637527854612742144,20323529944523853093,-586111814213274439486163,20.32352994452385,-586111.8142132744,302.38412864538645,-10133451.749949414,3.0238412864538646,0
102600,0,345151458609414317987841,13387481595649637527854612742144,13254280554789829617660115025920,20527774553000952447,-580280194340965344027606,20.527774553000953,-580280.1943409654,322.9119031983874,-10713731.944290379,3.2291190319838736,0
102400,0,345151458609414317987841,13254280554789829617660115025920,13122404820497906374151308836864,20734071750777181668,-574506597169281942416257,20.734071750777183,-574506.5971692819,343.64597494916455,-11288238.541459661,3.4364597494916453,0
102200,0,345151458609414317987841,13122404820497906374151308836864,12991841206409198011433101557760,20942442165682122193,-568790445391447133837468,20.942442165682124,-568790.4453914472,364.58841711484666,-11857028.986851107,3.645884171148466,0
102000,0,345151458609414317987841,12991841206409198011433101557760,12862576657359031743473973723136,21152906632846816248,-563131167444661820170920,21.152906632846815,-563131.1674446618,385.74132374769346,-12420160.154295769,3.8574132374769348,0
101800,0,345151458609414317987841,12862576657359031743473973723136,12734598248077329655115435474944,21365486196789179624,-557528197453011902198058,21.36548619678918,-557528.1974530119,407.1068099444826,-12977688.351748781,4.071068099444826,0
101600,0,345151458609414317987841,12734598248077329655115435474944,12607893181896206213405887954944,21580202113516409742,-551980975170836336149429,21.58020211351641,-551980.9751708363,428.687012057999,-13529669.326919617,4.286870120579991,0
101400,0,345151458609414317987841,12607893181896206213405887954944,12482448789470405541472117981184,21797075852653650703,-546488945926791685659113,21.797075852653652,-546488.9459267916,450.4840879106527,-14076158.272846408,4.504840879106527,0
101200,0,345151458609414317987841,12482448789470405541472117981184,12358252527510499641934947024896,22016129099585690784,-541051560568260016525462,22.01612909958569,-541051.56056826,472.5002170102384,-14617209.833414668,4.725002170102384,0
101000,0,345151458609414317987841,12358252527510499641934947024896,12235291977528667425883939667968,22237383757629265957,-535668275406541575029131,22.237383757629267,-535668.2754065415,494.73760076786766,-15152878.10882121,4.947376007678677,0
100800,0,345151458609414317987841,12235291977528667425883939667968,12113554844596953216419555704832,22460861950223252292,-530338552162488907002081,22.46086195022325,-530338.5521624889,517.1984627180909,-15683216.660983698,5.171984627180909,0
100600,0,345151458609414317987841,12113554844596953216419555704832,11993028956117898892171502682112,22686586023137382491,-525061857912602037236481,22.686586023137384,-525061.857912602,539.8850487412283,-16208278.5188963,5.398850487412283,0
100400,0,345151458609414317987841,11993028956117898892171502682112,11873702260607383037607076167680,22914578546711176467,-519837665035849573684113,22.914578546711176,-519837.66503584955,562.7996272879394,-16728116.18393215,5.627996272879394,0
100200,0,345151458609414317987841,11873702260607383037607076167680,11755562826489595042535449821184,23144862318106166515,-514665451160803725078675,23.144862318106167,-514665.4511608037,585.9444896060456,-17242781.635092955,5.859444896060457,0
100000,0,345151458609414317987841,11755562826489595042535449821184,11638598840903977517621702557696,23377460363589446448,-509544699113501243348591,23.377460363589446,-509544.69911350124,609.321949969635,-17752326.334206454,6.0932194996963505,0
99800,0,345151458609414317987841,11638598840903977517621702557696,11522798608524055961117290135552,23612395940832846769,-504474896865657518630585,23.612395940832847,-504474.89686565753,632.9343459104679,-18256801.231072113,6.329343459104678,0
99600,0,345151458609414317987841,11522798608524055961117290135552,11408150550388004806219444256768,23849692541241658731,-499455537483537930512489,23.84969254124166,-499455.5374835379,656.7840384517095,-18756256.768555652,6.567840384517095,0
99400,0,345151458609414317987841,11408150550388004806219444256768,11294643202740866532466392825856,24089373892299984614,-494486119077192161671299,24.089373892299985,-494486.11907719215,680.8734123440095,-19250742.887632843,6.808734123440094,0
99200,0,345151458609414317987841,11294643202740866532466392825856,11182265215888272970580884455424,24331463959946850067,-489566144750345767740450,24.33146395994685,-489566.1447503458,705.2048763039563,-19740309.03238319,7.052048763039563,0
