tick,liquidity_net,liquidity
112000,-958993992433253401847,241323266521845309357001
112200,95776910803374157713,241419043432648683514714
112400,-253139885770823354907,241165903546877860159807
112600,-895110804039477114752,240270792742838383045055
112800,-166135287457337455529,240104657455381045589526
113000,-1372280524387499869883,238732376930993545719643
113200,0,238732376930993545719643
113400,-66779285257041291126,238665597645736504428517
113600,-14215763499144663286642,224449834146591841141875
113800,-29260908620012950684,224420573237971828191191
114000,-402625369830713919897,224017947868141114271294
114200,-796456064204724312733,223221491803936389958561
114400,0,223221491803936389958561
114600,0,223221491803936389958561
114800,0,223221491803936389958561
115000,-1185546161486118453129,222035945642450271505432
115200,-105652338329999973434342,116383607312450298071090
115400,0,116383607312450298071090
115600,0,116383607312450298071090
115800,0,116383607312450298071090
116000,0,116383607312450298071090
116200,0,116383607312450298071090
116400,-10520278769987428061,116373087033680310643029
116600,0,116373087033680310643029
116800,-29561580835452100,116373057472099475190929
117000,-2730908640470735996,116370326563459004454933
117200,0,116370326563459004454933
117400,0,116370326563459004454933
117600,0,116370326563459004454933
117800,0,116370326563459004454933
118000,0,116370326563459004454933
118200,0,116370326563459004454933
118400,0,116370326563459004454933
118600,0,116370326563459004454933
118800,-41770278786143491205999,74600047777315513248934
119000,0,74600047777315513248934
119200,0,74600047777315513248934
119400,0,74600047777315513248934
119600,0,74600047777315513248934
119800,0,74600047777315513248934
120000,0,74600047777315513248934
120200,0,74600047777315513248934
120400,0,74600047777315513248934
120600,0,74600047777315513248934
120800,0,74600047777315513248934
121000,0,74600047777315513248934
121200,0,74600047777315513248934
121400,0,74600047777315513248934
121600,0,74600047777315513248934
121800,0,74600047777315513248934
122000,0,74600047777315513248934
122200,0,74600047777315513248934
122400,0,74600047777315513248934
122600,0,74600047777315513248934
122800,0,74600047777315513248934
123000,0,74600047777315513248934
123200,0,74600047777315513248934
123400,0,74600047777315513248934
123600,0,74600047777315513248934
123800,0,74600047777315513248934
124000,0,74600047777315513248934
124200,0,74600047777315513248934
124400,0,74600047777315513248934
124600,0,74600047777315513248934
124800,0,74600047777315513248934
125000,0,74600047777315513248934
125200,0,74600047777315513248934
125400,0,74600047777315513248934
125600,0,74600047777315513248934
125800,0,74600047777315513248934
126000,0,74600047777315513248934
126200,0,74600047777315513248934
126400,0,74600047777315513248934
126600,0,74600047777315513248934
126800,0,74600047777315513248934
127000,0,74600047777315513248934
127200,0,74600047777315513248934
127400,0,74600047777315513248934
127600,0,74600047777315513248934
127800,0,74600047777315513248934
128000,0,74600047777315513248934
128200,0,74600047777315513248934
128400,0,74600047777315513248934
128600,0,74600047777315513248934
128800,0,74600047777315513248934
129000,0,74600047777315513248934
129200,0,74600047777315513248934
129400,0,74600047777315513248934
129600,0,74600047777315513248934
129800,0,74600047777315513248934
130000,-154664479561386811143,74445383297754126437791
130200,0,74445383297754126437791
130400,0,74445383297754126437791
130600,0,74445383297754126437791
130800,0,74445383297754126437791
131000,0,74445383297754126437791
131200,0,74445383297754126437791
131400,0,74445383297754126437791
131600,0,74445383297754126437791
131800,0,74445383297754126437791
132000,0,74445383297754126437791
132200,0,74445383297754126437791
132400,0,74445383297754126437791
132600,0,74445383297754126437791
132800,0,74445383297754126437791
133000,0,74445383297754126437791
133200,0,74445383297754126437791
133400,0,74445383297754126437791
133600,0,74445383297754126437791
