tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
112000,-958993992433253401847,241323266521845309357001,21419389486830493411229004988416,21634647113408826997354027548672,-8881379394710734383,655659199218087437159072,-8.881379394710734,655659.1992180875,-8.881379394710734,655659.1992180875,0,6556.5919921808745
112200,95776910803374157713,241419043432648683514714,21634647113408826997354027548672,21852068006397187421343559188480,-8796502379658217533,662511187206594165109157,-8.796502379658218,662511.1872065942,-17.677881774368952,1318170.3864246816,0,13181.703864246816
112400,-253139885770823354907,241165903546877860159807,21852068006397187421343559188480,22071673905892014449552617635840,-8699848273582075108,668467543550054714061047,-8.699848273582075,668467.5435500547,-26.377730047951026,1986637.9299747362,0,19866.37929974736
112600,-895110804039477114752,240270792742838383045055,22071673905892014449552617635840,22293486770470368065968647700480,-8581318584969768037,672679399868772080664738,-8.581318584969768,672679.3998687721,-34.9590486329208,2659317.329843508,0,26593.173298435082
112800,-166135287457337455529,240104657455381045589526,22293486770470368065968647700480,22517528779385581909342341300224,-8490062768554987386,678969801887274512402564,-8.490062768554987,678969.8018872745,-43.44911140147578,3338287.131730783,0,33382.87131730783
113000,-1372280524387499869883,238732376930993545719643,22517528779385581909342341300224,22743822334785006866490709770240,-8357548606513048984,681873675348001567841849,-8.357548606513049,681873.6753480015,-51.80666000798883,4020160.8070787843,0,40201.60807078784
113200,0,238732376930993545719643,22743822334785006866490709770240,22972390063949988936960484311040,-8274393745348799768,688726275375268512526028,-8.2743937453488,688726.2753752685,-60.08105375333763,4708887.082454053,0,47088.87082454053
113400,-66779285257041291126,238665597645736504428517,22972390063949988936960484311040,23203254821558414635424269991936,-8189774726408140314,695453152028268162684924,-8.18977472640814,695453.1520282682,-68.27082847974577,5404340.234482321,0,54043.40234482321
113600,-14215763499144663286642,224449834146591841141875,23203254821558414635424269991936,23436439691969959039798274424832,-7625330903032654300,660602288737197441172724,-7.625330903032654,660602.2887371974,-75.89615938277842,6064942.523219518,0,60649.425232195186
113800,-29260908620012950684,224420573237971828191191,23436439691969959039798274424832,23671967991534315708258508079104,-7548477164757781343,667154132124182006401599,-7.548477164757782,667154.132124182,-83.4446365475362,6732096.6553437,0,67320.966553437
114000,-402625369830713919897,224017947868141114271294,23671967991534315708258508079104,23909863270922597616339805798400,-7459964573663241780,672649858394558843533060,-7.4599645736632425,672649.8583945589,-90.90460112119945,7404746.513738259,0,74047.46513738258
114200,-796456064204724312733,223221491803936389958561,23909863270922597616339805798400,24150149317482224366091585454080,-7359481689152948767,676994241322372280242264,-7.3594816891529495,676994.2413223722,-98.26408281035239,8081740.755060631,0,80817.40755060631
114400,0,223221491803936389958561,24150149317482224366091585454080,24392850157615403753681400627200,-7286257265710660910,683797804686471884199907,-7.286257265710661,683797.8046864719,-105.55034007606305,8765538.559747104,0,87655.38559747105
114600,0,223221491803936389958561,24392850157615403753681400627200,24637990059181585997814986440704,-7213761401210092240,690669741563441874015844,-7.213761401210093,690669.7415634419,-112.76410147727314,9456208.301310545,0,94562.08301310545
114800,0,223221491803936389958561,24637990059181585997814986440704,24885593533923980700965345951744,-7141986846728464996,697610739083904351336529,-7.141986846728465,697610.7390839043,-119.90608832400162,10153819.04039445,0,101538.19040394449
115000,-1185546161486118453129,222035945642450271505432,24885593533923980700965345951744,25135685339920568888975104671744,-7033372202468016938,700879193454513050667436,-7.033372202468017,700879.1934545131,-126.93946052646963,10854698.233848963,0,108546.98233848963
115200,-105652338329999973434342,116383607312450298071090,25135685339920568888975104671744,25388290484059610129032133214208,-3649970870362031050,371068783720561879984382,-3.649970870362031,371068.7837205619,-130.58943139683166,11225767.017569525,0,112257.67017569525
115400,0,116383607312450298071090,25388290484059610129032133214208,25643434224540176150774467788800,-3613654860097846974,374797899610175624188536,-3.6136548600978466,374797.89961017563,-134.2030862569295,11600564.9171797,0,116005.64917179699
115600,0,116383607312450298071090,25643434224540176150774467788800,25901142073397683948926764318720,-3577700182197143245,378564491854377022282205,-3.5777001821971433,378564.49185437703,-137.78078643912664,11979129.409034077,0,119791.29409034077
115800,0,116383607312450298071090,25901142073397683948926764318720,26161439799054887734630277971968,-3542103241521719278,382368937077869052930349,-3.5421032415217195,382368.9370778691,-141.32288968064836,12361498.346111946,0,123614.98346111947
116000,0,116383607312450298071090,26161439799054887734630277971968,26424353428898496368652580814848,-3506860478703965037,386211615690322337927393,-3.506860478703965,386211.61569032236,-144.82975015935233,12747709.961802268,0,127477.0996180227
116200,0,116383607312450298071090,26424353428898496368652580814848,26689909251881636952858758742016,-3471968369790319705,390092911924342312432914,-3.4719683697903196,390092.91192434233,-148.30171852914265,13137802.87372661,0,131378.0287372661
116400,-10520278769987428061,116373087033680310643029,26689909251881636952858758742016,26958133821152560896711296286720,-3437112706420858268,393977597785595697039731,-3.437112706420858,393977.5977855957,-151.7388312355635,13531780.471512206,0,135317.80471512207
116600,0,116373087033680310643029,26958133821152560896711296286720,27229053956709660012793059868672,-3402914564912503738,397936939515496858610472,-3.402914564912504,397936.93951549684,-155.141745800476,13929717.411027703,0,139297.17411027703
116800,-29561580835452100,116373057472099475190929,27229053956709660012793059868672,27502696748083265519314253381632,-3369055827847953613,401935969190412181371042,-3.369055827847953,401935.9691904122,-158.51080162832395,14331653.380218115,0,143316.53380218116
117000,-2730908640470735996,116370326563459004454933,27502696748083265519314253381632,27779089557044324525195520901120,-3335456555425510444,405965762904060056950780,-3.3354565554255102,405965.7629040601,-161.84625818374946,14737619.143122174,0,147376.19143122173
117200,0,116370326563459004454933,27779089557044324525195520901120,28058260020340345810894777745408,-3302269859201087677,410045581642526598246805,-3.3022698592010875,410045.5816425266,-165.14852804295055,15147664.724764701,0,151476.647247647
117400,0,116370326563459004454933,28058260020340345810894777745408,28340236052458804056162119450624,-3269413359694233120,414166401180711234978122,-3.269413359694233,414166.4011807112,-168.41794140264477,15561831.125945412,0,155618.3112594541
117600,0,116370326563459004454933,28340236052458804056162119450624,28625045848418340284694861447168,-3236883771556154924,418328633562796271582758,-3.2368837715561547,418328.6335627963,-171.65482517420094,15980159.759508207,0,159801.59759508207
117800,0,116370326563459004454933,28625045848418340284694861447168,28912717886588015230871469555712,-3204677842126311469,422532694973883409599376,-3.2046778421263116,422532.6949738834,-174.85950301632724,16402692.454482092,0,164026.9245448209
118000,0,116370326563459004454933,28912717886588015230871469555712,29203280931534858822944259309568,-3172792351106769365,426779005781555084044248,-3.1727923511067693,426779.0057815551,-178.03229536743402,16829471.460263647,0,168294.71460263646
118200,0,116370326563459004454933,29203280931534858822944259309568,29496764036900098588659190595584,-3141224110240892027,431067990577998065201565,-3.1412241102408918,431067.99057799805,-181.17351947767492,17260539.450841647,0,172605.39450841647
118400,0,116370326563459004454933,29496764036900098588659190595584,29793196548304224609289715580928,-3109969962993789044,435400078222358581466308,-3.109969962993789,435400.0782223586,-184.28348944066872,17695939.529064007,0,176959.39529064007
