tick,liquidity_net,liquidity
112000,-958993992433253401847,243241254506711816160695
111800,-104530645833520522661093,347771900340232338821788
111600,280379412356390588058,347491520927875948233730
111400,170120909594527919224,347321400018281420314506
111200,216002987277319080630,347105397031004101233876
111000,640375543366471257555,346465021487637629976321
110800,0,346465021487637629976321
110600,599657617115931777937,345865363870521698198384
110400,-1126275041694052500584,346991638912215750698968
110200,-366297311924536836586,347357936224140287535554
110000,-8157077926510856208731,355515014150651143744285
109800,0,355515014150651143744285
109600,0,355515014150651143744285
109400,-183800791058247985498,355698814941709391729783
109200,-34949693956172629495,355733764635665564359278
109000,-538859878061021521755,356272624513726585881033
108800,-1529614973785583334956,357802239487512169215989
108600,0,357802239487512169215989
108400,42955824947629609659128,314846414539882559556861
108200,19007988908780188648,314827406550973779368213
108000,6970650261041691228,314820435900712737676985
107800,1381268671600990091879,313439167229111747585106
107600,-84891540435085723860,313524058769546833308966
107400,-1328188986492377831983,314852247756039211140949
107200,86294072314014885656600,228558175442024325484349
107000,0,228558175442024325484349
106800,-43216469104244298140,228601391911128569782489
106600,-1204062558385124043544,229805454469513693826033
106400,-72964262319023821903,229878418731832717647936
106200,58331351916344938930,229820087379916372709006
106000,936287887745191768376,228883799492171180940630
105800,105720926414148239073,228778078565757032701557
105600,1211878553243903470901,227566200012513129230656
105400,-33976224703745285241674,261542424716258414472330
105200,-107232488506136788086,261649657204764551260416
105000,-38229786768215076158975,299879443972979627419391
104800,-15319751934281589736544,315199195907261217155935
104600,183800791058247985498,315015395116202969170437
104400,0,315015395116202969170437
104200,9924469651274903998,315005470646551694266439
104000,1581358433844036638990,313424112212707657627449
103800,664617649152220343429,312759494563555437284020
103600,55304516423664331092537,257454978139891106191483
103400,0,257454978139891106191483
103200,0,257454978139891106191483
103000,17858387637410501551723,239596590502480604639760
102800,-47901347541356309934,239644491850021960949694
102600,0,239644491850021960949694
102400,0,239644491850021960949694
102200,9715750562554252561,239634776099459406697133
102000,262955979728928875224,239371820119730477821909
101800,1375990017378689720651,237995830102351788101258
101600,65614154179485867924,237930215948172302233334
101400,0,237930215948172302233334
101200,117869433313314984916213,120060782634857317317121
101000,15319751934281589736544,104741030700575727580577
100800,0,104741030700575727580577
100600,0,104741030700575727580577
100400,0,104741030700575727580577
100200,0,104741030700575727580577
100000,0,104741030700575727580577
99800,0,104741030700575727580577
99600,0,104741030700575727580577
99400,0,104741030700575727580577
99200,0,104741030700575727580577
99000,499081200224987316362,104241949500350740264215
98800,0,104241949500350740264215
98600,1204062558385124043544,103037886941965616220671
98400,59969186973749574271,102977917754991866646400
98200,0,102977917754991866646400
98000,8963667081108973853029,94014250673882892793371
97800,0,94014250673882892793371
97600,0,94014250673882892793371
97400,0,94014250673882892793371
97200,15744065943114353145,93998506607939778440226
97000,0,93998506607939778440226
96800,0,93998506607939778440226
96600,0,93998506607939778440226
96400,0,93998506607939778440226
96200,402625369830713919897,93595881238109064520329
96000,0,93595881238109064520329
95800,1346043847904488377985,92249837390204576142344
95600,0,92249837390204576142344
95400,0,92249837390204576142344
95200,0,92249837390204576142344
95000,0,92249837390204576142344
94800,0,92249837390204576142344
94600,0,92249837390204576142344
94400,0,92249837390204576142344
94200,0,92249837390204576142344
94000,0,92249837390204576142344
93800,0,92249837390204576142344
93600,0,92249837390204576142344
93400,0,92249837390204576142344
93200,0,92249837390204576142344
93000,0,92249837390204576142344
92800,0,92249837390204576142344
92600,0,92249837390204576142344
92400,0,92249837390204576142344
92200,16628900606252895626262,75620936783951680516082
92000,0,75620936783951680516082
91800,0,75620936783951680516082
91600,0,75620936783951680516082
91400,0,75620936783951680516082
91200,0,75620936783951680516082
91000,0,75620936783951680516082
90800,0,75620936783951680516082
90600,0,75620936783951680516082
90400,0,75620936783951680516082
90200,0,75620936783951680516082
90000,154664479561386811143,75466272304390293704939
89800,0,75466272304390293704939
89600,0,75466272304390293704939
89400,0,75466272304390293704939
89200,0,75466272304390293704939
89000,0,75466272304390293704939
88800,0,75466272304390293704939
88600,0,75466272304390293704939
88400,0,75466272304390293704939
88200,0,75466272304390293704939
88000,0,75466272304390293704939
87800,0,75466272304390293704939
87600,0,75466272304390293704939
87400,0,75466272304390293704939
87200,0,75466272304390293704939
87000,0,75466272304390293704939
86800,0,75466272304390293704939
86600,0,75466272304390293704939
86400,0,75466272304390293704939
86200,0,75466272304390293704939
86000,0,75466272304390293704939
85800,0,75466272304390293704939
85600,0,75466272304390293704939
85400,0,75466272304390293704939
85200,0,75466272304390293704939
85000,0,75466272304390293704939
84800,0,75466272304390293704939
84600,0,75466272304390293704939
84400,0,75466272304390293704939
84200,0,75466272304390293704939
84000,0,75466272304390293704939
83800,0,75466272304390293704939
83600,0,75466272304390293704939
83400,0,75466272304390293704939
83200,0,75466272304390293704939
83000,0,75466272304390293704939
82800,0,75466272304390293704939
82600,0,75466272304390293704939
82400,47901347541356309934,75418370956848937395005
82200,0,75418370956848937395005
82000,0,75418370956848937395005
81800,0,75418370956848937395005
81600,0,75418370956848937395005
81400,0,75418370956848937395005
81200,0,75418370956848937395005
81000,0,75418370956848937395005
80800,0,75418370956848937395005
80600,0,75418370956848937395005
80400,0,75418370956848937395005
80200,0,75418370956848937395005
80000,0,75418370956848937395005
79800,0,75418370956848937395005
79600,0,75418370956848937395005
79400,0,75418370956848937395005
79200,0,75418370956848937395005
79000,0,75418370956848937395005
78800,0,75418370956848937395005
78600,0,75418370956848937395005
78400,0,75418370956848937395005
78200,0,75418370956848937395005
78000,0,75418370956848937395005
77800,0,75418370956848937395005
77600,0,75418370956848937395005
77400,0,75418370956848937395005
77200,0,75418370956848937395005
77000,0,75418370956848937395005
76800,0,75418370956848937395005
76600,0,75418370956848937395005
76400,0,75418370956848937395005
76200,0,75418370956848937395005
76000,0,75418370956848937395005
75800,0,75418370956848937395005
75600,0,75418370956848937395005
75400,0,75418370956848937395005
75200,0,75418370956848937395005
75000,0,75418370956848937395005
74800,0,75418370956848937395005
74600,0,75418370956848937395005
74400,0,75418370956848937395005
74200,0,75418370956848937395005
74000,0,75418370956848937395005
73800,0,75418370956848937395005
73600,0,75418370956848937395005
73400,0,75418370956848937395005
73200,0,75418370956848937395005
73000,0,75418370956848937395005
72800,0,75418370956848937395005
72600,0,75418370956848937395005
72400,0,75418370956848937395005
72200,0,75418370956848937395005
72000,0,75418370956848937395005
71800,0,75418370956848937395005
71600,0,75418370956848937395005
71400,0,75418370956848937395005
