tick,liquidity_net,liquidity
111360,1470973757169231208915,1228725269118837874071861
111420,629510779205775441774,1229354779898043649513635
111480,-1414727041043032710112,1227940052857000616803523
111540,1128986528797880945147,1229069039385798497748670
111600,38297775581572535807612,1267366814967371033556282
111660,56869809316725137246,1267423684776687758693528
111720,93444339516972370933,1267517129116204731064461
111780,-725214004048772843096,1266791915112155958221365
111840,252662069983980536509,1267044577182139938757874
111900,-42036921664460405911,1267002540260475478351963
111960,310876120326126192149,1267313416380801604544112
112020,-1514244289967020864926,1265799172090834583679186
112080,-54789993770013814934,1265744382097064569864252
112140,-76894320415383650603322,1188850061681680919260930
112200,0,1188850061681680919260930
112260,-22478691203939757957135,1166371370477741161303795
112320,0,1166371370477741161303795
112380,-2136734385855581341164,1164234636091885579962631
112440,0,1164234636091885579962631
112500,-281535670541537010607,1163953100421344042952024
112560,-6055321153805693184211,1157897779267538349767813
112620,0,1157897779267538349767813
112680,1168408903711414647893,1159066188171249764415706
112740,0,1159066188171249764415706
112800,0,1159066188171249764415706
112860,33009408974564749800677,1192075597145814514216383
112920,-46225273491209227921068,1145850323654605286295315
112980,0,1145850323654605286295315
113040,-38735627146245915028588,1107114696508359371266727
113100,-763638312920215534968,1106351058195439155731759
113160,-138319692239152269898,1106212738503200003461861
113220,-961061112711107855899,1105251677390488895605962
113280,28121451347854416742507,1133373128738343312348469
113340,-28414876671337351037189,1104958252067005961311280
113400,-430712227848340147346,1104527539839157621163934
113460,-575735143281556266475,1103951804695876064897459
113520,-8434728591667160104896,1095517076104208904792563
113580,0,1095517076104208904792563
113640,-983595576550956720751,1094533480527657948071812
113700,-8290983336194705762008,1086242497191463242309804
113760,-83663949460108990787,1086158833242003133319017
113820,0,1086158833242003133319017
113880,-8749065313586541872832,1077409767928416591446185
113940,0,1077409767928416591446185
114000,-61245894370196463274608,1016163873558220128171577
114060,-412407141662663064344335,603756731895557063827242
114120,-2065427520140710103240,601691304375416353724002
114180,-25913580025357365737346,575777724350058987986656
114240,0,575777724350058987986656
114300,0,575777724350058987986656
114360,0,575777724350058987986656
114420,-3744240298601197896700,572033484051457790089956
114480,-501061830929263808037,571532422220528526281919
114540,-279281705381763681919,571253140515146762600000
114600,-1146795880123142730716,570106344635023619869284
114660,-720612290036452229434,569385732344987167639850
114720,21348167127542890070,569407080512114710529920
114780,0,569407080512114710529920
114840,0,569407080512114710529920
114900,0,569407080512114710529920
114960,-35568068647338096233,569371512443467372433687
115020,-376708159323890490384,568994804284143481943303
115080,66818576048875507485985,635813380333018989429288
115140,-111710408446740801389579,524102971886278188039709
115200,61125171143417755879,524164097057421605795588
115260,87149159946051418308,524251246217367657213896
115320,0,524251246217367657213896
115380,0,524251246217367657213896
115440,0,524251246217367657213896
115500,0,524251246217367657213896
115560,0,524251246217367657213896
115620,1031495990594982602477,525282742207962639816373
115680,62320904011345456677,525345063111973985273050
115740,91177566081506809927,525436240678055492082977
115800,201839506031797954214,525638080184087290037191
115860,0,525638080184087290037191
115920,5287882099339345484,525643368066186629382675
115980,-565374573133229539342,525077993493053399843333
116040,0,525077993493053399843333
116100,-2694715789984269942230,522383277703069129901103
116160,-71486202016522236345,522311791501052607664758
116220,-96471968333930163484,522215319532718677501274
116280,-6565291225816766190658,515650028306901911310616
116340,0,515650028306901911310616
116400,-1636418635732235457323,514013609671169675853293
116460,0,514013609671169675853293
116520,0,514013609671169675853293
116580,0,514013609671169675853293
116640,3637559673356010981582,517651169344525686834875
116700,-667004683961049584274,516984164660564637250601
116760,-277191574788369299572,516706973085776267951029
116820,0,516706973085776267951029
116880,-73084235965066665474,516633888849811201285555
116940,-9346875229542636124814,507287013620268565160741
117000,-1053363616752463757315,506233650003516101403426
117060,-1343681226774108969236,504889968776741992434190
117120,0,504889968776741992434190
117180,2167945387841814124173,507057914164583806558363
117240,-42485021368757273233,507015429143215049285130
117300,0,507015429143215049285130
117360,-1115139400836565004405,505900289742378484280725
117420,-242303599993698653279,505657986142384785627446
117480,0,505657986142384785627446
117540,0,505657986142384785627446
117600,-3929380736823478005405,501728605405561307622041
117660,-90153975984175784007,501638451429577131838034
117720,0,501638451429577131838034
117780,-3861110937309587931380,497777340492267543906654
117840,-90443244002465568774,497686897248265078337880
117900,-2336285662937178839,497684560962602141159041
117960,0,497684560962602141159041
118020,0,497684560962602141159041
118080,0,497684560962602141159041
118140,-737235981058082120997,496947324981544059038044
118200,0,496947324981544059038044
118260,-3328142985234001822,496943996838558825036222
118320,-567099704138358669372,496376897134420466366850
118380,0,496376897134420466366850
118440,0,496376897134420466366850
118500,-4556069915634577624038,491820827218785888742812
118560,0,491820827218785888742812
118620,-725020027843635192692,491095807190942253550120
118680,1713623472215261769312,492809430663157515319432
118740,-4906204206252897176,492804524458951262422256
118800,-1638998297716704135442,491165526161234558286814
118860,650330895276068771574,491815857056510627058388
118920,0,491815857056510627058388
118980,0,491815857056510627058388
119040,0,491815857056510627058388
119100,-39181447337889417880,491776675609172737640508
119160,-1270669313437247958798,490506006295735489681710
119220,-21442609312829792527,490484563686422659889183
119280,-2167945387841814124173,488316618298580845765010
119340,-117953131429152001492,488198665167151693763518
119400,0,488198665167151693763518
119460,0,488198665167151693763518
119520,0,488198665167151693763518
119580,-231521856785662945979,487967143310366030817539
119640,0,487967143310366030817539
119700,0,487967143310366030817539
119760,3,487967143310366030817542
119820,-12867277569724248906988,475099865740641781910554
119880,0,475099865740641781910554
119940,-141387405221015053082,474958478335420766857472
120000,0,474958478335420766857472
120060,0,474958478335420766857472
120120,21687208722067171841427,496645687057487938698899
120180,0,496645687057487938698899
120240,0,496645687057487938698899
120300,0,496645687057487938698899
120360,-412379815288354209780,496233307242199584489119
120420,0,496233307242199584489119
120480,0,496233307242199584489119
120540,0,496233307242199584489119
120600,0,496233307242199584489119
120660,0,496233307242199584489119
120720,12990693166147690056519,509224000408347274545638
120780,-63209184867290199475,509160791223479984346163
120840,0,509160791223479984346163
120900,0,509160791223479984346163
120960,-736664848079496963610,508424126375400487382553
121020,-515751546573841110335,507908374828826646272218
121080,0,507908374828826646272218
121140,190448218286375696485,508098823047113021968703
121200,-14640034556350878670,508084183012556671090033
121260,0,508084183012556671090033
121320,-50178674444420318627,508034004338112250771406
121380,0,508034004338112250771406
121440,1243598504752624259752,509277602842864875031158
121500,-150593054638200176738,509127009788226674854420
121560,-2315645239898899832276,506811364548327775022144
121620,0,506811364548327775022144
121680,0,506811364548327775022144
121740,-13034085393858706545514,493777279154469068476630
121800,0,493777279154469068476630
121860,2038105536258330088996,495815384690727398565626
121920,0,495815384690727398565626
121980,0,495815384690727398565626
122040,-16195745947933649430161,479619638742793749135465
122100,-2360282655271275671799,477259356087522473463666
122160,0,477259356087522473463666
122220,0,477259356087522473463666
122280,0,477259356087522473463666
122340,0,477259356087522473463666
122400,0,477259356087522473463666
122460,-21687208722067171841427,455572147365455301622239
122520,0,455572147365455301622239
122580,-30504039686703820368,455541643325768597801871
122640,-2951696792322063245,455538691628976275738626
122700,0,455538691628976275738626
122760,0,455538691628976275738626
122820,-1115765866077636764,455537575863110198101862
122880,0,455537575863110198101862
122940,-584615319452973593742,454952960543657224508120
123000,-2107816077215056939420,452845144466442167568700
123060,0,452845144466442167568700
123120,-3533047103309054575777,449312097363133112992923
123180,0,449312097363133112992923
123240,-374626465253649912879,448937470897879463080044
123300,0,448937470897879463080044
123360,0,448937470897879463080044
123420,0,448937470897879463080044
123480,-649216263039397805546,448288254634840065274498
123540,0,448288254634840065274498
123600,879376067509144906989,449167630702349210181487
123660,0,449167630702349210181487
123720,0,449167630702349210181487
123780,0,449167630702349210181487
123840,-190448218286375696485,448977182484062834485002
123900,-64283417794145847132,448912899066268688637870
123960,0,448912899066268688637870
124020,0,448912899066268688637870
124080,0,448912899066268688637870
124140,0,448912899066268688637870
124200,0,448912899066268688637870
124260,-2445574945734730746342,446467324120533957891528
124320,-3375124906724592645196,443092199213809365246332
124380,0,443092199213809365246332
124440,0,443092199213809365246332
124500,0,443092199213809365246332
124560,0,443092199213809365246332
124620,3969043267938347635675,447061242481747712882007
124680,218527950308267144030788,665589192790014856912795
124740,0,665589192790014856912795
124800,-201839506031797954214,665387353283983058958581
124860,0,665387353283983058958581
124920,-347163702823851182551,665040189581159207776030
124980,0,665040189581159207776030
125040,-692030337298034782525,664348159243861172993505
125100,0,664348159243861172993505
125160,0,664348159243861172993505
125220,609423685455303963,664348768667546628297468
125280,-6945116599968143423932,657403652067578484873536
125340,202806049271223770444,657606458116849708643980
125400,0,657606458116849708643980
125460,0,657606458116849708643980
125520,0,657606458116849708643980
125580,12384321411681648744,657618842438261390292724
125640,-2359966957833278799,657616482471303557013925
125700,0,657616482471303557013925
125760,0,657616482471303557013925
125820,41833047264809345966,657658315518568366359891
125880,46370419673345004073,657704685938241711363964
125940,5766313986756094135,657710452252228467458099
126000,0,657710452252228467458099
126060,2634247891358242456,657713086500119825700555
126120,-952341948510513522503,656760744551609312178052
126180,17773827174016323,656760762325436486194375
126240,-15484642144358855531,656745277683292127338844
126300,0,656745277683292127338844
126360,0,656745277683292127338844
126420,0,656745277683292127338844
126480,273771607372852810027,657019049290664980148871
126540,0,657019049290664980148871
126600,5306796568305927165,657024356087233286076036
126660,0,657024356087233286076036
126720,0,657024356087233286076036
126780,0,657024356087233286076036
126840,0,657024356087233286076036
126900,185614082193260769347407,842638438280494055423443
126960,-190113265820534856686503,652525172459959198736940
127020,536801432750195801983,653061973892709394538923
127080,0,653061973892709394538923
127140,0,653061973892709394538923
127200,-879122782885723808303,652182851109823670730620
127260,0,652182851109823670730620
127320,3991403001097005730,652186842512824767736350
127380,446334785009396248234,652633177297834163984584
127440,0,652633177297834163984584
127500,-40283881127420694317,652592893416706743290267
127560,2436344319431706617,652595329761026174996884
127620,0,652595329761026174996884
127680,-5570559304257808751146,647024770456768366245738
127740,0,647024770456768366245738
127800,0,647024770456768366245738
127860,-3701231377396373744,647021069225390969871994
127920,-381160432983313833739,646639908792407656038255
127980,0,646639908792407656038255
128040,0,646639908792407656038255
128100,0,646639908792407656038255
128160,0,646639908792407656038255
128220,57801950268854329097,646697710742676510367352
128280,49213424843235319653,646746924167519745687005
128340,350112518055581680274,647097036685575327367279
128400,5949282992384584643,647102985968567711951922
128460,-391090769688976823881,646711895198878735128041
128520,57434314722603885305,646769329513601339013346
128580,0,646769329513601339013346
128640,0,646769329513601339013346
128700,-100082020679076908817,646669247492922262104529
128760,-51920869695936052324,646617326623226326052205
128820,0,646617326623226326052205
128880,-57434314722603885305,646559892308503722166900
128940,0,646559892308503722166900
129000,-1725066307161957065676,644834826001341765101224
129060,643138315393665384,644835469139657158766608
129120,2345841592417299175,644837814981249576065783
129180,0,644837814981249576065783
129240,9203859105616797064905,654041674086866373130688
129300,31506105189831600102,654073180192056204730790
129360,30491307710296374392,654103671499766501105182
129420,0,654103671499766501105182
129480,-1718188551200167367721,652385482948566333737461
129540,0,652385482948566333737461
129600,0,652385482948566333737461
129660,0,652385482948566333737461
129720,-56869809316725137246,652328613139249608600215
129780,0,652328613139249608600215
129840,0,652328613139249608600215
129900,7690944065180936615,652336304083314789536830
129960,0,652336304083314789536830
130020,6674375933179903208,652342978459247969440038
130080,0,652342978459247969440038
130140,0,652342978459247969440038
130200,-211827646693510267890871,440515331765737701549167
130260,435981788285190536158,440951313554022892085325
130320,0,440951313554022892085325
130380,3845577066367561333,440955159131089259646658
130440,35561983740662888346,440990721114829922535004
130500,0,440990721114829922535004
130560,0,440990721114829922535004
130620,0,440990721114829922535004
130680,0,440990721114829922535004
130740,0,440990721114829922535004
130800,0,440990721114829922535004
130860,97502754605175760699,441088223869435098295703
130920,4100234274793170032,441092324103709891465735
130980,0,441092324103709891465735
131040,0,441092324103709891465735
131100,0,441092324103709891465735
131160,0,441092324103709891465735
131220,-387901609156715501634,440704422494553175964101
131280,0,440704422494553175964101
131340,23630482623107075934815,464334905117660251898916
131400,-23630482623107075934815,440704422494553175964101
131460,4102557319944914750,440708525051873120878851
131520,0,440708525051873120878851
131580,-9236466941845243439085,431472058110027877439766
131640,1843849437811631089,431473901959465689070855
131700,0,431473901959465689070855
131760,0,431473901959465689070855
131820,0,431473901959465689070855
131880,0,431473901959465689070855
131940,13936711988659216714,431487838671454348287569
132000,2074336987853449901982,433562175659307798189551
132060,0,433562175659307798189551
132120,0,433562175659307798189551
132180,0,433562175659307798189551
132240,-2156281209017256983359,431405894450290541206192
132300,267106765009449583571,431673001215299990789763
132360,-267106765009449583571,431405894450290541206192
132420,0,431405894450290541206192
132480,161972464101374804450,431567866914391916010642
132540,7278238347988023756,431575145152739904034398
132600,0,431575145152739904034398
132660,0,431575145152739904034398
132720,2994265253452890843,431578139417993356925241
132780,610849778270613554288,432188989196263970479529
132840,0,432188989196263970479529
132900,0,432188989196263970479529
132960,-609423685455303963,432188379772578515175566
133020,0,432188379772578515175566
133080,-337403012339419698650,431850976760239095476916
133140,-52197160228701306563,431798779600010394170353
133200,0,431798779600010394170353
133260,0,431798779600010394170353
133320,0,431798779600010394170353
133380,5139898188718117749,431803919498199112288102
133440,0,431803919498199112288102
133500,0,431803919498199112288102
133560,-653393708169390800610,431150525790029721487492
133620,38326300303823569670,431188852090333545057162
133680,0,431188852090333545057162
133740,0,431188852090333545057162
133800,0,431188852090333545057162
133860,0,431188852090333545057162
133920,0,431188852090333545057162
133980,-4394106461117083449,431184457983872427973713
134040,4077533849702399895,431188535517722130373608
134100,3938397391603850147,431192473915113734223755
134160,0,431192473915113734223755
134220,0,431192473915113734223755
134280,1270870429064726330028,432463344344178460553783
134340,293366385513730728490,432756710729692191282273
134400,61214959780826577313,432817925689473017859586
134460,-153948426734709327088,432663977262738308532498
134520,48860054172269895576,432712837316910578428074
134580,16092203459957486984,432728929520370535915058
134640,-21348167127542890070,432707581353242993024988
134700,0,432707581353242993024988
134760,-41315696434416840922,432666265656808576184066
134820,11452808014021592092,432677718464822597776158
134880,0,432677718464822597776158
134940,2812343186148628516,432680530808008746404674
135000,0,432680530808008746404674
135060,170589511500243299794,432851120319508989704468
135120,8361884075125619319,432859482203584115323787
135180,20145017715234597386,432879627221299349921173
135240,1710026526402089906478,434589653747701439827651
135300,-45500391804487440524,434544153355896952387127
135360,-1661234080502246649797,432882919275394705737330
135420,419208991107388556864,433302128266502094294194
