tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
111360,1470973757169231208915,1228725269118837874071861,20744852891638828537450596401152,20807177774704798165297344282624,-14056341785116014237,966577493252428322480510,-14.056341785116015,966577.4932524284,-14.056341785116015,966577.4932524284,0,2899.732479757285
111420,629510779205775441774,1229354779898043649513635,20807177774704798165297344282624,20869689903786423240340658978816,-14021417943427097454,969978127086604995628237,-14.021417943427098,969978.127086605,-28.077759728543114,1936555.6203390332,0,5809.666861017099
111480,-1414727041043032710112,1227940052857000616803523,20869689903786423240340658978816,20932389841437016157510766166016,-13963331468720022969,971772691799308308340249,-13.963331468720023,971772.6917993083,-42.041091197263135,2908328.3121383414,0,8724.984936415023
111540,1128986528797880945147,1229069039385798497748670,20932389841437016157510766166016,20995278151900031705094882852864,-13934305976637240435,975588387720821591679112,-13.93430597663724,975588.3877208215,-55.975397173900376,3883916.699859163,0,11651.750099577488
111600,38297775581572535807612,1267366814967371033556282,20995278151900031705094882852864,21058355401114079571122480742400,-14325460019025916147,1009010052693296928981275,-14.325460019025916,1009010.0526932969,-70.30085719292629,4892926.75255246,0,14678.78025765738
111660,56869809316725137246,1267423684776687758693528,21058355401114079571122480742400,21121622156718071957739370708992,-14283191073877543509,1012086888889306770262283,-14.283191073877543,1012086.8888893068,-84.58404826680383,5905013.641441767,0,17715.0409243253
111720,93444339516972370933,1267517129116204731064461,21121622156718071957739370708992,21185078988056303641587376717824,-14241457760421177216,1015202399350930877863093,-14.241457760421177,1015202.3993509308,-98.825506027225,6920216.040792698,0,20760.648122378094
111780,-725214004048772843096,1266791915112155958221365,21185078988056303641587376717824,21248726466183572566580656078848,-14190675650493131214,1017669830401350947528985,-14.190675650493132,1017669.830401351,-113.01618167771814,7937885.871194049,0,23813.657613582145
111840,252662069983980536509,1267044577182139938757874,21248726466183572566580656078848,21312565163870336465479038664704,-14150991396989303665,1020930855285471462072138,-14.150991396989303,1020930.8552854714,-127.16717307470743,8958816.726479521,0,26876.450179438565
111900,-42036921664460405911,1267002540260475478351963,21312565163870336465479038664704,21376595655607851467062856646656,-14108136071570493933,1023964119715041016784286,-14.108136071570494,1023964.119715041,-141.27530914627792,9982780.846194562,0,29948.34253858368
111960,310876120326126192149,1267313416380801604544112,21376595655607851467062856646656,21440818517613364746503302676480,-14069328448492994365,1027292468676225670646418,-14.069328448492994,1027292.4686762256,-155.34463759477092,11010073.314870788,0,33030.21994461236
112020,-1514244289967020864926,1265799172090834583679186,21440818517613364746503302676480,21505234327835262139736514363392,-14010425489779527116,1029147675029796760175845,-14.010425489779527,1029147.6750297968,-169.35506308455044,12039220.989900585,0,36117.662969701756
112080,-54789993770013814934,1265744382097064569864252,21505234327835262139736514363392,21569843665958301326230578790400,-13967854668954839268,1032194918637965078428350,-13.967854668954839,1032194.9186379651,-183.32291775350527,13071415.90853855,0,39214.247725615656
112140,-76894320415383650603322,1188850061681680919260930,21569843665958301326230578790400,21634647113408826997354027548672,-13080006673072237669,972401480153882771636321,-13.080006673072237,972401.4801538828,-196.4029244265775,14043817.388692433,0,42131.4521660773
112200,0,1188850061681680919260930,21634647113408826997354027548672,21699645253359977017545077030912,-13040827410260045650,975322918491349524158783,-13.040827410260045,975322.9184913496,-209.44375183683755,15019140.307183784,0,45057.420921551355
112260,-22478691203939757957135,1166371370477741161303795,21699645253359977017545077030912,21764838670736960643074906652672,-12755929059045367525,959756394179020464972988,-12.755929059045368,959756.3941790204,-222.19968089588292,15978896.701362804,0,47936.69010408841
112320,0,1166371370477741161303795,21764838670736960643074906652672,21830227952222300712013918109696,-12717720523720317420,962639842201053983900795,-12.717720523720317,962639.842201054,-234.91740141960324,16941536.543563858,0,50824.60963069157
112380,-2136734385855581341164,1164234636091885579962631,21830227952222300712013918109696,21895813686261138884592777822208,-12656397991027669864,963763146567718392330875,-12.65639799102767,963763.1465677184,-247.5737994106309,17905299.690131575,0,53715.89907039472
112440,0,1164234636091885579962631,21895813686261138884592777822208,21961596463066491343967558303744,-12618487586580656085,966658632292582917361987,-12.618487586580656,966658.6322925829,-260.19228699721157,18871958.32242416,0,56615.87496727247
112500,-281535670541537010607,1163953100421344042952024,21961596463066491343967558303744,22027576874624594568977426939904,-12577648469745692971,969328357025870760389671,-12.577648469745693,969328.3570258707,-272.76993546695724,19841286.679450028,0,59523.86003835008
112560,-6055321153805693184211,1157897779267538349767813,22027576874624594568977426939904,22093755514700224085304570544128,-12474736294172683518,967182602079417328239724,-12.474736294172683,967182.6020794173,-285.2446717611299,20808469.281529445,0,62425.407844588335
112620,0,1157897779267538349767813,22093755514700224085304570544128,22160132978842035734632256765952,-12437370030991044214,970088361059449020206766,-12.437370030991044,970088.361059449,-297.6820417921209,21778557.642588895,0,65335.67292776669
112680,1168408903711414647893,1159066188171249764415706,22160132978842035734632256765952,22226709864387911447402522869760,-12412628374064036891,973984685509757860692843,-12.412628374064036,973984.6855097578,-310.0946701661849,22752542.32809865,0,68257.62698429596
112740,0,1159066188171249764415706,22226709864387911447402522869760,22293486770470368065968647700480,-12375448146149107923,976910880356811877286980,-12.375448146149107,976910.8803568119,-322.470118312334,23729453.208455462,0,71188.35962536639
112800,0,1159066188171249764415706,22293486770470368065968647700480,22360464298021903117352840462336,-12338379286211506838,979845866529035545167395,-12.338379286211508,979845.8665290355,-334.80849759854556,24709299.0749845,0,74127.89722495349
112860,33009408974564749800677,1192075597145814514216383,22360464298021903117352840462336,22427643049780453175994613760000,-12651757495062915567,1010778845258034444279075,-12.651757495062915,1010778.8452580344,-347.46025509360845,25720077.920242533,0,77160.2337607276
112920,-46225273491209227921068,1145850323654605286295315,22427643049780453175994613760000,22495023630294780168905118711808,-12124731630411178462,974502721509868909896808,-12.124731630411178,974502.7215098689,-359.58498672401964,26694580.641752403,0,80083.7419252572
112980,0,1145850323654605286295315,22495023630294780168905118711808,22562606645929925234815890620416,-12088413755432935484,977430472720389356337252,-12.088413755432935,977430.4727203894,-371.6734004794526,27672011.11447279,0,83016.03334341838
113040,-38735627146245915028588,1107114696508359371266727,22562606645929925234815890620416,22630392704872667086927222013952,-11644778235794012869,947225578535660976386048,-11.644778235794012,947225.578535661,-383.31817871524663,28619236.693008453,0,85857.71007902536
113100,-763638312920215534968,1106351058195439155731759,22630392704872667086927222013952,22698382417136989382855790428160,-11601890002049052374,949416062709943682989204,-11.601890002049052,949416.0627099437,-394.9200687172957,29568652.755718395,0,88705.95826715518
113160,-138319692239152269898,1106212738503200003461861,22698382417136989382855790428160,22766576394569575116180050411520,-11565692061206413782,952149388944168733398764,-11.565692061206414,952149.3889441687,-406.4857607785021,30520802.144662563,0,91562.4064339877
113220,-961061112711107855899,1105251677390488895605962,22766576394569575116180050411520,22834975250855319022384135012352,-11521030705200839197,954180284413369900814627,-11.52103070520084,954180.28441337,-418.0067914837029,31474982.429075934,0,94424.9472872278
113280,28121451347854416742507,1133373128738343312348469,22834975250855319022384135012352,22903579601522826474002875154432,-11778778224323740829,981397587595148195123883,-11.77877822432374,981397.5875951482,-429.7855697080266,32456380.016671084,0,97369.14005001324
113340,-28414876671337351037189,1104958252067005961311280,22903579601522826474002875154432,22972390063949988936960484311040,-11449074581116934957,959667444941068817047058,-11.449074581116935,959667.4449410688,-441.23464428914355,33416047.461612154,0,100248.14238483645
113400,-430712227848340147346,1104527539839157621163934,22972390063949988936960484311040,23041407257369500880114087362560,-11410331062528250188,962175423928732790322571,-11.41033106252825,962175.4239287328,-452.6449753516718,34378222.88554089,0,103134.66865662267
113460,-575735143281556266475,1103951804695876064897459,23041407257369500880114087362560,23110631802874462253190169493504,-11370223249363163385,964563098704896120842939,-11.370223249363164,964563.0987048962,-464.01519860103497,35342785.984245785,0,106028.35795273735
113520,-8434728591667160104896,1095517076104208904792563,23110631802874462253190169493504,23180064323423953943123260866560,-11249551578902625486,960069115388480534181417,-11.249551578902626,960069.1153884805,-475.2647501799376,36302855.09963427,0,108908.5652989028
113580,0,1095517076104208904792563,23180064323423953943123260866560,23249705443848644755592012890112,-11215855178828967377,962953502935808818171865,-11.215855178828967,962953.5029358089,-486.4806053587666,37265808.60257008,0,111797.42580771024
113640,-983595576550956720751,1094533480527657948071812,23249705443848644755592012890112,23319555790856416410953783967744,-11172219866845748193,964979383596283658153468,-11.172219866845749,964979.3835962836,-497.65282522561233,38230787.986166365,0,114692.3639584991
113700,-8290983336194705762008,1086242497191463242309804,23319555790856416410953783967744,23389615993038006554577734729728,-11054380129630541094,960546938820747138966553,-11.054380129630541,960546.9388207472,-508.7072053552429,39191334.924987115,0,117574.00477496134
113760,-83663949460108990787,1086158833242003133319017,23389615993038006554577734729728,23459886680872656270777550635008,-11020419463486942885,963358556950686413658363,-11.020419463486943,963358.5569506864,-519.7276248187299,40154693.4819378,0,120464.08044581342
113820,0,1086158833242003133319017,23459886680872656270777550635008,23530368486733789121941556166656,-10987409395430069259,966252827145075830977679,-10.987409395430069,966252.8271450758,-530.7150342141599,41120946.30908288,0,123362.83892724864
