tick,liquidity_net,liquidity
111480,-1348447659447577721830,1231164399300998954307821
111420,-111519589128298864422461,1342683988429297818730282
111360,0,1342683988429297818730282
111300,-14572555599981461497499,1357256544029279280227781
111240,2718238285209277819970,1354538305744070002407811
111180,-4812842734955794662705,1359351148479025797070516
111120,640205568903424239302,1358710942910122372831214
111060,55912809336447609244435,1302798133573674763586779
111000,4365134888184121290,1302793768438786579465489
110940,-3820822064909387231636,1306614590503695966697125
110880,582323391452946618849,1306032267112243020078276
110820,-156891353533551971589810,1462923620645794991668086
110760,532025895042801249480,1462391594750752190418606
110700,386916111829832614689,1462004678638922357803917
110640,1041346307535547133650,1460963332331386810670267
110580,0,1460963332331386810670267
110520,13764556345861345928507,1447198775985525464741760
110460,0,1447198775985525464741760
110400,0,1447198775985525464741760
110340,-67482519513897529144580,1514681295499422993886340
110280,303647241793834415637,1514377648257629159470703
110220,51920869695936052324,1514325727387933223418379
110160,0,1514325727387933223418379
110100,-3045665105425274638926,1517371392493358498057305
110040,5561675022796932546165,1511809717470561565511140
109980,1472825453081100091319,1510336892017480465419821
109920,6055321153805693184211,1504281570863674772235610
109860,2440771327537644132513,1501840799536137128103097
109800,15860447683718024964,1501824939088453410078133
109740,0,1501824939088453410078133
109680,-4927110356591649225071,1506752049445045059303204
109620,0,1506752049445045059303204
109560,13771780096178753653641,1492980269348866305649563
109500,409612911565398863525451,1083367357783467442124112
109440,11599154497040814102241,1071768203286426628021871
109380,71008249718488537361279,1000759953567938090660592
109320,631380675674136473208,1000128572892263954187384
109260,120074726805588511507,1000008498165458365675877
109200,173734339600518998270,999834763825857846677607
109140,69187943618440830583602,930646820207417016094005
109080,0,930646820207417016094005
109020,289250804201738647949,930357569403215277446056
108960,4183827144096795276739,926173742259118482169317
108900,0,926173742259118482169317
108840,17788175955279057186028,908385566303839424983289
108780,539356409027034967809,907846209894812390015480
108720,63443894692148758430,907782766000120241257050
108660,37137400832903253836,907745628599287338003214
108600,1809269414613649739954,905936359184673688263260
108540,100082020679076908817,905836277163994611354443
108480,0,905836277163994611354443
108420,0,905836277163994611354443
108360,1409845658650135685796,904426431505344475668647
108300,501061830929263808037,903925369674415211860610
108240,756056020897860577613,903169313653517351282997
108180,54708491756083508849886,848460821897433842433111
108120,0,848460821897433842433111
108060,59072869855934479065,848401749027577907954046
108000,1548399085030395235488,846853349942547512718558
107940,0,846853349942547512718558
107880,0,846853349942547512718558
107820,262329720096140925723,846591020222451371792835
107760,0,846591020222451371792835
107700,510439433882702917141,846080580788568668875694
107640,0,846080580788568668875694
107580,88988784252365488325,845991592004316303387369
107520,436069137755089556467,845555522866561213830902
107460,83663949460108990787,845471858917101104840115
107400,0,845471858917101104840115
107340,0,845471858917101104840115
107280,304091975046664803015,845167766942054440037100
107220,129594601357383017772,845038172340697057019328
107160,164204914422764021949849,680833257917933035069479
107100,247577763642375119942,680585680154290659949537
107040,59906995771666432823,680525773158518993516714
106980,73084235965066665474,680452688922553926851240
106920,0,680452688922553926851240
106860,0,680452688922553926851240
106800,0,680452688922553926851240
106740,914863348209632580308,679537825574344294270932
106680,1120617618830198919875,678417207955514095351057
106620,7428957917338633707856,670988250038175461643201
106560,0,670988250038175461643201
106500,0,670988250038175461643201
106440,19932673828560727477,670968317364346900915724
106380,113422272690917447515,670854895091655983468209
106320,0,670854895091655983468209
106260,0,670854895091655983468209
106200,0,670854895091655983468209
106140,625715893080216115709,670229179198575767352500
106080,0,670229179198575767352500
106020,0,670229179198575767352500
105960,16161797138433688909280,654067382060142078443220
105900,-16752413938499469248907,670819795998641547692127
105840,16815623123366759448382,654004172875274788243745
105780,567099704138358669372,653437073171136429574373
105720,0,653437073171136429574373
105660,0,653437073171136429574373
105600,0,653437073171136429574373
105540,0,653437073171136429574373
105480,21442609312829792527,653415630561823599781846
105420,0,653415630561823599781846
105360,0,653415630561823599781846
105300,0,653415630561823599781846
105240,-17314437892788044524593,670730068454611644306439
